,Abbreviation,Type,InChI Key,InChI,CanonicalSMILES,IUPACName,CAS,CID,MolecularFormula,MolecularWeight,Density,DN,De,Viscosity,Refraction,FlashPoint,MeltingPoint,BoilingPoint,DensityT,ViscosityT,DeT,Diffusion,DiffusionT,BE_Salt,BE_PS,Li - O (DOL),Li - X (Solvent),Li - O (TFSI),Li - S (PS),Li - Li,Dissociation,Bridging,P (s = 1.0),P (s = 2.0),P (s = 3.0),P (s = 4.0),Diffusion_DOL,Diffusion_Solvent,Diffusion_TFSI,Diffusion_Li,Diffusion_PS,Diffusion_Ratio,Corr_Solvent,Corr_PS,DensityElec,DensityElec_STD,Conductivity,Conductivity_STD,Visc,Visc_STD,Group
12,EIPS,Sulfone,RDKKQZIFDSEMNU-UHFFFAOYSA-N,"InChI=1S/C5H12O2S/c1-4-8(6,7)5(2)3/h5H,4H2,1-3H3",CCS(=O)(=O)C(C)C,2-ethylsulfonylpropane,4853-75-2,21719919,C5H12O2S,136.21,1.09,,,4.0,1.427,100.536,-6.25,90.5,,25.0,,,,-33.43059205,-28.2464636,0.5618306728632049,2.859618104667611,0.1925136391190139,0.360274802990503,1.3503738128914928,0.6913012729844413,0.0114669630228328,0.9135913591359136,0.0864086408640864,0.0,0.0,2.2312473427190627e-10,2.9884550866975426e-11,4.8279948605622375e-11,1.9132770922475253e-11,1.3752574066784175e-11,1.5619562366614688,0.7240330140470541,0.755715763400478,1.247842276711644,0.0086824328905611,0.356394106336916,0.0810867495902344,0.0100308219623511,0.0036942978098286,A
13,DBE,Ether,DURPTKYDGMDSBL-UHFFFAOYSA-N,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",CCCCOCCCC,1-butoxybutane,142-96-1,8909,C8H18O,130.23,0.767,18.1,3.08,0.69,1.399,25.0,-97.82777778,142.1722222,20.0,,25.0,,,-27.71558684,-25.52212071,2.022883410790059,0.0930491008284501,1.3806324510002024,0.624772681349768,0.5795110123257226,0.4612547989492827,0.0554152354010911,0.6750675067506751,0.3096309630963096,0.0153015301530153,0.0,4.3074686474454407e-10,5.401342315751244e-10,7.120884111409495e-11,6.074600568112704e-11,3.394044665963661e-11,8.891683091237994,0.0745226218025462,0.5529310285649656,1.1307746245877062,0.0076108027612108,0.1529923081291604,0.0704884856121544,0.0029128377805004,0.0009210329748803,B
14,ETFE,Fluorinated,HBRLMDFVVMYNFH-UHFFFAOYSA-N,"InChI=1S/C4H6F4O/c1-2-9-4(7,8)3(5)6/h3H,2H2,1H3",CCOC(C(F)F)(F)F,"1-ethoxy-1,1,2,2-tetrafluoroethane",512-51-6,120272,C4H6F4O,146.08,1.1951,,,486.0,1.294,57.0,,57.5,25.0,23.0,,,,-22.17350702,-19.74736061,1.950848656294201,5.051525560719337e-05,1.5845625378864414,0.6495251565972924,0.6528591634673673,0.4031117397454031,0.0458678520913315,0.693069306930693,0.2916291629162916,0.0153015301530153,0.0,5.711444808269501e-10,8.160359889011353e-10,4.2847155972343286e-11,3.91578484748519e-11,1.9679552653299664e-11,20.83965336923996,0.0424654503903529,0.618389821069622,1.3035132148425788,0.0103421849563941,0.1714373906671902,0.0139281799464984,0.0013784832020972,0.0001366395923958,B
15,HFME,Fluorinated,VNXYDFNVQBICRO-UHFFFAOYSA-N,"InChI=1S/C4H4F6O/c1-11-2(3(5,6)7)4(8,9)10/h2H,1H3",COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",13171-18-1,25749,C4H4F6O,182.06,1.3802,,,498.0,1.284,-12.381,,50.0,23.0,23.0,,,,-21.86380987,-19.76313598,1.989694887856133,0.0006566983228935,1.54859567589412,0.6445241462921806,0.63265306122449,0.4617599515053546,0.0498585572842998,0.6402640264026402,0.3189318931893189,0.0402040204020402,0.0006000600060006,5.26010161430856e-10,6.388630594820191e-10,6.140458414124052e-11,5.467348813964636e-11,3.611249523782732e-11,11.68506128327212,0.0468357157605223,0.6455719230338626,1.397547992253873,0.0114337126081297,0.1951015136967874,0.1302713644908772,0.0024781646833867,0.0010921978689669,B
16,ETTFPE,Fluorinated,RWZITMOKDXSASG-UHFFFAOYSA-N,"InChI=1S/C5H8F4O/c1-2-10-3-5(8,9)4(6)7/h4H,2-3H2,1H3",CCOCC(C(F)F)(F)F,"3-ethoxy-1,1,2,2-tetrafluoropropane",,12824701,C5H8F4O,160.11,1.166,,,,1.338,,,86.0,,,,,,-25.84439661,-24.22709954,2.041321479086684,0.020913315821378,1.4258436047686405,0.6248737118609825,0.5936552838957369,0.463679531218428,0.0487472216609416,0.744074407440744,0.2148214821482148,0.0372037203720372,0.0039003900390039,5.116703329392336e-10,6.24133229411011e-10,7.943563500568729e-11,7.214313708020044e-11,4.293944083155175e-11,8.651318124926721,0.0445800436760369,0.7517555436487863,1.293514235932034,0.0106252119876242,0.2271337923225271,0.0787068204197403,0.0015437135624248,6.317591278072281e-05,B
17,TFETFE,Fluorinated,CWIFAKBLLXGZIC-UHFFFAOYSA-N,"InChI=1S/C4H3F7O/c5-2(6)4(10,11)12-1-3(7,8)9/h2H,1H2",C(C(F)(F)F)OC(C(F)F)(F)F,"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",406-78-0,164596,C4H3F7O,200.05,1.4789,,,,1.276,,-85.9,56.2,23.0,,,,,-18.19718746,-18.01520499,1.941048696706405,5.051525560719337e-05,1.6286118407759145,0.6429581733683575,0.6216407355021218,0.4518589614063447,0.0718832087290361,0.6591659165916591,0.2019201920192019,0.0681068106810681,0.0708070807080708,4.759982686069634e-10,5.767977996588312e-10,5.615044691566419e-11,4.91934122111634e-11,3.026361833765559e-11,11.725102482887722,0.0624874264577117,0.7678841162146253,1.430550832633683,0.0119073901754662,0.2266937445543483,0.053503774582747,0.0015983466233441,4.326917003480312e-05,B
18,EPE,Ether,NVJUHMXYKCUMQA-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3",CCCOCC,1-ethoxypropane,628-32-0,12340,C5H12O,88.15,0.7305,,,,1.376,-20.0,-127.5,63.2,25.0,25.0,,,,-26.5101958,-26.76108688,1.8788644170539508,0.2122145888058192,1.3453728025863814,0.6153263285512227,0.5622347949080625,0.4756516467973328,0.0381895332390381,0.6897689768976898,0.2694269426942694,0.0408040804080408,0.0,6.36232197317797e-10,8.25861146146659e-10,1.2496462740421888e-10,1.0629566698657044e-10,6.247612140742965e-11,7.769471414587385,0.039926484276335,0.6658145322313751,1.1253477231984008,0.0082167426614414,0.1732554722935914,0.0215197537677619,0.0017168519773492,0.0003252979937674,B
19,OFE,Fluorinated,ZNBGTBKGFZMWKR-UHFFFAOYSA-N,"InChI=1S/C7H4F12O/c8-2(9)5(14,15)7(18,19)4(12,13)1-20-6(16,17)3(10)11/h2-3H,1H2",C(C(C(C(C(F)F)(F)F)(F)F)(F)F)OC(C(F)F)(F)F,"1,1,2,2,3,3,4,4-octafluoro-5-(1,1,2,2-tetrafluoroethoxy)pentane",16627-71-7,2782579,C7H4F12O,332.09,1.6621,,,,1.279,45.037,,133.0,20.0,,,,,-19.64808289,-18.74161564,1.905384926247728,0.0001515457668215,1.605930491008284,0.6567993534047285,0.6400282885431403,0.4275611234592847,0.0600121236613457,0.7146714671467147,0.2568256825682568,0.0285028502850285,0.0,3.223508023396726e-10,2.570465807709869e-10,3.296727006712433e-11,3.040716445568766e-11,1.8635557339408598e-11,8.453487372871637,0.0952720750981337,0.6074691035552637,1.4735265386306846,0.0120419075074309,0.0875437837439184,0.0451820241897348,0.0019775268770751,7.802179779314092e-05,B
20,TFEE,Fluorinated,WVRJJXQSRCWPNS-UHFFFAOYSA-N,"InChI=1S/C6H6F8O2/c7-3(8)5(11,12)15-1-2-16-6(13,14)4(9)10/h3-4H,1-2H2",C(COC(C(F)F)(F)F)OC(C(F)F)(F)F,"1,1,2,2-tetrafluoro-1-[2-(1,1,2,2-tetrafluoroethoxy)ethoxy]ethane",358-39-4,15155939,C6H6F8O2,262.1,1.4726,,,,1.3202,45.0,,86.0,25.0,,,,,-22.10741914,-21.93211982,1.9854010911295208,0.0001010305112143,1.5022226712467164,0.64704990907254,0.6502323701757934,0.4321074964639321,0.0716306324510002,0.5079507950795079,0.4104410441044104,0.0807080708070807,0.0009000900090009,3.5523899740024976e-10,3.0775743508905326e-10,4.6291021522134876e-11,4.392553561228968e-11,2.8875761748931928e-11,7.006344505516912,0.1169274517586937,0.6150472709125188,1.4129786303848078,0.0111965981654624,0.174315951359751,0.0618312506457185,0.0045232726330352,0.0014956946033044,B
21,TFEPE,Fluorinated,DEYAWNMYIUDQER-UHFFFAOYSA-N,"InChI=1S/C5H8F4O/c1-2-3-10-5(8,9)4(6)7/h4H,2-3H2,1H3",CCCOC(C(F)F)(F)F,"1-(1,1,2,2-tetrafluoroethoxy)propane",380-48-3,22005454,C5H8F4O,160.11,1.1549,,,,1.3195,-4.5,,71.7,25.0,,,,,-21.35874387,-21.89631383,2.011264902000404,5.051525560719337e-05,1.4925237421701356,0.6459385734491818,0.6351788240048498,0.4559506971105274,0.0640533441099212,0.5103510351035103,0.3804380438043804,0.1092109210921092,0.0,4.92509666534677e-10,7.226255478182231e-10,5.577155422462757e-11,4.6136387730888566e-11,1.8076147543537336e-11,15.662811575827408,0.03301202586831,0.6341890633433742,1.2829641584207896,0.0101036861829027,0.1141239914450014,0.0317834635940411,0.0017180184924253,4.793490417343336e-05,B
