,num_dol,num_dfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_dfep,atoms_tfsi,atoms_ps,atoms_li,count,%
966,6,0,3,1,2,::1O:1O:1O:2O,,1N1O1S:1O:2O1S,,1L:1L,1,0.03000300030003
967,6,0,3,1,2,:1O:1O:1O:1O:2O,,::1N2O1S,,1L:1L,1,0.03000300030003
968,6,0,3,1,2,:1O:1O:1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
969,6,0,2,2,2,:::1O:1O:1O,,1O:1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
970,6,0,2,2,3,:1O:1O:1O:1O:1O,,1O1S:2O1S,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L:1L,1,0.03000300030003
971,6,0,2,2,3,:1O:1O:1O:1O:1O,,1O:2O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
972,6,0,2,2,3,:1O:1O:1O:1O:2O,,1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
973,6,0,2,2,3,::1O:1O:1O:1O,,1N4O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
974,6,0,2,3,1,::::1O:2O,,:,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
975,6,0,2,3,2,:::1O:1O:1O,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
976,6,0,2,3,3,:::1O:1O:1O,,1N2O2S:1O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
977,6,0,3,1,1,::1O:1O:1O:1O,,:2O1S:2O1S,,1L,1,0.03000300030003
978,6,0,3,1,1,::1O:1O:1O:2O,,:1O:1O,,1L,1,0.03000300030003
979,6,0,3,1,1,::1O:1O:1O:2O,,::1O,,1L,1,0.03000300030003
980,6,0,3,1,2,:1O:1O:1O:1O:1O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
981,6,0,3,1,2,:1O:1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
982,6,0,3,1,2,:1O:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,1,0.03000300030003
983,6,0,3,1,2,:1O:1O:1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
984,7,0,0,2,2,:1O:1O:1O:1O:1O:2O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
985,7,0,0,2,2,::1O:1O:1O:1O:2O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
986,5,1,1,2,3,1O:1O:1O:2O:2O,,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
987,7,1,0,1,2,1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
988,7,1,0,1,1,::1O:1O:1O:1O:2O,1O,,,1L,1,0.03000300030003
989,7,1,0,1,1,::1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
990,7,1,0,1,1,:::1O:1O:1O:1O,,,,1L,1,0.03000300030003
991,7,1,0,1,1,:::1O:1O:1O:2O,,,,1L,1,0.03000300030003
992,7,1,0,1,1,:::1O:1O:2O:2O,,,,1L,1,0.03000300030003
993,7,1,0,1,1,::::1O:1O:2O,,,,1L,1,0.03000300030003
994,7,1,0,1,2,1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
995,7,1,1,1,1,::1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
996,7,0,3,1,2,:::1O:1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
997,7,1,1,1,1,:::1O:1O:1O:2O,1O,,,1L,1,0.03000300030003
998,7,1,1,1,1,::::1O:1O:2O,,1O,,1L,1,0.03000300030003
999,7,1,1,1,2,::1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1000,7,1,1,1,2,::1O:1O:1O:1O:2O,,1O,,1L:1L,1,0.03000300030003
