,num_dol,num_tfep,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfep,atoms_tfsi,atoms_ps,atoms_li,count,%
1839,2,3,1,1,1,:1O,::,2O,,1L,1,0.03000300030003
1840,2,3,1,1,1,:1O,::,2O1S,,1L,1,0.03000300030003
1841,2,3,1,2,2,1O:1O,::,1O1S,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1842,2,3,2,1,1,:2O,::,:1O,,1L,1,0.03000300030003
1843,3,0,1,2,2,1O:1O:1O,,1N1O1S,2S:2S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1844,3,0,1,2,2,1O:1O:1O,,1N3O2S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1845,3,0,1,2,2,1O:1O:1O,,1O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1846,3,0,1,2,2,1O:1O:1O,,1O1S,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1847,2,2,2,1,2,:1O,:1O,1O:2O,,1L:1L,1,0.03000300030003
1848,2,2,2,1,2,1O:1O,:,1O:2O,,1L:1L,1,0.03000300030003
1849,2,1,2,1,3,1O:1O,,1O:2O,,1L:1L:1L,1,0.03000300030003
1850,2,2,2,1,1,1O:2O,:,:2O,,1L,1,0.03000300030003
1851,2,1,2,2,2,1O:1O,,1N1O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1852,2,1,2,2,2,1O:1O,,1O1S:2O,1S:2S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
1853,2,1,2,2,2,1O:1O,,1O1S:2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1854,2,1,2,2,2,1O:1O,,1O:2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1855,2,1,2,2,2,1O:2O,1O,1N2O2S:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1856,2,1,2,2,3,1O:1O,,1N2O2S:2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L:1L,1,0.03000300030003
1857,2,1,2,3,2,1O:1O,,1O:1O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1858,2,1,3,1,2,1O:1O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1859,2,1,3,1,2,1O:1O,,1N3O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1860,2,1,3,1,2,1O:1O,,1N3O2S:1O:2O,,1L:1L,1,0.03000300030003
1861,2,1,3,1,2,1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1862,2,1,3,1,2,1O:1O,1O,:1O:1O1S,,1L:1L,1,0.03000300030003
1863,2,1,3,1,2,1O:2O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1864,2,1,3,1,3,1O:1O,,1O:2O1S:2O1S,,1L:1L:1L,1,0.03000300030003
1865,2,2,1,1,1,1O:1O,:1O,1O1S,,1L,1,0.03000300030003
1866,3,0,2,2,2,1O:1O:2O,,1N2O2S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1867,3,0,2,2,2,1O:1O:2O,,1N3O2S:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1868,3,0,4,1,2,1O:1O:1O,,:1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1869,3,0,3,1,2,1O:1O:1O,,:1O:3O1S,,1L:1L,1,0.03000300030003
1870,3,0,3,1,2,1O:1O:2O,,1N2O1S:1O:1O,,1L:1L,1,0.03000300030003
1871,3,0,3,1,2,1O:1O:2O,,1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1872,3,0,3,1,2,1O:1O:2O,,1N3O2S:1O:1O,,1L:1L,1,0.03000300030003
1873,3,0,3,1,2,1O:1O:2O,,1O1S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1874,3,0,3,1,2,1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1875,3,0,3,1,2,1O:1O:2O,,1O:2O1S:3O1S,,1L:1L,1,0.03000300030003
1876,3,0,3,1,2,1O:2O:2O,,1N1O1S:1O:2O1S,,1L:1L,1,0.03000300030003
1877,3,0,3,1,2,1O:2O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1878,3,0,3,1,2,:1O:1O,,1N1O1S:1N1O1S:3O2S,,1L:1L,1,0.03000300030003
1879,3,0,3,1,2,:1O:1O,,1N1O1S:2O:2O2S,,1L:1L,1,0.03000300030003
1880,3,0,3,1,2,:1O:1O,,1N2O2S:1N2O2S:2O,,1L:1L,1,0.03000300030003
1881,3,0,3,1,2,:1O:1O,,1N2O2S:2O1S:2O2S,,1L:1L,1,0.03000300030003
1882,3,0,3,1,2,:1O:1O,,1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
1883,3,0,3,1,2,:1O:1O,,1O:1O1S:2O2S,,1L:1L,1,0.03000300030003
1884,3,0,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1885,3,0,3,1,2,1O:1O:2O,,1N1O2S:1O:1O,,1L:1L,1,0.03000300030003
1886,3,0,3,1,2,1O:1O:1O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1887,3,0,3,1,2,:1O:2O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1888,3,0,3,1,2,1O:1O:1O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1889,3,0,3,1,2,1O:1O:1O,,1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1890,3,0,3,1,2,1O:1O:1O,,1N2O2S:1O:2O,,1L:1L,1,0.03000300030003
1891,3,0,3,1,2,1O:1O:1O,,1N2O2S:1O:2O2S,,1L:1L,1,0.03000300030003
1892,3,0,3,1,2,1O:1O:1O,,1O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
1893,3,0,3,1,2,1O:1O:1O,,1O:1O1S:3O1S,,1L:1L,1,0.03000300030003
1894,3,0,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1895,3,0,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
1896,3,0,3,1,2,1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1897,3,0,3,1,2,1O:1O:1O,,2O1S:2O1S:2O1S,,1L:1L,1,0.03000300030003
1898,3,0,3,1,2,1O:1O:1O,,2O:2O:2O1S,,1L:1L,1,0.03000300030003
1899,3,0,3,1,2,1O:1O:1O,,:1N1O1S:1N3O2S,,1L:1L,1,0.03000300030003
1900,3,0,3,1,2,1O:1O:1O,,:1N1O1S:2O2S,,1L:1L,1,0.03000300030003
