,num_dol,num_tfepe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfepe,atoms_tfsi,atoms_ps,atoms_li,count,%
2221,4,0,1,3,2,::1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2222,4,0,1,3,2,1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2223,4,0,1,3,2,1O:1O:1O:1O,,1N1O1S,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2224,4,0,1,3,2,1O:1O:1O:1O,,1N3O1S,:::::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2225,4,0,1,3,2,1O:1O:1O:1O,,1N3O2S,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2226,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2227,4,0,1,3,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2228,4,0,1,2,2,::1O:2O,,2O2S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2229,4,0,1,2,2,::1O:2O,,2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2230,4,0,1,2,2,::1O:2O,,2O,1S:1S:1S:1S:2S:2S:3S:4S,1L:1L,1,0.03000300030003
2231,4,0,1,2,2,::1O:2O,,2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2232,4,0,1,2,2,::1O:2O,,1N3O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2233,4,0,1,2,2,::1O:1O,,3O2S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2234,4,0,1,2,2,::1O:1O,,3O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2235,4,0,1,2,2,::1O:1O,,2O2S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2236,4,0,1,2,2,::1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
