,num_dol,num_tfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
778,1,2,1,1,2,1O,2O:2O,3O1S,,1L:1L,1,0.03000300030003
779,1,2,1,1,2,1O,2O:2O,1N1O1S,,1L:1L,1,0.03000300030003
780,1,2,1,1,2,1O,2O:2O,,,1L:1L,1,0.03000300030003
781,5,1,1,1,1,:::1O:1O,,1O1S,,1L,1,0.03000300030003
782,1,2,1,1,2,1O,1O:2O,3O1S,,1L:1L,1,0.03000300030003
783,5,1,1,1,1,:::1O:1O,,2O1S,,1L,1,0.03000300030003
784,1,2,1,1,2,1O,1O:2O,2O1S,,1L:1L,1,0.03000300030003
785,5,1,1,1,1,:::1O:1O,2O,,,1L,1,0.03000300030003
786,1,2,2,1,1,,:2O,:1O,,1L,1,0.03000300030003
787,1,2,2,1,2,,1O:2O,1O:2O1S,,1L:1L,1,0.03000300030003
788,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
789,5,0,3,1,2,::1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
790,5,0,2,1,2,:1O:1O:1O:1O,,1N1O:1O,,1L:1L,1,0.03000300030003
791,5,0,2,1,2,:1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,1,0.03000300030003
792,1,3,0,1,2,,::2O,,,1L:1L,1,0.03000300030003
793,1,2,3,1,2,1O,:2O,1O:1O:1O,,1L:1L,1,0.03000300030003
794,5,0,2,1,2,:1O:1O:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
795,1,2,2,1,2,1O,:2O,1N2O2S:1O,,1L:1L,1,0.03000300030003
796,1,2,2,1,2,1O,2O:2O,:2O1S,,1L:1L,1,0.03000300030003
797,5,0,2,1,2,:1O:1O:1O:2O,,2O:2O1S,,1L:1L,1,0.03000300030003
798,5,0,2,1,2,::1O:1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
799,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
800,5,0,3,2,2,:1O:1O:1O:1O,,:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
801,1,2,2,1,2,,2O:2O,1O:2O1S,,1L:1L,1,0.03000300030003
802,5,1,0,1,1,1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
803,1,2,2,1,2,1O,2O:2O,1O:2O1S,,1L:1L,1,0.03000300030003
804,5,1,0,1,1,:1O:1O:1O:1O,2O,,,1L,1,0.03000300030003
805,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,1,0.03000300030003
806,1,2,2,1,2,1O,2O:2O,1N2O1S:1O,,1L:1L,1,0.03000300030003
807,1,2,2,1,2,1O,1O:2O,:2O1S,,1L:1L,1,0.03000300030003
808,1,2,2,1,2,,2O:2O,:2O,,1L:1L,1,0.03000300030003
809,5,1,0,1,1,::1O:1O:2O,,,,1L,1,0.03000300030003
810,5,1,0,1,1,::1O:1O:2O,1O,,,1L,1,0.03000300030003
811,5,1,0,1,1,:::1O:1O,,,,1L,1,0.03000300030003
812,4,1,0,2,1,::1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
813,4,1,0,1,1,::1O:1O,,,,1L,1,0.03000300030003
814,4,1,0,2,1,:1O:1O:1O,,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
815,2,2,2,1,2,:1O,2O:2O,1N2O2S:1O,,1L:1L,1,0.03000300030003
816,3,1,1,2,2,1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
817,3,1,1,2,2,1O:1O:1O,,2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
818,3,1,1,2,2,1O:1O:1O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
819,3,1,1,2,2,1O:1O:1O,2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
820,3,1,1,2,2,:1O:1O,1O,2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
821,3,1,1,2,2,:1O:1O,1O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
822,3,1,1,2,2,:1O:1O,2O,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
823,3,1,1,2,2,::1O,2O,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
824,3,1,2,1,1,:1O:1O,,1N1O1S:1O,,1L,1,0.03000300030003
825,3,1,2,1,1,:1O:1O,,1O:1O,,1L,1,0.03000300030003
826,3,1,2,1,1,:1O:1O,1O,1O:1O,,1L,1,0.03000300030003
827,3,1,1,2,1,::,2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
828,3,1,2,1,1,::1O,,:1O,,1L,1,0.03000300030003
829,3,1,2,1,1,::1O,2O,:,,1L,1,0.03000300030003
830,3,1,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
831,3,1,2,1,2,1O:1O:1O,,2O:2O1S,,1L:1L,1,0.03000300030003
832,3,1,2,1,2,1O:1O:1O,,2O:3O1S,,1L:1L,1,0.03000300030003
833,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,1,0.03000300030003
834,2,2,2,1,2,:1O,1O:2O,1O:1O,,1L:1L,1,0.03000300030003
835,2,2,2,1,2,1O:2O,:2O,:2O,,1L:1L,1,0.03000300030003
836,3,1,2,1,2,1O:1O:1O,2O,1O:2O,,1L:1L,1,0.03000300030003
837,3,1,2,1,2,1O:1O:1O,2O,1O:2O1S,,1L:1L,1,0.03000300030003
838,3,1,1,2,1,::1O,1O,2O,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
839,3,1,1,2,1,:1O:2O,2O,1O,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
840,3,1,2,1,2,1O:1O:2O,,1N4O2S:1O,,1L:1L,1,0.03000300030003
841,3,1,1,1,2,1O:1O:2O,2O,1O1S,,1L:1L,1,0.03000300030003
842,3,1,1,1,2,1O:1O:1O,,1N3O1S,,1L:1L,1,0.03000300030003
843,3,1,1,1,2,1O:1O:1O,1O,2O,,1L:1L,1,0.03000300030003
844,3,1,1,1,2,1O:1O:1O,2O,,,1L:1L,1,0.03000300030003
845,2,3,0,1,1,1O:1O,::1O,,,1L,1,0.03000300030003
846,3,1,1,1,2,1O:1O:1O,2O,1O1S,,1L:1L,1,0.03000300030003
847,2,3,0,1,1,1O:1O,::,,,1L,1,0.03000300030003
848,3,1,1,1,2,1O:1O:1O,2O,3O1S,,1L:1L,1,0.03000300030003
849,3,1,1,1,2,1O:1O:1O,2O,3O2S,,1L:1L,1,0.03000300030003
850,3,1,1,1,2,1O:1O:2O,1O,2O1S,,1L:1L,1,0.03000300030003
851,2,2,3,1,2,1O:2O,:2O,:1O:1O,,1L:1L,1,0.03000300030003
852,3,1,1,1,2,1O:1O:2O,2O,2O,,1L:1L,1,0.03000300030003
853,3,1,1,2,1,1O:1O:1O,1O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
854,3,1,1,1,2,:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
855,3,1,1,1,2,:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
856,3,1,1,1,2,:1O:1O,2O,1N1O1S,,1L:1L,1,0.03000300030003
857,3,1,1,1,2,:1O:1O,2O,1N2O1S,,1L:1L,1,0.03000300030003
858,3,1,1,1,2,:1O:1O,2O,1N3O2S,,1L:1L,1,0.03000300030003
859,3,1,1,1,2,:1O:1O,2O,1O,,1L:1L,1,0.03000300030003
860,2,2,2,2,2,1O:1O,:2O,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
861,2,2,2,1,2,:1O,:2O,1O:2O1S,,1L:1L,1,0.03000300030003
862,3,1,1,1,2,:1O:1O,2O,3O1S,,1L:1L,1,0.03000300030003
863,3,1,1,1,2,:1O:1O,2O,3O2S,,1L:1L,1,0.03000300030003
864,3,1,2,1,2,1O:1O:1O,2O,:2O,,1L:1L,1,0.03000300030003
865,3,1,2,1,2,1O:1O:2O,2O,1O:1O,,1L:1L,1,0.03000300030003
866,3,2,0,2,2,:1O:1O,:1O,,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
867,3,2,0,2,1,1O:1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
868,2,2,1,2,2,:1O,:2O,,1S:1S:2S:2S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
869,2,2,1,2,2,:1O,2O:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
870,2,2,1,2,2,1O:1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
871,2,2,1,2,2,1O:1O,:2O,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
872,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,1,0.03000300030003
873,2,2,1,2,1,:1O,:,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
874,2,2,1,2,1,:,:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
875,3,2,0,1,2,:1O:1O,:2O,,,1L:1L,1,0.03000300030003
876,2,2,1,2,1,1O:1O,:,3O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
877,3,2,0,1,2,::1O,2O:2O,,,1L:1L,1,0.03000300030003
878,3,2,0,2,1,:1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
879,3,2,0,1,1,::2O,:1O,,,1L,1,0.03000300030003
880,3,2,0,2,1,:1O:1O,:,,2S:2S:2S:3S:3S:3S:4S:4S,1L,1,0.03000300030003
881,3,2,0,2,1,:1O:1O,:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
882,3,2,0,2,1,:1O:1O,:2O,,1S:1S:1S:1S:2S:2S:3S:3S,1L,1,0.03000300030003
883,3,2,0,2,1,:1O:2O,:,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
884,2,2,1,2,1,1O:1O,:,1O,1S:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
885,3,2,0,2,1,::1O,:,,2S:2S:2S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
886,3,2,0,2,1,::1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
887,3,2,0,2,2,1O:1O:1O,:1O,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
888,2,2,1,1,2,:1O,:2O,2O,,1L:1L,1,0.03000300030003
889,3,2,0,2,2,1O:1O:2O,1O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
890,2,2,1,2,2,:1O,:2O,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
891,3,2,0,1,1,::2O,1O:2O,,,1L,1,0.03000300030003
892,2,2,2,1,2,1O:1O,:2O,1O:1O,,1L:1L,1,0.03000300030003
893,3,2,0,1,1,:1O:1O,1O:2O,,,1L,1,0.03000300030003
894,3,1,2,1,2,:1O:1O,2O,1O:2O1S,,1L:1L,1,0.03000300030003
895,3,1,2,2,2,:1O:1O,2O,:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
896,3,1,3,1,2,1O:1O:1O,,1O:1O:1O,,1L:1L,1,0.03000300030003
897,3,1,3,1,2,1O:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
898,3,1,3,1,2,1O:1O:1O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
899,3,1,3,1,2,:1O:1O,,1O:1O:2O,,1L:1L,1,0.03000300030003
900,3,1,3,1,2,::1O,2O,1O:1O:2O,,1L:1L,1,0.03000300030003
901,2,2,2,1,2,1O:1O,1O:2O,:1O,,1L:1L,1,0.03000300030003
902,2,2,2,1,1,:1O,:2O,:,,1L,1,0.03000300030003
903,3,2,0,1,1,1O:1O:2O,:,,,1L,1,0.03000300030003
904,2,2,2,1,1,:1O,:1O,1O:1O,,1L,1,0.03000300030003
905,2,2,1,2,3,1O:1O,:1O,2O,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
906,2,2,2,1,1,:,1O:2O,1O:2O,,1L,1,0.03000300030003
907,2,2,2,1,1,1O:1O,:1O,:1O,,1L,1,0.03000300030003
908,2,2,2,1,1,1O:1O,:,:2O1S,,1L,1,0.03000300030003
909,3,2,0,1,1,:1O:2O,:1O,,,1L,1,0.03000300030003
910,3,2,0,1,1,:1O:2O,:2O,,,1L,1,0.03000300030003
911,2,2,2,1,1,1O:1O,:,1O:1O,,1L,1,0.03000300030003
912,3,2,0,1,1,::1O,1O:1O,,,1L,1,0.03000300030003
913,2,2,2,1,1,1O:1O,1O:2O,:,,1L,1,0.03000300030003
914,3,2,0,1,1,::1O,2O:2O,,,1L,1,0.03000300030003
915,3,2,0,1,1,::1O,:1O,,,1L,1,0.03000300030003
916,3,1,1,1,1,::2O,,2O,,1L,1,0.03000300030003
917,2,3,0,1,1,1O:2O,::2O,,,1L,1,0.03000300030003
918,2,3,0,1,1,:2O,::2O,,,1L,1,0.03000300030003
919,2,4,1,1,1,1O:1O,:::2O,1O,,1L,1,0.03000300030003
920,2,4,0,1,1,:,::1O:2O,,,1L,1,0.03000300030003
921,2,3,1,1,1,1O:1O,::1O,3O,,1L,1,0.03000300030003
922,2,4,0,1,1,:1O,:::1O,,,1L,1,0.03000300030003
923,2,3,1,1,1,1O:1O,::,3O1S,,1L,1,0.03000300030003
924,2,4,0,1,2,1O:2O,::2O:2O,,,1L:1L,1,0.03000300030003
925,2,4,0,1,2,:1O,:1O:2O:2O,,,1L:1L,1,0.03000300030003
926,2,4,0,2,1,:,:::2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
927,2,4,0,2,1,:1O,:::2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
928,2,4,0,2,1,:1O,:::2O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
929,2,4,1,1,1,1O:1O,:::,2O,,1L,1,0.03000300030003
930,2,3,1,1,1,1O:1O,::,2O,,1L,1,0.03000300030003
931,2,4,0,1,1,1O:2O,:::2O,,,1L,1,0.03000300030003
932,2,4,1,1,2,1O:1O,:::2O,2O,,1L:1L,1,0.03000300030003
933,2,5,1,1,1,:,::::2O,1O,,1L,1,0.03000300030003
934,3,0,1,1,1,:1O:1O,,2O,,1L,1,0.03000300030003
935,3,0,1,2,2,1O:1O:1O,,1N4O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
936,3,0,1,2,2,1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
937,3,0,2,1,1,:1O:1O,,1O1S:2O,,1L,1,0.03000300030003
938,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
939,3,0,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,1,0.03000300030003
940,3,0,2,1,2,1O:1O:1O,,2O:2O1S,,1L:1L,1,0.03000300030003
941,3,0,2,1,2,1O:1O:2O,,1O:1O,,1L:1L,1,0.03000300030003
942,2,4,0,1,1,:,::1O:1O,,,1L,1,0.03000300030003
943,2,3,1,1,1,1O:2O,::1O,1O,,1L,1,0.03000300030003
944,3,1,1,1,1,::1O,1O,,,1L,1,0.03000300030003
945,2,3,1,1,1,:,:1O:2O,2O,,1L,1,0.03000300030003
946,2,3,1,1,1,:1O,::,1O,,1L,1,0.03000300030003
947,2,3,1,1,1,:1O,::,2O,,1L,1,0.03000300030003
948,2,3,1,1,1,:1O,::1O,1O,,1L,1,0.03000300030003
949,2,3,1,1,1,:1O,::1O,2O,,1L,1,0.03000300030003
950,2,3,1,1,1,:,::1O,1O1S,,1L,1,0.03000300030003
951,2,3,1,1,1,:,::,1O,,1L,1,0.03000300030003
952,2,3,1,1,1,:1O,::2O,2O,,1L,1,0.03000300030003
953,2,3,1,1,1,:1O,::2O,2O1S,,1L,1,0.03000300030003
954,2,3,1,1,1,:,:2O:2O,,,1L,1,0.03000300030003
955,2,3,1,1,2,1O:1O,:2O:2O,,,1L:1L,1,0.03000300030003
956,2,3,1,1,2,1O:1O,:2O:2O,2O,,1L:1L,1,0.03000300030003
