,num_dol,num_dbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dbe,atoms_tfsi,atoms_ps,atoms_li,count,%
87,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
88,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
89,5,0,0,2,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,5,0.15001500150015
90,3,2,0,1,1,:1O:1O,:1O,,,1L,5,0.15001500150015
91,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
92,5,0,1,1,2,:1O:1O:1O:2O,,2O,,1L:1L,5,0.15001500150015
93,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
94,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
95,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
96,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
97,2,1,3,1,2,1O:1O,,1N1O1S:1O:1O,,1L:1L,5,0.15001500150015
98,4,0,2,1,2,1O:1O:1O:1O,,:2O,,1L:1L,4,0.12001200120012
99,7,0,1,1,2,::1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
100,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,4,0.12001200120012
101,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
102,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O,,1L:1L,4,0.12001200120012
103,3,0,4,1,2,1O:1O:1O,,1O:1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
104,6,1,1,1,1,::::1O:1O,,1O,,1L,4,0.12001200120012
105,8,0,0,1,1,::1O:1O:1O:1O:1O:1O,,,,1L,4,0.12001200120012
106,3,0,4,1,2,1O:1O:1O,,:1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
107,5,1,1,1,2,:1O:1O:1O:1O,1O,1O,,1L:1L,4,0.12001200120012
108,3,2,0,2,2,1O:1O:1O,:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
109,4,0,3,1,2,:1O:1O:1O,,1O:2O:2O1S,,1L:1L,4,0.12001200120012
110,6,1,0,1,1,:::1O:1O:2O,,,,1L,4,0.12001200120012
111,4,1,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
112,4,2,0,1,1,:::1O,:1O,,,1L,4,0.12001200120012
113,7,1,0,1,1,:::1O:1O:1O:1O,,,,1L,4,0.12001200120012
114,4,1,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
115,4,1,1,1,1,::1O:1O,,1O,,1L,4,0.12001200120012
116,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
117,3,0,3,1,2,1O:1O:1O,,1O:1O1S:2O,,1L:1L,4,0.12001200120012
