,num_dol,num_dipe,num_tfsi,num_ps,num_li,atoms_dol,atoms_dipe,atoms_tfsi,atoms_ps,atoms_li,count,%
1761,4,0,3,2,2,:1O:1O:2O,,1O:1O:2O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1762,4,0,3,2,2,:1O:1O:2O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1763,4,0,3,2,2,:1O:1O:1O,,:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1764,4,0,3,2,2,:1O:1O:1O,,:1N3O2S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1765,4,0,3,2,2,:1O:1O:1O,,:1N2O1S:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1766,4,0,3,2,2,:1O:1O:1O,,1O:2O1S:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1767,4,0,3,2,2,:1O:1O:1O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1768,4,0,3,2,2,:1O:1O:1O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1769,4,0,3,2,2,:1O:1O:1O,,1N2O1S:1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1770,4,0,3,2,2,1O:1O:1O:1O,,:1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1771,4,0,3,2,2,1O:1O:1O:1O,,1O:1O:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1772,4,0,3,2,2,1O:1O:1O:1O,,1O:1O:1O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1773,4,0,3,1,2,:1O:1O:1O,,1O1S:2O:2O1S,,1L:1L,1,0.03000300030003
1774,4,0,3,1,2,:1O:1O:1O,,1O1S:2O:2O,,1L:1L,1,0.03000300030003
1775,4,0,3,1,2,:1O:1O:1O,,1N4O2S:1O:2O,,1L:1L,1,0.03000300030003
1776,4,0,3,1,2,1O:1O:1O:1O,,1N3O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1777,4,0,3,1,2,1O:1O:1O:1O,,1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1778,4,0,3,1,2,1O:1O:1O:1O,,1N1O:1O:1O,,1L:1L,1,0.03000300030003
1779,4,0,3,1,1,::1O:1O,,:1O:2O1S,,1L,1,0.03000300030003
1780,4,0,3,1,1,::1O:1O,,:1O:2O,,1L,1,0.03000300030003
1781,4,0,2,3,3,:1O:1O:1O,,2O1S:2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1782,4,0,2,3,2,::1O:1O,,:1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1783,4,0,2,2,3,::1O:1O,,1N2O1S:1N2O2S,::1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1784,4,0,2,2,2,::1O:1O,,1O:2O2S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1785,4,0,2,2,2,::1O:1O,,1O:2O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1786,4,0,2,2,2,:1O:1O:2O,,:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1787,4,0,2,2,2,:1O:1O:2O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1788,4,0,2,2,2,:1O:1O:2O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1789,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1790,4,0,2,2,2,:1O:1O:1O,,1O:3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1791,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1792,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1793,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1794,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1795,4,0,2,2,2,:1O:1O:1O,,1O:2O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1796,4,0,2,2,2,:1O:1O:1O,,1O:2O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1797,4,0,2,2,2,:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1798,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1799,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1800,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1801,4,0,2,2,2,:1O:1O:1O,,1O1S:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1802,4,0,2,2,2,:1O:1O:1O,,1O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1803,4,0,2,2,2,:1O:1O:1O,,1O1S:2O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1804,4,0,3,1,2,1O:1O:1O:1O,,1N2O2S:1O:2O,,1L:1L,1,0.03000300030003
1805,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
1806,4,0,3,1,2,:1O:1O:1O,,1N4O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1807,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:3O2S,,1L:1L,1,0.03000300030003
1808,4,0,3,1,2,:1O:1O:1O,,1N3O2S:1O:2O1S,,1L:1L,1,0.03000300030003
1809,4,0,3,1,2,:1O:1O:1O,,1N3O2S:1O1S:1O1S,,1L:1L,1,0.03000300030003
1810,4,0,3,1,2,:1O:1O:1O,,1N3O1S:1O:1O,,1L:1L,1,0.03000300030003
1811,4,0,3,1,2,:1O:1O:1O,,1N2O2S:1O:2O,,1L:1L,1,0.03000300030003
1812,4,0,3,1,2,:1O:1O:1O,,1N2O1S:1O:2O1S,,1L:1L,1,0.03000300030003
1813,4,0,3,1,2,:1O:1O:1O,,1N1O:1N2O:1O,,1L:1L,1,0.03000300030003
1814,4,0,3,1,2,1O:1O:2O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
1815,4,0,3,1,2,1O:1O:2O:2O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1816,4,0,3,1,2,1O:1O:1O:2O,,:1O:3O1S,,1L:1L,1,0.03000300030003
1817,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O1S,,1L:1L,1,0.03000300030003
1818,4,0,3,1,2,1O:1O:1O:2O,,:1O:2O,,1L:1L,1,0.03000300030003
1819,4,0,3,1,2,1O:1O:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
1820,4,0,3,1,2,1O:1O:1O:2O,,:1O1S:2O,,1L:1L,1,0.03000300030003
1821,4,0,3,1,2,1O:1O:1O:2O,,:1N3O2S:1O,,1L:1L,1,0.03000300030003
1822,4,0,3,1,2,1O:1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1823,4,0,3,1,2,1O:1O:1O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1824,4,0,3,1,2,1O:1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1825,4,0,3,1,2,1O:1O:1O:2O,,1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
