,num_dol,num_dma,num_tfsi,num_ps,num_li,atoms_dol,atoms_dma,atoms_tfsi,atoms_ps,atoms_li,count,%
114,0,6,0,1,1,,:::1O:1O:1O,,,1L,8,0.24002400240024
115,0,3,0,1,1,,::1O,,,1L,8,0.24002400240024
116,3,4,0,1,2,:1O:1O,:1O:1O:1O,,,1L:1L,7,0.21002100210021
117,0,6,0,1,2,,:1O:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
118,1,3,1,1,2,1O,1O:1O:1O,1O,,1L:1L,7,0.21002100210021
119,4,0,1,1,1,::1O:1O,,1O,,1L,7,0.21002100210021
120,2,4,0,1,1,1O:1O,:::1O,,,1L,7,0.21002100210021
121,0,5,0,1,1,,::::1O,,,1L,7,0.21002100210021
122,2,5,0,1,2,:,1O:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
123,2,4,0,1,1,:,:::1O,,,1L,7,0.21002100210021
124,3,3,0,1,1,::,::1O,,,1L,7,0.21002100210021
125,0,5,0,1,2,,:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
126,3,2,1,1,1,::,:1O,1O,,1L,7,0.21002100210021
127,3,4,0,1,1,::,:1O:1O:1O,,,1L,7,0.21002100210021
128,5,2,0,1,1,::::1O,:1O,,,1L,7,0.21002100210021
129,1,3,0,1,1,,1O:1O:1O,,,1L,6,0.18001800180018
130,4,1,1,1,1,:::1O,1O,1O,,1L,6,0.18001800180018
131,2,3,0,1,2,:,1O:1O:1O,,,1L:1L,6,0.18001800180018
132,4,3,0,1,1,:::,:1O:1O,,,1L,6,0.18001800180018
133,4,0,0,1,1,::1O:1O,,,,1L,6,0.18001800180018
134,2,4,0,1,2,:1O,:1O:1O:1O,,,1L:1L,6,0.18001800180018
135,4,3,0,1,1,:::1O,::1O,,,1L,6,0.18001800180018
136,3,3,0,1,0,::,::,,,,6,0.18001800180018
137,2,3,0,1,0,:,::,,,,6,0.18001800180018
138,5,1,0,1,1,::::1O,1O,,,1L,6,0.18001800180018
139,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,6,0.18001800180018
140,2,5,0,1,2,:1O,:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
141,3,3,0,1,1,::1O,::,,,1L,6,0.18001800180018
142,2,3,1,1,2,:1O,1O:1O:1O,1O,,1L:1L,6,0.18001800180018
143,2,2,1,1,2,:1O,1O:1O,1O,,1L:1L,6,0.18001800180018
144,2,3,0,1,1,:1O,::,,,1L,6,0.18001800180018
145,5,2,0,1,1,::::1O,1O:1O,,,1L,6,0.18001800180018
146,4,1,1,1,2,:1O:1O:1O,1O,1O,,1L:1L,5,0.15001500150015
147,0,3,0,1,1,,:1O:1O,,,1L,5,0.15001500150015
148,0,4,0,1,1,,:1O:1O:1O,,,1L,5,0.15001500150015
149,5,0,0,1,1,::1O:1O:1O,,,,1L,5,0.15001500150015
150,3,3,1,1,1,::1O,::1O,1O,,1L,5,0.15001500150015
151,4,1,1,1,1,::1O:1O,,1O,,1L,5,0.15001500150015
152,3,2,1,1,2,:1O:1O,1O:1O,1O,,1L:1L,5,0.15001500150015
153,2,3,1,1,1,:,:1O:1O,1O,,1L,5,0.15001500150015
154,1,4,1,1,1,1O,:::1O,1O,,1L,5,0.15001500150015
155,4,2,0,1,0,:::,:,,,,5,0.15001500150015
156,1,5,0,1,1,,::::1O,,,1L,5,0.15001500150015
157,2,2,0,2,1,:1O,:1O,,:::1S:1S:2S:2S:2S,1L,5,0.15001500150015
158,1,2,1,1,2,1O,1O:1O,1O,,1L:1L,5,0.15001500150015
159,1,2,0,1,1,,1O:1O,,,1L,5,0.15001500150015
160,4,0,0,1,1,:::1O,,,,1L,5,0.15001500150015
161,4,1,0,1,1,:1O:1O:1O,1O,,,1L,5,0.15001500150015
162,3,2,1,1,1,:1O:1O,:,1O,,1L,5,0.15001500150015
163,2,4,1,1,2,:1O,1O:1O:1O:1O,1O,,1L:1L,5,0.15001500150015
164,2,3,1,1,2,1O:1O,::1O,1O,,1L:1L,5,0.15001500150015
165,1,6,0,1,2,,:1O:1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
166,2,2,0,1,0,:,:,,,,5,0.15001500150015
167,1,3,0,1,1,1O,::,,,1L,5,0.15001500150015
168,4,2,0,1,1,:::,1O:1O,,,1L,5,0.15001500150015
169,1,2,1,1,1,,:1O,1O,,1L,5,0.15001500150015
170,2,2,0,1,2,1O:1O,:1O,,,1L:1L,4,0.12001200120012
171,5,1,0,1,1,::1O:1O:1O,,,,1L,4,0.12001200120012
172,2,5,0,1,1,:,::::1O,,,1L,4,0.12001200120012
173,2,1,0,1,2,1O:1O,1O,,,1L:1L,4,0.12001200120012
174,2,1,1,1,1,:1O,,1O,,1L,4,0.12001200120012
175,1,2,1,1,1,1O,:1O,1O,,1L,4,0.12001200120012
176,3,4,0,1,1,::,::1O:1O,,,1L,4,0.12001200120012
177,2,1,0,1,1,:,1O,,,1L,4,0.12001200120012
178,0,3,0,1,2,,1O:1O:1O,,,1L:1L,4,0.12001200120012
179,3,2,0,1,2,::1O,1O:1O,,,1L:1L,4,0.12001200120012
180,3,0,1,1,1,::1O,,1O,,1L,4,0.12001200120012
181,4,3,0,1,1,:::,1O:1O:1O,,,1L,4,0.12001200120012
182,0,6,0,1,1,,::::1O:1O,,,1L,4,0.12001200120012
183,0,5,0,1,2,,::1O:1O:1O,,,1L:1L,4,0.12001200120012
184,3,4,0,1,1,::1O,:::1O,,,1L,4,0.12001200120012
185,3,2,1,1,1,::1O,:,1O,,1L,4,0.12001200120012
186,5,0,1,1,1,:::1O:1O,,1O,,1L,4,0.12001200120012
187,2,3,1,1,2,1O:1O,:1O:1O,1O,,1L:1L,4,0.12001200120012
