,num_dol,num_ttfp,num_tfsi,num_ps,num_li,atoms_dol,atoms_ttfp,atoms_tfsi,atoms_ps,atoms_li,count,%
30,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
31,0,3,2,1,2,,:3O:3O,1O:1O,,1L:1L,7,0.21002100210021
32,4,2,0,1,1,:::1O,:2O,,,1L,7,0.21002100210021
33,2,2,2,1,2,:1O,2O:3O,1O:1O,,1L:1L,7,0.21002100210021
34,2,3,0,1,1,:1O,:1O:2O,,,1L,7,0.21002100210021
35,3,1,1,3,2,1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
36,5,1,0,1,1,::1O:1O:1O,,,,1L,7,0.21002100210021
37,3,3,0,1,1,::1O,::2O,,,1L,7,0.21002100210021
38,3,1,1,2,2,:1O:1O,2O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
39,4,1,1,1,1,:1O:1O:1O,,1O,,1L,7,0.21002100210021
40,3,2,0,1,2,:1O:1O,2O:3O,,,1L:1L,7,0.21002100210021
41,2,3,0,1,1,1O:1O,::2O,,,1L,6,0.18001800180018
42,3,1,2,1,2,1O:1O:1O,2O,1O:1O,,1L:1L,6,0.18001800180018
43,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,6,0.18001800180018
44,0,3,2,1,2,,:2O:3O,1O:1O,,1L:1L,6,0.18001800180018
45,2,2,0,1,2,1O:1O,2O:3O,,,1L:1L,6,0.18001800180018
46,3,2,0,2,2,1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
47,3,1,1,1,2,1O:1O:1O,3O,2O,,1L:1L,6,0.18001800180018
48,3,2,1,2,2,:1O:1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,6,0.18001800180018
49,2,2,0,1,1,1O:1O,:2O,,,1L,6,0.18001800180018
50,4,1,1,1,2,:1O:1O:1O,2O,2O,,1L:1L,6,0.18001800180018
51,4,2,0,2,2,:1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
52,1,3,0,1,1,1O,::2O,,,1L,6,0.18001800180018
53,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
54,4,1,0,2,1,:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
55,4,1,0,3,2,1O:1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,6,0.18001800180018
56,5,1,0,1,1,:::1O:1O,2O,,,1L,6,0.18001800180018
57,4,2,0,1,1,:1O:1O:1O,:2O,,,1L,6,0.18001800180018
58,4,2,0,1,1,:1O:1O:1O,:,,,1L,6,0.18001800180018
59,2,3,1,1,1,1O:1O,::2O,,,1L,6,0.18001800180018
60,2,1,2,1,2,1O:1O,2O,1O:2O1S,,1L:1L,6,0.18001800180018
61,5,1,1,1,1,::1O:1O:1O,,1O,,1L,6,0.18001800180018
62,2,2,1,1,2,1O:1O,1O:3O,1O,,1L:1L,6,0.18001800180018
63,3,2,0,1,2,1O:1O:1O,2O:2O,,,1L:1L,5,0.15001500150015
64,3,1,0,3,2,1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
65,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
66,4,1,1,3,2,:1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
67,3,1,1,1,2,1O:1O:2O,3O,1O,,1L:1L,5,0.15001500150015
68,5,1,0,2,1,:::1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,5,0.15001500150015
69,3,2,0,1,1,1O:1O:1O,:,,,1L,5,0.15001500150015
70,1,2,2,1,2,1O,2O:3O,1O:2O,,1L:1L,5,0.15001500150015
71,5,2,0,1,1,::::1O,:2O,,,1L,5,0.15001500150015
72,4,1,2,1,2,1O:1O:1O:1O,2O,:1O,,1L:1L,5,0.15001500150015
73,1,2,0,1,1,1O,:3O,,,1L,5,0.15001500150015
74,1,3,1,1,1,1O,:1O:2O,1O,,1L,5,0.15001500150015
75,4,1,0,1,2,1O:1O:1O:2O,3O,,,1L:1L,5,0.15001500150015
76,4,3,0,1,1,::1O:1O,::2O,,,1L,5,0.15001500150015
77,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
78,2,2,1,1,2,1O:1O,2O:2O,2O1S,,1L:1L,5,0.15001500150015
79,5,2,0,2,1,:::1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,5,0.15001500150015
80,2,3,0,2,1,1O:1O,::,,1S:1S:1S:1S:2S:2S:2S:3S,1L,5,0.15001500150015
81,2,2,0,1,1,1O:1O,1O:2O,,,1L,5,0.15001500150015
82,2,2,1,1,2,1O:1O,2O:2O,,,1L:1L,5,0.15001500150015
83,3,2,1,1,1,:1O:1O,:2O,,,1L,5,0.15001500150015
84,2,3,1,1,1,:1O,::2O,1O,,1L,5,0.15001500150015
85,2,1,1,2,2,1O:1O,3O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
86,2,1,1,2,2,1O:1O,2O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
87,1,3,0,1,1,,::3O,,,1L,5,0.15001500150015
88,1,2,2,1,2,1O,3O:3O,1O:1O,,1L:1L,5,0.15001500150015
89,3,2,1,1,1,::1O,:3O,2O,,1L,5,0.15001500150015
90,4,1,0,1,1,::1O:1O,2O,,,1L,5,0.15001500150015
91,0,3,2,1,2,,:2O:3O,1O:2O1S,,1L:1L,5,0.15001500150015
92,4,1,0,1,1,::1O:1O,3O,,,1L,5,0.15001500150015
93,2,2,1,1,2,1O:1O,2O:3O,2O,,1L:1L,5,0.15001500150015
94,3,1,1,1,2,1O:1O:1O,2O,2O,,1L:1L,5,0.15001500150015
95,3,2,1,1,2,:1O:1O,2O:3O,1O,,1L:1L,5,0.15001500150015
96,2,3,1,1,1,1O:1O,::2O,1O,,1L,4,0.12001200120012
97,1,3,1,1,2,1O,:2O:3O,1O,,1L:1L,4,0.12001200120012
98,3,2,1,1,2,1O:1O:1O,2O:2O,1O,,1L:1L,4,0.12001200120012
99,3,0,1,2,2,:1O:1O,,2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,4,0.12001200120012
100,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
101,0,2,2,1,2,,3O:3O,1O:1O,,1L:1L,4,0.12001200120012
102,3,2,1,1,2,1O:1O:1O,:3O,1O,,1L:1L,4,0.12001200120012
103,2,3,0,1,1,1O:1O,:1O:2O,,,1L,4,0.12001200120012
104,3,2,1,1,2,::1O,2O:3O,2O,,1L:1L,4,0.12001200120012
105,4,1,1,1,2,1O:1O:1O:1O,2O,2O1S,,1L:1L,4,0.12001200120012
106,1,2,2,1,2,,2O:2O,2O1S:2O1S,,1L:1L,4,0.12001200120012
107,3,2,2,1,2,1O:1O:1O,:2O,1O:1O,,1L:1L,4,0.12001200120012
108,4,1,1,1,2,1O:1O:1O:2O,3O,1O,,1L:1L,4,0.12001200120012
109,5,2,0,1,1,::1O:1O:1O,:,,,1L,4,0.12001200120012
110,4,1,1,1,1,::1O:1O,2O,1O,,1L,4,0.12001200120012
111,2,3,0,2,1,1O:1O,::1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,4,0.12001200120012
112,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
113,5,1,1,1,2,:1O:1O:1O:1O,3O,1O,,1L:1L,4,0.12001200120012
114,2,3,0,2,1,1O:1O,::,,2S:2S:2S:2S:2S:2S:3S:3S,1L,4,0.12001200120012
115,3,2,1,1,2,:1O:1O,2O:2O,2O,,1L:1L,4,0.12001200120012
116,1,2,1,2,2,,2O:3O,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
117,4,1,1,1,1,::1O:1O,2O,,,1L,4,0.12001200120012
118,2,3,0,1,1,:1O,::3O,,,1L,4,0.12001200120012
119,3,2,1,1,2,:1O:1O,1O:2O,1O,,1L:1L,4,0.12001200120012
120,2,3,0,1,1,:,::3O,,,1L,4,0.12001200120012
121,1,3,0,1,1,1O,:1O:3O,,,1L,4,0.12001200120012
122,4,2,0,2,1,::1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,4,0.12001200120012
123,2,2,1,1,2,1O:1O,2O:2O,2O,,1L:1L,4,0.12001200120012
124,1,2,2,1,2,1O,2O:3O,:1O,,1L:1L,4,0.12001200120012
125,3,0,1,3,2,1O:1O:1O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
126,5,1,0,1,1,::::1O,2O,,,1L,4,0.12001200120012
127,4,2,0,1,1,:::1O,:3O,,,1L,4,0.12001200120012
128,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
129,4,1,0,1,2,1O:1O:1O:1O,2O,,,1L:1L,4,0.12001200120012
130,3,1,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
131,3,1,2,1,2,:1O:1O,3O,1O:1O1S,,1L:1L,4,0.12001200120012
132,2,2,1,1,2,:1O,2O:3O,1O,,1L:1L,4,0.12001200120012
133,4,1,0,1,1,:::1O,2O,,,1L,4,0.12001200120012
134,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
135,2,2,1,2,2,1O:1O,:2O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
136,3,1,2,1,2,:1O:1O,2O,1O:2O,,1L:1L,4,0.12001200120012
137,5,1,0,1,2,:1O:1O:1O:1O,3O,,,1L:1L,4,0.12001200120012
138,0,3,2,1,2,,:2O:2O,1O:2O1S,,1L:1L,4,0.12001200120012
139,3,1,2,1,2,1O:1O:1O,3O,1O:2O1S,,1L:1L,4,0.12001200120012
140,4,3,0,1,1,:::1O,::2O,,,1L,4,0.12001200120012
141,1,4,0,1,1,1O,:::2O,,,1L,4,0.12001200120012
142,3,1,2,1,2,1O:1O:1O,3O,1O:1O,,1L:1L,4,0.12001200120012
143,3,1,0,2,2,1O:1O:1O,3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
144,3,1,1,2,2,:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,4,0.12001200120012
145,4,2,0,2,1,::1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
146,3,1,2,1,2,1O:1O:1O,2O,1O:2O,,1L:1L,4,0.12001200120012
147,3,1,0,2,1,:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,4,0.12001200120012
148,3,2,0,2,1,:1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,4,0.12001200120012
149,4,2,0,2,2,1O:1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
150,4,1,0,2,2,1O:1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
151,5,1,1,1,1,:::1O:1O,,1O,,1L,4,0.12001200120012
152,0,2,2,1,2,,2O:3O,2O:2O1S,,1L:1L,4,0.12001200120012
153,4,0,1,2,2,::1O:1O,,2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,4,0.12001200120012
154,1,2,0,1,1,1O,1O:2O,,,1L,4,0.12001200120012
155,3,1,1,2,2,:1O:1O,3O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
156,3,3,0,1,1,::1O,::3O,,,1L,3,0.09000900090009
157,4,0,2,1,2,:1O:1O:1O,,2O:2O,,1L:1L,3,0.09000900090009
158,3,0,1,3,2,1O:1O:1O,,,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
159,1,3,0,1,1,1O,:1O:2O,,,1L,3,0.09000900090009
160,2,2,1,1,2,1O:1O,2O:2O,1O1S,,1L:1L,3,0.09000900090009
161,3,3,0,1,1,::2O,::3O,,,1L,3,0.09000900090009
162,3,0,1,3,2,1O:1O:1O,,1O,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
163,3,0,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
164,3,3,0,1,1,:1O:1O,::3O,,,1L,3,0.09000900090009
165,3,1,0,3,2,1O:1O:1O,,,::1S:1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
166,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
167,0,3,2,1,2,,:2O:3O,1N1O1S:1O,,1L:1L,3,0.09000900090009
168,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
169,2,1,1,2,2,1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
170,3,2,0,1,1,::1O,1O:3O,,,1L,3,0.09000900090009
171,3,2,0,1,1,::1O,1O:2O,,,1L,3,0.09000900090009
172,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
173,3,2,0,1,1,:1O:1O,:3O,,,1L,3,0.09000900090009
174,6,1,1,1,1,::::1O:1O,,1O,,1L,3,0.09000900090009
175,3,2,0,1,1,:1O:1O,1O:2O,,,1L,3,0.09000900090009
176,3,2,0,1,1,1O:1O:1O,:2O,,,1L,3,0.09000900090009
177,3,2,0,1,1,1O:1O:1O,:1O,,,1L,3,0.09000900090009
178,3,1,3,1,2,1O:1O:2O,,1O:1O:1O,,1L:1L,3,0.09000900090009
179,2,1,1,2,2,1O:1O,3O,1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
180,2,2,1,1,1,:,:3O,1O,,1L,3,0.09000900090009
181,3,1,1,2,2,:1O:1O,2O,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
182,3,1,1,2,2,:1O:1O,2O,3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
183,3,1,1,2,2,:1O:1O,3O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
184,3,1,1,2,2,:1O:1O,3O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
185,3,1,2,1,2,1O:1O:2O,2O,1O:1O,,1L:1L,3,0.09000900090009
186,3,1,2,1,2,1O:1O:1O,2O,:1O,,1L:1L,3,0.09000900090009
187,2,1,1,2,2,1O:1O,,2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
188,6,1,1,1,1,:::1O:1O:1O,,1O,,1L,3,0.09000900090009
189,3,1,1,2,2,:1O:1O,2O,1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
190,3,2,0,1,2,1O:1O:1O,2O:3O,,,1L:1L,3,0.09000900090009
191,2,2,1,1,1,:1O,:2O,1O,,1L,3,0.09000900090009
192,3,3,0,1,1,1O:1O:1O,::,,,1L,3,0.09000900090009
193,3,1,1,1,1,:1O:1O,2O,,,1L,3,0.09000900090009
194,2,2,0,3,2,1O:1O,:3O,,:::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
195,1,3,1,1,1,1O,:1O:2O,,,1L,3,0.09000900090009
196,3,2,1,1,2,:1O:1O,1O:3O,2O1S,,1L:1L,3,0.09000900090009
197,3,1,1,1,2,1O:1O:1O,2O,2O1S,,1L:1L,3,0.09000900090009
198,0,2,2,1,2,,2O:2O,1O:1O,,1L:1L,3,0.09000900090009
199,3,1,1,2,2,1O:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
200,1,3,1,2,2,,:2O:3O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
201,3,1,1,2,2,1O:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
202,3,2,1,1,1,::1O,:2O,1O,,1L,3,0.09000900090009
203,3,2,1,1,1,::,:2O,1O,,1L,3,0.09000900090009
204,3,2,1,1,1,:1O:1O,:2O,2O1S,,1L,3,0.09000900090009
205,3,1,1,2,2,1O:1O:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
206,3,1,1,2,2,1O:1O:1O,2O,1O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
207,2,2,1,1,1,:1O,:2O,2O1S,,1L,3,0.09000900090009
208,1,3,2,1,2,1O,:2O:3O,1O:1O,,1L:1L,3,0.09000900090009
209,4,0,2,2,2,::1O:1O,,1O:1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
210,0,2,2,1,2,,2O:3O,1O:2O,,1L:1L,3,0.09000900090009
211,4,1,0,1,1,:1O:1O:1O,,,,1L,3,0.09000900090009
212,4,2,0,1,1,::1O:1O,:1O,,,1L,3,0.09000900090009
213,4,2,0,1,2,:1O:1O:1O,2O:3O,,,1L:1L,3,0.09000900090009
214,5,1,1,1,1,:::1O:1O,,2O1S,,1L,3,0.09000900090009
215,5,1,1,1,1,:::1O:1O,2O,,,1L,3,0.09000900090009
216,2,1,3,1,2,1O:1O,2O,1O:1O:2O,,1L:1L,3,0.09000900090009
217,2,2,2,1,2,:1O,2O:3O,1O:2O,,1L:1L,3,0.09000900090009
218,4,2,0,1,1,::1O:1O,:3O,,,1L,3,0.09000900090009
219,2,2,1,1,2,1O:1O,2O:3O,3O1S,,1L:1L,3,0.09000900090009
220,4,1,0,1,1,:1O:1O:1O,2O,,,1L,3,0.09000900090009
221,2,2,2,1,2,:,2O:2O,2O1S:2O1S,,1L:1L,3,0.09000900090009
222,2,1,3,1,2,1O:1O,2O,1O:1O:1O,,1L:1L,3,0.09000900090009
223,2,2,2,1,2,:1O,2O:3O,:2O,,1L:1L,3,0.09000900090009
224,1,2,1,1,2,1O,2O:3O,1O,,1L:1L,3,0.09000900090009
225,1,2,1,1,2,1O,2O:3O,2O,,1L:1L,3,0.09000900090009
226,0,2,3,1,2,,2O:3O,:1O:2O1S,,1L:1L,3,0.09000900090009
227,2,3,0,1,2,1O:1O,:2O:3O,,,1L:1L,3,0.09000900090009
228,2,3,0,2,1,1O:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
229,4,2,0,1,2,::1O:1O,2O:3O,,,1L:1L,3,0.09000900090009
230,4,2,1,1,1,::1O:1O,:,1O,,1L,3,0.09000900090009
231,1,2,1,2,2,1O,2O:3O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
232,5,0,1,2,2,::1O:1O:1O,,2O,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
233,2,2,1,1,2,:1O,2O:2O,1O,,1L:1L,3,0.09000900090009
234,5,1,0,1,1,::::1O,3O,,,1L,3,0.09000900090009
235,2,2,1,1,2,:1O,2O:2O,2O,,1L:1L,3,0.09000900090009
236,5,1,0,1,2,1O:1O:1O:1O:1O,2O,,,1L:1L,3,0.09000900090009
237,0,3,2,1,2,,:2O:2O,1O:1O1S,,1L:1L,3,0.09000900090009
238,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
239,0,3,2,1,2,,:3O:3O,1O:1O1S,,1L:1L,3,0.09000900090009
240,2,2,1,1,2,1O:2O,2O:3O,1O,,1L:1L,3,0.09000900090009
241,2,2,2,1,2,1O:1O,2O:3O,1O:1O,,1L:1L,3,0.09000900090009
242,0,3,3,1,2,,:2O:3O,:1O:2O1S,,1L:1L,3,0.09000900090009
243,2,2,1,1,2,1O:1O,:2O,2O,,1L:1L,3,0.09000900090009
244,2,2,1,2,2,:,2O:3O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
245,4,3,0,1,1,:1O:1O:1O,::2O,,,1L,3,0.09000900090009
246,4,2,1,1,2,::1O:1O,2O:2O,1O,,1L:1L,3,0.09000900090009
247,2,2,0,1,1,:1O,1O:2O,,,1L,3,0.09000900090009
248,4,2,1,1,1,:::1O,:2O,1O,,1L,3,0.09000900090009
249,4,1,1,1,2,:1O:1O:2O,3O,1O,,1L:1L,3,0.09000900090009
250,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
251,2,2,1,1,2,1O:1O,2O:3O,,,1L:1L,3,0.09000900090009
252,1,2,2,1,2,1O,2O:2O,1O:2O1S,,1L:1L,3,0.09000900090009
253,4,1,1,1,1,::1O:1O,,1O,,1L,3,0.09000900090009
254,2,3,1,1,1,1O:1O,:1O:2O,,,1L,3,0.09000900090009
255,4,1,0,3,2,1O:1O:1O:1O,,,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
256,4,1,0,2,1,::1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
257,2,1,2,1,2,1O:1O,2O,1O:2O,,1L:1L,3,0.09000900090009
258,5,2,0,1,1,::1O:1O:1O,:2O,,,1L,3,0.09000900090009
259,2,3,1,1,1,:1O,:1O:2O,1O,,1L,3,0.09000900090009
260,3,1,1,2,2,:1O:2O,3O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
261,0,2,2,1,2,,3O:3O,1O:2O,,1L:1L,3,0.09000900090009
262,4,1,0,3,2,:1O:1O:1O,,,::::1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
263,2,3,0,2,2,1O:1O,:2O:3O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
264,2,3,1,1,2,1O:1O,:2O:2O,1O,,1L:1L,3,0.09000900090009
265,2,2,1,1,2,1O:1O,2O:2O,3O1S,,1L:1L,3,0.09000900090009
266,2,2,1,2,2,1O:1O,:3O,1O1S,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
267,2,2,1,2,2,1O:1O,:2O,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
268,3,1,0,1,1,::1O,2O,,,1L,2,0.06000600060006
269,2,2,1,1,2,1O:1O,:2O,1O,,1L:1L,2,0.06000600060006
270,3,0,3,1,2,1O:1O:1O,,1O:2O:2O1S,,1L:1L,2,0.06000600060006
271,2,2,1,2,2,1O:1O,:3O,2O1S,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
272,3,1,0,2,1,1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
273,2,3,1,1,2,1O:1O,:2O:3O,2O1S,,1L:1L,2,0.06000600060006
274,3,1,0,2,1,:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L,2,0.06000600060006
275,3,1,0,2,1,:1O:1O,1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
276,3,1,0,2,2,1O:1O:1O,2O,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
277,2,2,2,1,2,1O:1O,1O:2O,1O:1O,,1L:1L,2,0.06000600060006
278,2,2,1,2,2,1O:1O,:3O,1O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
279,3,0,2,2,2,:1O:1O,,:2O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,2,0.06000600060006
280,2,2,1,2,2,1O:1O,:2O,1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
281,2,2,1,1,2,:1O,2O:2O,2O1S,,1L:1L,2,0.06000600060006
282,3,1,1,2,2,:1O:1O,3O,3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
283,2,2,1,1,1,:,:2O,2O,,1L,2,0.06000600060006
284,3,0,1,2,2,:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,2,0.06000600060006
285,2,4,0,2,1,1O:1O,:::,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
286,2,4,0,1,1,1O:1O,:::2O,,,1L,2,0.06000600060006
