,num_dol,num_toluene,num_tfsi,num_ps,num_li,atoms_dol,atoms_toluene,atoms_tfsi,atoms_ps,atoms_li,count,%
1897,5,0,0,3,2,1O:1O:1O:2O:2O,,,:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1898,5,0,0,3,2,1O:1O:1O:1O:2O,,,:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1899,5,0,0,2,2,:1O:1O:1O:2O,,,3S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1900,5,0,0,2,2,:1O:1O:1O:1O,,,3S:4S:5S:5S:5S:5S:5S:5S,1L:1L,1,0.03000300030003
1901,5,0,0,2,2,:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
1902,4,3,0,1,1,:1O:1O:2O,::,,,1L,1,0.03000300030003
1903,4,3,0,1,1,1O:1O:1O:2O,::,,,1L,1,0.03000300030003
1904,4,3,0,1,1,1O:1O:1O:1O,::,,,1L,1,0.03000300030003
1905,4,2,1,1,2,1O:1O:1O:2O,:,3O1S,,1L:1L,1,0.03000300030003
1906,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1907,4,2,1,2,2,1O:1O:1O:1O,:,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1908,4,2,1,2,2,1O:1O:1O:1O,:,2O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1909,4,2,1,2,2,1O:1O:1O:1O,:,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1910,4,2,1,2,2,1O:1O:1O:1O,:,1O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1911,4,2,1,2,2,1O:1O:1O:1O,:,1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1912,4,2,1,2,2,1O:1O:1O:1O,:,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1913,4,2,1,2,2,1O:1O:1O:1O,:,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1914,4,2,1,2,2,1O:1O:1O:1O,:,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
