,num_dol,num_dpt,num_tfsi,num_ps,num_li,atoms_dol,atoms_dpt,atoms_tfsi,atoms_ps,atoms_li,count,%
32,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,14,0.42004200420042
33,4,1,0,1,1,:1O:1O:1O,1O,,,1L,14,0.42004200420042
34,1,3,1,2,2,1O,1O:1O:1O,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,13,0.39003900390039
35,4,3,0,1,1,::1O:1O,::1O,,,1L,13,0.39003900390039
36,3,2,0,2,1,::1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,13,0.39003900390039
37,3,3,0,1,1,::1O,::1O,,,1L,12,0.36003600360036
38,4,3,0,1,1,:::1O,:1O:1O,,,1L,12,0.36003600360036
39,2,4,0,1,1,:,:1O:1O:1O,,,1L,12,0.36003600360036
40,3,2,1,1,2,:1O:1O,1O:1O,1O,,1L:1L,12,0.36003600360036
41,3,2,1,1,1,::1O,:1O,1O,,1L,12,0.36003600360036
42,2,2,0,1,1,:1O,1O:1O,,,1L,12,0.36003600360036
43,2,3,1,1,1,:1O,::1O,1O,,1L,11,0.33003300330033
44,2,2,1,1,1,:1O,:1O,1O,,1L,11,0.33003300330033
45,3,2,0,1,1,::,1O:1O,,,1L,11,0.33003300330033
46,1,5,0,1,1,,::1O:1O:1O,,,1L,10,0.3000300030003
47,2,2,0,1,2,1O:1O,1O:1O,,,1L:1L,10,0.3000300030003
48,1,4,1,1,2,1O,1O:1O:1O:1O,2O,,1L:1L,10,0.3000300030003
49,6,1,0,1,1,:::1O:1O:1O,1O,,,1L,10,0.3000300030003
50,2,3,0,1,1,:,1O:1O:1O,,,1L,10,0.3000300030003
51,2,2,1,1,2,1O:1O,1O:1O,1O,,1L:1L,10,0.3000300030003
52,1,2,0,2,1,,:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,9,0.27002700270027
53,4,2,0,1,1,::1O:1O,1O:1O,,,1L,9,0.27002700270027
54,5,2,0,1,1,::::1O,1O:1O,,,1L,9,0.27002700270027
55,2,3,0,2,2,1O:1O,1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,9,0.27002700270027
56,1,3,1,1,2,1O,1O:1O:1O,2O,,1L:1L,9,0.27002700270027
57,3,3,1,1,1,::,:1O:1O,1O,,1L,9,0.27002700270027
58,2,3,1,1,2,:1O,1O:1O:1O,1O,,1L:1L,9,0.27002700270027
59,1,3,1,1,1,,:1O:1O,1O,,1L,9,0.27002700270027
60,4,1,1,1,1,:::1O,1O,1O,,1L,9,0.27002700270027
61,0,5,1,1,2,,1O:1O:1O:1O:1O,2O1S,,1L:1L,9,0.27002700270027
62,0,5,2,1,2,,1O:1O:1O:1O:1O,1O:1O,,1L:1L,8,0.24002400240024
63,1,4,1,1,2,1O,1O:1O:1O:2O1S,1O,,1L:1L,8,0.24002400240024
64,3,2,0,1,2,1O:1O:1O,1O:1O,,,1L:1L,8,0.24002400240024
65,2,3,1,1,1,:1O,:1O:1O,1O,,1L,8,0.24002400240024
66,2,3,1,1,2,1O:1O,1O:1O:1O,2O,,1L:1L,8,0.24002400240024
67,1,3,1,2,2,,1O:1O:1O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
68,1,3,0,1,1,,1O:1O:1O,,,1L,8,0.24002400240024
69,2,3,1,2,2,:1O,1O:1O:1O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
70,1,2,0,2,1,,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,7,0.21002100210021
71,4,2,0,1,1,:::,1O:1O,,,1L,7,0.21002100210021
72,2,2,1,1,2,:1O,1O:1O,1O,,1L:1L,7,0.21002100210021
73,1,4,0,1,2,1O,1O:1O:1O:2O1S,,,1L:1L,7,0.21002100210021
74,3,3,0,1,1,::,1O:1O:1O,,,1L,7,0.21002100210021
75,3,2,1,1,2,:1O:1O,1O:2O1S,1O,,1L:1L,7,0.21002100210021
76,3,3,1,1,2,1O:1O:1O,1O:1O:2O1S,1O,,1L:1L,7,0.21002100210021
77,4,3,0,1,1,::1O:1O,:1O:1O,,,1L,7,0.21002100210021
78,4,2,1,1,1,:::1O,:1O,1O,,1L,7,0.21002100210021
79,2,2,0,2,1,:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,7,0.21002100210021
80,3,2,1,1,2,1O:1O:1O,:1O,1O,,1L:1L,7,0.21002100210021
81,2,2,0,2,1,:,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,7,0.21002100210021
82,1,4,0,1,1,,::1O:1O,,,1L,7,0.21002100210021
83,4,1,1,1,1,::1O:1O,1O,,,1L,7,0.21002100210021
84,3,1,1,1,2,1O:1O:1O,1O,1O,,1L:1L,7,0.21002100210021
85,0,3,0,2,2,,1O:1O:1O,,:::1S:1S:2S:2S:2S,1L:1L,7,0.21002100210021
86,4,2,1,1,2,:1O:1O:1O,1O:1O,1O,,1L:1L,6,0.18001800180018
87,0,5,2,1,2,,1O:1O:1O:1O:1O,1O:2O,,1L:1L,6,0.18001800180018
88,3,1,0,1,1,:1O:1O,1O,,,1L,6,0.18001800180018
89,2,3,0,1,2,:1O,1O:1O:1O,,,1L:1L,6,0.18001800180018
90,2,2,2,1,2,:1O,1O:1O,1O:1O,,1L:1L,6,0.18001800180018
91,1,3,1,2,2,,1O:1O:1O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,6,0.18001800180018
92,3,2,0,1,1,::1O,:1O,,,1L,6,0.18001800180018
93,3,3,0,2,2,::1O,1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,6,0.18001800180018
94,3,3,0,2,1,::1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,6,0.18001800180018
95,2,2,0,2,1,:1O,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
96,3,2,1,1,2,1O:1O:1O,1O:1O,2O,,1L:1L,6,0.18001800180018
97,4,2,0,1,2,:1O:1O:1O,1O:1O,,,1L:1L,6,0.18001800180018
98,5,2,0,1,1,:::1O:1O,1O:1O,,,1L,6,0.18001800180018
99,2,3,0,2,1,:,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
100,2,2,0,2,1,:,:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,6,0.18001800180018
101,3,2,0,2,1,::,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
102,4,2,1,1,1,:::1O,1O:1O,1O,,1L,6,0.18001800180018
103,4,3,0,1,1,:::,1O:1O:1O,,,1L,5,0.15001500150015
104,4,2,1,1,1,::1O:1O,:1O,1O,,1L,5,0.15001500150015
105,6,2,0,1,1,::::1O:1O,:1O,,,1L,5,0.15001500150015
106,4,2,0,1,1,:::1O,1O:1O1S,,,1L,5,0.15001500150015
107,2,3,0,2,2,1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
108,2,3,1,1,2,:1O,1O:1O:2O1S,1O,,1L:1L,5,0.15001500150015
109,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,5,0.15001500150015
110,2,3,0,2,2,:1O,1O:1O:1O,,2S:2S:3S:3S:3S:3S:4S:4S,1L:1L,5,0.15001500150015
111,5,2,1,1,1,::::1O,:1O,1O,,1L,5,0.15001500150015
112,1,3,0,2,1,,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,5,0.15001500150015
113,3,2,0,1,2,:1O:1O,1O:1O,,,1L:1L,5,0.15001500150015
114,4,1,0,2,2,1O:1O:1O:1O,1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
115,2,2,1,1,2,1O:1O,1O:1O,2O,,1L:1L,5,0.15001500150015
116,3,2,1,1,1,::,1O:2O1S,1O,,1L,5,0.15001500150015
117,2,2,0,1,1,1O:1O,:1O,,,1L,5,0.15001500150015
118,0,3,0,2,1,,::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,5,0.15001500150015
119,1,3,0,1,1,1O,:1O:1O,,,1L,5,0.15001500150015
120,3,2,0,1,1,1O:1O:1O,:1O,,,1L,5,0.15001500150015
121,3,3,0,1,1,::1O,:1O:1O1S,,,1L,5,0.15001500150015
122,2,3,0,1,1,:,::1O,,,1L,5,0.15001500150015
123,0,3,0,1,1,,1O:1O:1O,,,1L,5,0.15001500150015
124,5,2,0,1,1,::1O:1O:1O,:1O,,,1L,5,0.15001500150015
125,3,4,0,1,1,::1O,::1O:1O,,,1L,5,0.15001500150015
126,0,5,2,1,2,,1O:1O:1O:1O:1O1S,:1O,,1L:1L,5,0.15001500150015
127,1,4,0,2,3,1O,1N2O1S:1O:1O:2O1S,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,5,0.15001500150015
128,2,3,1,1,2,1O:1O,1O:2O1S:2O1S,1O,,1L:1L,5,0.15001500150015
129,2,3,0,2,2,1O:1O,1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
130,2,3,0,2,2,1O:1O,1O:1O:1O1S,,::1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
131,2,4,0,1,1,:1O,::1O:1O,,,1L,5,0.15001500150015
132,4,2,0,2,1,:::1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,4,0.12001200120012
133,1,3,1,1,1,,:1O:1O1S,1O,,1L,4,0.12001200120012
134,2,3,0,1,3,1O:1O,1O:2O1S:2O1S,,,1L:1L:1L,4,0.12001200120012
135,2,2,1,1,2,1O:1O,1O:2O1S,1O,,1L:1L,4,0.12001200120012
136,2,3,1,1,1,:1O,:1O:1O1S,1O,,1L,4,0.12001200120012
137,2,3,0,2,2,:1O,1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
138,2,3,0,1,2,1O:1O,1O:1O1S:2O1S,,,1L:1L,4,0.12001200120012
139,3,2,1,1,1,::,1O:1O,1O,,1L,4,0.12001200120012
140,2,4,0,2,2,1O:1O,1O:1O:1O:1O,,1S:1S:1S:1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
141,2,3,1,1,1,:,:1O:1O,,,1L,4,0.12001200120012
142,2,3,0,1,2,1O:1O,1O:1O:2O1S,,,1L:1L,4,0.12001200120012
143,2,4,0,1,2,1O:1O,1O:1O:1O:1O1S,,,1L:1L,4,0.12001200120012
144,2,3,1,1,1,:,:1O:1O1S,1O,,1L,4,0.12001200120012
145,3,3,1,1,2,::1O,1O:1O:2O1S,1O,,1L:1L,4,0.12001200120012
146,5,3,0,1,1,::::1O,:1O:1O,,,1L,4,0.12001200120012
147,2,3,1,2,2,:1O,1O:1O:1O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,4,0.12001200120012
148,3,2,1,1,1,:1O:1O,:1O,,,1L,4,0.12001200120012
149,2,2,0,1,1,:,1O:1O,,,1L,4,0.12001200120012
150,1,3,1,1,2,1O,1O:1O:1O1S,1O,,1L:1L,4,0.12001200120012
151,3,3,1,1,2,:1O:1O,1O:1O:1O,3O1S,,1L:1L,4,0.12001200120012
152,2,3,0,1,1,:1O,::1O,,,1L,4,0.12001200120012
153,5,1,0,1,1,:::1O:1O,1O1S,,,1L,4,0.12001200120012
154,0,3,0,2,2,,1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
155,2,3,1,1,2,:1O,1O:1O:1O,3O1S,,1L:1L,4,0.12001200120012
156,3,2,1,1,2,1O:1O:2O,1O:1O,1O,,1L:1L,4,0.12001200120012
157,3,3,0,2,2,:1O:1O,1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
158,0,3,0,1,1,,:1O:1O,,,1L,4,0.12001200120012
159,1,2,1,1,2,1O,1O:1O,1O,,1L:1L,4,0.12001200120012
160,4,1,0,1,1,::1O:2O,1O,,,1L,4,0.12001200120012
161,2,4,1,1,2,1O:1O,:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
162,5,1,1,1,1,:::1O:1O,,1O,,1L,4,0.12001200120012
163,0,3,0,2,2,,1O:1O:1O,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,4,0.12001200120012
164,1,4,0,2,2,1O,1O:1O:1O:2O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
165,5,1,1,1,2,:1O:1O:1O:1O,1O,1O,,1L:1L,4,0.12001200120012
166,5,1,0,1,1,::1O:1O:1O,,,,1L,4,0.12001200120012
167,2,3,0,2,2,:1O,1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
168,3,3,0,1,1,::1O,1O:1O:1O,,,1L,4,0.12001200120012
169,1,3,1,1,1,,::1O,2O,,1L,4,0.12001200120012
170,3,3,1,1,2,1O:1O:1O,1O:1O:1O,1O,,1L:1L,4,0.12001200120012
171,4,2,0,1,2,::1O:1O,1O:1O,,,1L:1L,4,0.12001200120012
172,1,3,2,1,2,1O,1O:1O:1O,1O:1O,,1L:1L,4,0.12001200120012
173,2,4,1,1,2,1O:1O,1O:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
174,4,1,0,1,1,:::1O,1O,,,1L,4,0.12001200120012
175,2,3,1,1,2,1O:1O,1O:1O:1O1S,1O,,1L:1L,4,0.12001200120012
176,2,5,0,1,1,:,::1O:1O:1O,,,1L,3,0.09000900090009
177,2,3,1,1,1,:1O,:1O:1O,,,1L,3,0.09000900090009
178,2,3,2,1,2,1O:1O,1O:1O:1O,:1O,,1L:1L,3,0.09000900090009
179,4,1,1,1,1,::1O:1O,1O,1O,,1L,3,0.09000900090009
180,2,3,1,1,2,:1O,1O:1O:1O,2O,,1L:1L,3,0.09000900090009
181,6,1,0,1,1,::1O:1O:1O:1O,1O,,,1L,3,0.09000900090009
182,2,3,1,1,2,1O:2O,1O:1O:1O,1O,,1L:1L,3,0.09000900090009
183,1,3,1,1,2,1O,1N1O:1O:1O,1O,,1L:1L,3,0.09000900090009
184,7,1,0,1,1,::::1O:1O:1O,1O,,,1L,3,0.09000900090009
185,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,3,0.09000900090009
186,2,3,0,2,1,:,::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,3,0.09000900090009
187,6,1,0,1,1,::1O:1O:1O:2O,1O,,,1L,3,0.09000900090009
188,2,2,0,1,1,:,:1O,,,1L,3,0.09000900090009
189,1,4,1,1,2,1O,1N1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
190,3,4,0,1,1,::1O,:1O:1O:1O,,,1L,3,0.09000900090009
191,4,2,1,1,2,1O:1O:1O:1O,1O:1O,1O,,1L:1L,3,0.09000900090009
192,4,1,1,1,1,::1O:1O,,1O,,1L,3,0.09000900090009
193,4,1,0,1,1,::1O:1O,1O1S,,,1L,3,0.09000900090009
194,3,2,1,1,2,:1O:2O,1O:1O,1O,,1L:1L,3,0.09000900090009
195,2,3,1,1,2,:1O,1O:1O:1O1S,1O,,1L:1L,3,0.09000900090009
196,4,2,0,2,1,::1O:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
197,2,3,0,2,2,1O:1O,1O:1O:1O,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
198,3,2,1,1,1,::,1O:1O1S,1O,,1L,3,0.09000900090009
199,4,1,0,2,2,1O:1O:1O:1O,1O,,1S:1S:2S:2S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
200,3,2,1,1,2,:1O:1O,1O:1O,2O,,1L:1L,3,0.09000900090009
201,3,2,1,1,1,::1O,1O:1O,,,1L,3,0.09000900090009
202,1,4,0,1,1,1O,:1O:1O:1O,,,1L,3,0.09000900090009
203,3,1,0,1,1,::1O,1O,,,1L,3,0.09000900090009
204,3,2,1,1,1,::1O,1O:1O,1O,,1L,3,0.09000900090009
205,3,3,0,1,2,:1O:1O,1O:1O:2O1S,,,1L:1L,3,0.09000900090009
206,1,4,1,1,2,1O,1O:1O:1O:2O1S,2O,,1L:1L,3,0.09000900090009
207,1,4,1,1,2,1O,1O:1O:1O:1O1S,2O,,1L:1L,3,0.09000900090009
208,2,3,1,1,2,1O:1O,1O:1O:1O,2O1S,,1L:1L,3,0.09000900090009
209,1,5,1,1,2,1O,:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
210,3,3,0,1,2,:1O:1O,1O:2O1S:2O1S,,,1L:1L,3,0.09000900090009
211,4,1,0,2,2,1O:1O:1O:2O,1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
212,4,2,1,1,1,:::,1O:1O,1O,,1L,3,0.09000900090009
213,1,3,1,1,2,1O,1O:1O:2O1S,2O,,1L:1L,3,0.09000900090009
214,6,1,0,1,1,::::1O:2O,1O,,,1L,3,0.09000900090009
215,3,2,1,1,1,:1O:1O,:1O,1O,,1L,3,0.09000900090009
216,2,3,1,1,2,1O:1O,1O:1O:2O1S,1O,,1L:1L,3,0.09000900090009
217,1,4,1,1,2,2O,1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
218,2,4,0,1,1,:,::1O:1O,,,1L,3,0.09000900090009
219,1,3,1,1,1,,::1O,1O,,1L,3,0.09000900090009
220,3,3,0,2,2,::1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
221,5,1,1,1,1,:::1O:1O,1O,,,1L,3,0.09000900090009
222,5,1,1,1,1,::1O:1O:1O,1O,,,1L,3,0.09000900090009
223,3,3,0,2,2,:1O:1O,1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
224,2,3,0,1,1,:,:1O:1O1S,,,1L,3,0.09000900090009
225,5,1,0,1,2,:1O:1O:1O:1O,1O,,,1L:1L,3,0.09000900090009
226,2,3,0,1,1,1O:1O,::1O,,,1L,3,0.09000900090009
227,4,3,0,1,1,:::,:1O:1O,,,1L,3,0.09000900090009
228,1,4,1,1,1,,::1O:2O1S,1O,,1L,3,0.09000900090009
229,3,3,1,1,2,:1O:1O,1O:1O:1O,2O,,1L:1L,3,0.09000900090009
230,1,3,0,2,1,,::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,3,0.09000900090009
231,0,5,0,1,1,,::1O:1O:1O,,,1L,3,0.09000900090009
232,2,2,1,1,2,1O:1O,1O:2O1S,,,1L:1L,3,0.09000900090009
233,4,3,1,1,1,:::,:1O:1O,1O,,1L,3,0.09000900090009
234,1,3,0,1,1,,:1O:1O1S,,,1L,3,0.09000900090009
235,2,4,1,1,2,:1O,1O:1O:1O:1O,2O1S,,1L:1L,3,0.09000900090009
236,3,2,0,1,1,:1O:1O,1O:1O,,,1L,3,0.09000900090009
237,2,4,1,1,2,:1O,1O:1O:1O:1O,2O,,1L:1L,3,0.09000900090009
238,5,2,1,1,1,:::1O:1O,:1O,1O,,1L,3,0.09000900090009
239,1,2,1,1,2,1O,:1O,1N3O1S,,1L:1L,3,0.09000900090009
240,2,4,1,1,2,:1O,1O:1O:1O:1O,1O1S,,1L:1L,3,0.09000900090009
241,3,2,0,1,1,:1O:1O,:1O1S,,,1L,3,0.09000900090009
242,3,3,1,1,1,::,:1O:1O1S,1O,,1L,3,0.09000900090009
243,2,4,0,2,2,1O:1O,:1O:1O:2O1S,,:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
244,2,3,0,2,2,:1O,1O:1O:1O,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
245,5,1,0,1,1,:1O:1O:1O:1O,1O,,,1L,3,0.09000900090009
246,5,1,1,1,1,:::1O:1O,1O,1O,,1L,3,0.09000900090009
247,0,5,1,1,2,,1O:1O:1O:1O:1O,2O,,1L:1L,3,0.09000900090009
248,3,2,0,2,2,1O:1O:1O,1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
249,2,3,1,1,1,:,::1O,2O,,1L,3,0.09000900090009
250,2,2,0,2,1,:1O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,3,0.09000900090009
251,2,4,0,1,2,1O:1O,:1O:1O:1O,,,1L:1L,3,0.09000900090009
252,2,3,1,1,1,:,:1O:2O1S,1O,,1L,3,0.09000900090009
253,2,4,1,1,1,:1O,::1O:1O,1O,,1L,3,0.09000900090009
254,2,2,1,1,1,:,1O:1O,1O,,1L,3,0.09000900090009
255,1,3,0,2,2,1O,1O:1O:1O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
256,5,2,0,1,1,::1O:1O:1O,1O:1O,,,1L,3,0.09000900090009
257,1,3,1,1,1,,:1O:1O,,,1L,3,0.09000900090009
258,3,3,1,1,2,::1O,1O:1O:1O,2O,,1L:1L,3,0.09000900090009
259,1,3,0,2,2,1O,1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
260,3,2,0,1,1,:1O:1O,1O:1O1S,,,1L,3,0.09000900090009
261,3,2,0,2,2,1O:1O:1O,1O:2O1S,,2S:2S:2S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
262,4,2,1,1,2,:1O:1O:2O,1O:1O,1O,,1L:1L,3,0.09000900090009
263,1,4,1,1,2,1O,1O:1O:1O:1O1S,2O1S,,1L:1L,2,0.06000600060006
264,3,3,0,1,1,::1O,:1O:2O1S,,,1L,2,0.06000600060006
265,3,2,1,1,2,1O:1O:1O,:1O,2O1S,,1L:1L,2,0.06000600060006
266,2,3,0,2,1,:,:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
267,2,3,0,1,1,:1O,:1O:1O1S,,,1L,2,0.06000600060006
268,2,3,0,2,1,:1O,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
269,2,3,0,2,2,1O:1O,1O:1O:2O1S,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
270,3,3,1,1,1,::,:1O:2O1S,1O,,1L,2,0.06000600060006
271,2,3,0,2,2,:1O,1O:1O:1O,,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
272,1,4,1,1,1,1O,::1O:1O,1O,,1L,2,0.06000600060006
273,3,3,0,1,1,::1O,:1O:2O,,,1L,2,0.06000600060006
274,3,3,0,2,2,:1O:1O,1O:1O:1O1S,,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
275,2,3,0,1,2,1O:1O,1N1O:1O:2O1S,,,1L:1L,2,0.06000600060006
276,3,3,0,2,2,:1O:1O,1O:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
277,1,4,1,1,2,1O,1N1O1S:1O:1O:1O1S,1O,,1L:1L,2,0.06000600060006
278,1,4,1,1,2,1O,1O:1O:1O1S:1O1S,1O,,1L:1L,2,0.06000600060006
279,3,3,0,2,2,::1O,1O:2O1S:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
280,3,3,1,1,1,::1O,:1O:1O,1O,,1L,2,0.06000600060006
281,3,3,0,2,2,::1O,1O:2O:2O1S,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
282,3,3,0,1,1,::,:1O:1O1S,,,1L,2,0.06000600060006
283,3,2,1,1,2,1O:1O:1O,:1O,2O,,1L:1L,2,0.06000600060006
284,3,3,1,1,1,:1O:1O,::1O,1O,,1L,2,0.06000600060006
285,2,3,0,1,1,1O:1O,:1O:1O,,,1L,2,0.06000600060006
286,2,3,0,2,2,1O:1O,1O:1O:2O1S,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
287,1,4,1,1,2,1O,1O:1O:1O:1O,2O1S,,1L:1L,2,0.06000600060006
288,2,3,0,2,1,:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
289,2,3,0,1,2,1O:1O,1N2O1S:1O:2O1S,,,1L:1L,2,0.06000600060006
290,2,3,1,1,2,1O:1O,:1O:1O,2O,,1L:1L,2,0.06000600060006
291,2,3,0,2,2,1O:1O,1O:1O:2O1S,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,2,0.06000600060006
292,2,3,1,1,2,1O:1O,1O:1O:2O1S,2O1S,,1L:1L,2,0.06000600060006
293,2,2,1,1,2,:1O,1O:1O,1N3O2S,,1L:1L,2,0.06000600060006
294,4,1,0,2,2,1O:1O:1O:1O,1O1S,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
