,num_dol,num_fde,num_tfsi,num_ps,num_li,atoms_dol,atoms_fde,atoms_tfsi,atoms_ps,atoms_li,count,%
71,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,4,0.12001200120012
72,6,0,1,2,2,1O:1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
73,3,0,2,2,2,:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
74,5,0,1,2,2,:1O:1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
75,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
76,5,0,1,2,2,1O:1O:1O:1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
77,3,1,1,3,2,1O:1O:2O,,1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
78,4,0,1,2,2,:1O:1O:1O,,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
79,4,0,1,2,2,1O:1O:1O:1O,,1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
80,4,1,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
81,5,0,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
82,5,0,1,3,2,::1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
83,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
84,2,0,4,2,2,1O:1O,,:1O:2O1S:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
85,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
86,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
87,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,4,0.12001200120012
88,4,0,0,3,2,:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
