,num_dol,num_dps,num_tfsi,num_ps,num_li,atoms_dol,atoms_dps,atoms_tfsi,atoms_ps,atoms_li,count,%
1220,0,5,1,1,2,,:1O:1O:1O1S:2O1S,2O,,1L:1L,1,0.03000300030003
1221,0,5,1,1,2,,1O:1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
1222,0,5,1,1,1,,::::1O1S,1O,,1L,1,0.03000300030003
1223,0,5,1,1,1,,:::1O:1O1S,1O,,1L,1,0.03000300030003
1224,0,5,1,1,1,,:::1O:1O1S,,,1L,1,0.03000300030003
1225,0,5,1,1,1,,:::1O:1O,,,1L,1,0.03000300030003
1226,0,5,1,1,1,,::1O:1O:1O1S,1O,,1L,1,0.03000300030003
1227,0,5,1,1,1,,::1O:1O:1O,1O,,1L,1,0.03000300030003
1228,0,5,1,1,1,,:1O:1O:1O1S:1S,1O,,1L,1,0.03000300030003
1229,0,5,1,1,1,,:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1230,0,5,0,2,2,,::1O:1O1S:1O1S,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1231,0,5,0,2,2,,::1O:1O1S:1O1S,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1232,0,5,0,2,2,,:1O:1O:1O1S:2O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1233,0,5,0,2,1,,::::1O1S,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1234,0,5,0,2,1,,::::1O1S,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1235,0,6,0,1,2,,::1O:1O:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1236,0,6,0,2,1,,:::::1O,,3S:3S:3S:4S:4S:4S:5S:5S,1L,1,0.03000300030003
1237,0,5,0,2,1,,::::1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1238,0,6,0,2,2,,::1O:1O:1O1S:2O1S,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1239,1,3,0,1,1,,:1O:1O1S,,,1L,1,0.03000300030003
1240,1,3,0,1,1,,:1O1S:1O1S,,,1L,1,0.03000300030003
1241,1,3,0,1,1,,1O:1O:1O1S,,,1L,1,0.03000300030003
1242,1,3,0,1,1,,1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1243,1,2,2,1,2,1O,1O1S:2O1S,1O:2O,,1L:1L,1,0.03000300030003
1244,1,2,1,2,2,2O,1O:1O1S,3O1S,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1245,1,2,1,2,2,1O,1O:1O1S,1N3O2S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1246,1,2,1,1,2,1O,1O:2O1S,2O,,1L:1L,1,0.03000300030003
1247,1,2,1,1,2,1O,1O:1O1S,1N2O1S,,1L:1L,1,0.03000300030003
1248,1,2,1,1,1,1O,1O:1O1S,2O1S,,1L,1,0.03000300030003
1249,1,2,1,1,1,1O,1O:1O1S,1O,,1L,1,0.03000300030003
1250,1,2,0,2,1,1O,:1O,,1S:1S:2S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1251,1,2,0,2,1,,:1O1S,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1252,1,2,0,2,1,,:1O1S,,2S:2S:3S:3S:3S:3S:4S:4S,1L,1,0.03000300030003
1253,1,2,0,2,1,,:1O,,3S:3S:4S:4S:4S:5S:5S:5S,1L,1,0.03000300030003
1254,0,7,0,1,2,,:::1O:1O:1O:2O1S,,,1L:1L,1,0.03000300030003
1255,0,7,0,1,1,,::::1O:1O:1O1S,,,1L,1,0.03000300030003
1256,0,7,0,1,1,,::::1O:1O1S:1O1S,,,1L,1,0.03000300030003
1257,0,6,1,1,1,,::::1O:1O1S,1O1S,,1L,1,0.03000300030003
1258,0,5,0,2,1,,::::1O1S,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1259,0,5,0,2,1,,:::1O:1O1S,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1260,1,4,0,1,1,1O,1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1261,0,4,1,1,1,,::1O:1O1S,,,1L,1,0.03000300030003
1262,0,4,1,1,1,,:1O:1O1S:2O1S,1O,,1L,1,0.03000300030003
1263,0,4,1,1,1,,:1O:1O1S:1O1S,1O,,1L,1,0.03000300030003
