,num_dol,num_hfme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hfme,atoms_tfsi,atoms_ps,atoms_li,count,%
693,5,0,1,1,1,:::1O:1O,,1N4O2S,,1L,1,0.03000300030003
694,5,0,1,1,1,::1O:1O:2O,,2O,,1L,1,0.03000300030003
695,7,0,0,1,1,:::1O:1O:1O:2O,,,,1L,1,0.03000300030003
696,7,0,0,1,1,::::1O:1O:2O,,,,1L,1,0.03000300030003
697,5,0,1,1,1,::1O:1O:1O,,2O1S,,1L,1,0.03000300030003
698,5,0,1,1,1,::1O:1O:1O,,,,1L,1,0.03000300030003
699,5,0,1,1,1,:1O:1O:1O:2O,,2O1S,,1L,1,0.03000300030003
700,5,0,1,1,1,:1O:1O:1O:2O,,,,1L,1,0.03000300030003
701,5,0,1,1,1,:1O:1O:1O:1O,,3O1S,,1L,1,0.03000300030003
702,5,0,1,1,1,:1O:1O:1O:1O,,2O,,1L,1,0.03000300030003
703,5,0,1,1,2,1O:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
704,6,2,0,2,2,:1O:1O:1O:1O:1O,:,,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
705,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O1S,,1L:1L,1,0.03000300030003
706,8,0,0,1,1,::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
707,6,1,1,1,2,::1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
708,5,0,1,1,2,1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,1,0.03000300030003
709,6,1,1,2,2,::1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
710,5,0,1,1,2,1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
711,6,1,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
712,6,1,2,1,2,::1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,1,0.03000300030003
713,8,0,1,1,1,:::::1O:1O:1O,,,,1L,1,0.03000300030003
714,6,2,0,1,1,:::1O:1O:2O,:,,,1L,1,0.03000300030003
715,8,0,1,1,1,:::::1O:1O:1O,,1O,,1L,1,0.03000300030003
716,6,1,2,1,2,::1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
717,5,0,1,1,2,1O:1O:1O:1O:1O,,1N4O2S,,1L:1L,1,0.03000300030003
718,6,1,2,1,2,:::1O:1O:1O,,1O:1O,,1L:1L,1,0.03000300030003
719,6,2,0,1,1,::1O:1O:1O:1O,:,,,1L,1,0.03000300030003
720,6,2,0,1,1,::1O:1O:1O:2O,:,,,1L,1,0.03000300030003
721,6,0,3,1,2,:::1O:1O:1O,,2O:2O1S:2O1S,,1L:1L,1,0.03000300030003
722,6,0,3,1,2,:::1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
723,5,0,1,1,2,:1O:1O:1O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
724,5,0,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
725,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
726,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
727,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
728,5,0,1,2,2,:1O:1O:1O:1O,,1N4O2S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
729,5,0,1,2,2,:1O:1O:1O:1O,,1N3O2S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
730,5,0,2,1,2,1O:1O:2O:2O:2O,,1O:1O,,1L:1L,1,0.03000300030003
731,6,0,2,1,2,:1O:1O:1O:1O:2O,,:2O,,1L:1L,1,0.03000300030003
732,5,0,1,2,2,:1O:1O:1O:1O,,1N1O1S,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
733,5,0,1,2,2,:1O:1O:1O:1O,,1N1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
734,6,0,2,1,2,::1O:1O:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
735,5,0,1,2,2,:1O:1O:1O:1O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
736,6,0,2,1,2,::1O:1O:1O:1O,,2O:2O1S,,1L:1L,1,0.03000300030003
737,5,0,1,2,2,1O:1O:1O:2O:2O,,2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
738,5,0,1,2,2,1O:1O:1O:2O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
739,5,0,1,2,2,1O:1O:1O:1O:2O,,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
740,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
741,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
742,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
743,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:3O1S,,1L:1L,1,0.03000300030003
744,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
745,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
746,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,1S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
747,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,1S:1S:1S:2S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
748,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
749,5,0,1,2,2,:1O:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
750,5,0,1,2,2,:1O:1O:1O:1O,,1O,2S:3S:3S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
751,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
752,6,0,2,1,2,:1O:1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,1,0.03000300030003
753,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1N2O1S,,1L:1L,1,0.03000300030003
754,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
755,6,0,2,1,2,:1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,1,0.03000300030003
756,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,1,0.03000300030003
757,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
758,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,2S:3S:3S:3S:4S:4S:4S:5S,1L:1L,1,0.03000300030003
759,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
760,5,0,1,2,2,1O:1O:1O:1O:2O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
761,6,0,3,1,2,::1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
762,5,0,1,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
763,5,0,1,2,1,:::1O:1O,,2O1S,1S:1S:1S:2S:3S:3S:4S:5S,1L,1,0.03000300030003
764,6,0,3,1,2,::1O:1O:1O:1O,,1N1O1S:1O1S:1O1S,,1L:1L,1,0.03000300030003
765,5,0,1,1,2,::1O:1O:1O,,1N4O2S,,1L:1L,1,0.03000300030003
766,6,0,3,1,2,::1O:1O:1O:1O,,1O1S:1O1S:1O1S,,1L:1L,1,0.03000300030003
767,5,0,1,1,2,:1O:1O:1O:2O,,3O2S,,1L:1L,1,0.03000300030003
768,5,0,1,1,2,:1O:1O:1O:2O,,3O1S,,1L:1L,1,0.03000300030003
769,6,0,3,1,1,::::1O:1O,,1O:2O:2O,,1L,1,0.03000300030003
770,6,0,3,1,2,::1O:1O:1O:1O,,:1O1S:2O,,1L:1L,1,0.03000300030003
771,6,0,3,1,2,::1O:1O:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
772,6,0,3,1,2,::1O:1O:1O:2O,,:1O:1O1S,,1L:1L,1,0.03000300030003
773,6,0,3,1,2,::1O:1O:1O:2O,,:1O:2O1S,,1L:1L,1,0.03000300030003
