,num_dol,num_tfeibe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfeibe,atoms_tfsi,atoms_ps,atoms_li,count,%
2414,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2415,4,0,2,2,2,:1O:1O:1O,,2O:2O1S,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
2416,4,0,2,2,2,:1O:1O:1O,,2O:2O1S,:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2417,4,0,2,2,2,:1O:1O:1O,,2O:2O2S,1S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2418,4,0,2,2,2,:1O:1O:1O,,2O:2O2S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
2419,4,0,2,2,2,:1O:1O:1O,,2O:2O2S,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2420,4,0,2,2,2,:1O:1O:1O,,2O:3O2S,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2421,4,0,2,2,2,:1O:1O:2O,,1N1O1S:1O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2422,4,0,2,2,2,::1O:1O,,1O:1O1S,2S:2S:2S:3S:3S:3S:4S:5S,1L:1L,1,0.03000300030003
2423,4,0,2,2,2,:1O:1O:2O,,1N1O1S:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2424,4,0,2,2,2,:1O:1O:2O,,1N1O:1N2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2425,4,0,2,2,2,:1O:1O:2O,,1N1O:1O,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
2426,4,0,2,2,2,:1O:1O:2O,,1N4O2S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2427,4,0,2,2,2,:1O:1O:2O,,1O1S:3O,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2428,4,0,2,2,2,:1O:1O:2O,,1O:1O,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
2429,4,0,2,2,2,:1O:1O:2O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
2430,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
2431,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2432,4,0,2,2,2,:1O:1O:1O,,1O:3O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2433,4,0,2,2,2,:1O:1O:1O,,1O:2O2S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
2434,4,0,2,2,2,:1O:1O:1O,,1N3O1S:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
