,num_dol,num_meim,num_tfsi,num_ps,num_li,atoms_dol,atoms_meim,atoms_tfsi,atoms_ps,atoms_li,count,%
34,5,4,0,1,1,:::1O:1O,::1N:1N,,,1L,12,0.36003600360036
35,3,4,0,1,0,::1O,:::1N,,,,12,0.36003600360036
36,4,3,0,1,1,:1O:1O:1O,::1N,,,1L,11,0.33003300330033
37,2,5,0,1,1,1O:1O,:::1N:1N,,,1L,11,0.33003300330033
38,3,4,0,1,0,::,:::1N,,,,11,0.33003300330033
39,3,3,0,1,1,::1O,1N:1N:1N,,,1L,11,0.33003300330033
40,1,5,0,1,1,1O,::1N:1N:1N,,,1L,11,0.33003300330033
41,3,3,0,1,1,:1O:1O,:1N:1N,,,1L,11,0.33003300330033
42,4,3,0,1,1,:::1O,1N:1N:1N,,,1L,10,0.3000300030003
43,3,5,0,1,0,::1O,::::1N,,,,10,0.3000300030003
44,5,3,0,1,1,::1O:1O:1O,:1N:1N,,,1L,10,0.3000300030003
45,4,3,0,1,0,:::,::1N,,,,10,0.3000300030003
46,4,4,0,1,0,:::,:::1N,,,,10,0.3000300030003
47,2,5,0,1,1,:1O,:1N:1N:1N:1N,,,1L,10,0.3000300030003
48,2,5,0,1,1,:,:::1N:1N,,,1L,10,0.3000300030003
49,1,6,0,1,1,1O,:::1N:1N:1N,,,1L,10,0.3000300030003
50,3,5,0,1,0,::,::::,,,,9,0.27002700270027
51,2,5,1,1,1,:1O,:::1N:1N,,,1L,9,0.27002700270027
52,5,2,0,1,1,::1O:1O:1O,1N:1N,,,1L,9,0.27002700270027
53,5,3,0,1,1,:::1O:1O,::1N,,,1L,9,0.27002700270027
54,2,4,0,1,1,1O:1O,::1N:1N,,,1L,9,0.27002700270027
55,2,5,0,1,1,:1O,::1N:1N:2N,,,1L,9,0.27002700270027
56,3,5,0,1,2,:1O:1O,1N:1N:1N:1N:1N,,,1L:1L,9,0.27002700270027
57,5,4,0,1,1,::::1O,::1N:1N,,,1L,8,0.24002400240024
58,2,5,0,1,0,:,::::1N,,,,8,0.24002400240024
59,3,4,0,1,1,::1O,:1N:1N:2N,,,1L,8,0.24002400240024
60,2,4,0,1,1,1O:1O,:1N:1N:1N,,,1L,8,0.24002400240024
61,3,5,0,1,1,:1O:1O,::1N:1N:1N,,,1L,8,0.24002400240024
62,3,6,0,1,1,::,:::1N:1N:1N,,,1L,8,0.24002400240024
63,2,4,0,1,1,:,:1N:1N:1N,,,1L,8,0.24002400240024
64,4,2,0,1,1,::1O:1O,:1N,,,1L,8,0.24002400240024
65,3,4,0,1,1,:1O:1O,:1N:1N:2N,,,1L,8,0.24002400240024
66,1,7,0,1,1,,::::1N:1N:1N,,,1L,8,0.24002400240024
67,2,4,1,1,1,:1O,::1N:1N,,,1L,8,0.24002400240024
68,4,3,0,1,0,:::1O,::,,,,8,0.24002400240024
69,4,3,0,1,0,:::1O,::1N,,,,8,0.24002400240024
70,3,4,0,1,1,1O:1O:1O,::1N:1N,,,1L,8,0.24002400240024
71,1,6,0,1,1,1O,::::1N:1N,,,1L,8,0.24002400240024
72,3,5,0,1,0,::,::::1N,,,,8,0.24002400240024
73,3,4,1,1,1,:1O:1O,::1N:1N,,,1L,8,0.24002400240024
74,6,2,0,1,1,:::1O:1O:1O,:1N,,,1L,8,0.24002400240024
75,3,4,1,1,1,::1O,::1N:1N,1O,,1L,8,0.24002400240024
76,2,4,0,1,1,:1O,:1N:1N:2N,,,1L,8,0.24002400240024
77,2,7,0,1,1,:,::::1N:1N:1N,,,1L,8,0.24002400240024
78,4,2,0,1,1,:::1O,1N:1N,,,1L,8,0.24002400240024
79,4,5,0,1,1,::1O:1O,:::1N:1N,,,1L,7,0.21002100210021
80,4,5,0,1,1,:::1O,:::1N:1N,,,1L,7,0.21002100210021
81,3,4,1,1,1,::1O,::1N:1N,,,1L,7,0.21002100210021
82,2,5,0,1,1,:,:1N:1N:1N:1N,,,1L,7,0.21002100210021
83,3,4,0,1,1,1O:1O:1O,:::1N,,,1L,7,0.21002100210021
84,4,4,0,1,1,::1O:1O,:1N:1N:1N,,,1L,7,0.21002100210021
85,3,4,0,1,1,:1O:1O,:::1N,,,1L,7,0.21002100210021
86,1,5,0,1,0,,::::1N,,,,7,0.21002100210021
87,4,4,0,1,0,:::1O,:::,,,,7,0.21002100210021
88,3,4,1,1,1,::,::1N:1N,1O,,1L,7,0.21002100210021
89,3,4,0,1,0,::,::1N:1N,,,,7,0.21002100210021
90,2,4,1,1,1,:,::1N:1N,1O,,1L,6,0.18001800180018
91,2,6,0,1,1,:1O,::1N:1N:1N:1N,,,1L,6,0.18001800180018
92,3,4,0,1,0,::1O,:::,,,,6,0.18001800180018
93,2,6,0,1,0,:,:::::1N,,,,6,0.18001800180018
94,3,3,0,1,1,:1O:1O,1N:1N:1N,,,1L,6,0.18001800180018
95,4,4,0,1,1,:::,::1N:1N,,,1L,6,0.18001800180018
96,3,4,0,1,0,::,:::,,,,6,0.18001800180018
97,3,3,0,1,0,::,::1N,,,,6,0.18001800180018
98,4,2,0,1,1,::1O:1O,1N:1N,,,1L,6,0.18001800180018
99,1,6,0,1,2,1O,:1N:1N:1N:1N:1N,,,1L:1L,6,0.18001800180018
100,2,5,0,1,2,1O:1O,1N:1N:1N:1N:1N,,,1L:1L,6,0.18001800180018
101,4,3,0,1,0,:::,::,,,,6,0.18001800180018
102,2,5,1,1,1,:1O,::1N:1N:1N,,,1L,6,0.18001800180018
103,6,2,0,1,1,::::1O:1O,:1N,,,1L,6,0.18001800180018
104,4,2,0,1,1,:1O:1O:1O,:1N,,,1L,6,0.18001800180018
105,4,4,0,1,1,::1O:1O,:::1N,,,1L,6,0.18001800180018
106,5,3,0,1,0,::::1O,::1N,,,,6,0.18001800180018
107,2,5,0,1,2,:1O,1N:1N:1N:1N:1N,,,1L:1L,6,0.18001800180018
108,4,4,0,1,0,:::1O,:::1N,,,,6,0.18001800180018
109,4,3,0,1,1,::1O:1O,1N:1N:1N,,,1L,6,0.18001800180018
110,1,6,1,1,2,1O,:1N:1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
111,1,6,0,1,1,,:1N:1N:1N:1N:1N,,,1L,5,0.15001500150015
112,1,6,0,1,0,,:::::1N,,,,5,0.15001500150015
113,2,4,0,1,1,:1O,1N:1N:1N:2N,,,1L,5,0.15001500150015
114,1,6,0,1,0,,::::1N:1N,,,,5,0.15001500150015
115,5,2,0,1,1,:::1O:1O,:1N,,,1L,5,0.15001500150015
116,2,4,1,1,1,:,:1N:1N:1N,,,1L,5,0.15001500150015
117,4,4,0,1,1,:::,:1N:1N:1N,,,1L,5,0.15001500150015
118,3,3,0,1,1,:1O:1O,:1N:2N,,,1L,5,0.15001500150015
119,4,3,1,1,1,:::1O,:1N:1N,,,1L,5,0.15001500150015
120,1,6,0,1,1,1O,::1N:1N:1N:1N,,,1L,5,0.15001500150015
121,3,3,0,1,1,::1O,::1N,,,1L,5,0.15001500150015
122,4,4,0,1,1,::1O:2O,:::1N,,,1L,5,0.15001500150015
123,3,6,0,1,0,::1O,:::::1N,,,,5,0.15001500150015
124,5,2,0,1,1,::1O:1O:1O,:1N,,,1L,5,0.15001500150015
125,4,3,0,1,1,:::,:1N:1N,,,1L,5,0.15001500150015
126,4,3,0,1,1,:1O:1O:2O,:1N:1N,,,1L,5,0.15001500150015
127,4,3,0,1,1,1O:1O:1O:1O,::1N,,,1L,5,0.15001500150015
128,4,2,0,1,1,:1O:1O:1O,1N:1N,,,1L,5,0.15001500150015
129,1,5,0,1,1,,:1N:1N:1N:1N,,,1L,5,0.15001500150015
130,1,5,0,1,1,,::1N:1N:1N,,,1L,5,0.15001500150015
131,4,3,0,1,1,:::2O,:1N:1N,,,1L,5,0.15001500150015
132,3,4,0,1,2,:1O:1O,1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
133,1,5,0,1,2,1O,1N:1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
134,4,5,0,1,1,:::,::1N:1N:1N,,,1L,5,0.15001500150015
135,3,3,0,1,0,::,:1N:1N,,,,5,0.15001500150015
136,3,3,0,1,0,::,::,,,,5,0.15001500150015
137,4,5,0,1,1,::1O:1O,::1N:1N:1N,,,1L,5,0.15001500150015
138,3,5,0,1,0,::1O,::::,,,,5,0.15001500150015
139,5,4,0,1,0,::::1O,:::,,,,5,0.15001500150015
140,2,6,0,1,2,:1O,:1N:1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
141,2,7,0,1,1,:1O,::::1N:1N:1N,,,1L,5,0.15001500150015
142,2,4,0,1,0,:,:::,,,,5,0.15001500150015
143,1,7,0,1,2,,:1N:1N:1N:1N:1N:1N,,,1L:1L,5,0.15001500150015
144,4,3,0,1,1,:1O:1O:1O,1N:1N:1N,,,1L,4,0.12001200120012
145,6,3,0,1,1,::::1O:1O,::1N,,,1L,4,0.12001200120012
146,1,6,0,1,1,1O,:::1N:1N:2N,,,1L,4,0.12001200120012
147,2,3,0,1,1,:1O,:1N:1N,,,1L,4,0.12001200120012
148,3,2,0,1,1,::1O,1N:1N,,,1L,4,0.12001200120012
149,2,5,0,2,2,:1O,:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
150,3,4,1,1,1,:1O:1O,::1N:1N,1O,,1L,4,0.12001200120012
151,0,7,0,1,1,,:::1N:1N:1N:2N,,,1L,4,0.12001200120012
152,2,6,0,1,0,:,:::::,,,,4,0.12001200120012
153,3,6,0,1,0,::,:::::1N,,,,4,0.12001200120012
154,4,3,0,1,0,::1O:1O,::,,,,4,0.12001200120012
155,2,4,0,1,1,:,::1N:1N,,,1L,4,0.12001200120012
156,3,4,1,1,1,::,:1N:1N:1N,,,1L,4,0.12001200120012
157,3,3,1,1,1,:1O:1O,:1N:1N,,,1L,4,0.12001200120012
158,2,6,0,1,1,:1O,::1N:1N:1N:2N,,,1L,4,0.12001200120012
159,3,4,0,1,1,1O:1O:1O,:1N:1N:1N,,,1L,4,0.12001200120012
160,5,2,0,1,1,::::1O,1N:1N,,,1L,4,0.12001200120012
161,3,3,1,1,1,::1O,:1N:1N,,,1L,4,0.12001200120012
162,5,2,0,1,1,:::1O:1O,1N:1N,,,1L,4,0.12001200120012
163,6,2,0,1,0,:::::1O,:,,,,4,0.12001200120012
164,2,4,0,1,0,:1O,:::,,,,4,0.12001200120012
165,2,4,1,1,2,1O:1O,:1N:1N:1N,1O,,1L:1L,4,0.12001200120012
166,3,5,0,1,1,::,:1N:1N:1N:1N,,,1L,4,0.12001200120012
167,4,3,1,1,1,::1O:1O,:1N:1N,1O,,1L,4,0.12001200120012
168,3,5,0,1,1,::1O,::1N:1N:2N,,,1L,4,0.12001200120012
169,2,4,0,1,0,:,::1N:1N,,,,4,0.12001200120012
170,3,5,0,1,1,::1O,:1N:1N:1N:1N,,,1L,4,0.12001200120012
171,4,3,1,1,1,::1O:1O,::1N,,,1L,4,0.12001200120012
172,1,5,1,1,1,1O,:::1N:1N,,,1L,4,0.12001200120012
173,4,3,1,1,1,::1O:1O,::1N,1O,,1L,4,0.12001200120012
174,3,5,0,1,2,::1O,1N:1N:1N:1N:1N,,,1L:1L,4,0.12001200120012
175,2,5,0,1,0,:,:::1N:1N,,,,4,0.12001200120012
176,3,6,0,1,1,::1O,::::1N:1N,,,1L,4,0.12001200120012
177,1,5,0,1,1,1O,:::1N:1N,,,1L,4,0.12001200120012
178,2,5,0,1,1,:,::1N:1N:2N,,,1L,4,0.12001200120012
179,4,4,0,1,0,:::,:::,,,,4,0.12001200120012
180,2,5,0,1,0,:1O,::::1N,,,,4,0.12001200120012
181,1,5,0,1,0,,:::1N:1N,,,,4,0.12001200120012
182,5,3,0,1,0,::::1O,::,,,,4,0.12001200120012
183,2,4,0,1,1,1O:1O,:::1N,,,1L,4,0.12001200120012
184,2,5,0,1,2,:1O,:1N:1N:1N:1N,,,1L:1L,4,0.12001200120012
185,3,3,0,1,1,::,1N:1N:1N,,,1L,4,0.12001200120012
186,2,5,0,1,2,:1O,1N:1N:1N:1N:2N,,,1L:1L,4,0.12001200120012
187,3,6,0,1,1,::1O,:::1N:1N:1N,,,1L,4,0.12001200120012
188,4,5,0,1,1,:::1O,::1N:1N:1N,,,1L,3,0.09000900090009
189,3,3,1,1,1,:1O:1O,1N:1N:1N,,,1L,3,0.09000900090009
190,3,3,0,2,1,::1O,::1N,,::1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
191,2,3,1,1,1,:1O,:1N:1N,1O,,1L,3,0.09000900090009
192,4,5,0,1,1,::1O:1O,::::1N,,,1L,3,0.09000900090009
193,4,4,0,1,2,:1O:1O:1O,1N:1N:1N:1N,,,1L:1L,3,0.09000900090009
194,2,3,0,1,0,:1O,::1N,,,,3,0.09000900090009
195,3,3,1,1,1,:1O:1O,::1N,,,1L,3,0.09000900090009
196,3,3,0,2,1,::1O,::1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L,3,0.09000900090009
197,3,5,1,1,1,::1O,:::1N:1N,,,1L,3,0.09000900090009
198,4,4,1,1,1,:::1O,:::1N,1O,,1L,3,0.09000900090009
199,3,3,1,1,0,::,::,,,,3,0.09000900090009
200,3,3,1,1,1,:1O:1O,::1N,1O,,1L,3,0.09000900090009
201,2,4,1,1,1,:1O,:::1N,1O,,1L,3,0.09000900090009
202,2,4,0,1,1,:1O,::1N:2N,,,1L,3,0.09000900090009
203,2,5,1,1,2,:1O,:1N:1N:1N:1N,1O,,1L:1L,3,0.09000900090009
204,4,3,0,1,1,:::,1N:1N:1N,,,1L,3,0.09000900090009
205,4,3,0,1,1,::1O:1O,::,,,1L,3,0.09000900090009
206,4,3,0,1,1,::1O:1O,:1N:2N,,,1L,3,0.09000900090009
207,2,5,1,1,1,1O:1O,::1N:1N:1N,,,1L,3,0.09000900090009
208,2,5,1,1,1,1O:1O,:::1N:1N,,,1L,3,0.09000900090009
209,2,5,1,1,1,:,::1N:1N:1N,,,1L,3,0.09000900090009
210,2,5,1,1,1,:,:::1N:1N,,,1L,3,0.09000900090009
211,2,5,1,1,1,:,:::1N:1N,1O,,1L,3,0.09000900090009
212,4,3,0,1,0,:::,:1N:1N,,,,3,0.09000900090009
213,2,5,0,1,2,1O:1O,:1N:1N:1N:1N,,,1L:1L,3,0.09000900090009
214,2,6,0,1,1,1O:1O,:::1N:1N:1N,,,1L,3,0.09000900090009
215,2,6,0,1,1,1O:1O,::::1N:1N,,,1L,3,0.09000900090009
216,2,6,0,1,1,:,::::1N:1N,,,1L,3,0.09000900090009
217,2,6,0,1,1,:1O,:::1N:1N:2N,,,1L,3,0.09000900090009
218,4,2,0,2,1,:::1O,:1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,3,0.09000900090009
219,4,2,1,1,1,:::1O,1N:1N,1O,,1L,3,0.09000900090009
220,4,2,1,1,1,:::1O,1N:1N,,,1L,3,0.09000900090009
221,2,6,1,1,1,:1O,::::1N:1N,,,1L,3,0.09000900090009
222,4,2,0,1,1,:1O:1O:2O,:1N,,,1L,3,0.09000900090009
223,2,5,0,1,1,:2O,:::1N:1N,,,1L,3,0.09000900090009
224,2,4,0,1,1,:1O,:::1N,,,1L,3,0.09000900090009
225,4,3,1,1,1,::1O:1O,:1N:1N,,,1L,3,0.09000900090009
226,4,4,0,1,1,::1O:2O,::1N:1N,,,1L,3,0.09000900090009
227,3,3,0,1,1,::1O,1N:1N:2N,,,1L,3,0.09000900090009
228,4,4,0,1,1,:1O:1O:1O,:::1N,,,1L,3,0.09000900090009
229,2,4,0,2,1,:1O,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
230,4,4,0,1,0,::1O:1O,:::,,,,3,0.09000900090009
231,3,3,0,1,1,:1O:2O,:1N:1N,,,1L,3,0.09000900090009
232,3,3,0,1,1,:1O:2O,1N:1N:1N,,,1L,3,0.09000900090009
233,2,4,1,1,1,:,::1N:1N,,,1L,3,0.09000900090009
234,2,4,1,1,1,:1O,:1N:1N:1N,,,1L,3,0.09000900090009
235,2,5,0,1,1,:1O,:::1N:2N,,,1L,3,0.09000900090009
236,3,5,1,1,0,::1O,::::,,,,3,0.09000900090009
237,3,3,0,1,0,::1O,::1N,,,,3,0.09000900090009
238,3,3,0,1,0,::1O,::,,,,3,0.09000900090009
239,3,3,0,1,0,::1O,:1N:1N,,,,3,0.09000900090009
240,2,5,0,1,0,:,::1N:1N:1N,,,,3,0.09000900090009
241,2,5,0,1,0,:,:::1N:2N,,,,3,0.09000900090009
242,2,5,0,1,0,:2O,::::1N,,,,3,0.09000900090009
243,2,5,0,1,1,1O:1O,:::1N:2N,,,1L,3,0.09000900090009
244,3,5,1,1,1,:1O:1O,:::1N:1N,1O,,1L,3,0.09000900090009
245,2,7,0,1,0,:,::::::1N,,,,3,0.09000900090009
246,5,2,0,1,0,::::,:,,,,3,0.09000900090009
247,3,4,0,1,1,1O:1O:2O,::1N:1N,,,1L,3,0.09000900090009
248,3,4,0,1,1,::,::1N:1N,,,1L,3,0.09000900090009
249,1,5,1,1,1,,::1N:1N:1N,1O,,1L,3,0.09000900090009
250,5,4,0,1,1,::::1O,:1N:1N:1N,,,1L,3,0.09000900090009
251,3,4,1,1,0,::,:::1N,,,,3,0.09000900090009
252,5,2,0,1,0,::::,:1N,,,,3,0.09000900090009
253,3,5,0,1,1,::1O,:::1N:2N,,,1L,3,0.09000900090009
254,1,5,0,1,1,1O,::1N:1N:2N,,,1L,3,0.09000900090009
255,3,5,0,1,2,:1O:1O,:1N:1N:1N:1N,,,1L:1L,3,0.09000900090009
256,1,4,1,1,1,1O,::1N:1N,,,1L,3,0.09000900090009
257,3,4,0,2,1,::1O,::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
258,3,5,0,1,1,:1O:1O,::::1N,,,1L,3,0.09000900090009
259,6,3,0,1,1,::::1O:1O,:1N:1N,,,1L,3,0.09000900090009
260,1,5,1,1,1,,:::1N:1N,1O1S,,1L,3,0.09000900090009
261,1,6,1,1,1,1O,:::1N:1N:1N,,,1L,3,0.09000900090009
262,3,4,0,1,1,::1O,:::1N,,,1L,3,0.09000900090009
263,3,4,0,1,1,::1O,::1N:2N,,,1L,3,0.09000900090009
264,5,4,0,1,1,:::1O:1O,:::1N,,,1L,3,0.09000900090009
265,1,7,0,1,1,,::1N:1N:1N:1N:1N,,,1L,3,0.09000900090009
266,5,3,0,1,1,:::1O:1O,:1N:2N,,,1L,3,0.09000900090009
267,3,4,0,1,1,:1O:2O,::1N:1N,,,1L,3,0.09000900090009
268,5,4,0,1,1,:::1O:1O,:1N:1N:1N,,,1L,3,0.09000900090009
269,3,3,1,1,1,::1O,1N:1N:1N,,,1L,3,0.09000900090009
270,6,2,0,1,1,:::::1O,1N:1N,,,1L,3,0.09000900090009
271,3,4,0,1,1,::,1N:1N:1N:1N,,,1L,3,0.09000900090009
272,3,4,0,1,1,::2O,:1N:1N:1N,,,1L,3,0.09000900090009
273,6,2,0,1,0,::::1O:1O,:,,,,3,0.09000900090009
274,5,3,0,1,0,:::1O:1O,::1N,,,,3,0.09000900090009
275,6,2,0,1,1,::::1O:1O,1N:1N,,,1L,3,0.09000900090009
276,1,6,0,1,1,,::1N:1N:1N:2N,,,1L,3,0.09000900090009
277,5,3,0,1,1,:1O:1O:1O:1O,::1N,,,1L,3,0.09000900090009
278,5,3,1,1,1,::::1O,::1N,1O,,1L,2,0.06000600060006
279,4,6,0,1,1,:::1O,:::1N:1N:1N,,,1L,2,0.06000600060006
280,0,8,0,1,1,,:::1N:1N:1N:1N:1N,,,1L,2,0.06000600060006
281,5,4,0,1,0,:::1O:1O,:::,,,,2,0.06000600060006
282,2,4,1,1,2,1O:1O,1N:1N:1N:1N,,,1L:1L,2,0.06000600060006
283,3,3,0,1,0,::2O,::1N,,,,2,0.06000600060006
284,5,3,1,1,1,:::1O:1O,::1N,1O,,1L,2,0.06000600060006
285,2,4,1,1,1,:1O,::1N:1N,1O,,1L,2,0.06000600060006
286,3,4,0,1,2,1O:1O:1O,1N:1N:1N:1N,,,1L:1L,2,0.06000600060006
287,4,3,1,1,1,:1O:1O:1O,::1N,1O,,1L,2,0.06000600060006
288,2,4,1,1,1,:1O,:1N:1N:1N,1O,,1L,2,0.06000600060006
289,4,3,0,1,0,:::1O,::2N,,,,2,0.06000600060006
290,4,3,1,1,1,:1O:1O:1O,:1N:1N,,,1L,2,0.06000600060006
291,2,4,1,1,1,:,:1N:1N:2N,1O,,1L,2,0.06000600060006
292,2,4,1,1,1,:,:::1N,1O,,1L,2,0.06000600060006
293,3,2,0,1,1,:1O:1O,:1N,,,1L,2,0.06000600060006
294,2,4,0,2,2,1O:1O,:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
295,1,5,1,2,1,,:::1N:1N,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
296,4,4,0,1,0,:::,::1N:1N,,,,2,0.06000600060006
297,5,3,0,1,1,::1O:1O:1O,::1N,,,1L,2,0.06000600060006
298,6,4,0,1,1,::::1O:1O,::1N:1N,,,1L,2,0.06000600060006
299,3,3,0,1,1,:1O:2O,:1N:2N,,,1L,2,0.06000600060006
300,2,4,1,1,0,:,:::1N,,,,2,0.06000600060006
301,3,4,0,1,1,::,:1N:1N:2N,,,1L,2,0.06000600060006
302,5,3,0,1,1,:::1O:2O,:1N:1N,,,1L,2,0.06000600060006
303,2,4,1,1,1,1O:1O,:1N:1N:1N,1O,,1L,2,0.06000600060006
304,5,3,0,1,1,::::1O,1N:1N:1N,,,1L,2,0.06000600060006
305,2,4,1,1,1,1O:1O,::1N:1N,1O,,1L,2,0.06000600060006
306,5,3,0,1,1,::::1O,:1N:2N,,,1L,2,0.06000600060006
307,3,3,0,1,1,:1O:1O,1N:1N:2N,,,1L,2,0.06000600060006
308,5,3,0,1,1,::::1O,::1N,,,1L,2,0.06000600060006
309,1,5,1,1,1,1O,:::1N:1N,1O,,1L,2,0.06000600060006
310,2,4,1,1,1,:,:1N:1N:1N,1O,,1L,2,0.06000600060006
311,3,4,0,1,1,::1O,1N:1N:1N:2N,,,1L,2,0.06000600060006
312,4,3,0,2,2,1O:1O:1O:1O,:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
313,4,3,0,1,0,:::,::2N,,,,2,0.06000600060006
314,1,5,1,1,1,,:::1N:1N,1O,,1L,2,0.06000600060006
315,3,3,0,1,1,1O:1O:1O,:1N:1N,,,1L,2,0.06000600060006
316,1,5,1,1,1,,::1N:1N:2N,,,1L,2,0.06000600060006
317,3,4,0,1,2,1O:1O:1O,:1N:1N:1N,,,1L:1L,2,0.06000600060006
318,4,2,0,1,0,:::,:1N,,,,2,0.06000600060006
319,5,4,0,1,1,::1O:1O:1O,::1N:1N,,,1L,2,0.06000600060006
320,0,8,0,1,1,,::::1N:1N:1N:1N,,,1L,2,0.06000600060006
321,1,4,0,1,1,,:1N:1N:1N,,,1L,2,0.06000600060006
322,4,3,0,1,1,:::1O,::1N,,,1L,2,0.06000600060006
323,2,5,0,1,1,:2O,::1N:1N:1N,,,1L,2,0.06000600060006
324,6,1,0,1,1,:::1O:1O:1O,1N,,,1L,2,0.06000600060006
325,6,1,0,1,1,::::1O:1O,1N,,,1L,2,0.06000600060006
326,1,4,1,1,2,1O,1N:1N:1N:1N,1O,,1L:1L,2,0.06000600060006
327,4,3,0,1,1,:::1O,::,,,1L,2,0.06000600060006
328,1,4,0,1,1,,:1N:1N:2N,,,1L,2,0.06000600060006
329,2,5,0,1,2,:,1N:1N:1N:1N:1N,,,1L:1L,2,0.06000600060006
330,1,4,1,1,1,1O,:::1N,1O,,1L,2,0.06000600060006
331,3,5,0,1,1,:1O:1O,::1N:1N:2N,,,1L,2,0.06000600060006
332,1,4,1,1,1,1O,::1N:1N,1O,,1L,2,0.06000600060006
333,3,4,0,2,1,::1O,::1N:1N,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
334,6,2,0,1,0,::::1O:2O,:,,,,2,0.06000600060006
335,3,4,0,2,1,::1O,:::1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
336,4,3,0,1,1,::1O:2O,::1N,,,1L,2,0.06000600060006
337,2,5,1,1,0,:,::::1N,,,,2,0.06000600060006
338,4,3,0,1,1,::1O:2O,1N:1N:1N,,,1L,2,0.06000600060006
339,2,5,0,2,1,:1O,:::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
340,3,4,0,2,2,:1O:1O,:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
341,2,5,0,2,1,:1O,::::1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
342,4,3,0,1,1,::1O:1O,1N:1N:2N,,,1L,2,0.06000600060006
