,num_dol,num_dmf,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmf,atoms_tfsi,atoms_ps,atoms_li,count,%
195,2,6,0,1,1,1O:1O,:::1N:1O:1O,,,1L,3,0.09000900090009
196,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,3,0.09000900090009
197,4,2,0,1,1,:1O:1O:1O,1O:1O,,,1L,3,0.09000900090009
198,2,6,0,1,1,:,:1N:1N:1O:1O:1O,,,1L,3,0.09000900090009
199,4,3,0,1,1,::1O:1O,1N:1N1O:1O,,,1L,3,0.09000900090009
200,1,7,0,1,2,1O,:1O:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
201,2,5,0,1,2,1O:1O,1N1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
202,2,5,0,2,1,:1O,::::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
203,3,4,0,1,1,:1O:1O,::1N:1O,,,1L,3,0.09000900090009
204,4,2,1,1,1,::1O:1O,:1O,,,1L,3,0.09000900090009
205,2,5,0,1,2,1O:2O,1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
206,1,6,1,1,2,1O,:1O:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
207,5,1,0,1,1,::1O:1O:1O,,,,1L,3,0.09000900090009
208,2,5,1,1,2,:,1O:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
209,2,5,0,1,2,1O:1O,:1N1O:1N1O:1O:1O,,,1L:1L,3,0.09000900090009
210,1,7,0,1,1,1O,::::1O:1O:1O,,,1L,3,0.09000900090009
211,3,4,0,1,0,::,::1N:1N,,,,3,0.09000900090009
212,2,5,0,1,2,1O:1O,1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
213,3,4,0,1,2,:1O:1O,1N1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
214,1,7,0,1,2,,:1O:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
215,3,3,0,2,1,::,::1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,3,0.09000900090009
216,4,5,0,1,1,:1O:1O:1O,:::1O:1O,,,1L,3,0.09000900090009
217,3,4,0,1,2,:1O:1O,:1O:1O:1O,,,1L:1L,3,0.09000900090009
218,2,6,0,1,2,:,:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
219,2,5,0,1,1,:1O,::1N:1N1O:1O,,,1L,3,0.09000900090009
220,4,3,0,1,1,::1O:1O,1N1O:1O:1O,,,1L,3,0.09000900090009
221,3,6,0,1,1,::1O,:::1N:1O:1O,,,1L,3,0.09000900090009
222,3,5,0,1,1,::,:::1O:1O,,,1L,3,0.09000900090009
223,2,4,0,1,1,:2O,::1O:1O,,,1L,3,0.09000900090009
224,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
225,3,6,0,1,1,::,:::1N1O:1O:1O,,,1L,3,0.09000900090009
226,3,5,0,1,1,::1O,:1N1O:1O:1O:1O,,,1L,3,0.09000900090009
227,3,5,0,1,1,::1O,:1N:1N1O:1O:1O,,,1L,3,0.09000900090009
228,4,3,0,1,1,:::1O,1O:1O:1O,,,1L,3,0.09000900090009
229,3,5,0,1,1,::1O,:1N:1O:1O:1O,,,1L,3,0.09000900090009
230,2,4,1,1,1,:1O,:1N:1O:1O,,,1L,3,0.09000900090009
231,2,4,1,1,1,:1O,::1O:1O,,,1L,3,0.09000900090009
232,3,6,0,1,1,::,::1N:1O:1O:1O,,,1L,3,0.09000900090009
233,3,2,0,1,1,:1O:1O,:1O,,,1L,3,0.09000900090009
234,2,7,0,1,2,:1O,::1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
235,2,7,0,1,2,:1O,::1N1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
236,3,3,0,1,0,::1O,::,,,,3,0.09000900090009
237,3,3,0,1,1,1O:1O:1O,::1O,,,1L,3,0.09000900090009
238,2,6,1,1,1,:1O,::::1O:1O,,,1L,3,0.09000900090009
239,2,4,0,1,1,1O:1O,:1N:1N1O:1O,,,1L,3,0.09000900090009
240,2,3,1,1,1,:1O,:1N1O:1O,1O,,1L,3,0.09000900090009
241,3,3,0,1,1,::1O,1N:1N1O:1O,,,1L,3,0.09000900090009
242,2,6,0,1,2,:1O,1N1O:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
243,3,3,0,1,1,::1O,1N1O:1O:1O,,,1L,3,0.09000900090009
244,4,4,0,1,1,:1O:1O:1O,::1N:1O,,,1L,3,0.09000900090009
245,2,4,0,1,1,1O:1O,:1N1O:1O:1O,,,1L,3,0.09000900090009
246,3,5,0,1,1,1O:1O:1O,:::1O:1O,,,1L,3,0.09000900090009
247,2,4,0,1,1,:1O,:1N1O:1N1O:1O,,,1L,3,0.09000900090009
248,2,4,0,1,1,1O:1O,::1N1O:1O,,,1L,3,0.09000900090009
249,2,4,0,1,1,1O:1O,::1N:1O,,,1L,3,0.09000900090009
250,3,5,0,1,1,:1O:1O,::1N1O:1O:1O,,,1L,3,0.09000900090009
251,3,3,0,1,1,:1O:2O,:1N:1O,,,1L,3,0.09000900090009
252,4,3,0,1,0,:::1O,::,,,,3,0.09000900090009
253,2,4,0,1,1,:1O,1N:1O:1O:1O,,,1L,3,0.09000900090009
254,3,5,0,1,1,::,:1N1O:1O:1O:1O,,,1L,3,0.09000900090009
255,3,4,0,1,1,:1O:2O,::1O:1O,,,1L,3,0.09000900090009
256,0,6,0,1,1,,::1N:1N1O:1O:1O,,,1L,3,0.09000900090009
257,5,4,0,1,1,:::1O:1O,:1O:1O:1O,,,1L,3,0.09000900090009
258,1,5,1,1,1,,:1N:1N:1O:1O,1O,,1L,3,0.09000900090009
259,1,5,1,1,1,,::1O:1O:1O,,,1L,3,0.09000900090009
260,6,2,0,1,1,::1O:1O:1O:1O,:1O,,,1L,3,0.09000900090009
261,5,3,0,1,1,:::1O:1O,1N1O:1O:1O,,,1L,3,0.09000900090009
262,5,5,0,1,1,::::1O,:::1O:1O,,,1L,3,0.09000900090009
263,5,2,0,1,1,:::1O:2O,:1O,,,1L,3,0.09000900090009
264,0,7,1,1,2,,::1N1O:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
265,1,5,0,1,2,1O,1N1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
266,1,6,0,1,1,,::::1N1O:1O,,,1L,3,0.09000900090009
267,5,3,0,1,1,::::,:1O:1O,,,1L,3,0.09000900090009
268,1,4,0,1,1,1O,:1N:1O:1O,,,1L,3,0.09000900090009
269,7,2,0,1,1,::::1O:1O:1O,1O:1O,,,1L,3,0.09000900090009
270,0,6,1,1,2,,:1N1O:1O:1O:1O:1O,2O1S,,1L:1L,3,0.09000900090009
271,6,3,0,1,1,::::1O:1O,:1O:1O,,,1L,3,0.09000900090009
272,1,5,0,1,2,1O,1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
273,0,6,1,1,2,,:1N1O:1O:1O:1O:1O,1O,,1L:1L,3,0.09000900090009
274,5,3,0,1,1,::::1O,1N:1O:1O,,,1L,3,0.09000900090009
275,5,2,0,1,1,::1O:1O:1O,:1O,,,1L,3,0.09000900090009
276,6,1,0,1,1,:::1O:1O:1O,1O,,,1L,3,0.09000900090009
277,1,5,0,1,1,,::1N1O:1O:1O,,,1L,3,0.09000900090009
278,1,6,0,1,1,1O,::::1O:1O,,,1L,3,0.09000900090009
279,1,6,0,1,1,1O,::1N1O:1O:1O:1O,,,1L,3,0.09000900090009
280,4,3,0,1,1,:::1O,1N:1N1O:1O,,,1L,2,0.06000600060006
281,4,3,0,1,2,1O:1O:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
282,4,3,0,1,1,:::2O,:1N1O:1O,,,1L,2,0.06000600060006
283,4,3,0,1,2,:1O:1O:1O,1O:1O:1O,,,1L:1L,2,0.06000600060006
284,3,2,1,1,2,:1O:1O,1O:1O,1O1S,,1L:1L,2,0.06000600060006
285,0,8,0,1,1,,:::1N:1N:1O:1O:1O,,,1L,2,0.06000600060006
286,3,5,0,1,1,::1O,:::1N1O:1O,,,1L,2,0.06000600060006
287,2,5,1,1,1,1O:1O,:::1O:1O,,,1L,2,0.06000600060006
288,5,2,1,1,1,::1O:1O:1O,:1N,,,1L,2,0.06000600060006
289,2,4,1,1,1,:,::1O:1O,1O,,1L,2,0.06000600060006
290,4,3,0,1,1,:::,1O:1O:1O,,,1L,2,0.06000600060006
291,5,2,1,1,1,::1O:1O:1O,:1O,,,1L,2,0.06000600060006
292,2,4,1,1,1,:1O,::1N1O:1O,1O,,1L,2,0.06000600060006
293,4,3,0,1,1,::1O:2O,:1O:1O,,,1L,2,0.06000600060006
294,3,5,0,1,1,::2O,::1O:1O:1O,,,1L,2,0.06000600060006
295,1,5,0,2,2,1O,:1N1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
296,2,4,1,1,1,:1O,::1O:1O,1O,,1L,2,0.06000600060006
297,2,4,1,1,1,:1O,:::1O,1O1S,,1L,2,0.06000600060006
298,5,2,1,1,1,:::1O:1O,:1O,1O,,1L,2,0.06000600060006
299,5,2,1,1,1,::::1O,1O:1O,,,1L,2,0.06000600060006
300,3,5,0,1,2,1O:1O:1O,:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
301,5,3,0,1,0,::1O:1O:1O,::,,,,2,0.06000600060006
302,4,3,0,2,1,::1O:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
303,2,6,0,1,1,:1O,::1N1O:1O:1O:1O,,,1L,2,0.06000600060006
304,3,3,0,1,0,:1O:1O,::1N,,,,2,0.06000600060006
305,3,3,0,1,0,::,::1N1O,,,,2,0.06000600060006
306,5,2,0,1,1,:::1O:2O,1O:1O,,,1L,2,0.06000600060006
307,1,5,1,1,1,1O,:::1O:1O,,,1L,2,0.06000600060006
308,2,4,0,1,1,:1O,1N:1N1O:1N1O:1O,,,1L,2,0.06000600060006
309,1,5,1,1,1,1O,:::1O:1O,1O,,1L,2,0.06000600060006
310,2,4,0,1,1,:,:1N:1O:1O,,,1L,2,0.06000600060006
311,2,4,0,1,1,:,:1N1O:1O:1O,,,1L,2,0.06000600060006
312,3,3,0,1,1,::1O,1O:1O:1O,,,1L,2,0.06000600060006
313,2,4,0,1,1,1O:2O,::1O:1O,,,1L,2,0.06000600060006
314,4,4,0,1,0,::1O:1O,:::,,,,2,0.06000600060006
315,3,3,0,1,1,::2O,:1O:1O,,,1L,2,0.06000600060006
316,5,2,0,1,1,:::1O:1O,1N1O:1O,,,1L,2,0.06000600060006
317,1,5,1,1,2,,1O:1O:1O:1O:1O,1O,,1L:1L,2,0.06000600060006
318,2,4,0,1,1,1O:1O,:1N1O:1N1O:1O,,,1L,2,0.06000600060006
319,2,4,0,1,1,1O:1O,1N:1O:1O:1O,,,1L,2,0.06000600060006
