,num_dol,num_tte,num_tfsi,num_ps,num_li,atoms_dol,atoms_tte,atoms_tfsi,atoms_ps,atoms_li,count,%
994,5,0,3,1,2,1O:1O:1O:1O:1O,,:1N1O1S:2O1S,,1L:1L,1,0.03000300030003
995,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:3O1S,,1L:1L,1,0.03000300030003
996,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
997,5,0,3,1,2,1O:1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
998,5,0,3,1,1,:::1O:2O,,:1O:2O,,1L,1,0.03000300030003
999,5,0,2,3,3,:1O:1O:1O:1O,,1N3O2S:1O1S,:::::::1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1000,5,0,2,2,3,::1O:1O:1O,,:1N3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1001,5,0,2,2,3,::1O:1O:1O,,1O:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1002,5,0,2,2,3,:1O:1O:1O:2O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1003,5,0,2,2,2,:1O:1O:2O:2O,,1O:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1004,5,0,2,2,3,:1O:1O:1O:1O,,:1N3O2S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1005,5,0,2,2,3,:1O:1O:1O:1O,,1N3O2S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1006,5,0,2,2,3,:1O:1O:1O:1O,,1N3O1S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1007,5,0,2,2,2,::1O:1O:2O,,:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1008,5,0,2,2,2,::1O:1O:2O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1009,5,0,2,2,2,::1O:1O:2O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1010,5,0,2,2,2,::1O:1O:1O,,1O:2O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1011,5,0,2,2,2,::1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1012,5,0,2,2,2,::1O:1O:1O,,1O:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1013,5,0,2,2,2,::1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1014,5,0,2,2,2,::1O:1O:1O,,1N2O1S:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1015,5,0,2,2,2,1O:1O:1O:1O:1O,,:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1016,5,0,2,2,2,1O:1O:1O:1O:1O,,:1N1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1017,5,0,2,2,2,1O:1O:1O:1O:1O,,1O:2O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
