,num_dol,num_etfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_etfe,atoms_tfsi,atoms_ps,atoms_li,count,%
75,5,0,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O,,1L:1L,4,0.12001200120012
76,5,1,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
77,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
78,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
79,3,0,4,1,2,:1O:1O,,1O:1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
80,5,0,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,4,0.12001200120012
81,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O,,1L:1L,4,0.12001200120012
82,3,0,3,1,2,1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,4,0.12001200120012
83,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,4,0.12001200120012
84,4,1,2,1,2,:1O:1O:1O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
85,4,1,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
86,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,4,0.12001200120012
87,5,0,3,1,2,:1O:1O:1O:1O,,:1O:1O1S,,1L:1L,4,0.12001200120012
88,5,0,1,1,2,:1O:1O:1O:2O,,2O2S,,1L:1L,4,0.12001200120012
89,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
90,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O2S,,1L:1L,4,0.12001200120012
91,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O,,1L:1L,4,0.12001200120012
92,4,1,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,4,0.12001200120012
93,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
94,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,4,0.12001200120012
95,4,0,1,2,2,1O:1O:1O:2O,,1N2O2S,:1S:1S:1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
96,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
97,4,1,1,2,2,1O:1O:1O:1O,,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,4,0.12001200120012
98,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,4,0.12001200120012
99,5,1,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,4,0.12001200120012
100,5,0,2,1,2,:1O:1O:1O:1O,,1N2O2S:2O1S,,1L:1L,4,0.12001200120012
101,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O2S,,1L:1L,4,0.12001200120012
102,5,1,2,1,2,1O:1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
103,6,1,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
104,4,0,3,1,2,1O:1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,3,0.09000900090009
105,6,1,1,1,1,:::1O:1O:1O,,1O1S,,1L,3,0.09000900090009
106,5,0,2,2,2,:1O:1O:1O:1O,,1N1O1S:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
107,6,1,1,1,2,:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
108,5,0,1,1,2,1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
109,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
110,3,0,4,1,2,:1O:1O,,1N1O1S:1O:1O:1O1S,,1L:1L,3,0.09000900090009
111,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O1S,,1L:1L,3,0.09000900090009
112,6,1,1,1,2,:1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
