,num_dol,num_ma,num_tfsi,num_ps,num_li,atoms_dol,atoms_ma,atoms_tfsi,atoms_ps,atoms_li,count,%
647,4,4,2,1,2,::1O:1O,::1O:1O,1O1S:1O1S,,1L:1L,1,0.03000300030003
648,4,4,2,1,2,::1O:1O,::1O:1O,1O:2O,,1L:1L,1,0.03000300030003
649,4,4,2,1,2,::1O:1O,::1O:1O,1O:2O1S,,1L:1L,1,0.03000300030003
650,4,4,2,1,2,::1O:1O,::1O:1O,2O:3O1S,,1L:1L,1,0.03000300030003
651,4,4,2,1,3,:1O:1O:1O,:1O:1O:1O,1N2O:3O1S,,1L:1L:1L,1,0.03000300030003
652,4,4,2,2,2,1O:1O:1O:1O,1O:1O:1O:1O,1O:1O,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
653,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
654,4,4,1,2,2,1O:1O:1O:1O,1O:1O:1O:1O,2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
655,4,4,3,1,2,::1O:1O,::1O:1O,1O:1O:2O1S,,1L:1L,1,0.03000300030003
656,3,3,2,1,3,1O:1O:1O,1O:1O:1O,1O:2O1S,,1L:1L:1L,1,0.03000300030003
657,3,3,3,1,2,1O:1O:1O,1O:1O:1O,1N1O1S:1O:1O1S,,1L:1L,1,0.03000300030003
658,3,3,3,1,2,1O:1O:1O,1O:1O:1O,1O:1O:1O1S,,1L:1L,1,0.03000300030003
659,3,3,3,1,2,1O:1O:1O,1O:1O:1O,1O:1O:2O1S,,1L:1L,1,0.03000300030003
660,3,3,3,1,2,1O:1O:1O,1O:1O:1O,1O:2O:2O1S,,1L:1L,1,0.03000300030003
661,3,3,3,1,2,1O:1O:1O,1O:1O:1O,:1O:2O,,1L:1L,1,0.03000300030003
662,3,3,3,1,2,1O:1O:2O,1O:1O:2O,1O:1O:1O,,1L:1L,1,0.03000300030003
663,3,3,3,1,2,:1O:1O,:1O:1O,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
664,3,3,3,1,2,:1O:1O,:1O:1O,1O:1O:2O,,1L:1L,1,0.03000300030003
665,4,4,0,1,1,:1O:1O:1O,:1O:1O:1O,,,1L,1,0.03000300030003
666,4,4,0,1,2,1O:2O:2O:2O,1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
667,4,4,0,2,1,1O:1O:1O:1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
668,4,4,0,2,1,:::1O,:::1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
669,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
670,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
671,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
672,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
673,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
674,4,4,0,2,2,1O:1O:1O:1O,1O:1O:1O:1O,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
675,4,4,0,2,2,1O:1O:1O:2O,1O:1O:1O:2O,,1S:1S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
676,3,3,2,2,2,1O:1O:1O,1O:1O:1O,:2O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
677,3,3,2,1,2,:1O:1O,:1O:1O,1O:2O1S,,1L:1L,1,0.03000300030003
678,4,4,0,3,2,1O:1O:1O:1O,1O:1O:1O:1O,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
