,num_dol,num_degdbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdbe,atoms_tfsi,atoms_ps,atoms_li,count,%
25,2,2,0,1,2,1O:1O,3O:3O,,,1L:1L,20,0.6000600060006
26,3,1,0,1,1,::1O,3O,,,1L,20,0.6000600060006
27,5,2,0,1,1,::1O:1O:1O,:,,,1L,19,0.57005700570057
28,1,3,1,1,1,,::2O,1O,,1L,19,0.57005700570057
29,4,1,1,1,2,:1O:1O:1O,2O,1O,,1L:1L,19,0.57005700570057
30,3,3,0,1,1,::1O,::2O,,,1L,18,0.54005400540054
31,2,2,0,1,2,1O:1O,2O:2O,,,1L:1L,18,0.54005400540054
32,4,2,1,1,1,::1O:1O,:,1O,,1L,17,0.51005100510051
33,4,1,0,1,1,:::1O,3O,,,1L,17,0.51005100510051
34,3,2,0,1,1,:1O:1O,:2O,,,1L,17,0.51005100510051
35,1,3,0,1,1,1O,::2O,,,1L,17,0.51005100510051
36,2,3,0,1,1,:,::3O,,,1L,16,0.48004800480048
37,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,16,0.48004800480048
38,2,3,0,1,1,:1O,::3O,,,1L,15,0.45004500450045
39,1,2,1,1,1,,:2O,1O,,1L,14,0.42004200420042
40,1,2,1,1,1,,:3O,1O,,1L,14,0.42004200420042
41,2,2,1,1,1,:,:2O,1O,,1L,14,0.42004200420042
42,4,1,0,1,1,:::1O,2O,,,1L,13,0.39003900390039
43,3,2,0,1,1,::,:3O,,,1L,13,0.39003900390039
44,5,1,1,1,1,::1O:1O:1O,,1O,,1L,13,0.39003900390039
45,2,2,0,1,2,:1O,2O:3O,,,1L:1L,13,0.39003900390039
46,4,2,0,1,1,:::1O,:2O,,,1L,13,0.39003900390039
47,3,1,0,1,1,::,3O,,,1L,13,0.39003900390039
48,3,1,0,1,1,::1O,2O,,,1L,13,0.39003900390039
49,4,1,1,1,2,:1O:1O:1O,3O,1O,,1L:1L,12,0.36003600360036
50,1,2,0,1,1,1O,:3O,,,1L,12,0.36003600360036
51,3,1,1,1,2,1O:1O:1O,3O,2O,,1L:1L,12,0.36003600360036
52,5,0,0,1,1,::1O:1O:1O,,,,1L,12,0.36003600360036
53,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,12,0.36003600360036
54,4,2,0,1,1,1O:1O:1O:1O,:,,,1L,11,0.33003300330033
55,2,2,1,1,1,:,:3O,1O,,1L,11,0.33003300330033
56,3,1,0,1,2,1O:1O:1O,3O,,,1L:1L,11,0.33003300330033
57,3,2,0,1,2,:1O:1O,2O:3O,,,1L:1L,10,0.3000300030003
58,3,2,0,1,1,1O:1O:1O,:,,,1L,10,0.3000300030003
59,2,1,0,1,1,:,3O,,,1L,10,0.3000300030003
60,4,2,0,1,1,::1O:1O,:,,,1L,9,0.27002700270027
61,5,0,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,9,0.27002700270027
62,2,1,0,1,1,:1O,3O,,,1L,9,0.27002700270027
63,6,0,0,1,1,::1O:1O:1O:1O,,,,1L,9,0.27002700270027
64,2,1,1,1,2,1O:1O,3O,1O,,1L:1L,9,0.27002700270027
65,3,2,0,1,1,:1O:1O,:3O,,,1L,9,0.27002700270027
66,1,2,0,1,1,1O,:2O,,,1L,9,0.27002700270027
67,3,1,0,2,2,1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,8,0.24002400240024
68,3,1,1,1,1,:1O:1O,,1O,,1L,8,0.24002400240024
69,1,3,1,1,1,,::3O,1O,,1L,8,0.24002400240024
70,4,3,0,1,1,:1O:1O:1O,::,,,1L,8,0.24002400240024
71,4,2,0,1,1,:::1O,:3O,,,1L,8,0.24002400240024
72,2,3,1,1,1,:,::2O,1O,,1L,8,0.24002400240024
73,5,0,0,1,1,:1O:1O:1O:1O,,,,1L,8,0.24002400240024
74,2,2,1,1,1,1O:1O,:,1O,,1L,8,0.24002400240024
75,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
76,1,2,0,1,2,1O,2O:2O,,,1L:1L,8,0.24002400240024
77,5,2,1,1,1,:::1O:1O,:,1O,,1L,8,0.24002400240024
78,4,1,1,1,1,::1O:1O,,2O,,1L,8,0.24002400240024
79,3,1,1,1,2,:1O:1O,3O,1O,,1L:1L,8,0.24002400240024
80,3,1,1,1,2,1O:1O:1O,2O,2O1S,,1L:1L,7,0.21002100210021
81,5,0,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
82,3,1,0,1,1,:1O:1O,3O,,,1L,7,0.21002100210021
83,4,2,0,1,1,:::,:3O,,,1L,7,0.21002100210021
84,7,0,0,1,1,::::1O:1O:1O,,,,1L,7,0.21002100210021
85,7,0,0,1,1,:::1O:1O:1O:1O,,,,1L,7,0.21002100210021
86,3,1,1,1,1,1O:1O:1O,,1O,,1L,7,0.21002100210021
87,5,1,1,1,1,::1O:1O:1O,,,,1L,7,0.21002100210021
88,4,2,1,1,1,::1O:1O,:,2O,,1L,7,0.21002100210021
89,3,1,0,2,2,1O:1O:1O,3O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,7,0.21002100210021
90,3,2,2,1,2,1O:1O:1O,:,1O:1O,,1L:1L,7,0.21002100210021
91,3,1,0,2,2,:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,7,0.21002100210021
92,4,1,2,1,1,::1O:1O,,:1O,,1L,7,0.21002100210021
93,2,3,1,1,1,1O:1O,::,1O,,1L,7,0.21002100210021
94,6,2,0,1,1,:::1O:1O:1O,:,,,1L,7,0.21002100210021
95,4,1,0,1,2,1O:1O:1O:1O,2O,,,1L:1L,7,0.21002100210021
96,2,2,0,1,1,1O:1O,:2O,,,1L,7,0.21002100210021
97,3,2,0,1,1,:1O:1O,:,,,1L,7,0.21002100210021
98,1,3,0,1,2,1O,:2O:3O,,,1L:1L,7,0.21002100210021
99,2,2,1,1,1,:1O,:2O,,,1L,6,0.18001800180018
100,3,3,1,1,1,:1O:1O,::,1O,,1L,6,0.18001800180018
101,2,2,0,1,1,:,1O:3O,,,1L,6,0.18001800180018
102,3,2,1,1,1,:1O:1O,:,2O,,1L,6,0.18001800180018
103,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
104,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
105,4,1,0,1,1,:1O:1O:2O,,,,1L,6,0.18001800180018
106,4,1,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
107,2,2,0,1,1,:1O,1O:3O,,,1L,6,0.18001800180018
108,3,1,1,1,2,1O:1O:1O,3O,,,1L:1L,6,0.18001800180018
109,4,1,0,1,1,1O:1O:1O:1O,,,,1L,6,0.18001800180018
110,3,3,0,1,1,::1O,::3O,,,1L,6,0.18001800180018
111,4,1,0,1,1,::1O:1O,3O,,,1L,6,0.18001800180018
112,4,1,1,1,1,:1O:1O:1O,,,,1L,6,0.18001800180018
113,4,1,0,1,1,:::,3O,,,1L,6,0.18001800180018
114,4,1,0,2,1,::1O:1O,,,:::1S:1S:2S:2S:2S,1L,6,0.18001800180018
115,5,0,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
116,5,0,0,1,2,:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
117,4,3,1,1,1,::1O:1O,::,1O,,1L,5,0.15001500150015
118,3,1,1,1,2,1O:1O:1O,,3O1S,,1L:1L,5,0.15001500150015
119,3,2,1,1,1,::1O,:,1O,,1L,5,0.15001500150015
120,2,2,0,1,1,:,:2O,,,1L,5,0.15001500150015
121,3,2,0,2,2,1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
122,3,2,0,2,2,1O:1O:1O,:3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
123,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,5,0.15001500150015
124,1,3,0,1,1,1O,::3O,,,1L,5,0.15001500150015
125,3,1,1,1,1,1O:1O:1O,,2O,,1L,5,0.15001500150015
126,3,1,0,1,1,:1O:1O,2O,,,1L,5,0.15001500150015
127,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
128,4,0,1,1,2,:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
129,6,0,1,1,2,::1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
130,6,0,1,1,1,:::1O:1O:1O,,1O,,1L,5,0.15001500150015
131,4,0,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,5,0.15001500150015
132,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
133,1,3,0,1,1,,:1O:3O,,,1L,5,0.15001500150015
134,2,3,1,1,1,:1O,::,2O,,1L,5,0.15001500150015
135,5,1,0,2,1,:::1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L,5,0.15001500150015
136,2,3,0,1,2,1O:1O,:2O:3O,,,1L:1L,5,0.15001500150015
137,1,4,1,1,1,,:::2O,1O,,1L,5,0.15001500150015
138,3,2,1,1,2,1O:1O:1O,:2O,1O,,1L:1L,5,0.15001500150015
139,3,1,1,1,2,1O:1O:1O,3O,2O1S,,1L:1L,5,0.15001500150015
140,4,1,0,2,2,:1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
141,2,1,0,2,2,1O:1O,3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
142,3,2,0,2,1,:1O:1O,:,,:::1S:1S:2S:2S:2S,1L,5,0.15001500150015
143,4,1,0,2,2,:1O:1O:1O,3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,5,0.15001500150015
144,3,2,2,1,1,:1O:1O,:,:1O,,1L,5,0.15001500150015
145,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
146,2,2,0,2,2,1O:1O,:3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
147,3,2,1,1,2,1O:1O:1O,:3O,1O,,1L:1L,4,0.12001200120012
148,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
149,3,2,2,1,1,::1O,:,1O:1O,,1L,4,0.12001200120012
150,4,0,1,1,2,:1O:1O:1O,,3O1S,,1L:1L,4,0.12001200120012
151,3,1,0,1,1,1O:1O:1O,,,,1L,4,0.12001200120012
152,2,2,1,1,1,:1O,:2O,1O,,1L,4,0.12001200120012
153,4,0,1,1,2,1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
154,4,0,1,1,1,::1O:1O,,1O,,1L,4,0.12001200120012
155,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
156,3,3,0,1,1,:1O:1O,::2O,,,1L,4,0.12001200120012
157,3,3,0,1,1,::,::3O,,,1L,4,0.12001200120012
158,4,1,0,1,1,::1O:1O,,,,1L,4,0.12001200120012
159,2,3,0,1,1,1O:1O,::2O,,,1L,4,0.12001200120012
160,2,3,1,1,1,:1O,::2O,1O,,1L,4,0.12001200120012
161,2,2,1,1,1,1O:1O,:,2O,,1L,4,0.12001200120012
162,3,2,1,1,1,:1O:1O,:1O,1O,,1L,4,0.12001200120012
163,2,2,1,1,1,:1O,:3O,,,1L,4,0.12001200120012
164,3,1,0,2,2,:1O:1O,3O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
165,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
166,4,1,0,1,2,1O:1O:1O:2O,2O,,,1L:1L,4,0.12001200120012
167,2,3,1,1,1,1O:1O,::,2O,,1L,4,0.12001200120012
168,4,1,0,1,2,1O:1O:1O:2O,3O,,,1L:1L,4,0.12001200120012
169,3,1,1,1,1,:1O:1O,,2O,,1L,4,0.12001200120012
170,3,1,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
171,2,2,0,1,2,:1O,3O:3O,,,1L:1L,4,0.12001200120012
172,2,1,1,1,2,1O:1O,3O,3O1S,,1L:1L,4,0.12001200120012
173,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,4,0.12001200120012
174,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
175,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
176,5,0,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
177,2,1,0,1,1,:1O,2O,,,1L,4,0.12001200120012
178,5,1,0,1,1,::1O:1O:2O,,,,1L,4,0.12001200120012
179,2,2,0,1,2,:1O,2O:2O,,,1L:1L,4,0.12001200120012
180,3,2,0,1,2,1O:1O:1O,:2O,,,1L:1L,4,0.12001200120012
181,1,3,0,1,2,1O,:2O:2O,,,1L:1L,4,0.12001200120012
182,1,3,0,1,1,,::2O,,,1L,4,0.12001200120012
183,6,0,0,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
184,3,1,1,1,2,:1O:1O,3O,2O,,1L:1L,4,0.12001200120012
185,6,0,0,2,2,:1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
186,6,0,1,1,1,::1O:1O:1O:1O,,1O,,1L,4,0.12001200120012
187,6,1,1,1,1,:::1O:1O:1O,,1O,,1L,4,0.12001200120012
188,3,2,0,1,1,1O:1O:1O,:1O,,,1L,4,0.12001200120012
189,0,4,1,1,1,,:::2O,1O,,1L,4,0.12001200120012
190,7,0,0,1,2,:1O:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
191,7,1,0,1,1,::::1O:1O:1O,,,,1L,4,0.12001200120012
192,0,3,0,1,1,,::3O,,,1L,4,0.12001200120012
193,0,2,1,1,1,,:3O,1O,,1L,4,0.12001200120012
194,5,0,0,2,2,:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
195,0,2,0,1,1,,:3O,,,1L,4,0.12001200120012
196,4,2,1,1,1,:1O:1O:1O,:,,,1L,4,0.12001200120012
197,4,2,2,1,1,::1O:1O,:,:1O,,1L,4,0.12001200120012
198,2,2,0,1,1,:1O,1O:2O,,,1L,4,0.12001200120012
199,3,2,1,1,1,1O:1O:1O,:,,,1L,4,0.12001200120012
200,2,2,0,1,2,1O:2O,2O:3O,,,1L:1L,4,0.12001200120012
201,5,0,0,1,2,1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
202,4,2,0,2,1,::1O:1O,:,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
203,3,2,1,1,1,:1O:1O,:,2O1S,,1L,3,0.09000900090009
204,3,0,1,1,2,1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
205,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
206,1,2,1,1,1,,:3O,,,1L,3,0.09000900090009
207,6,0,0,2,1,:::1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
208,2,4,0,1,1,:1O,:::2O,,,1L,3,0.09000900090009
209,4,1,0,1,1,::1O:1O,2O,,,1L,3,0.09000900090009
210,6,0,1,1,1,::::1O:1O,,1O,,1L,3,0.09000900090009
211,4,1,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
212,4,1,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
213,5,2,0,1,1,:::1O:1O,:,,,1L,3,0.09000900090009
214,4,1,0,1,1,::1O:2O,,,,1L,3,0.09000900090009
215,3,2,0,1,1,::2O,:2O,,,1L,3,0.09000900090009
216,3,1,1,1,2,:1O:1O,2O,2O,,1L:1L,3,0.09000900090009
217,1,3,1,1,1,,::1O,1O,,1L,3,0.09000900090009
218,5,1,1,1,1,:::1O:1O,,2O,,1L,3,0.09000900090009
219,6,0,1,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
220,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
221,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
222,3,1,1,1,2,:1O:1O,2O,1O,,1L:1L,3,0.09000900090009
223,3,4,0,1,1,::1O,:::2O,,,1L,3,0.09000900090009
224,4,2,0,1,1,:::,:2O,,,1L,3,0.09000900090009
225,4,0,0,1,2,1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
226,4,0,0,2,1,::1O:1O,,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
227,4,0,1,1,1,:1O:1O:1O,,1O,,1L,3,0.09000900090009
228,3,1,2,1,2,1O:1O:1O,2O,1O:1O,,1L:1L,3,0.09000900090009
229,3,1,0,1,2,:1O:1O,3O,,,1L:1L,3,0.09000900090009
230,3,3,1,1,1,1O:1O:1O,::,1O,,1L,3,0.09000900090009
231,4,2,0,2,1,::1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
232,0,3,1,1,1,,::2O,2O,,1L,3,0.09000900090009
233,4,2,0,1,1,::1O:1O,:2O,,,1L,3,0.09000900090009
234,3,1,0,1,1,::,2O,,,1L,3,0.09000900090009
235,3,1,1,1,2,1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
236,3,3,0,2,1,:1O:1O,::,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
237,4,2,0,1,1,:1O:1O:2O,:,,,1L,3,0.09000900090009
238,6,1,0,2,1,::::1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
239,1,2,0,1,1,,1O:3O,,,1L,3,0.09000900090009
240,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
241,1,2,0,2,2,1O,2O:2O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
242,5,1,1,1,1,:1O:1O:1O:1O,,1O,,1L,3,0.09000900090009
243,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
244,3,2,0,1,2,1O:1O:1O,1O:3O,,,1L:1L,3,0.09000900090009
245,3,1,1,1,1,::1O,,1O,,1L,3,0.09000900090009
246,3,2,0,2,1,:1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
247,5,0,1,1,2,::1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
248,5,1,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
249,4,1,1,1,1,:1O:1O:2O,,,,1L,3,0.09000900090009
250,3,2,1,1,1,::,:2O,1O,,1L,3,0.09000900090009
251,2,1,1,1,1,:,2O,1O,,1L,3,0.09000900090009
252,2,1,1,1,1,:1O,2O,,,1L,3,0.09000900090009
253,4,1,1,1,1,:::1O,2O,,,1L,3,0.09000900090009
254,5,0,1,1,2,1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
255,4,1,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
256,5,0,1,1,1,:::1O:1O,,1O,,1L,3,0.09000900090009
257,4,1,1,1,2,1O:1O:1O:1O,2O,1O,,1L:1L,3,0.09000900090009
258,4,1,1,1,2,1O:1O:1O:1O,3O,1O,,1L:1L,3,0.09000900090009
259,5,0,1,1,1,::1O:1O:1O,,1O,,1L,3,0.09000900090009
260,4,1,1,1,2,:1O:1O:1O,,1O,,1L:1L,3,0.09000900090009
261,3,2,1,1,1,::1O,:2O,,,1L,3,0.09000900090009
262,5,0,1,1,1,:1O:1O:1O:1O,,,,1L,3,0.09000900090009
263,2,2,1,1,1,:1O,:,1O,,1L,3,0.09000900090009
264,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
265,4,3,0,1,1,:::1O,::2O,,,1L,3,0.09000900090009
266,4,1,1,1,1,:1O:1O:1O,1O,1O,,1L,3,0.09000900090009
267,3,2,0,2,1,:1O:1O,:,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
268,5,1,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
269,1,4,0,1,1,,:::3O,,,1L,3,0.09000900090009
270,2,3,0,2,1,:1O,::,,::1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
271,3,2,1,1,1,1O:1O:1O,:,1O,,1L,3,0.09000900090009
272,4,1,0,2,1,:1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
273,3,1,1,1,2,1O:1O:2O,2O,2O,,1L:1L,3,0.09000900090009
274,5,1,0,1,2,:1O:1O:1O:1O,2O,,,1L:1L,3,0.09000900090009
275,5,1,0,2,1,:::1O:1O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L,3,0.09000900090009
276,3,2,0,2,2,:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
277,4,1,0,2,1,:::1O,,,:::1S:1S:2S:2S:2S,1L,3,0.09000900090009
278,5,1,0,1,1,::::1O,2O,,,1L,3,0.09000900090009
279,4,1,0,2,1,::1O:1O,,,::1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
280,3,2,0,1,2,1O:1O:1O,:3O,,,1L:1L,2,0.06000600060006
281,3,2,0,1,2,1O:1O:1O,2O:3O,,,1L:1L,2,0.06000600060006
282,3,2,0,2,1,::1O,:,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
283,3,2,1,1,1,::1O,:,2O,,1L,2,0.06000600060006
284,3,3,0,1,1,1O:1O:1O,::,,,1L,2,0.06000600060006
285,3,2,1,1,1,::1O,:2O,1O,,1L,2,0.06000600060006
286,3,2,0,1,1,:1O:1O,:1O,,,1L,2,0.06000600060006
287,3,2,1,1,2,:1O:1O,:2O,2O,,1L:1L,2,0.06000600060006
288,3,2,0,1,1,::,:2O,,,1L,2,0.06000600060006
289,3,1,2,1,2,1O:1O:1O,3O,1O:1O,,1L:1L,2,0.06000600060006
290,3,3,1,1,1,:1O:1O,::,2O,,1L,2,0.06000600060006
291,3,2,0,1,1,:1O:2O,:,,,1L,2,0.06000600060006
292,3,3,0,2,1,:1O:1O,::,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
293,3,1,2,1,2,:1O:1O,2O,1O:1O,,1L:1L,2,0.06000600060006
294,3,3,0,1,1,:1O:1O,::,,,1L,2,0.06000600060006
295,3,2,0,1,2,:1O:1O,2O:2O,,,1L:1L,2,0.06000600060006
296,3,3,0,2,1,:1O:1O,::,,::1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
297,3,2,1,1,1,::,:3O,1O,,1L,2,0.06000600060006
298,3,1,2,1,2,1O:1O:1O,2O,:1O,,1L:1L,2,0.06000600060006
299,0,2,0,1,1,,:2O,,,1L,2,0.06000600060006
300,3,3,1,1,1,::,::2O,1O,,1L,2,0.06000600060006
301,5,1,0,1,1,1O:1O:1O:1O:1O,,,,1L,2,0.06000600060006
302,5,1,0,2,2,::1O:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
303,5,1,0,2,1,:::1O:1O,,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
304,5,1,0,2,1,:::1O:1O,,,::1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
305,5,1,0,2,1,::1O:1O:1O,,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
306,5,1,0,1,2,:1O:1O:1O:1O,3O,,,1L:1L,2,0.06000600060006
307,5,1,0,1,1,::::1O,3O,,,1L,2,0.06000600060006
308,5,1,0,1,1,::::,2O,,,1L,2,0.06000600060006
309,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,2,0.06000600060006
310,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,2,0.06000600060006
311,4,3,0,1,1,::1O:1O,::2O,,,1L,2,0.06000600060006
312,5,0,2,1,1,::1O:1O:1O,,:1O,,1L,2,0.06000600060006
313,5,0,1,1,2,::1O:1O:1O,,3O1S,,1L:1L,2,0.06000600060006
314,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
315,5,0,1,1,2,:1O:1O:1O:1O,,,,1L:1L,2,0.06000600060006
316,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
317,5,0,0,2,1,:::1O:1O,,,:::1S:1S:2S:2S:2S,1L,2,0.06000600060006
318,5,0,0,2,1,::1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
319,5,0,0,1,1,:::1O:1O,,,,1L,2,0.06000600060006
320,5,1,1,1,1,:1O:1O:1O:1O,,,,1L,2,0.06000600060006
321,5,1,1,2,1,:::1O:1O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L,2,0.06000600060006
322,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,2,0.06000600060006
323,5,2,0,1,1,:::1O:1O,:2O,,,1L,2,0.06000600060006
324,8,0,0,1,1,::::1O:1O:1O:1O,,,,1L,2,0.06000600060006
325,7,1,0,1,1,:::1O:1O:1O:1O,,,,1L,2,0.06000600060006
