,num_dol,num_ettfpe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ettfpe,atoms_tfsi,atoms_ps,atoms_li,count,%
836,5,0,2,2,2,::1O:1O:1O,,1O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
837,5,0,2,2,2,:1O:1O:1O:1O,,:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
838,5,0,2,1,1,::::1O,,1N1O1S:1O,,1L,1,0.03000300030003
839,5,0,2,1,2,1O:1O:1O:1O:1O,,:1N1O1S,,1L:1L,1,0.03000300030003
840,5,0,2,1,2,1O:1O:1O:1O:2O,,:3O1S,,1L:1L,1,0.03000300030003
841,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O,,1L:1L,1,0.03000300030003
842,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,1,0.03000300030003
843,5,0,2,1,2,1O:1O:1O:1O:1O,,:3O1S,,1L:1L,1,0.03000300030003
844,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,1,0.03000300030003
845,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
846,5,0,2,1,2,1O:1O:1O:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
847,5,0,2,1,2,:1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,1,0.03000300030003
848,5,0,2,1,2,1O:1O:1O:1O:1O,,1N3O1S:1O,,1L:1L,1,0.03000300030003
849,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O:1O,,1L:1L,1,0.03000300030003
850,5,0,2,1,1,::::2O,,:1O,,1L,1,0.03000300030003
851,5,0,2,1,1,::::1O,,:2O,,1L,1,0.03000300030003
852,5,0,2,1,1,::::1O,,1O:2O1S,,1L,1,0.03000300030003
853,5,0,2,1,1,::::1O,,1O:2O,,1L,1,0.03000300030003
854,5,0,2,1,2,:1O:1O:1O:1O,,1N1O:2O,,1L:1L,1,0.03000300030003
855,5,0,2,1,2,:1O:1O:1O:1O,,1O:3O2S,,1L:1L,1,0.03000300030003
856,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
857,5,0,2,2,1,:::1O:1O,,:,1S:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
858,5,0,2,2,2,:1O:1O:1O:1O,,1O:2O,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
859,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
860,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,:1S:1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
861,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
862,5,0,2,2,2,1O:1O:1O:1O:1O,,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
863,5,0,2,2,2,1O:1O:1O:1O:1O,,1O:1O,1S:1S:1S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
864,5,0,2,1,2,::1O:1O:1O,,:1N2O2S,,1L:1L,1,0.03000300030003
865,5,0,2,1,2,:1O:1O:1O:1O,,2O:2O,,1L:1L,1,0.03000300030003
866,5,0,2,1,2,::1O:1O:1O,,1N3O2S:1O,,1L:1L,1,0.03000300030003
867,5,0,2,1,2,:1O:1O:1O:2O,,2O:2O,,1L:1L,1,0.03000300030003
868,5,0,2,1,2,:1O:1O:1O:2O,,1O:3O1S,,1L:1L,1,0.03000300030003
869,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,1,0.03000300030003
870,5,0,2,1,2,:1O:1O:1O:1O,,:3O1S,,1L:1L,1,0.03000300030003
871,5,0,2,1,2,:1O:1O:1O:1O,,:2O1S,,1L:1L,1,0.03000300030003
872,5,0,1,3,2,::1O:1O:1O,,1O1S,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
873,4,0,2,2,2,:1O:1O:1O,,:3O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
874,4,1,1,1,2,1O:1O:1O:1O,1O,1O,,1L:1L,1,0.03000300030003
875,3,0,3,1,2,1O:1O:1O,,:1O1S:2O,,1L:1L,1,0.03000300030003
876,3,0,3,1,2,:1O:1O,,1N1O:1O:2O,,1L:1L,1,0.03000300030003
877,3,0,3,1,2,:1O:1O,,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
878,3,0,3,1,2,1O:2O:2O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
879,3,0,3,1,2,1O:2O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
880,3,0,3,1,2,1O:1O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
881,3,0,3,1,2,1O:1O:2O,,1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
882,3,0,3,1,2,1O:1O:1O,,::1O,,1L:1L,1,0.03000300030003
883,3,0,3,1,2,1O:1O:1O,,:1N1O:1O,,1L:1L,1,0.03000300030003
884,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:1O,,1L:1L,1,0.03000300030003
885,3,0,3,1,2,1O:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
886,3,0,3,1,2,1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
887,3,0,3,1,2,1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
888,3,0,3,1,2,1O:1O:1O,,1N2O:1O:1O,,1L:1L,1,0.03000300030003
889,3,0,3,1,2,1O:1O:1O,,1N2O:1N2O:1O,,1L:1L,1,0.03000300030003
890,3,0,3,1,2,1O:1O:1O,,1N1O:1O:2O,,1L:1L,1,0.03000300030003
891,3,0,3,1,2,1O:1O:1O,,1N1O:1O:1O,,1L:1L,1,0.03000300030003
892,3,0,3,1,2,:1O:1O,,1O:1O1S:2O,,1L:1L,1,0.03000300030003
893,3,0,3,1,2,:1O:1O,,1O:1O:1O,,1L:1L,1,0.03000300030003
894,3,0,3,1,2,:1O:1O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
895,3,0,3,1,2,:1O:1O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
896,3,0,3,2,2,:1O:1O,,1O:1O:2O1S,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
897,3,0,3,2,2,:1O:1O,,1N2O2S:1O:1O,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
898,3,0,3,2,2,1O:1O:1O,,1O:1O:2O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
899,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
900,3,0,3,2,2,1O:1O:1O,,1O:1O:1O,1S:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
901,3,0,3,1,3,:1O:1O,,1N2O:2O1S:2O1S,,1L:1L:1L,1,0.03000300030003
902,3,0,3,1,3,1O:1O:1O,,1N2O1S:1O:2O,,1L:1L:1L,1,0.03000300030003
903,3,0,3,1,2,::1O,,1N2O:1O:2O,,1L:1L,1,0.03000300030003
904,3,0,3,1,2,:2O:2O,,:1O:2O,,1L:1L,1,0.03000300030003
905,3,0,3,1,2,:1O:2O,,:1O:1O,,1L:1L,1,0.03000300030003
906,3,0,3,1,2,:1O:2O,,1N2O1S:2O:2O,,1L:1L,1,0.03000300030003
907,3,0,3,1,2,:1O:1O,,:1O:1O,,1L:1L,1,0.03000300030003
908,3,0,3,1,2,:1O:1O,,2O:2O:2O,,1L:1L,1,0.03000300030003
909,3,0,3,1,2,:1O:1O,,1O:2O:3O2S,,1L:1L,1,0.03000300030003
910,3,0,3,1,2,:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
911,3,0,3,1,2,1O:1O:1O,,1N1O:1N1O1S:1O,,1L:1L,1,0.03000300030003
912,3,0,3,1,2,1O:1O:1O,,1N1O1S:1N1O1S:1O,,1L:1L,1,0.03000300030003
913,3,0,3,1,1,::1O,,:1O:2O1S,,1L,1,0.03000300030003
914,3,0,2,2,2,:1O:1O,,2O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
915,3,0,2,2,2,:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
916,3,0,2,2,2,:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
917,3,0,2,2,2,:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
918,3,0,2,2,2,:1O:1O,,1N2O2S:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
919,3,0,2,2,2,:1O:1O,,1N1O1S:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
920,3,0,2,2,2,:1O:1O,,1N1O1S:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
921,3,0,2,2,2,1O:1O:2O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
922,3,0,2,2,2,1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
923,3,0,2,2,2,1O:1O:1O,,:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
924,3,0,2,2,2,1O:1O:1O,,:1O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
925,3,0,2,2,2,1O:1O:1O,,:1N2O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
926,3,0,2,2,2,1O:1O:1O,,2O:2O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
927,3,0,2,2,2,1O:1O:1O,,1O:3O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
928,3,0,2,2,2,1O:1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
929,3,0,2,2,2,1O:1O:1O,,1O:2O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
930,3,0,2,2,2,:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
931,3,0,2,2,3,1O:1O:1O,,1N3O1S:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
932,3,0,3,1,1,::1O,,:1O:1O,,1L,1,0.03000300030003
933,3,0,2,3,2,1O:1O:1O,,1O:1O,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
934,3,0,3,1,1,::1O,,1N:1N2O:1O,,1L,1,0.03000300030003
935,3,0,3,1,1,::,,:1N1O:1O,,1L,1,0.03000300030003
936,3,0,3,1,1,::,,1O:1O:1O,,1L,1,0.03000300030003
937,3,0,3,1,1,:1O:2O,,:1O:1O,,1L,1,0.03000300030003
938,3,0,2,3,3,1O:1O:1O,,1O:2O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
939,3,0,2,3,3,1O:1O:1O,,1O:1O,::::1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L:1L,1,0.03000300030003
