,num_dol,num_ofe,num_tfsi,num_ps,num_li,atoms_dol,atoms_ofe,atoms_tfsi,atoms_ps,atoms_li,count,%
37,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,13,0.39003900390039
38,3,1,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,12,0.36003600360036
39,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,12,0.36003600360036
40,5,0,1,1,2,1O:1O:1O:1O:2O,,1O,,1L:1L,12,0.36003600360036
41,4,0,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,12,0.36003600360036
42,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,12,0.36003600360036
43,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,11,0.33003300330033
44,3,0,3,1,2,1O:1O:1O,,1O:1O:2O1S,,1L:1L,11,0.33003300330033
45,3,0,2,2,2,1O:1O:1O,,1O:1O,:::1S:1S:2S:2S:2S,1L:1L,11,0.33003300330033
46,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,11,0.33003300330033
47,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,11,0.33003300330033
48,3,0,4,1,2,:1O:1O,,1O:1O:1O:1O,,1L:1L,10,0.3000300030003
49,4,0,2,2,2,:1O:1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,10,0.3000300030003
50,5,0,3,1,2,::1O:1O:1O,,1O:1O:1O,,1L:1L,10,0.3000300030003
51,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,10,0.3000300030003
52,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:1O,,1L:1L,10,0.3000300030003
53,3,0,2,2,2,1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,10,0.3000300030003
54,4,0,1,2,2,:1O:1O:1O,,1O,:::1S:1S:2S:2S:2S,1L:1L,9,0.27002700270027
55,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,9,0.27002700270027
56,4,0,2,1,2,1O:1O:1O:1O,,2O:2O,,1L:1L,9,0.27002700270027
57,4,0,1,2,2,1O:1O:1O:1O,,1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,9,0.27002700270027
58,6,0,0,1,1,:::1O:1O:1O,,,,1L,9,0.27002700270027
59,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:1O,,1L:1L,8,0.24002400240024
60,4,0,1,1,2,1O:1O:1O:2O,,2O,,1L:1L,8,0.24002400240024
61,4,0,4,1,2,:1O:1O:1O,,:1O:1O:2O,,1L:1L,8,0.24002400240024
62,4,0,3,1,2,:1O:1O:1O,,:1O:1O,,1L:1L,8,0.24002400240024
63,5,0,2,2,2,:1O:1O:1O:1O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,8,0.24002400240024
64,4,0,3,1,2,:1O:1O:2O,,1O:1O:1O,,1L:1L,8,0.24002400240024
65,3,1,2,1,2,1O:1O:1O,,1O:2O,,1L:1L,8,0.24002400240024
66,4,0,1,2,2,1O:1O:1O:1O,,2O,:::1S:1S:2S:2S:2S,1L:1L,8,0.24002400240024
67,4,0,1,2,2,:1O:1O:1O,,1O,:1S:1S:1S:2S:3S:3S:3S,1L:1L,7,0.21002100210021
68,2,0,4,1,2,1O:1O,,1O:1O:1O:2O,,1L:1L,7,0.21002100210021
69,2,0,3,1,2,1O:1O,,1O:1O:2O,,1L:1L,7,0.21002100210021
70,3,0,4,1,2,1O:1O:1O,,:1O:1O:2O,,1L:1L,7,0.21002100210021
71,5,0,2,1,2,::1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
72,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
73,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
74,3,0,2,1,2,1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
75,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
76,4,0,1,2,2,1O:1O:1O:1O,,1O,::1S:1S:2S:2S:2S:2S,1L:1L,7,0.21002100210021
77,4,0,1,2,2,1O:1O:1O:1O,,2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,7,0.21002100210021
78,3,0,2,2,2,:1O:1O,,1O:1O,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,7,0.21002100210021
79,3,0,1,1,2,1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
80,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,7,0.21002100210021
81,2,0,3,1,2,1O:1O,,1O:1O:1O,,1L:1L,7,0.21002100210021
82,4,0,3,1,2,:1O:1O:1O,,1O:1O:2O1S,,1L:1L,6,0.18001800180018
83,4,0,2,1,2,:1O:1O:1O,,1O:3O1S,,1L:1L,6,0.18001800180018
