,num_dol,num_prn,num_tfsi,num_ps,num_li,atoms_dol,atoms_prn,atoms_tfsi,atoms_ps,atoms_li,count,%
1685,3,2,0,3,1,::,:,,2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1686,3,2,0,2,1,::1O,:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1687,3,2,0,2,1,::1O,:1N,,3S:3S:3S:4S:4S:4S:5S:5S,1L,1,0.03000300030003
1688,3,2,0,2,1,::1O,:1N,,2S:2S:2S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
1689,3,2,0,2,1,::1O,:1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1690,3,2,0,2,1,:1O:1O,:,,2S:2S:2S:3S:3S:3S:3S:4S,1L,1,0.03000300030003
1691,3,2,0,1,1,::1O,1N:1N,,,1L,1,0.03000300030003
1692,3,2,0,2,1,:1O:1O,:,,2S:2S:2S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1693,3,2,0,2,1,:1O:1O,1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1694,3,2,0,2,1,1O:1O:2O,:,,3S:3S:4S:4S:4S:5S:5S:5S,1L,1,0.03000300030003
1695,3,2,0,2,1,1O:1O:2O,:,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1696,3,2,0,2,1,1O:1O:1O,:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1697,3,2,0,2,1,1O:1O:1O,:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1698,3,2,0,2,1,1O:1O:1O,:,,2S:2S:3S:3S:3S:3S:3S:4S,1L,1,0.03000300030003
1699,3,2,0,1,2,:1O:1O,1N:1N,,,1L:1L,1,0.03000300030003
1700,3,2,0,1,2,1O:1O:1O,1N:1N,,,1L:1L,1,0.03000300030003
1701,2,7,0,1,2,:2O,::1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1702,2,7,0,1,2,:2O,:1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1703,2,7,0,1,2,:1O,:::1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1704,2,6,0,2,2,1O:1O,:1N:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1705,2,6,1,1,0,:,::::1N:1N,,,,1,0.03000300030003
1706,2,6,1,1,0,:,:::1N:1N:1N,,,,1,0.03000300030003
1707,2,6,0,2,3,:1O,1N:1N:1N:1N:1N:1N,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1708,2,6,0,2,3,1O:1O,:::1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1709,2,6,0,2,2,:1O,::1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1710,2,6,0,2,2,:1O,::1N:1N:1N:1N,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1711,2,6,0,2,2,:1O,:1N:1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1712,2,6,0,2,2,:,::1N:1N:1N:1N,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1713,2,6,0,2,2,:,::1N:1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1714,2,6,0,2,1,:1O,::::1N:1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1715,2,7,0,1,2,:1O,::1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1716,2,6,0,2,1,:,::::1N:1N,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1717,2,6,0,2,1,:,::::1N:1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1718,2,6,0,2,1,:,::::1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1719,2,6,0,1,2,:2O,1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1720,2,6,0,1,2,:1O,1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1721,2,6,0,1,2,:,1N:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1722,2,6,0,1,2,1O:1O,:::1N:1N:1N,,,1L:1L,1,0.03000300030003
1723,2,6,0,1,1,:2O,:1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
1724,2,6,0,1,1,:,::::1N:1N,,,1L,1,0.03000300030003
1725,2,6,1,1,1,1O:1O,::::1N:1N,,,1L,1,0.03000300030003
1726,2,6,1,1,1,1O:1O,::::1N:1N,2O,,1L,1,0.03000300030003
1727,2,6,1,1,1,:,::1N:1N:1N:1N,,,1L,1,0.03000300030003
1728,2,6,1,1,1,:,:::1N:1N:1N,,,1L,1,0.03000300030003
1729,2,7,0,1,2,1O:2O,::1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1730,2,7,0,1,2,1O:1O,::1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
1731,2,7,0,1,1,:2O,::1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
1732,2,7,0,1,1,:1O,:::1N:1N:1N:1N,,,1L,1,0.03000300030003
1733,2,7,0,1,1,1O:1O,::::::1N,,,1L,1,0.03000300030003
1734,2,6,1,1,2,:2O,:1N:1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
1735,2,6,1,1,2,:1O,::1N:1N:1N:1N,2O,,1L:1L,1,0.03000300030003
