,num_dol,num_acn,num_tfsi,num_ps,num_li,atoms_dol,atoms_acn,atoms_tfsi,atoms_ps,atoms_li,count,%
745,2,5,0,2,2,:1O,::1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
746,2,5,1,1,0,:,::::,,,,1,0.03000300030003
747,2,5,1,1,0,:,::::1N,1O,,,1,0.03000300030003
748,2,5,1,1,1,:1O,::1N:1N:1N,,,1L,1,0.03000300030003
749,2,5,1,1,2,1O:1O,:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
750,2,5,1,1,2,1O:1O,::1N:1N:1N,1O,,1L:1L,1,0.03000300030003
751,2,5,1,1,2,:,:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
752,2,5,1,1,2,:,:1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
753,2,5,1,1,2,:1O,1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
754,2,5,1,1,2,:1O,:1N:1N:1N:1N,2O1S,,1L:1L,1,0.03000300030003
755,2,5,1,2,1,1O:1O,:::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
756,2,5,2,1,1,:,:::1N:1N,:,,1L,1,0.03000300030003
757,2,5,0,2,2,1O:1O,::1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
758,2,5,0,2,2,1O:1O,::1N:1N:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
759,2,5,0,2,1,:1O,::::1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
760,2,4,1,1,1,:1O,:1N:1N:1N,1O,,1L,1,0.03000300030003
761,2,4,0,2,2,:1O,:1N:1N:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
762,2,4,0,2,2,:1O,:1N:1N:1N,,::1S:1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
763,2,4,1,1,0,:,:::1N,,,,1,0.03000300030003
764,2,4,1,1,0,:1O,:::,,,,1,0.03000300030003
765,2,4,1,1,1,1O:1O,:1N:1N:1N,,,1L,1,0.03000300030003
766,2,4,1,1,1,1O:1O,:::1N,,,1L,1,0.03000300030003
767,2,4,1,1,1,1O:1O,:::1N,1N,,1L,1,0.03000300030003
768,2,4,1,1,1,:,1N:1N:1N:1N,,,1L,1,0.03000300030003
769,2,4,1,1,2,:,1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
770,2,5,0,2,1,:1O,:::1N:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
771,2,4,1,1,2,:1O,1N:1N:1N:1N,1O,,1L:1L,1,0.03000300030003
772,2,4,2,1,1,:1O,:1N:1N:1N,:,,1L,1,0.03000300030003
773,2,5,0,1,0,:,::1N:1N:1N,,,,1,0.03000300030003
774,2,5,0,1,0,:1O,:::1N:1N,,,,1,0.03000300030003
775,2,5,0,1,1,1O:1O,::::1N,,,1L,1,0.03000300030003
776,2,5,0,1,1,:2O,:1N:1N:1N:1N,,,1L,1,0.03000300030003
777,2,5,0,1,2,1O:1O,:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
778,2,5,0,1,2,:,:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
779,2,5,2,1,1,:,:::1N:1N,:1O,,1L,1,0.03000300030003
780,2,6,0,1,0,:,:::::,,,,1,0.03000300030003
781,2,6,0,1,1,:,1N:1N:1N:1N:1N:1N,,,1L,1,0.03000300030003
782,3,2,0,1,1,::,1N:1N,,,1L,1,0.03000300030003
783,3,1,0,2,1,:1O:1O,1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
784,3,1,0,2,1,::,1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
785,3,1,0,3,2,::1O,1N,,:::1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
786,3,1,1,1,1,:1O:1O,1N,1O,,1L,1,0.03000300030003
787,3,1,1,3,2,:1O:1O,1N,1O,::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
788,3,2,0,1,0,::1O,:1N,,,,1,0.03000300030003
789,3,2,0,1,1,:1O:1O,:,,,1L,1,0.03000300030003
790,3,2,0,1,1,:1O:2O,:,,,1L,1,0.03000300030003
791,3,2,0,1,1,::,:1N,,,1L,1,0.03000300030003
792,3,1,0,1,1,:1O:1O,,,,1L,1,0.03000300030003
793,3,2,0,1,1,::1O,:,,,1L,1,0.03000300030003
794,3,2,0,1,1,::2O,1N:1N,,,1L,1,0.03000300030003
795,3,2,0,2,1,:1O:1O,:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
796,3,2,0,2,1,::,1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
797,3,2,0,2,1,::,:1N,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
798,3,2,0,2,1,::,:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
799,3,2,0,2,1,::,:1N,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
800,3,2,0,2,1,::,:1N,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
801,3,1,0,1,1,::1O,,,,1L,1,0.03000300030003
802,3,1,0,1,0,::,1N,,,,1,0.03000300030003
803,2,6,0,1,2,1O:1O,:1N:1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
804,2,6,0,2,2,:1O,::1N:1N:1N:1N,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
805,2,6,0,1,2,1O:1O,::1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
806,2,6,0,1,2,:,::1N:1N:1N:1N,,,1L:1L,1,0.03000300030003
807,2,6,0,2,1,:,::::1N:1N,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
808,2,6,0,2,1,:1O,:::::1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
