,num_dol,num_sl,num_tfsi,num_ps,num_li,atoms_dol,atoms_sl,atoms_tfsi,atoms_ps,atoms_li,count,%
33,3,2,0,1,1,::1O,1O:1O,,,1L,20,0.6000600060006
34,1,3,0,1,0,,::,,,,20,0.6000600060006
35,1,6,0,1,1,,:::1O:1O:1O,,,1L,19,0.57005700570057
36,2,4,0,1,1,:1O,:1O:1O:1O,,,1L,18,0.54005400540054
37,1,5,0,1,1,,:::1O:1O,,,1L,18,0.54005400540054
38,5,2,0,1,0,::::,:,,,,18,0.54005400540054
39,1,5,0,1,0,,::::,,,,16,0.48004800480048
40,2,3,0,1,1,:1O,::1O,,,1L,15,0.45004500450045
41,2,3,1,1,1,:,:1O:1O,,,1L,15,0.45004500450045
42,3,4,0,1,1,::,::1O:1O,,,1L,15,0.45004500450045
43,5,1,0,1,0,::::,,,,,15,0.45004500450045
44,3,2,0,1,1,::1O,:1O,,,1L,15,0.45004500450045
45,4,2,0,1,1,:::1O,1O:1O,,,1L,15,0.45004500450045
46,3,4,0,1,0,::,:::,,,,13,0.39003900390039
47,4,3,0,1,1,:::1O,:1O:1O,,,1L,13,0.39003900390039
48,2,5,0,1,1,:1O,:::1O:1O,,,1L,13,0.39003900390039
49,1,4,1,1,1,,::1O:1O,1O,,1L,13,0.39003900390039
50,2,3,1,1,1,:,1O:1O:1O,,,1L,13,0.39003900390039
51,1,4,0,1,1,1O,:1O:1O:1O,,,1L,13,0.39003900390039
52,1,3,0,1,1,1O,:1O:1O,,,1L,12,0.36003600360036
53,2,3,0,1,1,:1O,1O:1O:1O,,,1L,12,0.36003600360036
54,1,4,1,1,1,,:1O:1O:1O,,,1L,12,0.36003600360036
55,4,1,0,1,0,:::,,,,,12,0.36003600360036
56,4,2,0,1,1,:::,1O:1O,,,1L,12,0.36003600360036
57,1,3,0,1,1,,::1O,,,1L,11,0.33003300330033
58,3,3,0,1,1,::1O,1O:1O:1O,,,1L,11,0.33003300330033
59,1,5,0,1,1,1O,::1O:1O:1O,,,1L,10,0.3000300030003
60,1,3,1,1,1,,:1O:1O,,,1L,10,0.3000300030003
61,2,3,0,1,1,:,::1O,,,1L,10,0.3000300030003
62,2,2,0,1,1,:1O,:1O,,,1L,10,0.3000300030003
63,1,4,1,1,1,,::1O:1O,,,1L,9,0.27002700270027
64,1,3,1,1,1,,::1O,1O,,1L,9,0.27002700270027
65,0,4,1,1,1,,::1O:1O,1O,,1L,9,0.27002700270027
66,4,4,0,1,1,:::,:1O:1O:1O,,,1L,9,0.27002700270027
67,2,5,0,1,1,:,:::1O:1O,,,1L,9,0.27002700270027
68,2,2,0,1,1,:1O,1O:1O,,,1L,8,0.24002400240024
69,4,2,0,1,1,:::1O,:1O,,,1L,8,0.24002400240024
70,1,4,0,1,1,,:1O:1O:2O1S,,,1L,8,0.24002400240024
71,0,5,0,1,0,,::::,,,,8,0.24002400240024
72,1,3,0,1,1,1O,::1O,,,1L,8,0.24002400240024
73,1,2,0,1,1,,1O:1O,,,1L,8,0.24002400240024
74,2,4,1,1,1,:,::1O:1O,1O,,1L,8,0.24002400240024
75,4,3,0,1,0,:::,::,,,,8,0.24002400240024
