,num_dol,num_tfetfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfetfe,atoms_tfsi,atoms_ps,atoms_li,count,%
1065,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1066,7,0,1,1,2,1O:1O:1O:1O:1O:1O:1O,,1N2O1S,,1L:1L,1,0.03000300030003
1067,7,0,1,1,1,::::1O:1O:2O,,,,1L,1,0.03000300030003
1068,7,0,1,1,1,::::1O:1O:1O,,1O,,1L,1,0.03000300030003
1069,7,0,1,1,1,::1O:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1070,7,0,1,1,1,::1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1071,7,0,1,1,1,::1O:1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1072,7,0,1,1,1,1O:1O:1O:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1073,7,0,0,2,2,::1O:1O:1O:1O:1O,,,3S:3S:3S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1074,7,0,0,2,1,::::1O:1O:2O,,,1S:1S:1S:1S:1S:2S:2S:2S,1L,1,0.03000300030003
1075,7,0,0,1,2,::1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1076,7,0,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1077,7,0,0,1,2,1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1078,7,0,0,1,1,1O:1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1079,6,3,1,1,2,:1O:1O:1O:1O:1O,::,1N3O2S,,1L:1L,1,0.03000300030003
1080,6,3,1,1,2,1O:1O:1O:1O:1O:1O,::,1O,,1L:1L,1,0.03000300030003
1081,6,0,1,2,2,:1O:1O:1O:1O:2O,,,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1082,6,0,1,2,2,:1O:1O:1O:1O:1O,,1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1083,5,0,3,1,2,:1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1084,5,1,1,1,2,1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1085,5,1,1,1,2,:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1086,5,1,1,1,2,:1O:1O:1O:2O,,1N4O2S,,1L:1L,1,0.03000300030003
1087,5,1,1,1,2,:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1088,5,1,1,1,2,:1O:1O:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
1089,5,1,1,1,2,:1O:1O:1O:1O,,2O2S,,1L:1L,1,0.03000300030003
1090,5,1,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1091,5,1,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,1,0.03000300030003
1092,5,1,1,1,2,:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1093,5,1,1,1,2,:1O:1O:1O:1O,,1N3O2S,,1L:1L,1,0.03000300030003
1094,5,1,1,1,2,1O:1O:1O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
1095,5,1,1,1,2,1O:1O:1O:2O:2O,,2O,,1L:1L,1,0.03000300030003
1096,5,1,1,1,2,1O:1O:1O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1097,5,1,1,1,2,1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1098,5,1,1,1,2,1O:1O:1O:2O:2O,,1N2O2S,,1L:1L,1,0.03000300030003
1099,5,1,1,1,2,1O:1O:1O:1O:2O,,1N3O1S,,1L:1L,1,0.03000300030003
1100,5,1,0,3,2,::1O:1O:1O,,,::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1101,5,1,1,1,2,1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1102,5,1,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,1,0.03000300030003
1103,5,0,1,1,1,:1O:1O:1O:1O,,1O,,1L,1,0.03000300030003
1104,5,1,1,1,1,:::1O:2O,,1O,,1L,1,0.03000300030003
1105,5,1,1,1,1,:::1O:2O,,1N1O1S,,1L,1,0.03000300030003
1106,5,1,1,1,1,::1O:1O:2O,,1O,,1L,1,0.03000300030003
1107,5,1,1,1,1,::1O:1O:1O,,3O1S,,1L,1,0.03000300030003
1108,5,1,1,1,1,::1O:1O:1O,,1O1S,,1L,1,0.03000300030003
1109,5,1,1,1,1,:1O:1O:1O:2O,,2O,,1L,1,0.03000300030003
1110,5,1,1,1,1,:1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1111,5,1,1,1,1,:1O:1O:1O:2O,,1O,,1L,1,0.03000300030003
1112,5,1,1,1,1,:1O:1O:1O:1O,1O,2O1S,,1L,1,0.03000300030003
1113,5,1,1,1,1,:1O:1O:1O:1O,1O,1O,,1L,1,0.03000300030003
1114,5,1,1,1,1,:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1115,5,1,1,1,2,:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1116,5,1,1,1,2,:1O:1O:1O:2O,,2O1S,,1L:1L,1,0.03000300030003
1117,5,1,1,1,2,:1O:1O:1O:2O,1O,1N3O2S,,1L:1L,1,0.03000300030003
1118,5,1,1,1,2,:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1119,5,1,2,1,2,1O:1O:1O:1O:1O,,:1O1S,,1L:1L,1,0.03000300030003
1120,5,1,2,1,2,1O:1O:1O:1O:1O,,:1N4O2S,,1L:1L,1,0.03000300030003
1121,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,1,0.03000300030003
1122,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,1,0.03000300030003
1123,5,1,2,1,2,1O:1O:1O:1O:1O,,1O1S:2O,,1L:1L,1,0.03000300030003
1124,5,1,2,1,1,:1O:1O:1O:2O,,:1N1O1S,,1L,1,0.03000300030003
1125,5,1,1,2,3,::2O:2O:2O,,1O1S,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L:1L,1,0.03000300030003
1126,5,1,1,2,3,::1O:1O:1O,,1N3O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1127,5,1,1,2,2,::1O:1O:2O,,1O,3S:3S:3S:4S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1128,5,1,1,2,2,::1O:1O:2O,,1O,1S:1S:1S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1129,5,1,1,2,2,::1O:1O:2O,,1N1O1S,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
