,num_tfmtms,num_tfsi,num_dol,num_ps,num_li,atoms_tfmtms,atoms_tfsi,atoms_dol,atoms_ps,atoms_li,count,%
174,0,2,5,2,2,,1O:1O,:1O:1O:1O:2O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
175,0,3,5,1,2,,:1O:2O1S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
176,0,3,5,1,2,,:1O:1O1S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
177,0,3,4,1,2,,1O:1O:2O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
178,0,3,5,1,2,,:1O1S:2O1S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
179,0,1,5,2,2,,,1O:1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
180,0,2,5,2,2,,1O:1O,:1O:1O:1O:1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
181,0,3,5,1,2,,1O:1O:1O,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
182,0,1,5,2,2,,,1O:1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
183,0,1,7,1,1,,,::1O:1O:1O:1O:1O,,1L,3,0.09000900090009
184,0,1,6,1,2,,1N3O2S,1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
185,1,2,4,1,2,,1O:2O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
186,0,2,4,2,2,,:1O,1O:1O:1O:2O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
187,1,1,5,1,1,,1O,::1O:1O:1O,,1L,3,0.09000900090009
188,0,2,4,1,2,,1O:3O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
189,0,0,7,1,2,,,1O:1O:1O:1O:1O:2O:2O,,1L:1L,3,0.09000900090009
190,1,2,4,1,2,,1O:2O1S,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
191,0,0,5,2,2,,,1O:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
192,1,2,4,1,2,,1O:1O1S,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
193,0,0,6,1,1,,,::1O:1O:1O:2O,,1L,3,0.09000900090009
194,0,0,7,1,2,,,1O:1O:1O:1O:1O:1O:2O,,1L:1L,3,0.09000900090009
195,1,3,4,1,2,,:1O:2O1S,1O:1O:1O:1O,,1L:1L,3,0.09000900090009
196,0,0,7,1,1,,,:::1O:1O:2O:2O,,1L,3,0.09000900090009
197,1,2,5,1,2,,1O:1O1S,:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
198,0,0,7,1,2,,,1O:1O:1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
199,1,1,5,1,2,,1O1S,1O:1O:1O:1O:1O,,1L:1L,3,0.09000900090009
200,1,2,3,1,2,,1O:1O,1O:1O:1O,,1L:1L,3,0.09000900090009
201,0,0,6,2,2,,,:1O:1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
202,0,2,4,2,2,,1O:1O1S,:1O:1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
203,0,1,5,1,2,,2O,:1O:1O:1O:1O,,1L:1L,2,0.06000600060006
204,0,2,4,2,2,,1O:1O,1O:1O:1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
205,1,2,4,1,2,,1O1S:2O1S,1O:1O:1O:2O,,1L:1L,2,0.06000600060006
206,1,2,4,1,2,,1O1S:2O,1O:1O:1O:1O,,1L:1L,2,0.06000600060006
207,1,2,4,1,2,,1O:1O,:1O:1O:1O,,1L:1L,2,0.06000600060006
208,0,0,6,2,2,,,1O:1O:1O:1O:1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
209,0,1,5,1,2,,1O1S,1O:1O:1O:2O:2O,,1L:1L,2,0.06000600060006
210,0,2,4,2,2,,1O:1O,1O:1O:1O:1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
211,1,2,4,1,2,,1O:2O,:1O:1O:2O,,1L:1L,2,0.06000600060006
212,0,1,7,1,2,,1O,1O:1O:1O:1O:1O:1O:2O,,1L:1L,2,0.06000600060006
213,1,1,4,2,2,,1O1S,1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
214,0,1,7,1,2,,1O,1O:1O:1O:1O:1O:1O:1O,,1L:1L,2,0.06000600060006
215,0,1,7,1,2,,1N1O1S,::1O:1O:1O:1O:1O,,1L:1L,2,0.06000600060006
216,0,3,4,1,2,,:1O1S:2O,1O:1O:1O:1O,,1L:1L,2,0.06000600060006
217,0,1,7,1,1,,,::::1O:1O:1O,,1L,2,0.06000600060006
218,0,3,4,1,2,,:1O:1O,1O:1O:1O:1O,,1L:1L,2,0.06000600060006
219,0,1,5,2,2,,,1O:1O:1O:1O:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
220,0,1,5,2,2,,,1O:1O:1O:1O:1O,2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
221,0,2,4,2,2,,1O:1O,1O:1O:2O:2O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,2,0.06000600060006
222,0,3,4,1,2,,:1O:1O1S,1O:1O:1O:2O,,1L:1L,2,0.06000600060006
223,0,1,5,2,2,,,1O:1O:1O:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
224,0,3,4,1,2,,:1O:2O,1O:1O:1O:1O,,1L:1L,2,0.06000600060006
225,0,2,4,2,2,,1O:1O,1O:1O:2O:2O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
