,num_dol,num_thf,num_tfsi,num_ps,num_li,atoms_dol,atoms_thf,atoms_tfsi,atoms_ps,atoms_li,count,%
661,4,2,0,2,1,:::1O,1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
662,4,2,0,2,1,::1O:1O,:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
663,4,2,0,2,1,::1O:1O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
664,4,2,0,2,1,::1O:1O,:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
665,4,2,0,2,1,::1O:1O,:,,2S:2S:2S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
666,4,2,0,2,1,::1O:1O,1O:1O,,::1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
667,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
668,4,2,0,2,2,:1O:1O:1O,1O:1O,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
669,4,2,0,2,2,:1O:1O:1O,1O:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
670,4,2,0,2,2,:1O:1O:1O,1O:1O,,3S:3S:4S:4S:4S:5S:5S:5S,1L:1L,1,0.03000300030003
671,4,2,0,3,2,:1O:1O:2O,1O:1O,,::::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
672,4,2,0,3,2,:1O:1O:1O,1O:1O,,::::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
673,4,2,0,3,2,1O:1O:1O:1O,:1O,,1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
674,4,2,0,2,2,:::1O,:1O,,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
675,4,2,0,2,2,::1O:2O,1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
676,4,2,0,2,2,::1O:1O,:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
677,4,2,0,2,2,::1O:1O,1O:1O,,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
678,4,2,0,2,2,:1O:1O:2O,:1O,,2S:3S:3S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
679,4,2,0,2,2,:1O:1O:2O,:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
680,4,2,0,2,2,:1O:1O:2O,1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
681,4,2,0,2,2,:1O:1O:2O,1O:1O,,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
682,4,2,0,2,2,:1O:1O:2O,1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
683,4,2,0,2,2,:1O:1O:2O,1O:1O,,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
684,4,2,0,2,2,:1O:1O:1O,:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
