,num_dol,num_hme,num_tfsi,num_ps,num_li,atoms_dol,atoms_hme,atoms_tfsi,atoms_ps,atoms_li,count,%
1036,7,1,1,1,2,::1O:1O:2O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
1037,8,0,0,1,2,1O:1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1038,8,0,0,1,2,:1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1039,8,0,0,1,2,:1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1040,8,1,0,1,2,1O:1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,1,0.03000300030003
1041,8,0,1,1,2,:::1O:1O:1O:1O:1O,,1N4O2S,,1L:1L,1,0.03000300030003
1042,8,0,1,1,2,:::1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1043,8,0,2,1,1,:::::1O:1O:1O,,1O1S:2O1S,,1L,1,0.03000300030003
1044,8,0,2,1,2,::1O:1O:1O:1O:1O:1O,,:1O,,1L:1L,1,0.03000300030003
1045,8,1,0,1,1,:::1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1046,8,1,0,1,1,:::::1O:1O:1O,,,,1L,1,0.03000300030003
1047,8,1,0,1,1,:::::1O:1O:1O,1O,,,1L,1,0.03000300030003
1048,8,1,1,1,1,:::1O:1O:1O:1O:1O,,1O1S,,1L,1,0.03000300030003
1049,8,0,0,2,1,:::1O:1O:1O:1O:1O,,,1S:1S:1S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1050,8,1,1,1,1,::::1O:1O:1O:2O,,,,1L,1,0.03000300030003
1051,8,1,1,1,1,::::::1O:2O,,1O1S,,1L,1,0.03000300030003
1052,8,2,0,1,1,:::::1O:1O:1O,:,,,1L,1,0.03000300030003
1053,8,2,1,1,2,::1O:1O:1O:1O:2O:2O,:,,,1L:1L,1,0.03000300030003
