,num_dol,num_dms,num_tfsi,num_ps,num_li,atoms_dol,atoms_dms,atoms_tfsi,atoms_ps,atoms_li,count,%
1927,1,4,1,3,3,,:1O:1O:2O1S,1N3O2S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1928,0,6,1,1,1,,1O:1O:1O:1O:2O1S:2O1S,1O,,1L,1,0.03000300030003
1929,0,6,0,1,1,,:1O:1O:2O:2O1S:2O1S,,,1L,1,0.03000300030003
1930,0,6,0,1,1,,::1O:1O1S:1S:2O,,,1L,1,0.03000300030003
1931,0,6,0,1,1,,::1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
1932,0,6,0,1,2,,1O:1O:1O1S:1O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
1933,0,6,0,1,2,,:1O:1O1S:1O1S:2O1S:2O1S,,,1L:1L,1,0.03000300030003
1934,0,6,0,1,3,,:1O:1O:1O1S:2O1S:3O1S,,,1L:1L:1L,1,0.03000300030003
1935,0,6,0,2,1,,::1O:2O1S:2O1S:2O1S,,:1S:1S:1S:1S:2S:2S:2S,1L,1,0.03000300030003
1936,0,6,1,1,1,,1O:1O:1O:1O:1S:2O1S,1O,,1L,1,0.03000300030003
1937,0,6,1,1,1,,1O:1O:1O:2O1S:2O1S:2O1S,1O1S,,1L,1,0.03000300030003
1938,1,3,1,2,3,1O,:1O:1O1S,3O1S,2S:2S:3S:3S:3S:3S:3S:4S,1L:1L:1L,1,0.03000300030003
1939,0,6,1,1,1,,:1O:1O:1O:1O1S:1O1S,2O,,1L,1,0.03000300030003
1940,0,6,1,1,1,,:1O:2O1S:2O1S:2O1S:2O1S,1O,,1L,1,0.03000300030003
1941,0,6,1,1,1,,::1O:1O1S:1O1S:2O1S,,,1L,1,0.03000300030003
1942,0,6,1,1,1,,::1O:1O:1O:1O1S,,,1L,1,0.03000300030003
1943,0,6,1,1,1,,::1O:1O:2O1S:2O1S,,,1L,1,0.03000300030003
1944,0,6,1,1,1,,:::1O:1O:2O1S,1O1S,,1L,1,0.03000300030003
1945,0,6,1,1,2,,1O:1O:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1946,0,6,1,1,2,,1O:1O:1O:2O1S:2O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1947,0,6,0,1,1,,:1O:1O:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1948,0,6,0,1,1,,:1O:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1949,0,6,0,1,1,,:1O:1O:1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1950,0,6,0,1,1,,1O:1O:1O:1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1951,0,4,0,1,1,,1O1S:1O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1952,0,4,0,1,1,,:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1953,0,4,1,1,1,,:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1954,0,4,1,3,2,,:1O1S:2O1S:3O1S,1O1S,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1955,0,4,1,3,2,,:1O:1O1S:2O1S,1O,1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1956,0,4,1,3,3,,1O:1O:2O1S:3O1S,1O,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1957,0,4,1,3,3,,:1O:2O1S:3O1S,2O1S,1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1958,0,4,2,1,1,,:1O:1S:2O1S,1O1S:2O1S,,1L,1,0.03000300030003
1959,0,5,0,1,1,,1O:1O:2O1S:2O1S:3O1S,,,1L,1,0.03000300030003
1960,0,5,0,1,2,,1O:1O1S:2O1S:2O1S:3O1S,,,1L:1L,1,0.03000300030003
1961,0,5,1,1,1,,:1O:1O1S:2O1S:2O1S,2O,,1L,1,0.03000300030003
1962,0,5,1,1,1,,:1O:1O:1O1S:1O1S,,,1L,1,0.03000300030003
1963,0,5,1,1,2,,1O:1O:1O:2O1S:2O1S,2O1S,,1L:1L,1,0.03000300030003
1964,0,5,1,1,2,,1O:1O:2O:2O1S:2O1S,2O,,1L:1L,1,0.03000300030003
1965,0,5,1,1,2,,:1O:1O:1O1S:2O,1N,,1L:1L,1,0.03000300030003
1966,0,5,2,1,1,,:::1O1S:2O1S,1O:1O,,1L,1,0.03000300030003
1967,0,6,0,1,1,,1O:1O1S:1O1S:2O1S:2O1S:2O1S,,,1L,1,0.03000300030003
1968,0,6,1,1,2,,:1O:1O1S:2O1S:2O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1969,0,6,1,1,2,,:1O:1O:1O:1O1S:2O1S,1O,,1L:1L,1,0.03000300030003
1970,0,6,1,1,2,,:1O:1O:1O:1O:2O1S,2O1S,,1L:1L,1,0.03000300030003
1971,1,2,1,2,2,1O,:1O1S,1N3O2S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
