,num_dol,num_epe,num_tfsi,num_ps,num_li,atoms_dol,atoms_epe,atoms_tfsi,atoms_ps,atoms_li,count,%
1472,4,0,2,2,2,1O:1O:1O:1O,,1O:2O2S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1473,4,0,2,2,2,1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1474,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1475,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1476,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,1,0.03000300030003
1477,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1478,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1479,4,0,2,2,2,:1O:1O:1O,,1O:1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1480,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1481,4,0,2,2,2,:1O:1O:1O,,1O:1O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1482,4,0,2,2,3,:1O:1O:1O,,2O:2O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1483,4,0,2,2,3,:1O:1O:1O,,2O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L:1L,1,0.03000300030003
1484,4,0,2,2,3,:1O:1O:1O,,2O:2O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L:1L,1,0.03000300030003
1485,4,0,2,2,2,::1O:2O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1486,4,0,2,2,2,::1O:1O,,:2O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1487,4,0,2,2,2,::1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1488,4,0,2,2,2,::1O:1O,,1O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1489,4,0,2,2,2,:1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1490,4,0,2,2,2,:1O:1O:2O,,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1491,4,0,2,2,2,:1O:1O:1O,,:2O,1S:1S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1492,4,0,2,2,2,:1O:1O:1O,,:1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1493,4,0,2,2,2,:1O:1O:1O,,2O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1494,4,0,2,2,2,:1O:1O:1O,,2O:2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1495,4,0,2,2,2,:1O:1O:1O,,2O1S:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1496,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1497,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1498,4,0,2,2,2,:1O:1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1499,4,0,1,2,2,:1O:1O:1O,,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1500,4,0,1,2,2,1O:1O:1O:2O,,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1501,3,1,2,1,2,1O:1O:1O,1O,1N1O:1O,,1L:1L,1,0.03000300030003
1502,3,2,0,3,2,:1O:1O,:1O,,:::1S:1S:2S:2S:2S:2S:2S:2S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1503,3,2,1,1,2,1O:1O:1O,:,1O,,1L:1L,1,0.03000300030003
1504,3,2,1,1,1,::1O,:1O,2O1S,,1L,1,0.03000300030003
1505,3,2,1,1,1,::1O,:1O,1N1O1S,,1L,1,0.03000300030003
1506,3,2,1,1,1,::,:1O,2O,,1L,1,0.03000300030003
1507,3,2,1,1,1,:1O:1O,:1O,2O1S,,1L,1,0.03000300030003
1508,3,2,1,1,1,:1O:1O,:1O,1O,,1L,1,0.03000300030003
1509,3,2,1,1,1,:1O:1O,:1O,,,1L,1,0.03000300030003
1510,3,2,1,1,1,1O:1O:1O,:1O,,,1L,1,0.03000300030003
1511,3,2,0,3,2,:1O:1O,:1O,,:::1S:1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1512,3,2,1,1,2,1O:1O:1O,:1O,3O1S,,1L:1L,1,0.03000300030003
1513,3,2,0,3,2,1O:1O:1O,:1O,,:::1S:1S:1S:1S:1S:2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1514,3,2,0,2,2,1O:1O:1O,:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1515,3,2,0,1,1,:1O:2O,:1O,,,1L,1,0.03000300030003
1516,3,2,0,1,1,1O:1O:1O,:1O,,,1L,1,0.03000300030003
1517,3,1,3,2,2,1O:1O:1O,,:1O:1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1518,3,1,3,1,2,:1O:1O,1O,:1O:3O1S,,1L:1L,1,0.03000300030003
1519,3,1,3,1,2,:1O:1O,1O,:1N1O:1O,,1L:1L,1,0.03000300030003
1520,3,1,3,1,2,:1O:1O,1O,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1521,3,2,1,1,2,1O:1O:1O,:1O,1O1S,,1L:1L,1,0.03000300030003
1522,3,2,1,1,2,1O:1O:2O,1O:1O,1O,,1L:1L,1,0.03000300030003
1523,3,2,3,1,2,1O:1O:1O,:1O,:1O:1O,,1L:1L,1,0.03000300030003
