,num_dol,num_tmp,num_tfsi,num_ps,num_li,atoms_dol,atoms_tmp,atoms_tfsi,atoms_ps,atoms_li,count,%
1394,5,3,0,2,1,:::1O:1O,:1O:1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1395,5,3,0,2,1,:::1O:1O,:1O:2O,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1396,5,3,0,2,1,:::1O:1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,1,0.03000300030003
1397,5,3,0,2,1,:::1O:1O,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1398,5,3,0,2,1,:::1O:1O,::1O,,2S:2S:2S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1399,5,3,0,2,1,:::1O:1O,::1O,,3S:3S:3S:3S:3S:3S:3S:3S,1L,1,0.03000300030003
1400,5,3,1,1,1,::1O:1O:2O,:1O:2O,2O1S,,1L,1,0.03000300030003
1401,5,3,0,2,1,:::1O:1O,::3O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1402,5,3,0,2,1,:::1O:2O,1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1403,5,3,0,2,2,1O:1O:1O:1O:1O,1O:1O:1O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1404,5,3,0,2,2,1O:1O:1O:1O:1O,1O:1O:2O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1405,5,3,0,2,2,1O:1O:1O:1O:1O,1O:1O:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1406,5,3,0,2,2,1O:1O:1O:1O:1O,1O:2O:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1407,5,3,0,2,1,::1O:1O:2O,:1O:1O,,1S:1S:1S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1408,5,3,0,2,1,::1O:1O:1O,::2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1409,5,3,0,2,1,::1O:1O:1O,::1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1410,5,3,0,2,1,::1O:1O:1O,:1O:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1411,5,3,0,2,1,::1O:1O:1O,:1O:2O,,1S:1S:2S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
1412,5,3,0,2,1,::1O:1O:1O,:1O:1O,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1413,5,3,0,2,1,:1O:1O:1O:1O,1O:1O:2O,,2S:2S:2S:2S:2S:2S:2S:3S,1L,1,0.03000300030003
1414,5,3,0,1,2,:1O:1O:1O:2O,:1O:2O,,,1L:1L,1,0.03000300030003
1415,5,3,0,1,2,:1O:1O:1O:2O,1O:2O:2O,,,1L:1L,1,0.03000300030003
1416,5,3,0,1,2,:1O:1O:1O:1O,1O:1O:2O,,,1L:1L,1,0.03000300030003
1417,5,3,0,1,2,1O:1O:1O:1O:2O,1O:1O:2O,,,1L:1L,1,0.03000300030003
1418,5,3,0,1,1,:::2O:2O,::2O,,,1L,1,0.03000300030003
