,num_dol,num_btfe,num_tfsi,num_ps,num_li,atoms_dol,atoms_btfe,atoms_tfsi,atoms_ps,atoms_li,count,%
30,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O,,1L:1L,8,0.24002400240024
31,4,1,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,8,0.24002400240024
32,4,1,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,8,0.24002400240024
33,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,8,0.24002400240024
34,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O1S,,1L:1L,8,0.24002400240024
35,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,8,0.24002400240024
36,6,1,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
37,4,1,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,8,0.24002400240024
38,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,8,0.24002400240024
39,5,1,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,8,0.24002400240024
40,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
41,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,7,0.21002100210021
42,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
43,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,7,0.21002100210021
44,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,7,0.21002100210021
45,6,0,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,7,0.21002100210021
46,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,7,0.21002100210021
47,5,0,1,1,2,1O:1O:1O:2O:2O,,1O,,1L:1L,7,0.21002100210021
48,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
49,5,1,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,6,0.18001800180018
50,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,6,0.18001800180018
51,3,1,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,6,0.18001800180018
52,5,1,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,6,0.18001800180018
53,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
54,5,0,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,6,0.18001800180018
55,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
56,4,2,2,1,2,1O:1O:1O:1O,:,1O:1O,,1L:1L,6,0.18001800180018
57,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,6,0.18001800180018
58,5,0,2,1,2,1O:1O:1O:1O:2O,,:1O,,1L:1L,6,0.18001800180018
59,5,1,1,1,2,1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,6,0.18001800180018
60,4,0,2,1,2,1O:1O:1O:2O,,1O:1O1S,,1L:1L,6,0.18001800180018
61,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,6,0.18001800180018
62,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,6,0.18001800180018
63,4,0,2,1,2,1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,6,0.18001800180018
64,4,0,2,1,2,1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,6,0.18001800180018
65,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
66,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
67,6,0,1,1,2,::1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
68,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:1O1S,,1L:1L,5,0.15001500150015
69,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
70,5,0,2,1,2,:1O:1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
71,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O1S,,1L:1L,5,0.15001500150015
72,6,0,2,1,2,1O:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
73,6,0,2,1,2,:1O:1O:1O:1O:1O,,:1O,,1L:1L,5,0.15001500150015
74,4,1,1,1,2,:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
75,5,0,0,1,2,1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
76,5,0,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
77,6,1,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,5,0.15001500150015
78,6,1,0,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
79,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
80,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,5,0.15001500150015
81,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
82,2,1,1,2,2,1O:1O,,1O,2S:3S:3S:4S:4S:4S:5S:6S,1L:1L,5,0.15001500150015
83,4,0,1,1,2,1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
84,4,1,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,5,0.15001500150015
85,4,0,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
86,4,0,1,1,2,1O:1O:1O:1O,,1O1S,,1L:1L,5,0.15001500150015
87,3,0,2,1,2,1O:1O:1O,,1O1S:2O1S,,1L:1L,5,0.15001500150015
88,5,1,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
89,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
90,5,1,0,2,2,1O:1O:1O:1O:1O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,5,0.15001500150015
91,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
92,4,0,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
93,5,0,1,1,2,::1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
94,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
95,6,0,2,1,2,::1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
96,4,1,1,1,2,:1O:1O:1O,,1O1S,,1L:1L,4,0.12001200120012
97,5,0,2,1,2,:1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
98,4,0,2,2,2,1O:1O:1O:1O,,1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
99,6,0,2,1,2,:1O:1O:1O:1O:2O,,1O:2O,,1L:1L,4,0.12001200120012
100,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
101,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
102,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
103,3,0,2,1,2,1O:1O:1O,,:1O,,1L:1L,4,0.12001200120012
104,4,0,2,1,2,:1O:1O:2O,,2O:2O1S,,1L:1L,4,0.12001200120012
105,6,1,0,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,4,0.12001200120012
106,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,4,0.12001200120012
107,4,0,2,1,2,1O:1O:1O:1O,,2O:2O1S,,1L:1L,4,0.12001200120012
108,4,0,1,1,2,:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
109,3,0,3,1,2,1O:1O:1O,,1N1O1S:1O:1O,,1L:1L,4,0.12001200120012
110,4,0,3,1,2,:1O:1O:1O,,1O:1O:1O,,1L:1L,4,0.12001200120012
111,4,0,2,1,2,:1O:1O:1O,,1N3O2S:1O,,1L:1L,4,0.12001200120012
112,4,0,2,1,2,:1O:1O:1O,,1N2O2S:1O,,1L:1L,4,0.12001200120012
113,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,1O,,1L:1L,4,0.12001200120012
114,6,0,1,1,2,:1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,4,0.12001200120012
115,5,0,3,1,2,:1O:1O:1O:1O,,:1O:2O,,1L:1L,4,0.12001200120012
116,6,0,0,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,4,0.12001200120012
117,4,0,2,1,2,:1O:1O:1O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
118,6,0,1,1,2,:1O:1O:1O:1O:2O,,1N1O1S,,1L:1L,4,0.12001200120012
119,3,0,3,1,2,1O:1O:2O,,1N1O1S:1O:1O1S,,1L:1L,4,0.12001200120012
120,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,4,0.12001200120012
121,3,0,3,1,2,1O:1O:1O,,1O:2O:2O1S,,1L:1L,4,0.12001200120012
122,3,0,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,4,0.12001200120012
123,3,0,3,1,2,1O:1O:1O,,1O:1O1S:1O1S,,1L:1L,4,0.12001200120012
124,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,4,0.12001200120012
125,4,0,2,1,2,1O:1O:1O:1O,,:1O,,1L:1L,4,0.12001200120012
126,5,0,1,1,2,:1O:1O:1O:2O,,1O1S,,1L:1L,4,0.12001200120012
127,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:1O1S,,1L:1L,4,0.12001200120012
128,5,0,2,1,2,:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,4,0.12001200120012
129,7,0,0,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,4,0.12001200120012
130,4,1,2,1,2,1O:1O:1O:1O,,1N1O1S:2O,,1L:1L,4,0.12001200120012
131,4,1,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,4,0.12001200120012
132,3,0,1,2,2,:1O:1O,,1O,2S:3S:3S:4S:4S:4S:5S:6S,1L:1L,4,0.12001200120012
133,1,1,4,1,2,1O,1O,1O:1O:1O1S:2O,,1L:1L,4,0.12001200120012
134,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
135,7,0,0,1,2,1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
136,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,4,0.12001200120012
137,4,0,2,2,2,:1O:1O:1O,,1O:1O,1S:2S:2S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
138,5,1,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
139,4,0,1,1,2,:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
140,4,1,2,1,2,1O:1O:1O:1O,,1N1O1S:1O1S,,1L:1L,3,0.09000900090009
141,5,1,0,1,2,1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
142,5,0,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,3,0.09000900090009
143,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,3,0.09000900090009
144,2,1,1,2,2,1O:1O,,1O,2S:3S:3S:4S:4S:4S:4S:5S,1L:1L,3,0.09000900090009
145,3,0,3,2,2,1O:1O:1O,,:1N1O1S:1O,:1S:1S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
146,6,0,1,1,2,1O:1O:1O:1O:2O:2O,,,,1L:1L,3,0.09000900090009
147,4,1,2,1,2,1O:1O:2O:2O,,1O:1O,,1L:1L,3,0.09000900090009
148,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
149,5,0,1,1,2,:1O:1O:1O:1O,,3O2S,,1L:1L,3,0.09000900090009
150,4,1,1,1,2,1O:1O:1O:1O,,1N2O2S,,1L:1L,3,0.09000900090009
151,4,1,1,1,2,1O:1O:1O:1O,,1N3O2S,,1L:1L,3,0.09000900090009
152,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
153,5,0,2,1,2,1O:1O:1O:1O:2O,,:2O1S,,1L:1L,3,0.09000900090009
154,4,1,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
155,5,0,2,1,2,1O:1O:1O:2O:2O,,1O:2O,,1L:1L,3,0.09000900090009
156,5,1,0,2,2,1O:1O:1O:1O:1O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
157,4,0,2,1,2,:1O:1O:1O,,2O1S:2O1S,,1L:1L,3,0.09000900090009
158,2,1,1,2,2,1O:1O,,1O1S,2S:3S:3S:4S:4S:4S:4S:5S,1L:1L,3,0.09000900090009
159,5,0,1,1,2,1O:1O:1O:1O:2O,,1N1O,,1L:1L,3,0.09000900090009
160,4,0,3,2,2,:1O:1O:1O,,1O:1O:1O,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
161,5,0,1,1,2,1O:1O:1O:1O:2O,,3O1S,,1L:1L,3,0.09000900090009
162,5,1,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
163,5,0,1,1,2,1O:1O:1O:2O:2O,,1O1S,,1L:1L,3,0.09000900090009
164,3,0,3,1,2,1O:1O:1O,,1O:1O1S:2O,,1L:1L,3,0.09000900090009
165,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
166,3,0,1,1,2,1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
167,5,0,1,1,2,1O:1O:1O:1O:2O,,1O1S,,1L:1L,3,0.09000900090009
168,5,0,2,1,1,::1O:1O:1O,,1O:1O1S,,1L,3,0.09000900090009
169,5,1,1,1,2,:1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
170,5,0,2,1,2,1O:1O:1O:1O:1O,,:1N3O2S,,1L:1L,3,0.09000900090009
171,5,0,0,2,2,1O:1O:1O:1O:2O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
172,5,1,1,1,1,::1O:1O:1O,1O,,,1L,3,0.09000900090009
173,5,0,1,1,2,1O:1O:1O:1O:1O,,3O1S,,1L:1L,3,0.09000900090009
174,5,0,2,1,2,1O:1O:1O:1O:1O,,:2O,,1L:1L,3,0.09000900090009
175,5,1,1,1,1,:1O:1O:1O:1O,,,,1L,3,0.09000900090009
176,3,1,3,1,2,1O:1O:1O,,:1N1O1S:1O,,1L:1L,3,0.09000900090009
177,4,1,2,1,2,1O:1O:1O:2O,,1O1S:2O1S,,1L:1L,3,0.09000900090009
178,6,1,1,1,2,:1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
179,4,1,2,1,2,1O:1O:1O:1O,,1O:3O1S,,1L:1L,3,0.09000900090009
180,5,0,2,1,2,1O:1O:1O:1O:2O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
181,3,1,3,1,2,1O:1O:1O,,1O:1O1S:2O,,1L:1L,3,0.09000900090009
182,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
183,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
184,5,0,2,1,2,1O:1O:1O:1O:1O,,1N2O1S:1O,,1L:1L,3,0.09000900090009
185,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
186,7,0,0,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
187,3,1,1,2,2,:1O:1O,,1O,2S:3S:3S:4S:4S:4S:5S:6S,1L:1L,3,0.09000900090009
188,3,1,1,2,2,:1O:1O,,1O,2S:3S:4S:4S:4S:5S:6S:7S,1L:1L,3,0.09000900090009
189,4,0,3,1,2,:1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,3,0.09000900090009
190,5,2,1,1,2,:1O:1O:1O:1O,:,1N2O2S,,1L:1L,3,0.09000900090009
191,4,1,3,1,2,1O:1O:1O:1O,,:1O:1O1S,,1L:1L,3,0.09000900090009
192,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,3,0.09000900090009
193,5,0,0,1,2,:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
194,5,2,1,1,2,1O:1O:1O:1O:1O,:,1O,,1L:1L,3,0.09000900090009
195,6,0,0,2,2,:1O:1O:1O:1O:2O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
196,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
197,4,0,2,1,2,1O:1O:1O:1O,,:2O1S,,1L:1L,3,0.09000900090009
198,3,0,2,1,2,1O:1O:1O,,1N3O2S:1O,,1L:1L,3,0.09000900090009
199,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:1O1S,,1L:1L,3,0.09000900090009
200,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O1S,,1L:1L,3,0.09000900090009
201,4,0,2,1,2,1O:1O:1O:2O,,1N1O1S:2O1S,,1L:1L,3,0.09000900090009
202,3,1,2,1,2,1O:1O:1O,,1O:2O1S,,1L:1L,3,0.09000900090009
203,4,0,2,1,2,1O:1O:1O:1O,,1N3O2S:1O1S,,1L:1L,3,0.09000900090009
204,6,1,1,1,1,:::1O:1O:1O,,,,1L,3,0.09000900090009
205,6,0,0,1,2,1O:1O:1O:1O:2O:2O,,,,1L:1L,3,0.09000900090009
206,4,0,2,1,2,1O:1O:1O:2O,,1O1S:2O,,1L:1L,3,0.09000900090009
207,4,1,1,1,2,1O:1O:1O:2O,,2O1S,,1L:1L,3,0.09000900090009
208,6,0,0,2,2,1O:1O:1O:1O:1O:1O,,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
209,4,0,2,1,2,1O:1O:1O:1O,,1O1S:2O,,1L:1L,3,0.09000900090009
210,4,1,1,2,2,1O:1O:1O:2O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,3,0.09000900090009
211,4,0,2,1,2,1O:1O:1O:1O,,1O:2O2S,,1L:1L,3,0.09000900090009
212,5,0,1,2,2,:::1O:1O,,1O,2S:2S:2S:2S:2S:2S:3S:4S,1L:1L,2,0.06000600060006
213,5,2,1,1,2,:1O:1O:1O:1O,:,2O,,1L:1L,2,0.06000600060006
214,5,1,1,1,2,::1O:1O:1O,,1O,,1L:1L,2,0.06000600060006
215,4,0,2,2,2,1O:1O:1O:1O,,:1O,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
216,3,1,1,1,2,1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
217,4,0,2,2,2,1O:1O:1O:1O,,:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
218,3,1,3,2,2,1O:1O:2O,,:1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
219,3,1,3,2,2,1O:1O:1O,,:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
220,3,1,1,1,2,1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
221,5,1,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,2,0.06000600060006
222,5,1,1,1,2,:1O:1O:1O:1O,,2O1S,,1L:1L,2,0.06000600060006
223,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:2O1S,,1L:1L,2,0.06000600060006
224,6,0,0,1,2,:1O:1O:1O:1O:1O,,,,1L:1L,2,0.06000600060006
225,3,0,4,1,2,:1O:1O,,1O:1O1S:1O1S:2O,,1L:1L,2,0.06000600060006
226,4,1,2,1,2,1O:1O:1O:1O,,2O:2O,,1L:1L,2,0.06000600060006
227,5,0,2,1,1,::1O:1O:1O,,:1O,,1L,2,0.06000600060006
228,5,1,1,1,2,:1O:1O:1O:2O,,1O1S,,1L:1L,2,0.06000600060006
229,4,1,2,1,2,1O:1O:1O:1O,,1O1S:1O1S,,1L:1L,2,0.06000600060006
230,4,1,2,1,2,1O:1O:1O:1O,,1O1S:2O,,1L:1L,2,0.06000600060006
231,6,0,0,1,1,::1O:1O:1O:2O,,,,1L,2,0.06000600060006
232,4,0,3,1,2,1O:1O:1O:1O,,:1O:2O2S,,1L:1L,2,0.06000600060006
233,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:1S:2S:2S:3S:4S,1L:1L,2,0.06000600060006
234,3,1,3,2,2,1O:1O:1O,,:1O:1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
235,4,1,2,1,2,1O:1O:1O:1O,,2O1S:2O1S,,1L:1L,2,0.06000600060006
236,4,0,2,2,2,1O:1O:1O:1O,,:2O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
237,5,1,2,1,2,:1O:1O:1O:2O,,1O:2O1S,,1L:1L,2,0.06000600060006
238,3,1,3,1,2,1O:1O:1O,,:1O:1O,,1L:1L,2,0.06000600060006
239,5,1,2,1,2,:1O:1O:1O:1O,,1O:3O1S,,1L:1L,2,0.06000600060006
240,5,0,1,2,2,:1O:1O:1O:1O,,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
241,4,0,2,2,2,::1O:1O,,:2O1S,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
242,7,0,0,1,2,:1O:1O:1O:1O:2O:2O,,,,1L:1L,2,0.06000600060006
243,5,0,2,1,2,1O:1O:1O:1O:1O,,1N1O:1O,,1L:1L,2,0.06000600060006
244,2,1,3,1,2,1O:1O,,1O:2O1S:2O1S,,1L:1L,2,0.06000600060006
245,7,0,0,1,2,1O:1O:1O:1O:1O:2O:2O,,,,1L:1L,2,0.06000600060006
246,3,1,2,1,2,1O:1O:1O,,1O1S:2O1S,,1L:1L,2,0.06000600060006
247,5,1,2,1,1,::1O:1O:1O,,1O:1O,,1L,2,0.06000600060006
248,3,1,2,1,2,1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
249,4,0,2,2,2,:1O:1O:1O,,1O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
250,3,1,2,1,2,1O:1O:2O,,1N2O2S:1O,,1L:1L,2,0.06000600060006
251,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,2,0.06000600060006
252,5,0,1,2,2,:1O:1O:1O:2O,,1O,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,2,0.06000600060006
253,5,0,1,2,2,:1O:1O:1O:1O,,1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
254,4,0,2,2,2,:1O:1O:1O,,1O:2O,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
255,3,1,2,1,2,1O:1O:1O,,1N1O1S:2O1S,,1L:1L,2,0.06000600060006
256,3,1,2,1,2,1O:1O:1O,,1N1O1S:1O1S,,1L:1L,2,0.06000600060006
257,5,0,1,2,2,:1O:1O:1O:1O,,1O,1S:1S:1S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
258,5,1,2,1,2,1O:1O:1O:2O:2O,,1O:1O,,1L:1L,2,0.06000600060006
259,4,0,3,1,2,1O:1O:1O:1O,,1N1O1S:1O1S:1O1S,,1L:1L,2,0.06000600060006
260,5,1,2,1,2,1O:1O:1O:1O:2O,,:2O1S,,1L:1L,2,0.06000600060006
261,5,2,0,1,2,1O:1O:1O:1O:1O,:,,,1L:1L,2,0.06000600060006
262,5,1,2,1,2,1O:1O:1O:1O:1O,,:2O1S,,1L:1L,2,0.06000600060006
263,5,1,2,1,2,1O:1O:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
264,7,0,0,1,2,::1O:1O:1O:1O:2O,,,,1L:1L,2,0.06000600060006
265,3,1,3,1,2,1O:1O:1O,,1N1O1S:1O:1O1S,,1L:1L,2,0.06000600060006
266,5,1,2,1,2,1O:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,2,0.06000600060006
267,3,1,3,1,2,1O:1O:1O,,1O:2O1S:2O1S,,1L:1L,2,0.06000600060006
