,num_dol,num_methf,num_tfsi,num_ps,num_li,atoms_dol,atoms_methf,atoms_tfsi,atoms_ps,atoms_li,count,%
68,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,11,0.33003300330033
69,1,3,1,1,2,1O,:1O:1O,2O,,1L:1L,11,0.33003300330033
70,3,3,0,1,2,:1O:1O,1O:1O:1O,,,1L:1L,11,0.33003300330033
71,2,2,1,1,2,1O:1O,1O:1O,3O1S,,1L:1L,11,0.33003300330033
72,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,11,0.33003300330033
73,4,3,0,1,1,::1O:1O,::1O,,,1L,10,0.3000300030003
74,2,4,0,1,1,:1O,::1O:1O,,,1L,10,0.3000300030003
75,3,3,0,1,1,::1O,::1O,,,1L,10,0.3000300030003
76,4,2,0,1,2,1O:1O:1O:1O,1O:1O,,,1L:1L,10,0.3000300030003
77,3,1,1,1,1,::1O,1O,1O,,1L,10,0.3000300030003
78,4,1,1,1,1,:::1O,1O,1O,,1L,9,0.27002700270027
79,5,2,0,1,1,:::1O:1O,:1O,,,1L,9,0.27002700270027
80,4,1,1,1,2,1O:1O:1O:1O,1O,2O,,1L:1L,9,0.27002700270027
81,3,2,1,1,2,1O:1O:1O,:1O,2O,,1L:1L,9,0.27002700270027
82,2,2,1,1,2,:1O,1O:1O,1O,,1L:1L,9,0.27002700270027
83,5,1,0,1,1,:::1O:1O,,,,1L,9,0.27002700270027
84,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
85,5,1,1,1,2,:1O:1O:1O:1O,1O,1O,,1L:1L,9,0.27002700270027
86,4,2,0,1,1,:::1O,1O:1O,,,1L,9,0.27002700270027
87,5,1,1,1,1,:::1O:1O,,1O,,1L,8,0.24002400240024
88,1,3,1,1,2,1O,:1O:1O,1O,,1L:1L,8,0.24002400240024
89,4,1,1,1,1,:::1O,,1O,,1L,8,0.24002400240024
90,2,2,0,1,1,1O:1O,:1O,,,1L,8,0.24002400240024
91,1,4,1,1,2,,1O:1O:1O:1O,2O,,1L:1L,8,0.24002400240024
92,1,2,2,1,2,1O,1O:1O,1O:1O,,1L:1L,8,0.24002400240024
93,3,1,2,1,2,1O:1O:1O,1O,1O:1O,,1L:1L,8,0.24002400240024
94,6,1,0,1,1,:::1O:1O:1O,,,,1L,8,0.24002400240024
95,4,2,0,1,2,:1O:1O:1O,:1O,,,1L:1L,8,0.24002400240024
96,3,2,1,1,2,:1O:1O,:1O,2O,,1L:1L,8,0.24002400240024
97,3,1,0,1,2,1O:1O:1O,1O,,,1L:1L,7,0.21002100210021
98,1,3,1,1,1,,::1O,1O,,1L,7,0.21002100210021
99,4,1,0,1,1,:1O:1O:1O,1O,,,1L,7,0.21002100210021
100,1,2,1,1,2,1O,1O:1O,1O,,1L:1L,7,0.21002100210021
101,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,7,0.21002100210021
102,2,2,0,1,1,:,1O:1O,,,1L,7,0.21002100210021
103,0,4,1,1,2,,:1O:1O:1O,1O,,1L:1L,7,0.21002100210021
104,3,2,0,1,1,::,1O:1O,,,1L,7,0.21002100210021
105,1,4,1,1,2,1O,1O:1O:1O:1O,1O,,1L:1L,7,0.21002100210021
106,5,1,0,1,2,:1O:1O:1O:1O,1O,,,1L:1L,7,0.21002100210021
107,3,2,1,1,2,:1O:1O,:1O,1O,,1L:1L,7,0.21002100210021
108,5,0,0,1,1,:1O:1O:1O:1O,,,,1L,7,0.21002100210021
109,2,4,0,1,1,:1O,:::1O,,,1L,7,0.21002100210021
110,4,2,1,1,2,:1O:1O:1O,:1O,1O,,1L:1L,7,0.21002100210021
111,3,2,0,1,2,1O:1O:1O,:1O,,,1L:1L,7,0.21002100210021
112,4,3,0,1,1,::1O:1O,::,,,1L,6,0.18001800180018
113,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
114,2,2,0,1,1,:1O,:1O,,,1L,6,0.18001800180018
115,3,1,1,1,2,:1O:1O,1O,1O,,1L:1L,6,0.18001800180018
116,2,2,1,1,2,1O:1O,:1O,1O,,1L:1L,6,0.18001800180018
117,2,3,1,1,2,:1O,1O:1O:1O,2O,,1L:1L,6,0.18001800180018
118,4,0,1,1,1,::1O:1O,,1O,,1L,6,0.18001800180018
119,4,2,0,1,2,:1O:1O:1O,1O:1O,,,1L:1L,6,0.18001800180018
120,2,2,1,1,2,1O:1O,:1O,2O,,1L:1L,6,0.18001800180018
121,1,3,0,1,1,,:1O:1O,,,1L,6,0.18001800180018
122,2,2,1,1,1,:1O,:1O,1O,,1L,6,0.18001800180018
123,3,4,0,1,1,::1O,::1O:1O,,,1L,6,0.18001800180018
124,2,2,1,2,2,1O:1O,1O:1O,1O,:::1S:1S:2S:2S:2S,1L:1L,6,0.18001800180018
125,4,1,0,1,1,:::1O,1O,,,1L,6,0.18001800180018
126,5,0,0,1,2,1O:1O:1O:1O:1O,,,,1L:1L,6,0.18001800180018
127,1,4,1,1,2,1O,:1O:1O:1O,1O,,1L:1L,6,0.18001800180018
128,4,3,0,1,1,:::1O,:1O:1O,,,1L,6,0.18001800180018
129,3,3,0,1,2,:1O:1O,:1O:1O,,,1L:1L,5,0.15001500150015
130,2,2,2,1,2,:1O,1O:1O,1O:1O,,1L:1L,5,0.15001500150015
131,2,4,0,1,1,:,::1O:1O,,,1L,5,0.15001500150015
132,3,1,0,1,1,::1O,,,,1L,5,0.15001500150015
133,4,1,1,1,2,1O:1O:1O:2O,1O,1O,,1L:1L,5,0.15001500150015
134,4,1,0,1,1,1O:1O:1O:1O,,,,1L,5,0.15001500150015
135,4,2,0,1,2,1O:1O:1O:1O,:1O,,,1L:1L,5,0.15001500150015
136,0,4,2,1,2,,:1O:1O:1O,1O:1O,,1L:1L,5,0.15001500150015
137,1,4,0,1,2,1O,:1O:1O:1O,,,1L:1L,5,0.15001500150015
138,2,1,1,1,2,1O:1O,1O,2O,,1L:1L,5,0.15001500150015
139,1,4,0,1,1,,::1O:1O,,,1L,5,0.15001500150015
140,2,2,0,1,1,:1O,1O:1O,,,1L,5,0.15001500150015
141,5,0,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
