,num_dol,num_nma,num_tfsi,num_ps,num_li,atoms_dol,atoms_nma,atoms_tfsi,atoms_ps,atoms_li,count,%
31,1,5,0,1,0,,:::1N:1N,,,,14,0.42004200420042
32,4,3,0,1,0,:::,::1N,,,,14,0.42004200420042
33,4,4,0,1,1,:::1O,:1N:1O:1O,,,1L,14,0.42004200420042
34,2,4,0,1,0,:,:::1N,,,,13,0.39003900390039
35,2,5,0,1,2,1O:1O,:1O:1O:1O:1O,,,1L:1L,13,0.39003900390039
36,2,5,0,1,0,:,:::1N:1N,,,,13,0.39003900390039
37,4,3,0,1,0,:::1O,::1N,,,,13,0.39003900390039
38,4,3,0,1,2,:1O:1O:1O,1O:1O:1O,,,1L:1L,13,0.39003900390039
39,1,4,0,1,0,,:1N:1N:1N,,,,13,0.39003900390039
40,3,3,0,1,0,::,1N:1N:1N,,,,12,0.36003600360036
41,1,5,0,1,1,1O,:1N:1N:1O:1O,,,1L,12,0.36003600360036
42,3,5,0,1,1,::1O,:::1O:1O,,,1L,12,0.36003600360036
43,2,3,0,1,0,:,:1N:1N,,,,12,0.36003600360036
44,2,4,0,1,1,:1O,::1O:1O,,,1L,11,0.33003300330033
45,2,5,0,1,1,:1O,:1N:1N:1O:1O,,,1L,11,0.33003300330033
46,3,3,0,1,1,:1O:1O,1N:1O:1O,,,1L,11,0.33003300330033
47,2,3,0,1,1,:1O,1N:1O:1O,,,1L,11,0.33003300330033
48,5,2,0,1,0,::::,:1N,,,,11,0.33003300330033
49,3,4,0,1,1,::,:1O:1O:1O,,,1L,11,0.33003300330033
50,1,4,0,1,1,1O,:1N:1O:1O,,,1L,11,0.33003300330033
51,2,3,0,1,0,:1O,:1N:1N,,,,10,0.3000300030003
52,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,10,0.3000300030003
53,4,2,0,1,0,:::,:1N,,,,10,0.3000300030003
54,5,2,0,1,1,::::1O,1O:1O,,,1L,10,0.3000300030003
55,3,5,0,1,1,::,::1O:1O:1O,,,1L,10,0.3000300030003
56,2,3,0,1,0,:,1N:1N:1N,,,,10,0.3000300030003
57,1,4,0,1,1,1O,1N:1N:1O:1O,,,1L,9,0.27002700270027
58,2,5,0,1,2,:1O,1O:1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
59,4,2,0,1,0,:::1O,1N:1N,,,,9,0.27002700270027
60,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,9,0.27002700270027
61,1,5,0,1,1,,:1N:1O:1O:1O,,,1L,9,0.27002700270027
62,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
63,2,3,0,1,0,:,::1N,,,,9,0.27002700270027
64,3,4,0,1,2,1O:1O:1O,:1O:1O:1O,,,1L:1L,9,0.27002700270027
65,2,4,0,1,1,:,:1O:1O:1O,,,1L,9,0.27002700270027
66,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,9,0.27002700270027
67,4,4,0,1,1,::1O:1O,:1N:1O:1O,,,1L,9,0.27002700270027
68,1,6,0,1,1,,:1N:1N:1O:1O:1O,,,1L,9,0.27002700270027
69,2,3,0,1,0,:1O,1N:1N:1N,,,,8,0.24002400240024
70,1,5,0,1,1,,1N:1N:1O:1O:1O,,,1L,8,0.24002400240024
71,2,4,0,1,1,1O:1O,1N:1N:1O:1O,,,1L,8,0.24002400240024
72,2,4,0,1,0,:1O,:1N:1N:1N,,,,8,0.24002400240024
73,4,3,0,1,0,:::1O,:1N:1N,,,,8,0.24002400240024
74,4,4,0,1,1,::1O:1O,::1O:1O,,,1L,8,0.24002400240024
75,1,6,0,1,1,,::1N:1O:1O:1O,,,1L,8,0.24002400240024
76,1,6,0,1,1,1O,:::1N:1O:1O,,,1L,8,0.24002400240024
77,3,4,0,1,2,1O:1O:1O,1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
78,3,5,0,1,1,:1O:1O,:::1O:1O,,,1L,8,0.24002400240024
79,3,4,0,1,0,::1O,:::1N,,,,8,0.24002400240024
80,2,4,1,1,1,:1O,:1N:1O:1O,,,1L,8,0.24002400240024
81,3,3,1,1,1,::,:1O:1O,1O,,1L,8,0.24002400240024
82,3,5,0,1,1,::,:1N:1O:1O:1O,,,1L,8,0.24002400240024
83,4,5,0,1,1,:::1O,:::1O:1O,,,1L,7,0.21002100210021
84,1,5,0,1,0,,::1N:1N:1N,,,,7,0.21002100210021
85,4,4,0,1,2,:1O:1O:1O,:1O:1O:1O,,,1L:1L,7,0.21002100210021
86,5,2,0,1,1,:::1O:1O,1O:1O,,,1L,7,0.21002100210021
87,4,4,0,1,2,::1O:1O,1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
88,2,4,0,1,0,:1O,:::1N,,,,7,0.21002100210021
89,1,4,0,1,0,,::1N:1N,,,,7,0.21002100210021
90,3,4,0,1,1,:1O:1O,::1N:1O,,,1L,7,0.21002100210021
91,2,4,0,1,1,:,1N:1O:1O:1O,,,1L,7,0.21002100210021
92,2,5,0,1,0,:,::1N:1N:1N,,,,7,0.21002100210021
93,2,5,0,1,1,1O:1O,::1N:1O:1O,,,1L,7,0.21002100210021
94,2,4,0,1,1,:,::1N:1O,,,1L,7,0.21002100210021
95,1,5,0,1,1,,::1N:1O:1O,,,1L,7,0.21002100210021
96,1,5,0,1,1,,::1N:1N:1O,,,1L,7,0.21002100210021
97,3,5,0,1,2,:1O:1O,:1O:1O:1O:1O,,,1L:1L,7,0.21002100210021
98,4,2,0,1,1,::1O:1O,1O:1O,,,1L,7,0.21002100210021
99,1,4,0,1,1,,1N:1O:1O:1O,,,1L,7,0.21002100210021
100,5,3,0,1,1,:::1O:1O,:1O:1O,,,1L,7,0.21002100210021
101,4,2,0,1,0,:::1O,:1N,,,,7,0.21002100210021
102,2,3,0,2,1,:1O,:1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,7,0.21002100210021
103,3,5,0,1,0,::,:::1N:1N,,,,7,0.21002100210021
104,3,2,0,1,0,::,1N:1N,,,,7,0.21002100210021
105,3,4,0,1,1,::1O,:1N:1N1O:1O,,,1L,7,0.21002100210021
106,3,3,0,2,1,::1O,:1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,7,0.21002100210021
107,3,2,0,1,0,::1O,1N:1N,,,,6,0.18001800180018
108,4,2,0,1,0,:::,1N:1N,,,,6,0.18001800180018
109,5,1,0,1,0,::::,1N,,,,6,0.18001800180018
110,2,5,0,1,2,1O:1O,1N:1O:1O:1O:1O,,,1L:1L,6,0.18001800180018
111,2,5,0,1,1,:,::1O:1O:1O,,,1L,6,0.18001800180018
112,2,5,0,1,1,:,1N:1N:1O:1O:1O,,,1L,6,0.18001800180018
113,2,4,0,1,1,:,:1N:1O:1O,,,1L,6,0.18001800180018
114,2,4,1,1,1,:,:1N:1O:1O,1O,,1L,6,0.18001800180018
115,5,2,0,1,0,::::1O,:1N,,,,6,0.18001800180018
116,2,4,0,1,1,1O:1O,:1N:1O:1O,,,1L,6,0.18001800180018
117,3,2,0,1,0,::,:1N,,,,6,0.18001800180018
118,3,3,0,2,1,::1O,:1N:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,6,0.18001800180018
119,4,2,0,2,1,::1O:1O,:1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,6,0.18001800180018
120,4,4,0,1,1,:::,:1O:1O:1O,,,1L,6,0.18001800180018
121,3,5,0,1,0,::,::::1N,,,,6,0.18001800180018
122,3,4,0,1,1,::,1N:1O:1O:1O,,,1L,6,0.18001800180018
123,2,5,0,1,1,:1O,::1N:1N1O:1O,,,1L,6,0.18001800180018
124,3,2,0,1,0,::1O,:1N,,,,5,0.15001500150015
125,2,4,0,1,1,:1O,1N:1N:1N1O:1O,,,1L,5,0.15001500150015
126,3,4,0,1,1,::,:1N:1O:1O,,,1L,5,0.15001500150015
127,1,5,1,1,1,,::1N:1O:1O,1O,,1L,5,0.15001500150015
128,4,2,0,1,1,::1O:1O,1N:1O,,,1L,5,0.15001500150015
129,2,5,0,1,0,:1O,:::1N:1N,,,,5,0.15001500150015
130,2,4,0,1,1,:1O,1N:1O:1O:1O,,,1L,5,0.15001500150015
131,4,4,0,1,0,:::,::1N:1N,,,,5,0.15001500150015
132,2,3,1,1,0,:,::1N,,,,5,0.15001500150015
133,2,6,0,1,1,:,:::1O:1O:1O,,,1L,5,0.15001500150015
134,3,4,1,1,1,::,::1O:1O,1O,,1L,5,0.15001500150015
135,2,4,0,1,1,:,::1O:1O,,,1L,5,0.15001500150015
136,2,2,0,1,0,:,1N:1N,,,,5,0.15001500150015
137,3,3,1,1,1,::1O,1N:1O:1O,,,1L,5,0.15001500150015
138,3,5,0,1,1,:1O:1O,::1N:1O:1O,,,1L,5,0.15001500150015
139,5,4,0,1,1,::::1O,::1O:1O,,,1L,5,0.15001500150015
140,2,5,0,1,0,:1O,::::1N,,,,5,0.15001500150015
141,5,3,0,1,0,::::1O,::1N,,,,5,0.15001500150015
142,4,4,0,1,0,:::1O,::1N:1N,,,,5,0.15001500150015
143,2,4,0,1,1,1O:1O,::1O:1O,,,1L,5,0.15001500150015
144,5,2,0,1,1,:::1O:1O,:1O,,,1L,5,0.15001500150015
145,3,3,0,1,1,::,:1O:1O,,,1L,5,0.15001500150015
146,5,3,0,1,2,::1O:1O:1O,1O:1O:1O,,,1L:1L,4,0.12001200120012
147,3,2,0,1,1,::1O,1O:1O,,,1L,4,0.12001200120012
148,2,6,0,1,1,:1O,:::1N:1O:1O,,,1L,4,0.12001200120012
149,4,5,0,1,1,:::1O,::1N:1O:1O,,,1L,4,0.12001200120012
150,2,5,0,1,1,1O:1O,:::1O:1O,,,1L,4,0.12001200120012
151,5,3,0,1,0,::::,::1N,,,,4,0.12001200120012
152,0,7,0,1,1,,::1N:1N:1O:1O:1O,,,1L,4,0.12001200120012
153,5,4,0,1,0,::::,:::1N,,,,4,0.12001200120012
154,1,5,0,1,1,,:1N:1N1O:1O:1O,,,1L,4,0.12001200120012
155,5,3,0,1,1,::::1O,1N:1O:1O,,,1L,4,0.12001200120012
156,2,5,1,1,1,:,::1N:1O:1O,1O,,1L,4,0.12001200120012
157,3,2,0,1,1,::1O,1N:1O,,,1L,4,0.12001200120012
158,2,6,0,1,1,:,::1N:1O:1O:1O,,,1L,4,0.12001200120012
159,2,4,1,1,0,:,:::1N,,,,4,0.12001200120012
160,2,6,0,1,1,1O:1O,::::1O:1O,,,1L,4,0.12001200120012
161,3,4,0,1,2,:1O:2O,1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
162,3,4,0,1,1,::1O,1N:1N:1O:1O,,,1L,4,0.12001200120012
163,2,6,0,1,0,:,:::::1N,,,,4,0.12001200120012
164,1,5,0,1,1,1O,:::1O:1O,,,1L,4,0.12001200120012
165,3,4,1,1,2,:1O:1O,:1O:1O:1O,1O,,1L:1L,4,0.12001200120012
166,2,3,1,1,2,1O:1O,1O:1O:1O,1O,,1L:1L,4,0.12001200120012
167,2,5,0,1,1,1O:1O,:1N:1N:1O:1O,,,1L,4,0.12001200120012
168,4,2,0,1,1,:::1O,1O:1O,,,1L,4,0.12001200120012
169,6,1,0,2,1,:::1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,4,0.12001200120012
170,1,6,0,1,0,,:::::1N,,,,4,0.12001200120012
171,3,3,1,1,1,::,1N:1O:1O,1O,,1L,4,0.12001200120012
172,3,5,0,1,1,::,::1N:1O:1O,,,1L,4,0.12001200120012
173,2,4,1,1,1,:,:1N:1O:1O,,,1L,4,0.12001200120012
174,2,3,0,1,0,1O:1O,1N:1N:1N,,,,4,0.12001200120012
175,3,5,0,1,2,::1O,1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
176,2,3,0,1,1,:,:1N:1O,,,1L,4,0.12001200120012
177,3,4,0,2,1,::1O,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,4,0.12001200120012
178,1,4,1,1,1,,1N:1N:1O:1O,1O,,1L,4,0.12001200120012
179,2,5,0,1,1,:,:::1O:1O,,,1L,4,0.12001200120012
180,1,4,1,1,1,,:1N:1O:1O,1O,,1L,4,0.12001200120012
181,3,3,0,1,0,::1O,::1N,,,,4,0.12001200120012
182,2,6,0,1,2,:1O,:1O:1O:1O:1O:1O,,,1L:1L,4,0.12001200120012
183,2,5,1,1,1,:1O,::1N:1O:1O,,,1L,4,0.12001200120012
184,2,5,0,1,1,:1O,:1N:1O:1O:1O,,,1L,4,0.12001200120012
185,1,4,1,1,1,1O,:1N:1O:1O,,,1L,4,0.12001200120012
186,3,3,0,1,0,:1O:1O,:1N:1N,,,,4,0.12001200120012
187,2,5,0,1,1,:,::1N:1O:1O,,,1L,4,0.12001200120012
188,1,6,0,1,0,,::::1N:1N,,,,3,0.09000900090009
189,2,3,0,1,1,:1O,1N:1N1O:1O,,,1L,3,0.09000900090009
190,3,3,0,2,2,:1O:1O,1O:1O:1O,,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
191,4,3,0,1,1,:::,:1O:1O,,,1L,3,0.09000900090009
192,2,6,0,1,0,:,::::1N:1N,,,,3,0.09000900090009
193,1,6,0,1,1,,::::1O:1O,,,1L,3,0.09000900090009
194,2,3,0,1,1,:1O,:1O:1O,,,1L,3,0.09000900090009
195,3,4,0,1,1,::,::1O:1O,,,1L,3,0.09000900090009
196,3,4,1,1,0,::,:::1N,,,,3,0.09000900090009
197,5,3,0,1,0,::::1O,::,,,,3,0.09000900090009
198,4,4,0,1,1,:::,:1N1O:1O:1O,,,1L,3,0.09000900090009
199,4,4,0,1,1,:1O:1O:1O,::1O:1O,,,1L,3,0.09000900090009
200,3,3,0,1,1,::,1O:1O:1O,,,1L,3,0.09000900090009
201,3,5,0,1,1,::1O,:::1N1O:1O,,,1L,3,0.09000900090009
202,1,6,0,1,2,1O,1N:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
203,2,3,0,1,1,:1O,1N:1N:1O,,,1L,3,0.09000900090009
204,2,3,1,1,1,:1O,:1N:1O,1O,,1L,3,0.09000900090009
205,3,4,0,1,1,::1O,1N:1O:1O:1O,,,1L,3,0.09000900090009
206,1,6,0,1,2,1O,:1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
207,4,3,0,1,1,:::1O,1O:1O:1O,,,1L,3,0.09000900090009
208,3,3,0,2,1,::1O,::1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
209,3,4,0,1,2,:1O:1O,1N1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
210,4,3,0,1,0,::1O:1O,::1N,,,,3,0.09000900090009
211,2,4,1,1,1,:,::1O:1O,1O,,1L,3,0.09000900090009
212,4,3,0,2,1,::1O:1O,::1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
213,2,3,1,1,0,:1O,:1N:1N,,,,3,0.09000900090009
214,5,3,0,1,0,::::,::,,,,3,0.09000900090009
215,2,4,0,2,1,:1O,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
216,1,3,0,1,0,,:1N:1N,,,,3,0.09000900090009
217,3,2,0,1,1,:1O:1O,1N:1O,,,1L,3,0.09000900090009
218,2,3,0,1,0,:1O,::1N,,,,3,0.09000900090009
219,3,5,0,1,1,::1O,:1N:1N:1O:1O,,,1L,3,0.09000900090009
220,1,7,0,1,1,1O,:::::1O:1O,,,1L,3,0.09000900090009
221,1,3,0,1,0,,1N:1N:1N,,,,3,0.09000900090009
222,3,3,0,2,2,:1O:1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
223,1,6,1,1,1,,::::1O:1O,1O,,1L,3,0.09000900090009
224,3,4,0,1,1,::1O,::1N1O:1O,,,1L,3,0.09000900090009
225,2,5,0,1,1,:,:1N:1N:1O:1O,,,1L,3,0.09000900090009
226,2,3,0,1,1,1O:1O,:1N:1O,,,1L,3,0.09000900090009
227,4,1,0,1,1,::1O:1O,1O,,,1L,3,0.09000900090009
228,3,2,0,2,1,::1O,1N:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,3,0.09000900090009
229,1,4,1,1,1,1O,1N:1N:1O:1O,,,1L,3,0.09000900090009
230,5,2,0,1,1,::1O:1O:1O,1N:1O,,,1L,3,0.09000900090009
231,3,4,0,1,1,1O:1O:1O,:1N:1O:1O,,,1L,3,0.09000900090009
232,3,3,1,1,2,:1O:1O,1N1O:1O:1O,1O,,1L:1L,3,0.09000900090009
233,1,4,0,1,0,1O,:1N:1N:1N,,,,3,0.09000900090009
234,5,1,0,1,0,::::1O,1N,,,,3,0.09000900090009
235,1,5,0,1,2,1O,1O:1O:1O:1O:1O,,,1L:1L,3,0.09000900090009
236,2,4,0,1,1,:2O,:1N:1O:1O,,,1L,3,0.09000900090009
237,3,3,0,1,1,:1O:1O,:1N:1O,,,1L,3,0.09000900090009
238,1,4,0,1,1,1O,::1O:1O,,,1L,3,0.09000900090009
239,5,2,0,1,0,::::,:,,,,3,0.09000900090009
240,3,4,0,1,1,1O:1O:1O,:::1O,,,1L,3,0.09000900090009
241,1,4,0,1,1,,:1N:1O:1O,,,1L,3,0.09000900090009
242,4,1,0,2,1,::1O:1O,1N,,1S:1S:1S:2S:3S:3S:3S:3S,1L,3,0.09000900090009
243,3,3,1,1,1,::1O,:1O:1O,,,1L,3,0.09000900090009
244,3,3,0,1,0,:1O:1O,::1N,,,,3,0.09000900090009
245,1,5,0,1,1,1O,:1N:1O:1O:1O,,,1L,3,0.09000900090009
246,2,4,1,1,1,:1O,::1O:1O,,,1L,3,0.09000900090009
247,3,4,1,1,1,::1O,::1O:1O,1O,,1L,3,0.09000900090009
248,3,2,1,1,1,:1O:1O,1N:1O,1O,,1L,3,0.09000900090009
249,4,3,0,1,1,::1O:1O,::1O,,,1L,3,0.09000900090009
250,5,4,0,1,1,:::1O:1O,::1O:1O,,,1L,3,0.09000900090009
251,1,4,1,1,0,,::1N:1N,,,,3,0.09000900090009
252,5,2,0,1,1,::1O:1O:1O,:1O,,,1L,3,0.09000900090009
253,1,4,0,1,1,1O,:1N:1N1O:1O,,,1L,3,0.09000900090009
254,5,4,0,1,0,:::1O:1O,:::1N,,,,3,0.09000900090009
255,3,4,1,1,1,::1O,:1N:1O:1O,,,1L,3,0.09000900090009
256,0,5,1,1,1,,:1N:1N:1O:1O,1O,,1L,3,0.09000900090009
257,3,3,0,1,2,1O:1O:2O,1O:1O:1O,,,1L:1L,3,0.09000900090009
258,0,6,0,1,1,,:::1N:1O:1O,,,1L,3,0.09000900090009
259,3,5,0,1,0,::1O,::::1N,,,,3,0.09000900090009
260,2,4,0,2,1,:1O,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,3,0.09000900090009
261,4,5,0,1,1,:::,:1N:1O:1O:1O,,,1L,3,0.09000900090009
262,1,5,0,1,1,,:::1O:1O,,,1L,3,0.09000900090009
263,3,3,1,1,1,::1O,1N:1O:1O,1O,,1L,3,0.09000900090009
264,0,5,1,1,1,,::1N:1O:1O,1O,,1L,3,0.09000900090009
265,2,5,1,1,1,:1O,::1N:1O:1O,1O,,1L,3,0.09000900090009
266,5,3,0,1,1,:::1O:1O,::1O,,,1L,3,0.09000900090009
267,3,5,0,1,1,::,:::1O:1O,,,1L,2,0.06000600060006
268,2,4,0,1,1,:1O,::1N1O:1O,,,1L,2,0.06000600060006
269,4,3,0,1,0,:::,::,,,,2,0.06000600060006
270,2,5,0,2,1,:,:::1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
271,4,2,0,1,0,::1O:1O,:1N,,,,2,0.06000600060006
272,2,5,0,1,1,:,:1N:1N1O:1O:1O,,,1L,2,0.06000600060006
273,2,3,1,1,0,:,:1N:1N,,,,2,0.06000600060006
274,2,6,0,1,1,:1O,::1N:1O:1O:1O,,,1L,2,0.06000600060006
275,3,5,0,1,1,:1O:1O,::1N:1N1O:1O,,,1L,2,0.06000600060006
276,3,6,0,1,0,::,::::1N:1N,,,,2,0.06000600060006
277,2,5,0,1,1,:1O,:::1N:1O,,,1L,2,0.06000600060006
278,2,6,0,1,1,:1O,::::1O:1O,,,1L,2,0.06000600060006
279,4,3,0,1,1,:1O:1O:1O,:1N:1O,,,1L,2,0.06000600060006
280,4,3,0,1,1,::1O:1O,:1N:1O,,,1L,2,0.06000600060006
281,4,2,0,1,0,:::1O,:,,,,2,0.06000600060006
282,4,2,0,1,0,:::,:,,,,2,0.06000600060006
283,2,5,1,1,1,:1O,:1N:1N:1O:1O,,,1L,2,0.06000600060006
284,2,5,0,1,2,1O:1O,:1N1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
285,2,4,1,1,2,1O:1O,:1O:1O:1O,1O,,1L:1L,2,0.06000600060006
286,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,2,0.06000600060006
287,3,4,0,2,1,::,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
288,2,4,0,1,2,1O:1O,1N1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
289,2,4,0,1,1,:1O,::1N:1O,,,1L,2,0.06000600060006
290,4,3,0,1,0,:::2O,::1N,,,,2,0.06000600060006
291,4,2,0,1,1,:1O:1O:1O,1O:1O,,,1L,2,0.06000600060006
292,3,5,0,1,2,::1O,:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
293,2,5,0,1,1,:,:::1N:1O,,,1L,2,0.06000600060006
294,3,4,0,2,1,::1O,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,2,0.06000600060006
295,2,4,1,1,1,:1O,:1N:1N:1O,1O,,1L,2,0.06000600060006
296,2,5,0,1,2,1O:1O,1O:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
297,2,5,0,1,1,:,::1N1O:1O:1O,,,1L,2,0.06000600060006
298,2,4,0,1,1,:1O,:1N:1N1O:1O,,,1L,2,0.06000600060006
299,2,4,0,1,1,:,:::1O,,,1L,2,0.06000600060006
300,4,2,0,1,1,::1O:1O,:1O,,,1L,2,0.06000600060006
301,2,4,0,1,1,:,:1N1O:1O:1O,,,1L,2,0.06000600060006
302,2,4,0,1,1,:,1N:1N:1O:1O,,,1L,2,0.06000600060006
303,2,3,1,1,2,1O:1O,1N1O:1O:1O,1O,,1L:1L,2,0.06000600060006
304,2,4,0,1,1,:,1N:1N1O:1O:1O,,,1L,2,0.06000600060006
305,4,2,0,2,1,::1O:2O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
306,4,2,0,1,1,:::1O,1N:1O,,,1L,2,0.06000600060006
307,3,4,1,1,0,::,::1N:1N,,,,2,0.06000600060006
308,4,2,0,2,1,::1O:1O,:1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,2,0.06000600060006
309,4,1,0,1,0,:::,1N,,,,2,0.06000600060006
310,2,4,0,2,1,1O:1O,::1N:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,2,0.06000600060006
311,4,2,0,1,1,:::1O,:1O,,,1L,2,0.06000600060006
312,4,2,0,2,1,::1O:1O,:,,2S:2S:2S:3S:3S:4S:4S:4S,1L,2,0.06000600060006
313,4,2,0,2,1,::1O:1O,:,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
314,2,4,1,1,1,:1O,::1N:1O,1O,,1L,2,0.06000600060006
315,4,1,0,1,0,:::1O,1N,,,,2,0.06000600060006
316,4,2,0,2,1,::1O:1O,1N:1N,,2S:2S:2S:3S:3S:4S:4S:4S,1L,2,0.06000600060006
317,2,4,0,1,0,1O:1O,::1N:1N,,,,2,0.06000600060006
318,4,1,0,2,1,:1O:1O:1O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L,2,0.06000600060006
319,2,4,0,1,0,:,1N:1N:1N:1N,,,,2,0.06000600060006
320,2,4,0,2,1,:1O,::1N:1O,,2S:2S:3S:3S:3S:3S:3S:3S,1L,2,0.06000600060006
321,2,5,1,1,2,1O:1O,::1O:1O:1O,1O,,1L:1L,2,0.06000600060006
322,2,5,0,1,0,:1O,::1N:1N:1N,,,,2,0.06000600060006
323,2,5,1,1,0,:,::::1N,,,,2,0.06000600060006
324,3,5,0,1,1,::1O,:1N:1O:1O:1O,,,1L,2,0.06000600060006
325,3,6,0,1,1,::1O,:::1N:1O:1O,,,1L,2,0.06000600060006
326,2,4,1,1,0,:,::1N:1N,,,,2,0.06000600060006
327,2,6,0,1,1,:,:::1N:1O:1O,,,1L,2,0.06000600060006
328,2,3,1,1,1,1O:1O,1N:1O:1O,,,1L,2,0.06000600060006
329,4,2,1,1,1,:::1O,1O:1O,1O,,1L,2,0.06000600060006
330,3,5,0,1,2,:1O:1O,1N:1O:1O:1O:1O,,,1L:1L,2,0.06000600060006
331,4,1,0,2,1,:::1O,,,1S:1S:1S:1S:2S:3S:3S:3S,1L,2,0.06000600060006
332,2,5,1,1,0,:,:::1N:1N,1O,,,2,0.06000600060006
333,3,6,0,1,1,::1O,::::1O:1O,,,1L,2,0.06000600060006
334,2,6,0,1,1,:,::1N:1N1O:1O:1O,,,1L,2,0.06000600060006
