,num_dol,num_cyclohexane,num_tfsi,num_ps,num_li,atoms_dol,atoms_cyclohexane,atoms_tfsi,atoms_ps,atoms_li,count,%
1105,7,2,1,1,1,:::1O:1O:1O:2O,:,1O,,1L,1,0.03000300030003
1106,7,1,1,1,2,::1O:1O:1O:2O:2O,,2O1S,,1L:1L,1,0.03000300030003
1107,7,1,1,1,2,::1O:1O:1O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1108,7,1,1,1,2,::1O:1O:1O:1O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1109,7,1,1,1,2,::1O:1O:1O:1O:1O,,3O2S,,1L:1L,1,0.03000300030003
1110,7,1,0,2,1,:::1O:1O:2O:2O,,,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1111,7,1,1,1,1,:1O:1O:1O:2O:2O:2O,,2O,,1L,1,0.03000300030003
1112,7,1,1,1,1,::1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1113,7,1,1,1,1,::1O:1O:1O:1O:2O,,2O1S,,1L,1,0.03000300030003
1114,7,1,1,1,1,::1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1115,7,1,1,1,1,:::1O:1O:1O:1O,,,,1L,1,0.03000300030003
1116,7,1,1,1,1,:::1O:2O:2O:2O,,1O1S,,1L,1,0.03000300030003
1117,7,1,1,1,1,::::1O:1O:2O,,3O2S,,1L,1,0.03000300030003
1118,7,1,1,1,1,:::::1O:1O,,2O1S,,1L,1,0.03000300030003
1119,7,1,1,1,2,1O:1O:1O:1O:1O:1O:2O,,3O1S,,1L:1L,1,0.03000300030003
1120,7,1,1,1,2,1O:1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1121,7,1,1,1,2,1O:1O:1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1122,7,1,1,1,2,:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1123,7,1,1,1,2,:1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1124,7,1,1,1,2,:1O:1O:1O:1O:1O:2O,,3O2S,,1L:1L,1,0.03000300030003
1125,7,1,1,1,2,:1O:1O:1O:1O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1126,7,1,1,1,2,::1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1127,7,2,1,1,1,:::1O:1O:2O:2O,:,,,1L,1,0.03000300030003
1128,7,2,1,1,2,1O:1O:1O:1O:1O:1O:1O,:,1O1S,,1L:1L,1,0.03000300030003
1129,8,0,1,1,2,:::1O:1O:1O:1O:1O,,1O1S,,1L:1L,1,0.03000300030003
1130,8,0,1,1,2,:1O:1O:1O:1O:2O:2O:2O,,1O1S,,1L:1L,1,0.03000300030003
1131,8,0,1,1,1,:::1O:1O:1O:2O:2O,,3O1S,,1L,1,0.03000300030003
1132,8,0,1,1,1,:::1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1133,8,0,1,1,1,::::1O:1O:2O:2O,,1N3O1S,,1L,1,0.03000300030003
1134,8,0,1,1,1,::::1O:1O:2O:2O,,1N4O2S,,1L,1,0.03000300030003
1135,8,0,1,1,1,:::::1O:1O:1O,,1N3O2S,,1L,1,0.03000300030003
1136,8,0,1,1,2,1O:1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1137,8,0,1,1,2,:1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1138,8,0,1,1,2,:1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1139,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,1,0.03000300030003
1140,7,2,1,1,2,:1O:1O:1O:1O:1O:2O,:,1O,,1L:1L,1,0.03000300030003
1141,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,1N4O2S,,1L:1L,1,0.03000300030003
1142,8,0,1,1,2,::1O:1O:1O:1O:1O:1O,,2O1S,,1L:1L,1,0.03000300030003
1143,8,0,1,1,2,::1O:1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1144,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,1N1O1S,,1L:1L,1,0.03000300030003
1145,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,1N3O2S,,1L:1L,1,0.03000300030003
1146,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,1O,,1L:1L,1,0.03000300030003
1147,8,0,1,1,2,::1O:1O:1O:1O:2O:2O,,2O2S,,1L:1L,1,0.03000300030003
1148,8,0,1,1,2,:::1O:1O:1O:1O:1O,,1O,,1L:1L,1,0.03000300030003
1149,8,0,1,1,1,:::1O:1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1150,8,0,1,1,1,:::1O:1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1151,8,0,1,1,1,:::1O:1O:1O:1O:1O,,,,1L,1,0.03000300030003
1152,8,0,1,1,1,::1O:1O:1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1153,7,2,1,1,2,:1O:1O:1O:1O:1O:2O,:,1O1S,,1L:1L,1,0.03000300030003
1154,7,2,1,1,2,::1O:1O:1O:2O:2O,:,2O1S,,1L:1L,1,0.03000300030003
1155,7,2,1,1,2,:::1O:1O:1O:2O,:,1N3O2S,,1L:1L,1,0.03000300030003
1156,8,0,0,1,1,1O:1O:1O:1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1157,8,0,0,1,1,:1O:1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1158,8,0,0,1,1,:::1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1159,8,0,0,1,1,:::1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1160,8,0,0,1,2,1O:1O:1O:1O:1O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1161,8,0,0,1,2,:1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1162,8,0,0,1,2,::1O:2O:2O:2O:2O:2O,,,,1L:1L,1,0.03000300030003
1163,8,0,0,2,1,:::::1O:1O:2O,,,:::1S:1S:2S:2S:2S,1L,1,0.03000300030003
1164,8,0,0,2,2,:1O:1O:1O:1O:1O:1O:2O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1165,8,0,0,2,2,::1O:1O:1O:2O:2O:2O,,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1166,8,0,0,2,2,:::1O:1O:1O:2O:2O,,,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1167,8,0,0,3,3,:::1O:1O:2O:2O:2O,,,:::::1S:1S:1S:1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1168,8,0,1,1,1,:1O:1O:1O:1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1169,8,0,1,1,1,::1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1170,7,0,1,1,2,:1O:1O:1O:1O:2O:2O,,1N,,1L:1L,1,0.03000300030003
1171,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,3O2S,,1L:1L,1,0.03000300030003
1172,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,2O2S,,1L:1L,1,0.03000300030003
1173,6,0,3,2,2,:::1O:1O:1O,,::1O,1S:2S:2S:2S:3S:3S:3S:4S,1L:1L,1,0.03000300030003
1174,6,0,3,1,2,:::1O:2O:2O,,1N1O1S:1O:1O1S,,1L:1L,1,0.03000300030003
1175,6,0,3,1,2,::::1O:1O,,1N3O1S:2O1S:3O1S,,1L:1L,1,0.03000300030003
1176,6,0,3,1,2,::::2O:2O,,1N1O2S:1O1S:2O1S,,1L:1L,1,0.03000300030003
1177,6,0,3,2,2,:1O:1O:2O:2O:2O,,1O1S:2O:2O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1178,6,0,3,2,2,::1O:1O:1O:2O,,1O:1O1S:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1179,6,0,3,2,2,::1O:1O:1O:2O,,:1O:1O1S,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1180,6,0,3,2,2,::1O:1O:2O:2O,,:1O:1O,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1181,6,0,3,2,2,:::1O:1O:1O,,:1O1S:1O1S,:::1S:1S:2S:2S:2S,1L:1L,1,0.03000300030003
1182,6,0,3,2,2,:::1O:1O:2O,,1O:1O:2O1S,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1183,6,0,3,1,2,:::1O:1O:2O,,1N4O2S:1O1S:3O1S,,1L:1L,1,0.03000300030003
1184,6,0,3,2,2,:::1O:2O:2O,,:1O:1O1S,::1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1185,6,0,3,2,3,::::1O:1O,,1N1O1S:1O1S:2O,1S:1S:2S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1186,6,0,4,1,1,::1O:1O:1O:2O,,::1O:1O,,1L,1,0.03000300030003
1187,6,0,4,1,2,:1O:1O:1O:1O:2O,,:1N1O1S:1O:1O,,1L:1L,1,0.03000300030003
1188,6,0,4,1,2,:1O:1O:1O:2O:2O,,:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1189,6,0,4,1,2,::1O:1O:1O:1O,,1O:1O:1O1S:2O2S,,1L:1L,1,0.03000300030003
1190,6,0,4,1,2,::1O:1O:1O:1O,,:1N2O2S:1O:1O,,1L:1L,1,0.03000300030003
1191,6,0,4,1,2,::1O:1O:1O:1O,,:1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
1192,6,0,3,1,2,:::1O:1O:2O,,1O1S:2O1S:2O2S,,1L:1L,1,0.03000300030003
1193,6,0,3,1,2,:::1O:1O:2O,,1N2O1S:1O1S:3O1S,,1L:1L,1,0.03000300030003
1194,7,0,1,1,2,:1O:1O:1O:1O:1O:2O,,1N4O2S,,1L:1L,1,0.03000300030003
1195,6,0,3,1,2,::1O:1O:1O:2O,,:2O1S:2O1S,,1L:1L,1,0.03000300030003
1196,6,0,3,1,2,:1O:1O:2O:2O:2O,,1O1S:1O1S:1O1S,,1L:1L,1,0.03000300030003
1197,6,0,3,1,2,:1O:1O:2O:2O:2O,,::1O,,1L:1L,1,0.03000300030003
1198,6,0,3,1,2,::1O:1O:1O:1O,,1O1S:2O2S:3O1S,,1L:1L,1,0.03000300030003
1199,6,0,3,1,2,::1O:1O:1O:1O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1200,6,0,3,1,2,::1O:1O:1O:1O,,:1N3O2S:1O,,1L:1L,1,0.03000300030003
1201,6,0,3,1,2,::1O:1O:1O:2O,,1O:1O:3O2S,,1L:1L,1,0.03000300030003
1202,6,0,3,1,2,::1O:1O:1O:2O,,:1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1203,6,0,3,1,2,::1O:1O:1O:2O,,:1N1O1S:2O1S,,1L:1L,1,0.03000300030003
1204,6,0,3,1,2,::1O:1O:2O:2O,,1N1O1S:1N2O2S:2O,,1L:1L,1,0.03000300030003
1205,6,0,3,1,2,:::1O:1O:1O,,:1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1206,6,0,3,1,2,::1O:1O:2O:2O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1207,6,0,3,1,2,::1O:1O:2O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1208,6,0,3,1,2,::1O:1O:2O:2O,,1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1209,6,0,3,1,2,::1O:1O:2O:2O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1210,6,0,3,1,2,::1O:2O:2O:2O,,1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1211,6,0,3,1,2,::1O:2O:2O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1212,6,0,3,1,2,:::1O:1O:1O,,1N2O2S:1O:1O1S,,1L:1L,1,0.03000300030003
1213,6,0,3,1,2,:::1O:1O:1O,,1O:2O1S:2O2S,,1L:1L,1,0.03000300030003
1214,6,0,4,1,2,::1O:1O:1O:1O,,::1N1O1S:1O1S,,1L:1L,1,0.03000300030003
1215,6,0,4,1,2,::1O:1O:1O:2O,,1O:1O:1O1S:1O1S,,1L:1L,1,0.03000300030003
1216,6,0,4,1,2,::1O:1O:1O:2O,,1O:1O:1O1S:2O1S,,1L:1L,1,0.03000300030003
1217,6,1,1,1,1,:::1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1218,6,1,1,1,1,:1O:1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1219,6,1,1,1,1,:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1220,6,1,1,1,1,::1O:1O:1O:1O,,,,1L,1,0.03000300030003
1221,6,1,1,1,1,::1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1222,6,1,1,1,1,::1O:1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1223,6,1,1,1,1,::1O:1O:1O:2O,,3O1S,,1L,1,0.03000300030003
1224,6,1,1,1,1,::1O:1O:2O:2O,,1O,,1L,1,0.03000300030003
1225,6,1,1,1,1,::1O:2O:2O:2O,,1O,,1L,1,0.03000300030003
1226,6,1,1,1,1,:::1O:1O:2O,,1O1S,,1L,1,0.03000300030003
1227,6,0,4,1,2,::1O:1O:1O:2O,,1O:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1228,6,1,1,1,1,:::1O:1O:2O,,2O1S,,1L,1,0.03000300030003
1229,6,1,1,1,1,:::1O:2O:2O,,2O,,1L,1,0.03000300030003
1230,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,1,0.03000300030003
1231,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,1N1O1S,,1L:1L,1,0.03000300030003
1232,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,2O2S,,1L:1L,1,0.03000300030003
1233,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1N2O1S,,1L:1L,1,0.03000300030003
1234,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,1O1S,,1L:1L,1,0.03000300030003
1235,6,1,1,1,2,1O:1O:1O:1O:1O:2O,,2O,,1L:1L,1,0.03000300030003
1236,6,1,1,1,1,:1O:1O:1O:1O:1O,,2O1S,,1L,1,0.03000300030003
1237,6,1,1,1,1,:1O:1O:1O:1O:1O,,1N1O1S,,1L,1,0.03000300030003
1238,6,1,1,1,1,1O:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1239,6,1,0,3,2,::1O:1O:1O:1O,,,1S:1S:1S:1S:1S:1S:1S:1S:2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
1240,6,0,4,1,2,::1O:1O:1O:2O,,1O:1O:2O1S:2O1S,,1L:1L,1,0.03000300030003
1241,6,0,4,1,2,::1O:1O:2O:2O,,:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1242,6,0,4,1,2,:::1O:1O:1O,,:1O:1O:1O1S,,1L:1L,1,0.03000300030003
1243,6,1,0,1,1,1O:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1244,6,1,0,1,1,:1O:1O:1O:1O:2O,,,,1L,1,0.03000300030003
1245,6,1,0,1,1,:1O:1O:1O:2O:2O,,,,1L,1,0.03000300030003
1246,6,1,0,1,1,:1O:1O:2O:2O:2O,,,,1L,1,0.03000300030003
1247,6,1,0,1,2,:1O:1O:1O:1O:2O,,,,1L:1L,1,0.03000300030003
1248,6,1,0,2,1,:1O:1O:1O:2O:2O,,,:1S:1S:2S:2S:2S:3S:3S,1L,1,0.03000300030003
1249,6,1,0,2,1,:1O:1O:2O:2O:2O,,,1S:1S:2S:3S:4S:4S:4S:4S,1L,1,0.03000300030003
1250,6,1,0,2,1,:::1O:1O:2O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L,1,0.03000300030003
1251,6,1,0,2,2,:1O:1O:1O:1O:2O,,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1252,6,1,0,2,2,:1O:1O:1O:1O:2O,,,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1253,6,1,0,2,2,:1O:1O:1O:2O:2O,,,1S:1S:2S:3S:4S:4S:4S:4S,1L:1L,1,0.03000300030003
1254,6,1,0,2,2,:1O:1O:1O:2O:2O,,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1255,6,1,0,2,2,:1O:1O:2O:2O:2O,,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1256,6,1,0,2,3,1O:1O:1O:1O:2O:2O,,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L:1L,1,0.03000300030003
1257,6,0,3,1,2,:1O:1O:1O:2O:2O,,:1O:1O1S,,1L:1L,1,0.03000300030003
1258,6,0,3,1,2,:1O:1O:1O:2O:2O,,:1N1O1S:1O,,1L:1L,1,0.03000300030003
1259,6,0,3,1,2,:1O:1O:1O:2O:2O,,1O:1O:2O1S,,1L:1L,1,0.03000300030003
1260,6,0,2,2,2,::1O:1O:2O:2O,,1O:2O,::1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1261,6,0,2,2,2,::1O:1O:1O:1O,,:1O1S,1S:1S:1S:1S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1262,6,0,2,2,2,::1O:1O:1O:2O,,1O1S:1O1S,:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1263,6,0,2,2,2,::1O:1O:1O:2O,,1O1S:2O1S,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1264,6,0,2,2,2,::1O:1O:1O:2O,,1O1S:3O1S,::1S:1S:2S:2S:3S:4S,1L:1L,1,0.03000300030003
