,num_dol,num_pegdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_pegdme,atoms_tfsi,atoms_ps,atoms_li,count,%
1236,1,3,1,2,2,1O,1O:1O:1O,1N1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1237,1,3,1,2,2,,1O:1O:2O,1O,1S:1S:1S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1238,1,3,1,2,2,,1O:1O:1O,1O,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,1,0.03000300030003
1239,1,3,1,2,2,,1O:1O:1O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1240,1,3,1,2,2,,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1241,1,3,1,2,1,1O,1O:1O:1O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1242,1,3,1,1,2,1O,1O:1O:2O,1O,,1L:1L,1,0.03000300030003
1243,1,3,1,2,1,,:1O:1O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L,1,0.03000300030003
1244,1,3,1,2,1,,:1O:1O,1O,2S:2S:2S:2S:2S:3S:3S:4S,1L,1,0.03000300030003
1245,1,3,1,2,1,,:1O:1O,1O,1S:1S:1S:2S:2S:3S:3S:3S,1L,1,0.03000300030003
1246,1,3,1,1,2,2O,1O:2O:2O,1O,,1L:1L,1,0.03000300030003
1247,1,3,1,1,2,1O,:2O:2O,2O1S,,1L:1L,1,0.03000300030003
1248,1,3,1,1,2,1O,:2O:2O,1O,,1L:1L,1,0.03000300030003
1249,1,3,1,1,2,1O,:1O:2O,1O,,1L:1L,1,0.03000300030003
1250,1,3,1,1,2,1O,1O:2O:2O,2O1S,,1L:1L,1,0.03000300030003
1251,1,3,2,2,2,,1O:1O:1O,:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1252,1,4,0,1,0,,1O:1O:1O:1O,,,,1,0.03000300030003
1253,1,4,0,1,0,,:::2O,,,,1,0.03000300030003
1254,1,4,0,1,0,1O,1O:1O:1O:2O,,,,1,0.03000300030003
1255,1,4,0,2,1,,:1O:1O:2O,,:1S:1S:1S:2S:2S:2S:2S,1L,1,0.03000300030003
1256,1,4,0,2,1,,:1O:1O:2O,,1S:1S:1S:2S:2S:2S:2S:2S,1L,1,0.03000300030003
1257,1,4,0,2,1,,1O:1O:1O:1O,,1S:1S:1S:2S:3S:3S:3S:3S,1L,1,0.03000300030003
1258,1,4,0,2,0,,::1O:1O,,1S:1S:1S:1S:2S:3S:3S:3S,,1,0.03000300030003
1259,1,4,0,1,2,2O,:2O:2O:2O,,,1L:1L,1,0.03000300030003
1260,1,4,0,1,2,2O,1O:1O:2O:2O,,,1L:1L,1,0.03000300030003
1261,1,4,0,1,2,2O,1O:1O:1O:1O,,,1L:1L,1,0.03000300030003
1262,1,4,0,1,2,1O,::1O:1O,,,1L:1L,1,0.03000300030003
1263,1,4,0,1,2,1O,:1O:1O:2O,,,1L:1L,1,0.03000300030003
1264,1,4,0,1,2,,:1O:1O:2O,,,1L:1L,1,0.03000300030003
1265,1,4,0,1,2,,1O:2O:2O:2O,,,1L:1L,1,0.03000300030003
1266,1,4,0,1,2,,1O:1O:1O:2O,,,1L:1L,1,0.03000300030003
1267,1,4,0,1,1,1O,::1O:1O,,,1L,1,0.03000300030003
1268,1,4,0,1,1,1O,:1O:2O:2O,,,1L,1,0.03000300030003
1269,1,4,0,1,1,,:::2O,,,1L,1,0.03000300030003
1270,1,4,0,1,0,1O,:::1O,,,,1,0.03000300030003
