,num_dol,num_dmds,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmds,atoms_tfsi,atoms_ps,atoms_li,count,%
28,4,2,0,1,1,1O:1O:1O:1O,:,,,1L,8,0.24002400240024
29,5,2,0,1,1,::1O:1O:1O,:1S,,,1L,7,0.21002100210021
30,4,2,0,1,1,:1O:1O:1O,:,,,1L,7,0.21002100210021
31,5,1,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,7,0.21002100210021
32,4,2,1,1,1,:1O:1O:1O,:,1O,,1L,7,0.21002100210021
33,6,2,0,1,1,:::1O:1O:1O,:,,,1L,7,0.21002100210021
34,4,1,2,1,2,1O:1O:1O:1O,,1O:2O,,1L:1L,7,0.21002100210021
35,4,0,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,7,0.21002100210021
36,5,0,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,7,0.21002100210021
37,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,7,0.21002100210021
38,5,1,0,1,2,1O:1O:1O:1O:1O,2S,,,1L:1L,7,0.21002100210021
39,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O1S,,1L:1L,7,0.21002100210021
40,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,7,0.21002100210021
41,5,1,1,1,1,::1O:1O:1O,,,,1L,7,0.21002100210021
42,6,1,0,1,2,1O:1O:1O:1O:1O:1O,1S,,,1L:1L,7,0.21002100210021
43,5,0,1,1,2,:1O:1O:1O:1O,,2O,,1L:1L,6,0.18001800180018
44,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,6,0.18001800180018
45,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,6,0.18001800180018
46,4,2,1,1,1,::1O:1O,:,1O,,1L,6,0.18001800180018
47,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,6,0.18001800180018
48,4,1,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
49,6,1,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
50,4,2,0,1,1,:1O:1O:2O,:1S,,,1L,6,0.18001800180018
51,5,2,0,1,1,:1O:1O:1O:1O,:1S,,,1L,6,0.18001800180018
52,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,6,0.18001800180018
53,4,1,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
54,5,1,1,1,2,1O:1O:1O:1O:1O,,2O1S,,1L:1L,6,0.18001800180018
55,4,1,1,1,2,1O:1O:1O:1O,,1O,,1L:1L,6,0.18001800180018
56,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,6,0.18001800180018
57,6,2,0,1,1,:::1O:1O:1O,:1S,,,1L,6,0.18001800180018
58,7,0,0,1,2,1O:1O:1O:1O:1O:1O:2O,,,,1L:1L,6,0.18001800180018
59,6,1,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
60,5,1,0,1,2,1O:1O:1O:1O:2O,1S,,,1L:1L,5,0.15001500150015
61,6,0,1,1,2,1O:1O:1O:1O:1O:2O,,1O,,1L:1L,5,0.15001500150015
62,5,1,1,1,2,1O:1O:1O:1O:2O,1S,1O,,1L:1L,5,0.15001500150015
63,5,1,1,1,2,1O:1O:1O:1O:1O,1S,2O1S,,1L:1L,5,0.15001500150015
64,7,0,0,1,1,::1O:1O:1O:1O:1O,,,,1L,5,0.15001500150015
65,4,1,1,1,2,1O:1O:1O:1O,,2O,,1L:1L,5,0.15001500150015
66,5,1,1,1,2,1O:1O:1O:1O:1O,1S,2O,,1L:1L,5,0.15001500150015
67,7,0,0,1,2,1O:1O:1O:1O:1O:1O:1O,,,,1L:1L,5,0.15001500150015
68,5,1,1,1,2,1O:1O:1O:1O:1O,1S,,,1L:1L,5,0.15001500150015
69,6,0,1,1,2,:1O:1O:1O:1O:1O,,2O1S,,1L:1L,5,0.15001500150015
70,4,0,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
71,4,1,2,1,2,1O:1O:1O:1O,,1O:2O1S,,1L:1L,5,0.15001500150015
72,5,0,1,1,2,1O:1O:1O:1O:1O,,1N3O2S,,1L:1L,5,0.15001500150015
73,7,0,1,1,2,:1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
74,6,0,0,1,2,1O:1O:1O:1O:2O:2O,,,,1L:1L,5,0.15001500150015
75,4,3,0,1,1,::1O:1O,::1S,,,1L,5,0.15001500150015
76,3,3,1,1,1,1O:1O:1O,::,1O,,1L,5,0.15001500150015
77,5,0,1,1,2,1O:1O:1O:1O:2O,,2O1S,,1L:1L,5,0.15001500150015
78,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,5,0.15001500150015
79,5,2,1,1,1,::1O:1O:1O,:,1O,,1L,5,0.15001500150015
