,num_dol,num_mtbe,num_tfsi,num_ps,num_li,atoms_dol,atoms_mtbe,atoms_tfsi,atoms_ps,atoms_li,count,%
2233,2,4,1,1,2,1O:1O,:1O:1O:1O,2O,,1L:1L,1,0.03000300030003
2234,2,4,1,1,2,1O:2O,:1O:1O:1O,2O2S,,1L:1L,1,0.03000300030003
2235,2,4,1,1,2,2O:2O,::1O:1O,,,1L:1L,1,0.03000300030003
2236,2,4,1,1,2,:,:1O:1O:1O,1N3O2S,,1L:1L,1,0.03000300030003
2237,2,3,3,1,2,1O:1O,:1O:1O,1O:1O:1O,,1L:1L,1,0.03000300030003
2238,2,3,2,2,2,:1O,:1O:1O,:3O2S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2239,2,3,2,2,2,:1O,:1O:1O,:3O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
2240,2,3,2,2,2,1O:1O,:1O:1O,:2O1S,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,1,0.03000300030003
2241,2,3,2,1,2,1O:1O,:1O:1O,1N1O1S:2O1S,,1L:1L,1,0.03000300030003
2242,2,3,2,1,2,1O:1O,:1O:1O,1N2O1S:2O1S,,1L:1L,1,0.03000300030003
2243,2,3,2,1,2,1O:1O,:1O:1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
2244,2,3,2,1,2,1O:1O,:1O:1O,1O1S:3O2S,,1L:1L,1,0.03000300030003
2245,2,3,2,1,2,1O:1O,:1O:1O,1O:1O1S,,1L:1L,1,0.03000300030003
2246,2,3,2,1,2,1O:1O,:1O:1O,1O:3O2S,,1L:1L,1,0.03000300030003
2247,2,3,2,1,2,1O:1O,::1O,1N3O2S:1O1S,,1L:1L,1,0.03000300030003
2248,2,3,2,1,2,1O:1O,::1O,2O:2O2S,,1L:1L,1,0.03000300030003
2249,2,3,2,1,2,1O:2O,:1O:1O,1N1O1S:1O1S,,1L:1L,1,0.03000300030003
2250,2,3,2,1,2,1O:2O,:1O:1O,1N2O1S:2O1S,,1L:1L,1,0.03000300030003
2251,2,3,2,1,2,1O:2O,:1O:1O,1O1S:1O1S,,1L:1L,1,0.03000300030003
2252,2,3,2,1,2,1O:2O,:1O:1O,:1N3O2S,,1L:1L,1,0.03000300030003
2253,2,3,2,1,2,1O:2O,:1O:1O,:1O1S,,1L:1L,1,0.03000300030003
2254,2,3,2,1,2,1O:2O,::1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
2255,2,3,2,1,2,1O:2O,::1O,1N3O2S:1O1S,,1L:1L,1,0.03000300030003
2256,2,3,2,1,2,1O:2O,::1O,1O1S:2O1S,,1L:1L,1,0.03000300030003
2257,2,3,2,1,2,2O:2O,::1O,1N3O2S:1O,,1L:1L,1,0.03000300030003
