,num_dol,num_degdme,num_tfsi,num_ps,num_li,atoms_dol,atoms_degdme,atoms_tfsi,atoms_ps,atoms_li,count,%
72,5,1,0,1,1,:1O:1O:1O:1O,,,,1L,8,0.24002400240024
73,4,2,0,1,1,:1O:1O:1O,:,,,1L,8,0.24002400240024
74,2,3,1,1,1,:,::2O,1O,,1L,8,0.24002400240024
75,4,2,0,1,0,:::,:,,,,8,0.24002400240024
76,2,2,0,2,1,:,:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,7,0.21002100210021
77,1,3,0,1,1,1O,:1O:3O,,,1L,7,0.21002100210021
78,1,3,0,1,1,1O,::2O,,,1L,7,0.21002100210021
79,3,2,1,1,1,::1O,:2O,,,1L,7,0.21002100210021
80,3,4,0,1,1,:1O:1O,:::3O,,,1L,7,0.21002100210021
81,3,2,1,1,1,:1O:1O,:,1O,,1L,7,0.21002100210021
82,4,1,0,1,1,:::1O,2O,,,1L,7,0.21002100210021
83,2,3,0,1,1,:2O,::3O,,,1L,7,0.21002100210021
84,1,4,0,1,1,1O,::1O:3O,,,1L,7,0.21002100210021
85,1,4,0,1,1,,::1O:3O,,,1L,7,0.21002100210021
86,2,3,1,1,1,:,::3O,,,1L,7,0.21002100210021
87,2,2,0,1,1,:,:3O,,,1L,7,0.21002100210021
88,2,4,0,1,1,:,:::3O,,,1L,7,0.21002100210021
89,3,3,0,1,0,::,::,,,,7,0.21002100210021
90,2,4,0,1,1,1O:1O,:::2O,,,1L,6,0.18001800180018
91,1,3,1,1,1,1O,::3O,,,1L,6,0.18001800180018
92,2,1,0,1,1,:1O,3O,,,1L,6,0.18001800180018
93,1,3,0,2,1,,::2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L,6,0.18001800180018
94,2,4,0,1,1,:1O,::1O:2O,,,1L,6,0.18001800180018
95,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,6,0.18001800180018
96,5,2,0,1,1,::::1O,:2O,,,1L,6,0.18001800180018
97,3,3,0,2,1,::,::2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L,6,0.18001800180018
98,3,2,1,1,1,:1O:1O,:3O,,,1L,6,0.18001800180018
99,3,3,0,1,1,::,:1O:3O,,,1L,6,0.18001800180018
100,3,3,1,1,1,::1O,::2O,,,1L,6,0.18001800180018
101,3,4,0,1,0,::1O,:::,,,,6,0.18001800180018
102,2,2,1,1,2,:1O,3O:3O,1O,,1L:1L,6,0.18001800180018
103,6,1,0,1,1,::1O:1O:1O:1O,,,,1L,6,0.18001800180018
104,4,2,1,1,1,::1O:1O,:,1O,,1L,5,0.15001500150015
105,3,3,1,1,1,::,::2O,1O,,1L,5,0.15001500150015
106,3,3,0,1,1,::2O,::2O,,,1L,5,0.15001500150015
107,1,4,1,1,1,,:::2O,1O,,1L,5,0.15001500150015
108,1,3,1,1,1,1O,::3O,1O,,1L,5,0.15001500150015
109,4,2,0,2,1,::1O:1O,:,,:::1S:1S:2S:2S:2S,1L,5,0.15001500150015
110,2,5,0,1,0,:,::::,,,,5,0.15001500150015
111,1,4,1,1,1,,:::3O,1O,,1L,5,0.15001500150015
112,2,4,0,1,0,:,:::,,,,5,0.15001500150015
113,5,2,0,1,0,::::,:,,,,5,0.15001500150015
114,2,4,1,1,1,:1O,:::3O,,,1L,5,0.15001500150015
