,num_dol,num_dtfeg,num_tfsi,num_ps,num_li,atoms_dol,atoms_dtfeg,atoms_tfsi,atoms_ps,atoms_li,count,%
103,4,1,2,1,2,1O:1O:1O:1O,,1O:1O,,1L:1L,5,0.15001500150015
104,3,2,0,2,2,1O:1O:1O,:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,5,0.15001500150015
105,4,1,0,1,1,:1O:1O:2O,,,,1L,5,0.15001500150015
106,4,0,3,1,2,1O:1O:1O:1O,,:1O:1O,,1L:1L,5,0.15001500150015
107,0,4,1,1,1,,:::2O,1O,,1L,5,0.15001500150015
108,5,0,2,1,2,1O:1O:1O:1O:1O,,:1O,,1L:1L,5,0.15001500150015
109,6,1,1,1,1,:::1O:1O:1O,,1O,,1L,5,0.15001500150015
110,2,2,1,2,2,1O:1O,:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,5,0.15001500150015
111,4,1,0,2,2,:1O:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,5,0.15001500150015
112,3,1,1,1,1,:1O:1O,,1O,,1L,5,0.15001500150015
113,3,2,1,1,2,1O:1O:1O,:2O,2O,,1L:1L,5,0.15001500150015
114,5,1,1,1,2,1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
115,2,2,1,1,1,1O:1O,:,1O,,1L,5,0.15001500150015
116,4,0,4,1,2,::1O:1O,,1O:1O:1O:2O,,1L:1L,5,0.15001500150015
117,3,2,0,2,2,1O:1O:1O,:2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,5,0.15001500150015
118,6,0,1,1,2,1O:1O:1O:1O:1O:1O,,1O,,1L:1L,5,0.15001500150015
119,1,3,0,1,2,1O,:2O:2O,,,1L:1L,5,0.15001500150015
120,2,4,0,1,1,:1O,::1O:2O,,,1L,5,0.15001500150015
121,2,3,1,1,1,:1O,::2O,,,1L,5,0.15001500150015
122,3,3,1,1,1,:1O:1O,::,1O,,1L,5,0.15001500150015
123,3,1,2,1,2,1O:1O:1O,2O,:1O,,1L:1L,5,0.15001500150015
124,3,3,0,1,1,::1O,:1O:2O,,,1L,5,0.15001500150015
125,4,2,1,1,2,:1O:1O:1O,:2O,1O,,1L:1L,5,0.15001500150015
126,2,1,0,2,2,1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,4,0.12001200120012
127,5,1,1,1,2,:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
128,4,1,1,1,2,1O:1O:1O:2O,2O,1O,,1L:1L,4,0.12001200120012
129,2,2,1,1,1,:1O,:2O,1O,,1L,4,0.12001200120012
130,5,1,1,1,2,::1O:1O:1O,2O,1O,,1L:1L,4,0.12001200120012
131,4,3,0,1,1,::1O:1O,::2O,,,1L,4,0.12001200120012
132,5,1,1,1,1,:1O:1O:1O:1O,,,,1L,4,0.12001200120012
133,4,1,1,1,1,::1O:1O,,2O,,1L,4,0.12001200120012
134,5,0,2,1,2,:1O:1O:1O:2O,,1O:1O,,1L:1L,4,0.12001200120012
135,3,2,1,1,2,::1O,2O:2O,1O,,1L:1L,4,0.12001200120012
136,3,0,4,1,2,:1O:1O,,1O:1O:2O:2O,,1L:1L,4,0.12001200120012
137,5,0,2,1,2,:1O:1O:1O:1O,,1O:2O,,1L:1L,4,0.12001200120012
138,4,2,0,1,1,1O:1O:1O:1O,:,,,1L,4,0.12001200120012
139,4,0,1,1,2,1O:1O:1O:1O,,2O1S,,1L:1L,4,0.12001200120012
140,4,1,0,2,2,:1O:1O:1O,2O,,::1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
141,1,2,1,2,2,1O,1O:2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
142,4,0,1,1,2,1O:1O:1O:2O,,1O,,1L:1L,4,0.12001200120012
143,2,1,0,2,2,1O:1O,2O,,3S:3S:3S:3S:4S:4S:5S:5S,1L:1L,4,0.12001200120012
144,3,2,1,1,2,:1O:1O,2O:2O,1O,,1L:1L,4,0.12001200120012
145,2,1,1,2,2,:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,4,0.12001200120012
146,3,2,1,1,1,::1O,1O:2O,1O,,1L,4,0.12001200120012
147,3,2,1,1,1,:1O:2O,:,1O,,1L,4,0.12001200120012
148,3,2,1,1,1,:1O:1O,:1O,1O,,1L,4,0.12001200120012
149,4,2,1,1,1,::1O:1O,:1O,1O,,1L,4,0.12001200120012
150,4,0,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
151,3,2,1,1,1,::1O,:2O,2O1S,,1L,4,0.12001200120012
152,5,1,1,1,1,:::1O:1O,,1O1S,,1L,4,0.12001200120012
153,3,0,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,4,0.12001200120012
154,2,2,0,1,2,1O:2O,2O:2O,,,1L:1L,4,0.12001200120012
155,2,2,0,1,2,:1O,2O:2O,,,1L:1L,4,0.12001200120012
156,2,1,1,1,2,1O:1O,2O,1N3O2S,,1L:1L,4,0.12001200120012
157,2,2,0,2,2,1O:1O,:2O,,2S:2S:2S:2S:2S:2S:3S:3S,1L:1L,4,0.12001200120012
158,6,0,1,1,2,:1O:1O:1O:1O:1O,,1O,,1L:1L,4,0.12001200120012
159,2,2,1,1,2,:1O,2O:2O,2O1S,,1L:1L,4,0.12001200120012
160,3,1,0,2,2,:1O:1O,2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,4,0.12001200120012
161,2,0,4,1,2,1O:1O,,1O:1O:1O:2O,,1L:1L,4,0.12001200120012
162,1,2,1,1,2,1O,2O:2O,3O1S,,1L:1L,4,0.12001200120012
163,4,1,1,1,2,1O:1O:1O:1O,2O,1O1S,,1L:1L,4,0.12001200120012
164,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O1S,,1L:1L,4,0.12001200120012
165,6,1,1,1,1,::::1O:1O,,1O,,1L,4,0.12001200120012
166,4,1,1,1,2,1O:1O:1O:1O,2O,,,1L:1L,4,0.12001200120012
167,3,2,0,1,2,1O:1O:1O,2O:2O,,,1L:1L,4,0.12001200120012
168,4,0,2,1,2,1O:1O:1O:2O,,1O:2O1S,,1L:1L,4,0.12001200120012
169,3,1,0,1,1,:1O:1O,2O,,,1L,4,0.12001200120012
170,2,2,1,2,2,:,2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,4,0.12001200120012
171,3,2,0,1,1,1O:1O:2O,:,,,1L,4,0.12001200120012
172,3,1,0,1,2,:1O:1O,2O,,,1L:1L,4,0.12001200120012
173,5,0,1,1,1,:::1O:1O,,1O,,1L,4,0.12001200120012
174,5,2,1,1,1,::1O:1O:1O,:,,,1L,4,0.12001200120012
175,3,1,0,1,1,::1O,2O,,,1L,4,0.12001200120012
176,3,1,0,2,2,1O:1O:1O,2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,4,0.12001200120012
177,1,3,1,1,2,1O,:2O:2O,1O1S,,1L:1L,4,0.12001200120012
178,3,2,0,1,1,1O:1O:1O,:1O,,,1L,4,0.12001200120012
179,5,0,1,1,2,1O:1O:1O:1O:2O,,2O,,1L:1L,4,0.12001200120012
180,6,0,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,4,0.12001200120012
181,4,2,0,1,2,1O:1O:1O:1O,:2O,,,1L:1L,3,0.09000900090009
182,3,1,1,2,2,:1O:1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
183,2,3,1,1,1,1O:1O,::,1O,,1L,3,0.09000900090009
184,5,1,0,1,1,::1O:1O:1O,1O,,,1L,3,0.09000900090009
185,3,1,0,2,2,1O:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
186,4,2,1,1,2,:1O:1O:1O,:2O,2O1S,,1L:1L,3,0.09000900090009
187,3,1,1,1,2,:1O:1O,2O,1N3O2S,,1L:1L,3,0.09000900090009
188,3,2,1,1,1,::1O,1O:2O,,,1L,3,0.09000900090009
189,3,1,1,1,2,:1O:1O,2O,1N2O2S,,1L:1L,3,0.09000900090009
190,4,2,1,1,1,:1O:1O:1O,:,,,1L,3,0.09000900090009
191,3,1,1,1,2,1O:1O:1O,2O,1O1S,,1L:1L,3,0.09000900090009
192,4,1,2,1,2,1O:1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
193,3,1,2,1,2,1O:1O:1O,2O,1O:1O,,1L:1L,3,0.09000900090009
194,3,2,1,1,1,::,:2O,1O,,1L,3,0.09000900090009
195,4,2,0,2,2,:1O:1O:1O,:2O,,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
196,5,1,0,1,1,::1O:1O:1O,2O,,,1L,3,0.09000900090009
197,3,0,2,1,2,1O:1O:1O,,1O:1O1S,,1L:1L,3,0.09000900090009
198,4,1,1,1,1,:::1O,,1O,,1L,3,0.09000900090009
199,3,1,1,2,2,:1O:1O,2O,1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
200,5,1,0,1,1,:1O:1O:1O:2O,,,,1L,3,0.09000900090009
201,4,1,1,1,1,:::1O,2O,,,1L,3,0.09000900090009
202,3,1,1,1,1,::1O,2O,1O,,1L,3,0.09000900090009
203,2,2,0,1,2,1O:1O,1O:2O,,,1L:1L,3,0.09000900090009
204,5,0,2,1,2,:1O:1O:1O:1O,,1N1O1S:1O,,1L:1L,3,0.09000900090009
205,4,1,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
206,2,2,0,2,2,1O:1O,:2O,,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
207,4,1,1,1,2,1O:1O:1O:1O,2O,2O1S,,1L:1L,3,0.09000900090009
208,5,0,2,1,2,1O:1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
209,2,4,0,1,1,1O:1O,:::2O,,,1L,3,0.09000900090009
210,3,0,4,1,2,1O:1O:1O,,1O:1O:1O:2O,,1L:1L,3,0.09000900090009
211,3,1,2,1,2,1O:1O:1O,,1O:2O1S,,1L:1L,3,0.09000900090009
212,4,2,0,1,1,:1O:1O:1O,:1O,,,1L,3,0.09000900090009
213,2,2,1,1,2,1O:1O,:2O,2O,,1L:1L,3,0.09000900090009
214,2,2,1,2,2,1O:1O,:2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
215,4,1,0,2,2,:1O:1O:2O,2O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
216,3,1,0,2,2,:1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
217,2,2,1,1,2,1O:1O,2O:2O,,,1L:1L,3,0.09000900090009
218,5,0,2,1,2,1O:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
219,3,1,2,1,2,1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
220,2,2,1,2,2,1O:1O,:2O,2O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
221,4,2,0,1,1,:::1O,1O:2O,,,1L,3,0.09000900090009
222,2,2,1,1,1,:1O,1O:2O,,,1L,3,0.09000900090009
223,4,1,0,2,2,1O:1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
224,2,2,1,1,1,:,:2O,1O,,1L,3,0.09000900090009
225,2,2,1,1,1,1O:2O,:,1O,,1L,3,0.09000900090009
226,2,2,1,1,1,1O:1O,:2O,,,1L,3,0.09000900090009
227,3,2,1,1,1,1O:1O:1O,:,1O,,1L,3,0.09000900090009
228,5,0,2,1,1,::1O:1O:1O,,:1O,,1L,3,0.09000900090009
229,2,2,0,2,2,1O:1O,:2O,,2S:3S:3S:3S:3S:3S:3S:4S,1L:1L,3,0.09000900090009
230,2,3,1,1,2,:1O,:2O:2O,1O,,1L:1L,3,0.09000900090009
231,3,2,0,1,2,1O:1O:1O,:2O,,,1L:1L,3,0.09000900090009
232,4,1,2,1,2,:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
233,5,0,1,1,2,:1O:1O:1O:2O,,1O,,1L:1L,3,0.09000900090009
234,4,1,1,1,1,::1O:1O,1O,1O,,1L,3,0.09000900090009
235,2,3,0,1,1,1O:1O,:1O:2O,,,1L,3,0.09000900090009
236,5,0,1,1,2,1O:1O:1O:1O:1O,,2O,,1L:1L,3,0.09000900090009
237,5,0,1,1,1,::1O:1O:1O,,1O,,1L,3,0.09000900090009
238,5,1,1,1,2,:1O:1O:1O:1O,2O,1O,,1L:1L,3,0.09000900090009
239,1,2,1,1,2,2O,2O:2O,1O,,1L:1L,3,0.09000900090009
240,3,2,1,1,2,1O:1O:1O,:2O,2O1S,,1L:1L,3,0.09000900090009
241,2,1,1,1,2,1O:1O,2O,3O1S,,1L:1L,3,0.09000900090009
242,2,1,1,1,2,1O:1O,2O,2O1S,,1L:1L,3,0.09000900090009
243,2,1,1,1,2,1O:1O,2O,1N2O1S,,1L:1L,3,0.09000900090009
244,1,2,0,2,2,1O,2O:2O,,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
245,2,1,0,2,2,1O:1O,2O,,2S:3S:4S:4S:4S:4S:4S:4S,1L:1L,3,0.09000900090009
246,4,0,2,1,2,1O:1O:1O:2O,,1O:1O,,1L:1L,3,0.09000900090009
247,6,1,0,1,2,1O:1O:1O:1O:1O:1O,,,,1L:1L,3,0.09000900090009
248,4,0,2,1,2,1O:1O:1O:2O,,1O:2O,,1L:1L,3,0.09000900090009
249,2,1,0,2,2,1O:1O,2O,,2S:2S:3S:3S:3S:3S:3S:3S,1L:1L,3,0.09000900090009
250,2,1,0,1,2,1O:1O,2O,,,1L:1L,3,0.09000900090009
251,4,0,2,1,2,:1O:1O:1O,,1N2O2S:1O,,1L:1L,3,0.09000900090009
252,2,0,4,1,2,1O:1O,,1O:1O:1O1S:2O,,1L:1L,3,0.09000900090009
253,5,1,1,1,1,::1O:1O:1O,1O,1O,,1L,3,0.09000900090009
254,6,0,2,1,2,:1O:1O:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
255,1,2,1,2,2,1O,:2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
256,1,2,1,2,2,1O,:2O,1O,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,3,0.09000900090009
257,5,1,2,1,2,:1O:1O:1O:1O,,1O:1O,,1L:1L,3,0.09000900090009
258,4,0,2,1,2,:1O:1O:1O,,1O:2O,,1L:1L,3,0.09000900090009
259,3,2,1,2,2,:1O:1O,:2O,1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
260,5,2,0,1,1,:1O:1O:1O:1O,:,,,1L,3,0.09000900090009
261,1,2,2,2,2,1O,:2O,1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,3,0.09000900090009
262,6,0,0,1,2,1O:1O:1O:1O:1O:2O,,,,1L:1L,3,0.09000900090009
263,1,3,1,1,1,,::2O,1O,,1L,3,0.09000900090009
264,1,3,1,1,1,1O,::2O,1O,,1L,3,0.09000900090009
265,4,0,3,1,2,1O:1O:1O:1O,,1O:1O:2O,,1L:1L,3,0.09000900090009
266,2,1,1,2,2,1O:1O,2O,,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,3,0.09000900090009
267,1,3,1,2,2,,:2O:2O,1O,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
268,0,2,1,2,2,,2O:2O,2O1S,:::1S:1S:2S:2S:2S,1L:1L,3,0.09000900090009
269,7,0,0,1,1,::1O:1O:1O:1O:1O,,,,1L,3,0.09000900090009
270,2,1,1,2,2,1O:1O,2O,1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,3,0.09000900090009
271,4,1,0,1,1,::1O:1O,1O,,,1L,3,0.09000900090009
272,1,1,1,2,2,1O,2O,1O,2S:2S:2S:2S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
273,1,2,2,2,2,1O,:2O,1O:1O,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,2,0.06000600060006
274,4,1,1,2,2,:1O:1O:1O,2O,,:::1S:1S:2S:2S:2S,1L:1L,2,0.06000600060006
275,4,0,2,1,2,1O:1O:1O:1O,,1N2O2S:1O,,1L:1L,2,0.06000600060006
276,4,0,2,2,2,1O:1O:1O:1O,,1O:1O,:1S:1S:1S:2S:2S:2S:2S,1L:1L,2,0.06000600060006
277,0,2,2,2,2,,:2O,1O:1O,2S:2S:2S:3S:3S:3S:4S:4S,1L:1L,2,0.06000600060006
278,4,1,1,1,1,:1O:1O:2O,,1O,,1L,2,0.06000600060006
279,4,3,0,1,1,:::1O,::2O,,,1L,2,0.06000600060006
280,1,2,2,1,2,1O,2O:2O,:1O,,1L:1L,2,0.06000600060006
281,4,3,0,1,1,::1O:1O,::,,,1L,2,0.06000600060006
282,4,1,1,1,1,::1O:1O,,1O1S,,1L,2,0.06000600060006
283,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,2,0.06000600060006
284,4,2,2,1,2,1O:1O:1O:1O,:,1O:1O,,1L:1L,2,0.06000600060006
285,6,0,1,1,1,:::1O:1O:2O,,,,1L,2,0.06000600060006
286,4,0,2,1,2,:1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
287,3,1,2,1,2,:1O:1O,2O,1O:1O,,1L:1L,2,0.06000600060006
288,4,0,2,1,2,:1O:1O:1O,,1O:2O1S,,1L:1L,2,0.06000600060006
289,0,2,2,2,2,,:2O,1O:1O,2S:2S:2S:3S:3S:4S:4S:4S,1L:1L,2,0.06000600060006
290,4,1,1,1,1,::1O:2O,,1N1O1S,,1L,2,0.06000600060006
291,3,1,1,1,2,1O:1O:1O,2O,1N2O2S,,1L:1L,2,0.06000600060006
292,3,0,2,1,2,1O:1O:1O,,:1O,,1L:1L,2,0.06000600060006
293,3,0,2,1,2,1O:1O:2O,,1O:2O,,1L:1L,2,0.06000600060006
294,4,2,1,1,1,:::1O,:2O,1O,,1L,2,0.06000600060006
295,4,2,1,1,1,:::,:2O,1O,,1L,2,0.06000600060006
296,4,0,2,1,2,:1O:1O:1O,,1O:1O1S,,1L:1L,2,0.06000600060006
297,4,2,1,1,1,::1O:1O,:2O,1O,,1L,2,0.06000600060006
298,5,0,0,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
299,5,0,1,1,1,::1O:1O:1O,,,,1L,2,0.06000600060006
