,num_dol,num_dmi,num_tfsi,num_ps,num_li,atoms_dol,atoms_dmi,atoms_tfsi,atoms_ps,atoms_li,count,%
26,6,1,0,1,1,::::1O:1O,1O,,,1L,14,0.42004200420042
27,3,4,0,1,1,:1O:1O,::1O:1O,,,1L,14,0.42004200420042
28,5,3,0,1,1,:::1O:1O,::1O,,,1L,14,0.42004200420042
29,3,3,0,1,1,:1O:1O,:1O:1O,,,1L,14,0.42004200420042
30,5,2,0,1,1,::::1O,1O:1O,,,1L,13,0.39003900390039
31,4,2,1,1,1,:::1O,:1O,1O,,1L,13,0.39003900390039
32,5,1,0,1,1,::1O:1O:1O,1O,,,1L,13,0.39003900390039
33,4,3,0,1,2,:1O:1O:1O,1O:1O:1O,,,1L:1L,12,0.36003600360036
34,4,3,0,2,1,:::1O,::1O,,:::1S:1S:2S:2S:2S,1L,12,0.36003600360036
35,4,3,0,1,1,:1O:1O:1O,::1O,,,1L,12,0.36003600360036
36,4,1,0,1,2,:1O:1O:1O,1O,,,1L:1L,12,0.36003600360036
37,4,3,0,1,0,:::,::,,,,12,0.36003600360036
38,3,2,1,1,1,::1O,:1O,1O,,1L,12,0.36003600360036
39,3,4,0,1,2,:1O:1O,1O:1O:1O:1O,,,1L:1L,11,0.33003300330033
40,3,3,0,1,1,::,:1O:1O,,,1L,10,0.3000300030003
41,5,2,0,1,1,:::1O:1O,1O:1O,,,1L,10,0.3000300030003
42,2,5,0,1,2,:1O,1N1O:1O:1O:1O:1O,,,1L:1L,10,0.3000300030003
43,4,3,1,1,1,:::1O,::1O,1O,,1L,10,0.3000300030003
44,3,4,0,1,2,1O:1O:1O,:1O:1O:1O,,,1L:1L,10,0.3000300030003
45,3,3,1,1,1,::1O,::1O,1O,,1L,10,0.3000300030003
46,3,3,0,1,2,1O:1O:1O,1O:1O:1O,,,1L:1L,10,0.3000300030003
47,2,3,0,1,1,:1O,:1O:1O,,,1L,10,0.3000300030003
48,4,4,0,1,1,::1O:1O,:::1O,,,1L,10,0.3000300030003
49,5,2,0,1,0,::::1O,:,,,,9,0.27002700270027
50,3,2,0,1,1,:1O:1O,:1O,,,1L,9,0.27002700270027
51,1,4,0,1,2,1O,1O:1O:1O:1O,,,1L:1L,9,0.27002700270027
52,3,3,0,1,2,:1O:1O,1O:1O:1O,,,1L:1L,9,0.27002700270027
53,3,5,0,1,1,::1O,:::1O:1O,,,1L,9,0.27002700270027
54,5,3,0,1,1,::::1O,:1O:1O,,,1L,9,0.27002700270027
55,3,3,0,1,0,::,::,,,,9,0.27002700270027
56,3,4,0,1,1,::1O,:1N:1O:1O,,,1L,9,0.27002700270027
57,4,2,0,1,1,::1O:1O,1N:1O,,,1L,9,0.27002700270027
58,3,3,0,2,1,::,::1O,,:::1S:1S:2S:2S:2S,1L,9,0.27002700270027
59,4,2,1,1,1,::1O:1O,:1O,1O,,1L,9,0.27002700270027
60,2,5,0,1,1,1O:1O,::::1O,,,1L,9,0.27002700270027
61,3,2,1,1,2,1O:1O:1O,1O:1O,1O,,1L:1L,9,0.27002700270027
62,3,3,0,1,1,:1O:1O,:1N:1O,,,1L,8,0.24002400240024
63,3,4,0,1,0,::,:::,,,,8,0.24002400240024
64,2,4,0,1,2,1O:1O,1O:1O:1O:1O,,,1L:1L,8,0.24002400240024
