,num_dol,num_tfee,num_tfsi,num_ps,num_li,atoms_dol,atoms_tfee,atoms_tfsi,atoms_ps,atoms_li,count,%
1148,3,2,2,1,2,1O:1O:1O,:,1O:3O1S,,1L:1L,1,0.03000300030003
1149,3,2,2,1,2,1O:1O:1O,:,1O:2O,,1L:1L,1,0.03000300030003
1150,3,2,1,1,2,1O:1O:2O,:,2O1S,,1L:1L,1,0.03000300030003
1151,3,2,1,1,2,1O:1O:1O,:,1N2O2S,,1L:1L,1,0.03000300030003
1152,3,1,3,2,2,:1O:1O,,:1O:1O,2S:2S:2S:2S:2S:3S:3S:3S,1L:1L,1,0.03000300030003
1153,4,0,0,2,2,1O:1O:1O:2O,,,:1S:1S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1154,3,1,3,2,2,1O:1O:1O,,:1O:1O1S,1S:1S:1S:2S:3S:3S:3S:3S,1L:1L,1,0.03000300030003
1155,3,1,3,2,2,1O:1O:1O,,:1O:1O,1S:1S:1S:1S:2S:2S:2S:2S,1L:1L,1,0.03000300030003
1156,3,1,3,2,2,1O:1O:1O,,1O:1O:2O1S,1S:1S:1S:1S:2S:2S:3S:3S,1L:1L,1,0.03000300030003
1157,3,1,3,2,2,1O:1O:1O,,1N2O1S:1O:1O,1S:1S:1S:1S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
1158,3,1,3,1,2,:1O:1O,,1O:2O:2O1S,,1L:1L,1,0.03000300030003
1159,3,1,3,1,2,1O:1O:2O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1160,3,1,3,1,2,1O:1O:2O,,1O:1O:1O,,1L:1L,1,0.03000300030003
1161,3,1,3,1,2,1O:1O:1O,,:1O:1O,,1L:1L,1,0.03000300030003
1162,3,1,3,1,2,1O:1O:1O,,1O:1O:1O1S,,1L:1L,1,0.03000300030003
1163,4,0,0,2,2,1O:1O:1O:2O,,,2S:2S:2S:2S:2S:2S:2S:3S,1L:1L,1,0.03000300030003
