,r ($\AA$),g_full(r),O (DOL),O (DOL),S (SL),O (SL),O (SL),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
67,3.375,0.8949657159053336,0.1429028231183123,0.1796492633487355,14.522631269431091,1.0086708594654743,1.0030980922861066,0.0543344799988308,0.326006879992985,0.3368737759927512,0.3368737759927513,0.2173379199953233,0.1712359369660122,4.452134361116314,1.4126964799696016,1.626741401177117,4.923033187772847,0.0856179684830061,0.2140449212075153,0.042808984241503,0.0576610808150857
68,3.4250000000000003,0.9151824814706708,0.186336208795701,0.2160707101992702,8.676938045083865,1.3122279238745462,1.1850635683650546,0.0949674229443229,0.3798696917772915,0.3060061405983736,0.3271100123637786,0.3904216276599941,0.1662729290607673,4.946619639557835,1.6211610583424818,1.496456361546906,3.741140903867268,0.1662729290607673,0.2909776258563428,0.2078411613259592,0.0559898638674012
69,3.475,0.91743821990132,0.1867896850782339,0.2156746879253837,4.455013180741052,1.5270576153454578,1.3667297073659863,0.1640075648839182,0.3587665481835711,0.3280151297678363,0.3587665481835712,0.2870132385468568,0.1211419513347123,3.997684394045509,2.099793823135013,1.2518001637920273,3.2708326860372345,0.0,0.363425854004137,0.2019032522245205,0.0951829617629882
70,3.5250000000000004,0.916488093374593,0.2170854574740492,0.2713568218425614,2.610488430535046,1.5887708451984304,1.716485543365507,0.1892731826836074,0.2988523937109592,0.3785463653672149,0.3984698582812788,0.3885081118242469,0.1569729744744431,3.492648682056359,2.1583783990235936,2.001405424549151,3.688864900149412,0.1177297308558323,0.2747027053302755,0.3139459489488863,0.1321456162667506
71,3.575,0.9177638310109216,0.2656390694993571,0.2601807324548499,1.355906904799669,1.9171430961636344,1.944459901937986,0.1840159370799551,0.3874019727999054,0.3680318741599101,0.3002365289199268,0.3874019727999053,0.2670725721575104,3.5864031118294277,2.022120903478295,1.602435432945064,3.4719434380476377,0.1526128983757203,0.4196854705332307,0.3052257967514405,0.0385425432122354
72,3.625,0.9172212392829174,0.2866753645498693,0.2565921472822904,0.7777309205744273,2.106153300437578,2.0626776589147866,0.2543325029083454,0.3108508368879777,0.4050480601873652,0.4521466718370587,0.376788893197549,0.2968639764586748,3.1912877469307546,2.189371826382726,1.6327518705227115,3.1541797498734203,0.1484319882293374,0.519511958802681,0.4081879676306779,0.0749733001770633
73,3.675,0.9167590372293408,0.2668754214022621,0.3323029440686232,0.427707044258911,2.4463902916127807,2.3570888208334466,0.2841196794005623,0.4490923964718568,0.5865696606979355,0.5865696606979355,0.4307620945750464,0.4332616811973384,3.213357468880262,1.84136214508869,1.480310744090907,2.6356752272838118,0.1444205603991128,0.3249462608980038,0.3249462608980038,0.1823677994835736
74,3.725,0.9231982135978012,0.363662839260888,0.3368489893614679,0.2836344714212844,2.6602168569593068,2.5572849923306142,0.3122266560403657,0.410355033653052,0.5174041728668917,0.3479097024449789,0.4638796032599719,0.3162815476772536,2.4599675930453047,2.424825198858944,1.721977315131714,3.022245900027088,0.2811391534908921,0.4919935186090611,0.5271359127954226,0.1301702968331554
75,3.775,0.9255521130444196,0.4144686835839754,0.3540933241642626,0.1804019215413268,2.913156955259945,2.643667665056234,0.3821848115616257,0.4343009222291202,0.5124750882303621,0.5298471251195269,0.4951030513411971,0.4790470778527265,2.600541279771943,2.087276553501166,1.710882420902595,2.6347589281899952,0.1368705936722075,0.4106117810166227,0.6159176715249342,0.253489926035772
76,3.825,0.9238091380573944,0.4100614177614841,0.4291340418434138,0.143176345672236,3.1021541562317823,3.052259369103574,0.4907043847130274,0.5160856459912875,0.5499273276956341,0.5245460664173742,0.4314814417304206,0.1999735737075031,2.4330118134412877,1.9330778791725287,1.5331307317575245,2.499669671343787,0.2999603605612547,0.4999339342687579,0.3332892895125052,0.1571220936273239
77,3.875,0.9223124454039822,0.4676875077415672,0.5095006292946213,0.133164208285992,3.1917135636801284,3.160007799802507,0.4616359220581058,0.5688014039644518,0.3132529471108575,0.5688014039644518,0.4698794206662863,0.5195902153034957,3.0850669033645035,1.948463307388108,1.7860913651057655,2.5654766880610085,0.1623719422823423,0.6494877691293696,0.6170133806729011,0.2952518379052389
78,3.925,0.9272927024334958,0.5403760563292412,0.5992438390019799,0.0988900151346626,3.570341588091051,3.1953836140387843,0.4660191963220973,0.5383325198893193,0.5222628924299366,0.4660191963220973,0.6427850983753067,0.5064367441744841,2.7537497964487567,2.057399273208843,2.1207038662306528,2.468879127850611,0.1582614825545263,0.7913074127726314,0.5697413371962947,0.27711908577915
79,3.975,0.9375242238809076,0.6033955883684,0.6269427332803374,0.1325746058207609,3.3826611545782037,3.422835277554191,0.5797125945435095,0.4778711927993795,0.4465353768781086,0.4778711927993795,0.5013730547403324,0.3394713391470999,2.221994219871925,1.7899397882301624,2.067689065714152,2.314577312366588,0.1851661849893272,0.7406647399573091,0.5246375241364271,0.4780310694112223
80,4.025,0.9453352547551488,0.6588303499560818,0.6688778716329719,0.1253831051073851,3.5420727192836337,3.530318053179816,0.5119157088212459,0.542477840691171,0.5119157088212458,0.6418047692684278,0.5653994395936148,0.3611888311900244,2.1370339178743123,1.535052532557604,1.926340433013465,1.7156469481526166,0.4815851082533658,0.4213869697216951,0.7223776623800487,0.6385302551395082
81,4.075,0.9468188347426528,0.6651677747865424,0.6133547060136959,0.1051231620819092,3.6353500778143912,3.5283155855128085,0.6112434042508109,0.6261517799642453,0.5143389621134872,0.655968531391114,0.5888808406806593,0.4111097545219791,2.173008702473319,1.9380888427464733,1.5269790882244942,2.055548772609896,0.3230148071244121,0.7341245616463914,0.9103144564415252,0.6427335447883707
82,4.125,0.9514763924349134,0.6013090211846471,0.6108753010671302,0.1231082374733064,3.8144900853471526,3.5160458732906474,0.6328882571923169,0.6110645241856852,0.6256136795234396,0.6765357232055803,0.5019458591525272,0.3725465533455295,1.805417912366797,2.063334756990625,1.6048159221038196,2.206621892892752,0.2865742718042535,0.9170376697736112,1.0316673784953123,0.9263951970161988
83,4.175,0.9593967487073572,0.5616454067812049,0.600333570193687,0.1219980962018851,3.6963602282063737,3.62716727812172,0.6249215912908509,0.6320229730100653,0.5610091558179234,0.6178202095716373,0.7314423170790648,0.3357016812719445,1.5945829860417364,1.8743343871016904,1.818384106889699,1.482682425617755,0.3916519614839354,0.4755773818019215,0.7273536427558802,1.2623068321297102
84,4.2250000000000005,0.9654860015446426,0.5301932326129317,0.4350971491221603,0.140463988875564,3.897431185002999,3.7534111457761528,0.8737215713095217,0.6032839420946702,0.596349643909674,0.7419699057945941,0.5616781529846931,0.600972509366338,1.77560059585509,2.185354579513957,1.584382070147618,2.0760868505382586,0.4097539836588666,0.874141831805582,0.7648741028298844,1.2234083226386157
85,4.275,0.9736678442395044,0.4962330483201486,0.5433115682889827,0.1649843756464196,4.011725344665572,3.8241641597201697,0.7721268780252432,0.6095738510725607,0.5418434231756094,0.5892547227034756,0.6976234073385974,0.5869970417735774,1.2273574509811165,2.1878980647924244,1.7076277578867702,1.494174288150924,0.2934985208867885,0.8004505115094236,1.0672673486792317,1.2219122094062227
86,4.325,0.9808247421061776,0.5146613402558045,0.4972573335804874,0.1577982887569322,3.8702999640275535,3.776978395407864,0.8337857967221122,0.7477602780126879,0.5889439357799046,0.6418827165241662,0.7212908876405573,0.4170934240456937,1.0427335601142342,2.3200821712541737,1.6683736961827758,1.1209385771228018,0.2867517290314144,0.7820501700856757,1.0166652211113785,1.650285460956305
87,4.375,0.988703417068284,0.5284777182934958,0.5102543486971683,0.2089325498807341,3.454019852393405,3.3412626032514203,0.8213039044121238,0.6272951080942987,0.5949603087079945,0.6466959877260814,0.6078942284625163,0.4840421483889158,1.0445120044181866,2.3437830343042245,1.961644496102448,0.7133252713099809,0.2547590254678503,0.942608394231046,0.7642770764035511,1.689988188333157
88,4.425,0.994140312882924,0.4976008552925074,0.498788446832585,0.2042376362178395,2.702096345834434,2.5902519260008563,0.6637723177079796,0.6258424709818093,0.6700939588290081,0.6637723177079797,0.6384857532238661,0.5727789985416617,1.0957511276449183,2.191502255289838,2.216405690009041,0.5727789985416617,0.3984549555072429,0.971233954048905,0.8716202151720942,1.7778002989341026
89,4.4750000000000005,0.997306499566214,0.5515708147048156,0.5248631752559513,0.2187181834155552,2.0540490268591265,2.03503005438821,0.6428412695170235,0.6675659337292166,0.7108340961005546,0.6242977713578788,0.6613847676761684,0.4626509136675546,0.8766017311595766,2.1671542798111747,1.8262536065824508,0.3896007694042565,0.4383008655797885,0.9009517792473428,1.0227020196861727,2.13187155707176
90,4.525,0.9967682481933512,0.4769863715447182,0.5280920542102234,0.269714356273863,1.3547721113986009,1.286568481076474,0.6710307174192838,0.6166228214123148,0.6710307174192837,0.5259429947340332,0.7314839352048048,0.7620769272356588,0.500112983498401,2.262415877730863,2.286230781706978,0.4762980795222868,0.2619639437372578,0.8573365431401158,1.0478557749490307,2.2694631452340004
91,4.575,0.997324585239956,0.5432761072585208,0.569939965283479,0.242621824500605,0.8992171370553675,0.9477415019554888,0.626874139053437,0.5795628832758194,0.5440794414426058,0.5677350693314149,0.6387019529978415,0.5125386042575275,0.6523218599641257,2.21323488202114,1.887073952039078,0.4193497671197951,0.349458139266496,0.9551855806617562,0.955185580661756,2.533928099620125
92,4.625,0.9979742181793332,0.564206285345294,0.5685546960223291,0.2685636756015737,0.7003428446626675,0.6914401813830573,0.4397915660127425,0.5902465754381546,0.480298683934969,0.5960333065699013,0.6712608112826072,0.8662561148735833,0.5927015522819256,2.530379703972837,2.1428440736346537,0.5015166980847061,0.4331280574367916,1.0942182503666311,1.0714220368173262,2.226120037416807
93,4.675,0.9988863713613854,0.6202966712635593,0.5532663277136379,0.2788240682951928,0.6041188146395851,0.5591003452794236,0.4247710415434582,0.61167029982258,0.5493705470628726,0.6229975275970717,0.5267160915138879,0.6470249804520555,0.4462241244496934,2.409610272028344,1.829518910243743,0.4462241244496934,0.3569792995597547,1.1378715173467182,1.070937898679264,2.65958684786802
94,4.7250000000000005,0.998712756040336,0.6478597101825344,0.668691212117664,0.2900139512010248,0.5260056958057797,0.4918864074291891,0.2883079867821952,0.687503660788312,0.5655272048419986,0.5987935110091752,0.5877047422867829,0.655245424504989,0.3713057405528271,2.3370420140677948,2.249675957467129,0.436830283003326,0.2839396839521619,0.8955020801568184,1.310490849009978,2.7506935473607386
95,4.775,0.9986861577424518,0.6639395420342515,0.656800407173668,0.350789206404048,0.4816391484753994,0.4649349005513972,0.3691638791204505,0.6188923855842848,0.6406079078854876,0.7111833553643973,0.6080346244336833,0.8126869709692628,0.4491164839566979,2.160036422839358,1.6681469404105933,0.5132759816647976,0.5988219786089306,1.2404169556899274,1.2404169556899274,2.787010017789598
