,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFPG),O (TFPG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
53,2.6750000000000003,0.949124029090772,0.0699755672197799,0.073156274820679,0.216496687851361,0.0288662250468481,0.0,0.4402099319644336,0.338623024588026,0.3216918733586247,0.4232787807350325,0.6002862708605916,8.937595588368817,0.7336832199407229,0.6002862708605916,11.872328468131702,0.4001908472403944,0.0666984745400657,0.0666984745400657,0.0
54,2.725,0.8903535573746423,0.0613011697203915,0.0643662282064111,0.2086249644910376,0.0347708274151729,0.0163155420948119,0.3915730102754859,0.3263108418962383,0.3915730102754859,0.3099952998014263,0.3213667382311437,9.641002146934303,0.8355535194009738,0.7070068241085163,8.098441803424816,0.3213667382311437,0.0,0.1285466952924575,0.0
55,2.7750000000000004,0.8615484642757754,0.0325116435297181,0.0502452672732007,0.1810573912695241,0.0469408051439506,0.0157329072185768,0.2517265154972302,0.2359936082786533,0.2989252371529609,0.2989252371529608,0.0,9.234739782540435,0.6197811934590893,1.3015405062640872,10.908149004879986,0.1859343580377268,0.1239562386918178,0.1239562386918178,0.0
56,2.825,0.8416566904916114,0.0484824595250754,0.0513343689089034,0.1941168485517005,0.01294112323678,0.0,0.4250661247773133,0.2732567944997014,0.4554279908328357,0.3491614596385074,0.1794110266917232,10.28623219699212,0.7774477823308007,0.4186257289473541,9.3293733879696,0.0598036755639077,0.2392147022556309,0.0598036755639077,0.0
57,2.875,0.8243016813160623,0.0495643967174683,0.060578707099128,0.156186532461239,0.0187423838953486,0.0146575053540547,0.2345200856648757,0.3371226231432589,0.3224651177892042,0.3517801284973137,0.1154833755167949,9.007703290309996,0.8083836286175646,0.866125316375962,10.451245484269933,0.0577416877583974,0.0,0.1732250632751924,0.0
58,2.9250000000000003,0.8166220291037686,0.0452241662483342,0.0558651465420599,0.1629639965639108,0.0120714071528822,0.0708034458005595,0.4531420531235811,0.2832137832022381,0.3964992964831335,0.3540172290027977,0.0,8.86974075574283,1.115690661099726,1.5619669255396167,8.981309821852808,0.1673535991649589,0.0,0.3347071983299178,0.0
59,2.975,0.8303624693050055,0.0694326218398317,0.0771473575998129,0.1516978423973591,0.0058345323998984,0.0273774212610618,0.3695951870243351,0.5064822933296445,0.2600855019800877,0.2874629232411496,0.0539252236960309,9.11336280462923,1.3481305924007736,1.0245792502245878,9.598689817893508,0.0539252236960309,0.0539252236960309,0.1078504473920618,0.0
60,3.0250000000000004,0.8535502359113796,0.0646690775331875,0.049745444256298,0.1467245955834944,0.0056432536762882,0.0661997065872274,0.4236781221582558,0.4236781221582559,0.3309985329361374,0.4766378874280377,0.0521573445838761,8.136545755084684,1.1996189254291525,1.0953042362613998,9.440479369681594,0.0,0.0521573445838761,0.1043146891677523,0.0
61,3.075,0.8859070581669677,0.0770254302816123,0.06258316210381,0.1474531905104144,0.0163836878344904,0.1153159566812215,0.4356380585735037,0.2946963337408994,0.3587607541193558,0.3459478700436645,0.0,9.035024619434434,0.908549961730836,1.009499957478707,10.29689956628282,0.0504749978739353,0.1009499957478706,0.2018999914957413,0.0
62,3.125,0.9110506551033452,0.0722497500841825,0.0699191129846927,0.1110453059992955,0.0,0.1240616056036086,0.4218094590522696,0.3845909773711869,0.3225601745693826,0.3969971379315477,0.0488727537226337,8.503859147738265,1.4173098579563774,1.563928119124278,9.33469596102304,0.0,0.1954910148905348,0.1466182611679011,0.0
