,r ($\AA$),g_full(r),O (DOL),O (DOL),S (EMS),O (EMS),O (EMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
68,3.4250000000000003,0.769816864377903,0.1153007573896435,0.1272284219471929,8.425901037862149,1.248673560399037,1.2486735603990382,0.074073855277909,0.3386233384132983,0.3174593797624671,0.3703692763895451,0.2116395865083113,0.2084329261066703,3.751792669920068,1.3339707270826904,1.5007170679680268,4.58552437434675,0.2084329261066703,0.1667463408853363,0.3751792669920066,0.0140373195133063
69,3.475,0.8126542435820181,0.169941165665387,0.1293870238588742,4.584727433709769,1.54451860294819,1.4956902278133883,0.0513982896155803,0.2878304218472499,0.4009066590015268,0.3392287114628303,0.1850338426160892,0.2024781106068317,2.915684792738379,1.7008161290973876,1.214868663640991,3.199154147587944,0.0809912442427327,0.242973732728198,0.242973732728198,0.0681814045920964
70,3.5250000000000004,0.8656270275129638,0.2120732785567509,0.1726614303293903,2.207814202603204,1.8406776779621727,1.7033136721441011,0.1298714236825414,0.2997032854212493,0.3396637234774159,0.2697329568791243,0.2997032854212493,0.3935497687349738,2.951623265512308,1.4954891211929011,1.141294329331424,3.856787733602748,0.3148398149879791,0.1574199074939895,0.3541947918614764,0.0662609304502762
71,3.575,0.9078228737321112,0.1806379742201384,0.1897611042312566,1.1679431040233408,2.054220095641884,2.124636623743084,0.1359767439195573,0.2816661124047971,0.3205166106675277,0.4176428563243543,0.3496544843645757,0.1530474173986359,2.716591658825788,1.3774267565877245,2.0278782805319278,3.3287813284203307,0.1530474173986359,0.2678329804476128,0.2678329804476128,0.0773045628697191
72,3.625,0.9225774749814624,0.2307031244526271,0.2307031244526271,0.6234717810651123,2.3923367962839324,2.3073179170477807,0.2928428062578555,0.3684151433566569,0.3684151433566569,0.3778616854940071,0.3684151433566569,0.2232819050646406,3.5352968301901453,1.4513323829201643,1.4141187320760582,3.051519369216757,0.0744273016882135,0.4093501592851746,0.2232819050646406,0.0501245093002254
73,3.675,0.9393027165735864,0.288355418174203,0.2469151185563536,0.3699476491205019,2.6516744539444663,2.5758466749321904,0.2205899025811686,0.3584585916943992,0.3860323295170453,0.3308848538717531,0.2849286241673429,0.3982873241048878,2.3897239446293264,1.7741889891945,1.375901665089612,3.041466838619145,0.181039692774949,0.8327825867647652,0.4344952626598775,0.07315481463151
74,3.725,0.9638983615746052,0.3243629677645792,0.3058759592391368,0.1766866751868676,2.9410503527940604,2.8046214010674912,0.2773309838376148,0.393631073834034,0.4383618776788107,0.2415463407617936,0.3578464307582127,0.176212257570332,2.6431838635549814,1.7621225757033214,1.4096980605626566,2.8546385726393804,0.1409698060562656,0.2114547090843984,0.2466971605984648,0.1780103418312538
75,3.775,0.9727504757909357,0.3076455371772109,0.3010998874500362,0.1241281768455188,3.109737483077209,2.89632412639544,0.3658514685973188,0.4268267133635383,0.3745622178496358,0.2787439760741476,0.3832729671019529,0.1029452184364749,2.4706852424753976,1.3726029124863328,1.406917985298491,2.7452058249726643,0.1029452184364749,0.4117808737458999,0.7549316018674833,0.1271058309266681
76,3.825,0.9648218452780088,0.368193356387763,0.3921020158934619,0.091208470801484,3.3747134196549102,3.2856260760813685,0.3987719188529999,0.4242254455882978,0.4242254455882977,0.5260395525294892,0.4072564277647659,0.3342382298574471,2.6404820158738302,1.704614972272979,1.8048864412302132,2.506786723930852,0.3676620528431918,0.3676620528431918,0.3008144068717024,0.2138442552251217
77,3.875,0.9510948217500192,0.4084504137840759,0.4395112817524467,0.101270376064569,3.45972672514466,3.441126043826677,0.4877511990048629,0.4133484737329346,0.4877511990048631,0.462950290580887,0.4960181684795215,0.2931016450106264,2.475080557867513,1.6609093217268829,1.4329413756075062,2.5076474073131374,0.2279679461193761,0.3908021933475017,0.3256684944562515,0.274159701965722
