,r ($\AA$),g_full(r),S(DMT),O(DMT),O(DMT),N(DMT),N(TFSI),O(TFSI),O(TFSI),O(TFSI),O(TFSI),O(DOL),O(DOL),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
59,2.975,0.9058609169636124,1.7265362488910228,0.1902902854960536,0.1717253795939995,0.0,0.0403786703369674,0.8210329635183384,1.3459556778989168,0.7941138499603604,0.9421689745292414,0.0758558835810082,0.1087267664661118,0.5302249640207847,8.64266691353878,0.8483599424332555,1.4846298992581972,6.680834546661882,0.4772024676187062,0.3181349784124708,0.3711574748145493,0.0
60,3.0250000000000004,0.932419152333469,3.851621179139968,0.2199643796944737,0.193029965854334,0.0,0.1041464001818732,0.9112810015913912,1.2888117022506815,0.8722261015231886,0.885244401545923,0.0904884727013747,0.1271729886613915,0.56412633431848,8.513179226987965,1.897515851798524,1.2308210930585022,5.692547555395567,0.1538526366323127,0.4102736976861673,0.56412633431848,0.0172691734995453
61,3.075,0.9595601097473412,6.9855910782989,0.2041808337562489,0.2128693798735361,0.0,0.1007871349605314,1.0330681333454472,1.0960600926957789,0.9952729577352476,1.070863308955646,0.0994034965470558,0.1183374958893521,0.2977801714742973,7.841544515489833,2.282981314636278,2.233351286057229,7.146724115383135,0.446670257211446,0.3970402286323964,0.6948204001066938,0.0
62,3.125,0.9870644945132172,13.136497871494786,0.1850803414491739,0.1808739700526018,0.0084127427931442,0.1219847705005919,1.0368705492550323,1.0002751181048546,1.0368705492550323,0.9148857787544408,0.1306224204348825,0.1512470131351271,0.3363822459258747,8.073173902221,1.9702388689944108,2.306621114920286,7.496518623490925,0.4324914590475531,0.4324914590475531,0.4324914590475531,0.0
63,3.1750000000000003,0.9726755031014032,22.432507027555683,0.2607957220278953,0.1833719920508638,0.0162997326267434,0.200894204624613,1.0399229415862328,1.063557553895011,1.0044710231230656,1.099009472358178,0.1687210763083285,0.15762100549857,0.2327651212228136,7.215718757907216,2.3276512122281354,2.374204236472699,7.169165733662651,0.6051893151793154,0.4189772182010645,0.6982953636684409,0.0
64,3.225,0.9105884928793132,32.777403783668255,0.2527718812091535,0.3041161695797629,0.011848681931679,0.2863431466822446,1.156826312596267,1.076650231525239,1.2828172971364546,1.0079278763215005,0.116192421370483,0.1549232284939773,0.3609659061206476,7.129076645882792,2.391399128049289,2.436519866314369,7.038835169352629,0.4512073826508095,0.6768110739762143,0.9475355035666996,0.0
65,3.2750000000000004,0.8515031626439645,37.54437526875863,0.3561794246653628,0.3638391972388116,0.0421287491539676,0.2887734260190145,1.1217736933815563,1.2106270552335607,1.2328403956965617,1.2661604063910634,0.1439694103707514,0.1627480291147625,0.3062748457777427,6.56303240952306,2.887734260190145,2.3626916674283027,6.300511113142134,0.3500283951745631,0.568796142158665,0.6563032409523059,0.0147333380621946
66,3.325,0.829074067698446,32.58183280547862,0.5127486517454726,0.3975659835997506,0.0668802589233225,0.409455807408341,1.174491658092346,1.3037934920107697,1.0990655883065994,1.0882904354800638,0.1781325842999475,0.1740841164749487,0.3395805739271728,6.154897902430005,2.928882450121867,2.334616445749315,5.815317328502832,0.2971330021862762,0.7640562913361391,0.7216087195952424,0.0142935700760162
67,3.375,0.8332195952045499,22.842281816883496,0.5734011381251144,0.5625822487265274,0.0757322257901095,0.5333712473503426,1.171325092220361,1.234074650732166,1.4118650665156145,1.3177407287479062,0.174858475910786,0.1964701976525686,0.4943904610020999,6.839068043862388,3.295936406680668,2.3483546897599763,5.891486326941695,0.4531912559185915,0.9475817169206916,0.6179880762526249,0.0554928068471744
68,3.4250000000000003,0.8448272678532239,13.81449669204461,0.7353724474852643,0.6373227878205626,0.203102866448311,0.6600843159570118,1.0764451921760498,1.4115649218157635,1.3709443485261008,1.2084620553674523,0.1907758138604079,0.2117611533850528,0.5200664307540087,5.360684747772083,2.48031682359604,2.4003066034800384,5.360684747772085,0.4400562106380074,0.9201175313340154,1.3201686319140218,0.0134711084889185
69,3.475,0.8561854663230507,7.817175058932683,0.884449745571148,0.8980566647337812,0.2313176257647617,0.7596062622539902,1.2035319999348926,1.2923171474710742,1.1838019671490754,1.282452131078165,0.242776342733005,0.2316568155849284,0.4663462294829689,4.896635409571177,3.3810101637515277,2.4094555189953413,4.0416673221857335,0.3497596721122267,1.0492790163366803,0.8938302731756906,0.0261724924709829
70,3.5250000000000004,0.8775698567741629,4.115861489072093,1.1934345361887748,1.239717315985569,0.3603444998464722,0.9491275771185512,1.294264877888933,1.351787761350664,1.3517877613506637,1.3613749085942854,0.261152782575534,0.2377390848273827,0.4532105969712094,4.343268220974086,2.832566231070058,3.2102417285460643,3.7012198752648735,0.5665132462140118,0.8308860944472173,0.9064211939424188,0.0763058658165811
71,3.575,0.9166314325377986,2.4362786417482614,1.4720522663861535,1.5074072334827635,0.7070993419322132,1.062577465649043,1.4913367938933946,1.482015938931561,1.3235614045803872,1.4260908091605586,0.2801644265984704,0.3099318969245579,0.2203111172797061,4.883563099700152,4.002318630581327,2.607014887809855,3.561696396021915,0.5874963127458829,0.807807430025589,1.0648370668519127,0.0370931983175015
72,3.625,0.9566461006816482,1.2472884832376911,1.759958436247667,1.738076182155778,1.0628523416060525,1.4323498321290966,1.477677358462296,1.3960878110625372,1.2963672531294987,1.341694779462698,0.2827075197313405,0.2912228064702364,0.2857007720395588,4.1783737910785455,3.0355707029203103,2.8570077203955866,3.535547053989536,0.6428267370890073,0.8928149126236218,0.9285275091285664,0.1683593835233114
73,3.675,0.99673629185471,0.8698844566778959,2.2325006685369795,2.3845783707533927,1.3869486442137082,1.60533222459648,1.3759990496541246,1.64943475823924,1.5347681707680634,1.3671785429255736,0.3198071008950461,0.3943735233835284,0.5212117612326236,3.370502722637629,3.5442399763818373,3.2662603703911053,3.231512919642264,0.4517168597349404,1.250908226958296,1.1814133254606134,0.0936053775274915
74,3.725,1.0105731680400072,0.5299206945505232,2.587434005794176,2.6259198662922607,1.947976631364494,1.8029145417947976,1.3908197893845593,1.450916940777719,1.5882818582477989,1.6913055463503588,0.3806318341746797,0.4080502290092966,0.7778808773400359,3.2806280479123253,3.585016217306252,3.010060786228834,2.7056726168349075,0.7102390619191632,0.9131645081817812,1.0146272313130902,0.3302715171315056
75,3.775,1.0047191981368813,0.4064393755860169,3.2688102972662647,3.2226895170579195,2.7528340686854342,1.9895351562373649,1.68023767396517,1.5799249770120254,1.5715655855992632,1.5882843684247876,0.4161575638289777,0.4240095933351845,0.4281021662899349,3.358955458582568,3.556541073793307,3.1613698433718285,2.963784228161088,0.559825909763761,1.3501683706067171,0.6256877815006742,0.2328687607840854
76,3.825,0.9921217900301098,0.3537678855129029,3.711755116254429,3.5629479898085243,3.579794079594853,2.2065569938459566,1.4330407044903617,1.644739899471894,1.5714594089013645,1.5063211950608926,0.4910075259325975,0.4986556182368434,0.5452858052554581,2.983034111103392,3.496244280755588,2.3735970346414077,1.9566137717989984,0.4490588984456714,0.8018908900815559,1.347176695337014,0.2700244833948096
77,3.875,0.9984636324560638,0.2763050727587169,4.114483459694156,4.032412646003449,4.55766585362398,2.380053597030529,1.2296943584657734,1.6739710299114725,1.6581040059312688,1.6581040059312688,0.5067358814486967,0.5320726755211314,0.3125322905191605,2.7815373856205285,3.5941213409703425,2.875297072776276,2.5940180113090325,0.7813307262979015,1.0313565587132298,1.4063953073362223,0.442009953734241
78,3.925,1.0004027084273466,0.2293137940224418,4.399625117872432,4.572943683121951,5.620854393015205,2.7141687318074834,1.4382774476244786,1.701188378910673,1.685723030011484,1.7398517511586424,0.62900613405729,0.642080164557326,0.5483169155166632,2.345577916376839,2.893894831893503,2.558812272411097,1.7667989499981382,0.7006271698268475,1.0052476784472162,1.0052476784472164,0.5026238392236078
79,3.975,0.9922973020677976,0.1975834315768468,4.9473851354044704,5.111171401053698,6.871223811284296,3.211770675921536,1.3570862010936051,1.575727866825353,1.7792907969893947,1.9149994170987543,0.6925977023404026,0.7492519111208044,0.6534118746006253,2.3166421008567646,3.593765310303444,2.791850736929948,1.841433464783582,0.980117811900938,1.009818351655512,1.4256259082195466,0.6600793427087956
80,4.025,0.9756005822983228,0.2104542313103026,5.329816797762128,5.114291380155189,8.253355697771514,3.242770077382485,1.4706440260238038,1.72800673057797,1.6397680890165411,1.7574196110984457,0.7763385299226804,0.7887709974837203,0.6083118471280271,1.5931976948591198,2.983624774008896,2.2304767728027683,2.027706157093425,0.4345084622343051,1.0428203093623325,1.2455909250716746,0.7705874564930849
81,4.075,0.968544470402279,0.192952696287522,5.199827789697073,5.3952542385011,9.622897289211036,3.2067253871476296,1.7647750452758764,1.671514575403574,1.865209397446048,1.6069496347227494,0.6981058293909336,0.7466228368389523,0.536954220476892,1.6108626614306758,3.3912898135382648,2.3173813725844803,1.8934701458921968,0.7630402080461098,1.299994428523002,1.130429937846089,0.9421210731997892
82,4.125,0.9676907021435937,0.1762327267221366,5.26284033225011,5.313537418019488,10.36151867248508,3.381495620817766,1.4982195918323036,1.7222524279941416,1.589232931523049,1.7222524279941418,0.6326216241510034,0.7102197027890681,0.4136969985943057,1.709947594189796,2.978618389879,2.3167031921281107,1.9030061935338052,0.8273939971886113,1.2410909957829168,1.3789899953143518,1.1515973593523114
83,4.175,0.9727523432793144,0.1720369100224366,5.080980520662651,5.243590750683858,11.210679191462068,3.5333553314608124,1.6129049482103508,1.6949170642210467,1.715420093223721,1.729088779225504,0.55464841463881,0.5495127811699322,0.4846170491541118,1.4269279780648845,3.0692413113093724,2.476931584565458,1.5346206556546866,0.5115402185515624,1.400004808667434,1.265388961680181,1.3870926764053908
84,4.2250000000000005,0.9776042848418546,0.1933026085290149,4.630057718575922,4.954529954321057,11.621168727041969,3.590365831273441,1.561608930330827,1.761815203450164,1.5616089303308267,1.6950797790770515,0.4563468614646925,0.4475709602826792,0.578373677900306,1.209326781064276,3.2073449410835195,2.471232987392219,1.4722239073825971,1.1830370684324438,1.1304576431687796,1.183037068432444,1.6908577420248765
85,4.275,0.9807438981603016,0.1708257464834522,3.962707776977983,4.432478579807476,10.980049625942964,3.500354407877376,1.688252870838434,1.596995958901222,1.6621794674278016,1.896840098123492,0.3967528004536959,0.4273664424640118,0.8730639626893515,1.4379877032530486,3.132758924944138,2.2853733140985946,1.181204184815005,0.5392453887198936,1.1555258329712004,1.463666055096854,1.357546335742356
86,4.325,0.986811006684258,0.1954473875922026,3.38848673095246,3.5114648624711493,10.18302849736004,3.6236824074819456,1.4456518567634464,1.5475480228789324,1.681286740905507,1.5666535540255853,0.3337946120853193,0.3505441625125395,0.6522898512695843,0.7024659936749369,2.9353043307131337,2.182662194632841,0.8780824920936711,0.6773779224722606,1.279491631336492,1.5052842721605797,1.36857988417865
87,4.375,0.9954718825314632,0.1695442921031772,2.5667718146253184,2.7320238461689224,8.365615830609947,3.342168684712383,1.3381122294472294,1.5746157862797636,1.587063341902528,1.723986453752942,0.2876248763121551,0.3156858398548044,0.4413224266253018,0.8336090280700142,2.9421495108353457,2.7460062101129905,0.8826448532506033,0.6619836399379526,1.2749314546953157,1.5446284931885563,1.552133976634564
