,r ($\AA$),g_full(r),O (DOL),O (DOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),C (TOL),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.414984958988533,1.78931966011399,1.645244570598318,0.1342998423929142,0.1272314296353924,0.1342998423929142,0.0,0.0918893658477834,0.0636157148176962,0.0636157148176962,0.0,6.382776720042182,6.358037275390855,6.061163939574941,5.887987827015657,81.96252980998504,4.483087242876707,0.9745841832340668,0.9745841832340668,4.288170406229893,82.54728031992546,0.0974584183234066,0.0974584183234066,0.0
45,2.275,0.8744362614550127,1.0669313322098966,1.2625354097817112,0.1960730583771814,0.1487450787688962,0.1352227988808147,0.0,0.0676113994404074,0.1352227988808147,0.0946559592165703,0.0,4.117534225920815,3.620590440033819,3.691582409446244,4.259518164745667,55.00084902962843,6.15263734907707,0.9322177801631932,1.3051048922284705,6.805189795191303,60.12804682052595,0.0,0.0,0.0
46,2.325,0.5840140806212263,0.8385116189803108,0.7321015150487993,0.1294695242560105,0.12299604804321,0.1747838577456142,0.0,0.1035756194048084,0.0971021431920079,0.0971021431920079,0.0,3.4212321784650817,3.4438893452098838,3.0134031770586467,3.7157753461475065,39.18316685229819,8.568528514397784,1.071066064299724,1.785110107166206,8.657784019756095,36.505501691548886,0.0892555053583103,0.0892555053583103,0.0
47,2.375,0.6234337469334188,0.4690942212050659,0.5139641032333764,0.1985212123146676,0.0806492425028337,0.1612984850056675,0.0,0.136483333466334,0.136483333466334,0.1550946971208341,0.0651397727907503,2.649017426823843,2.605590911630011,2.627304169226928,2.5838776540330937,25.490048463774425,11.461968101160304,1.4541302814904866,1.5396673568722798,9.066929990470086,22.49625082541166,0.0,0.1710741507635866,0.0
48,2.4250000000000003,1.001445835844374,0.4303871779079422,0.3286592994933377,0.1368639824891669,0.1428145904234785,0.166617022160725,0.0,0.1487651983577901,0.1071109428176089,0.0892591190146741,0.0416542555401812,1.9160957548483384,1.7494787326876136,2.4992553324108764,1.999404265928701,17.968131139832746,11.486476527746955,2.1332027837244354,2.3793415664618704,11.568522788659433,15.506743312458395,0.0820462609124782,0.0820462609124782,0.0
49,2.475,1.0120439330785578,0.3004902056117385,0.3155147158923254,0.1085397039390972,0.1199649359326864,0.1199649359326864,0.0,0.125677551929481,0.1313901679262756,0.1085397039390972,0.0,1.5795383231137046,1.7394915710239538,1.7794798830015153,1.5995324791024854,7.955250549475624,11.735963681899674,1.9691214231375287,1.5752971385100236,11.42090425419768,10.160666543389665,0.0787648569255011,0.0787648569255011,0.0
50,2.5250000000000004,0.8790953591016878,0.2417927960352839,0.198486623611054,0.1481927702517055,0.142704149131272,0.1152610435291043,0.0,0.1372155280108385,0.142704149131272,0.0823293168065031,0.0,1.3831325223492528,1.2870816527416662,1.4215528701922873,1.3447121745062174,5.600056761363556,12.335260163544069,2.875704823402906,2.043263953470486,11.42714285089051,5.751409646805814,0.0756764427211291,0.3027057708845165,0.0
51,2.575,0.8371262590786545,0.2290241785469157,0.2394343684808663,0.0738856557363476,0.1372162177960741,0.0949958430895898,0.0052775468383105,0.1055509367662109,0.1372162177960741,0.1583264051493163,0.0,1.108284836045216,1.3114703893201722,1.0713420081770422,1.108284836045216,3.201711748575065,11.860886704948545,1.891920578703448,2.182985283119362,11.642588176636604,2.8378808680551706,0.2182985283119363,0.1455323522079575,0.0
52,2.625,0.7848346282070924,0.17029580144825,0.1435827345544068,0.1320388735038533,0.1015683642337332,0.0914115278103599,0.0,0.1168036188687932,0.1269604552921666,0.0863331095986733,0.0177744637409033,1.315310316826847,1.1197912156769103,1.1197912156769103,0.9242721145269736,2.660783360001892,11.76346327579784,2.870845204212567,1.9605772126329724,11.83348389053474,3.0108864336863523,0.3501030736844595,0.4201236884213513,0.0
53,2.6750000000000003,0.7393837059226902,0.1704202363703129,0.1254035701592869,0.0586842066273721,0.0978070110456202,0.0880263099410581,0.0,0.0978070110456201,0.1222587638070252,0.1075877121501822,0.034232453865967,1.0098573890460285,0.8900438005151436,0.7531139850512754,1.1125547506439295,1.3485512129017334,9.844423854182644,2.1576819406427727,1.8205441374173392,11.530112870309804,2.225109501287859,0.0674275606450866,0.4719929245156065,0.0
54,2.725,0.740029867132734,0.1084497005818878,0.1301396406982654,0.0754006332711247,0.1225260290655777,0.0895382520094606,0.0094250791588905,0.0659755541122341,0.0989633311683512,0.1225260290655777,0.032987777056117,0.6762494296504,0.8411883149309857,0.8082005378748685,0.6762494296504,1.2345425655849878,12.150497882336444,1.6893740371162993,1.6243981126118263,10.136244222697783,1.6893740371162993,0.3898555470268381,0.194927773513419,0.0
55,2.7750000000000004,0.8363588352276559,0.1464076825710727,0.1314681231250448,0.0863408033390654,0.0727080449171077,0.0817965505317462,0.0045442528073192,0.0908850561463846,0.05907528649515,0.0908850561463846,0.0954293089537039,0.8747686654089524,0.7793393564552488,0.699814932327162,0.7475295868040139,0.6892116757767504,11.152698026205604,2.1302906342190475,1.8796682066638648,10.58879756420644,0.8771784964431367,0.5012448551103639,0.5012448551103639,0.0
56,2.825,0.8943027254152766,0.1326218558353176,0.0951417661427278,0.0613875078515316,0.0701571518303218,0.0482330418833462,0.0,0.0745419738197169,0.0526178638727413,0.0745419738197169,0.0613875078515316,0.7673438481441454,0.7519969711812624,1.012893879550271,0.8440782329585599,0.6045739409620539,10.217299602258713,1.6928070346937514,1.813721822886162,11.728734454663854,0.5441165468658484,0.5441165468658484,0.604573940962054,0.0
