,r ($\AA$),g_full(r),O (DOL),O (DOL),O (HME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
46,2.325,0.7319097454456068,0.6930855792283498,0.621241342357119,0.3025327297052257,0.0,2.7220188423990708,2.699522818908169,2.654530771926366,2.901987030326282,31.726210098986417,8.153104271247898,1.4179311776083312,2.481379560814579,8.684828462851023,33.14414127659476,0.0,0.0,0.0
47,2.375,0.6544965033340138,0.4536077032264041,0.4293072905535611,0.2372146867185996,0.0,2.004970971760881,2.306794558907682,2.306794558907681,2.479265180134423,23.10061047946064,10.106517084764024,1.613645584962325,2.462932734942497,9.08737250478782,21.57189360949633,0.0849287149980171,0.0849287149980171,0.0
48,2.4250000000000003,0.702412759598619,0.3185522284578651,0.3263217950056178,0.1264076814508998,0.0,1.6749990159024613,1.7163570162951154,1.7783940168840944,1.7163570162951147,14.907679232442792,10.42722918990534,2.036568201153386,1.873642745061114,10.264303733813067,13.19696194347394,0.0,0.0814627280461354,0.0
49,2.475,0.8396685776469667,0.2424118503119948,0.1976588933313189,0.0889915121569764,0.0,1.2903769262761586,1.5683042642433298,1.032301541020927,1.2705249735642177,7.273033584465613,11.965313316378914,1.7205025683682111,2.893572501346535,10.635834059003477,7.351238246664168,0.15640932439711,0.0,0.0
50,2.5250000000000004,0.9878729349058484,0.2078244808126068,0.2042413001089411,0.101047942351649,0.019073546514897,1.392368895587485,1.5449572677066612,1.182559883923617,0.8773831396852644,4.207739958437902,12.097252380508964,1.35248784378361,2.3292846198495503,12.698358088857235,4.3580163855249685,0.1502764270870677,0.0751382135435338,0.0
51,2.575,1.0671932578182404,0.1929414693439441,0.1550422521513837,0.0597919824388756,0.0,0.9903622014346842,1.2104426906423915,0.8436418752962125,1.1187424868058469,2.6009512360910896,11.993275144197822,2.167459363409241,1.7339674907273928,12.788010244114536,2.6009512360910896,0.1444972908939494,0.2167459363409241,0.0
52,2.625,1.0418509281146453,0.152507693304185,0.152507693304185,0.0431519655580602,0.0176480474525912,0.7765140879140173,0.8471062777243825,0.9529945624399304,0.917698467534748,1.320929612360621,13.209296123606205,2.502814002367494,2.15520094648312,11.957889122422456,1.9466331129524943,0.2085678335306244,0.347613055884374,0.0
53,2.6750000000000003,0.9594220724505492,0.1149338488756081,0.1181264557888195,0.062330896098684,0.0849724609208556,0.713768671735187,0.866719101392727,0.6118017186301602,0.7817466404718715,1.272011990754627,10.778627921657616,2.4770759819958514,2.343179982969049,11.782847914358635,0.8033759941608168,0.334739997567007,0.0669479995134013,0.0
54,2.725,0.8969680645472746,0.1107549052064693,0.0830661789048519,0.0200215241386825,0.0,0.7041929400264315,0.8843353200331935,0.6550632000245875,0.7533226800282758,0.7096518000266363,13.160815200493984,2.516038200094436,2.128955400079908,12.90276000048431,0.6451380000242148,0.3870828000145289,0.1290276000048429,0.0
55,2.7750000000000004,0.8765146002088428,0.1067998009192562,0.0889998340993802,0.0257420627781697,0.063167061740278,0.6948376791430587,0.7422129754482671,0.7106294445781284,0.6158788519677113,0.4354698953307049,11.07337733840935,2.3017694467480108,1.6796695962755757,10.451277487936917,0.7465198205669226,0.4976798803779484,0.4976798803779484,0.0
