,r ($\AA$),g_full(r),O (DOL),O (DOL),O (NMA),N (NMA),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
44,2.225,1.223317406956404,0.7387213828616361,0.6879342877898988,1.494421442668076,0.0,0.0,0.5406872275329587,0.6389939961753148,0.5652639196935477,0.6389939961753148,42.79323428931653,2.614066347989926,0.19363454429555,0.096817272147775,1.1618072657733,36.69374614400672,0.0,0.0,0.0
45,2.275,0.934667940394615,0.4769605573204256,0.4416301456670605,0.8034534501719626,0.0,0.0,0.3526246855403143,0.1410498742161257,0.4936745597564402,0.5171828721257944,28.70863601469626,3.148689111289272,0.2778255098196416,0.7408680261857108,1.7595615621910636,27.319508465598062,0.0,0.0,0.0
46,2.325,0.658051263952186,0.2325621487753907,0.2071917325453481,0.4577859728562857,0.0,0.0,0.2025730157444944,0.1350486771629963,0.2700973543259926,0.4276541443494882,19.595699469156,2.482713054915689,0.7980149105086143,1.1526882040679984,2.394044731525843,13.6549218020363,0.0,0.0,0.0
47,2.375,0.6003332552007188,0.1864032831998126,0.2228734907823846,0.1899588016451385,0.0,0.0,0.3019857872307331,0.1078520668681189,0.3019857872307331,0.1941337203626141,12.491230289998503,3.313999872856749,1.3595896914284096,0.594820489999929,3.144051161428197,9.772050907141695,0.0,0.0,0.0
48,2.4250000000000003,0.674049685956063,0.1477010963866349,0.1515879673441779,0.1518387332124064,0.0,0.0,0.1862110178736764,0.0620703392912255,0.1862110178736764,0.1034505654853758,7.1725725403193845,5.297922899099548,1.630130122799862,0.5705455429799517,3.260260245599723,6.031481454359483,0.0,0.0,0.0
49,2.475,0.744221130125793,0.1082111008126856,0.1194053526208945,0.0499769177501969,0.0,0.0198626211571295,0.0595878634713887,0.0595878634713887,0.0993131057856478,0.0595878634713887,3.5993477127162072,5.320774879667439,1.4084404093237337,1.0172069622893631,3.051620886868088,2.9733741974612133,0.0,0.0,0.0
50,2.5250000000000004,0.7645134609091024,0.0788723387325035,0.1039680828746637,0.0400144123188361,0.0040014412318836,0.0,0.1526703731549439,0.1145027798662079,0.0954189832218399,0.0190837966443679,2.18017919240204,3.6837510492310304,1.4283932639875434,1.052500299780295,3.082322306499436,2.8567865279750864,0.0,0.0751785928414496,0.0
51,2.575,0.7915252302428741,0.048261289036488,0.0310251143805994,0.0230853539262095,0.0,0.0,0.1834989671057678,0.1284492769740375,0.0733995868423071,0.0733995868423071,1.228887022132566,5.855285223102228,2.0963366848143785,1.3011744940227172,5.06012303231057,1.5903243815833212,0.1445749437803019,0.0722874718901509,0.024341699718112
52,2.625,0.8040660537398037,0.0630261601886856,0.0630261601886856,0.0370238564096523,0.0,0.0,0.1059451891106974,0.0529725945553487,0.0,0.0353150630368991,0.6260397538359392,5.425677866578137,1.2520795076718785,0.9738396170781276,4.4518382495000095,0.90427964442969,0.1391199452968753,0.0695599726484376,0.0234232560959024
53,2.6750000000000003,0.7829111095549314,0.0351375488320941,0.0287489035898951,0.0178263810790389,0.0,0.0,0.0,0.0510108750877114,0.1020217501754229,0.0850181251461857,0.7368237512669433,4.75586239454118,1.5406314799217906,0.6698397738790394,3.885070688498428,0.3349198869395197,0.0,0.2009519321637118,0.0225558291204166
54,2.725,0.7681587515889688,0.0246254277610873,0.0584853909325823,0.0103069330709712,0.0034356443569904,0.0,0.0655415231179708,0.0819269038974635,0.0655415231179708,0.0655415231179708,0.516387757899164,5.163877578991639,1.355517864485306,0.7100331671113507,3.16287501713238,0.129096939474791,0.0645484697373955,0.0,0.0434714183945724
55,2.7750000000000004,0.7924862188083767,0.02671429879087,0.0207777879484544,0.0132518242030695,0.0033129560507673,0.0,0.0632010077377164,0.0948015116065747,0.0158002519344291,0.0474007558032873,0.5601907504024869,3.734605002683249,1.6183288344960731,0.6846775838252617,4.481526003219898,0.3734605002683245,0.1244868334227748,0.3734605002683245,0.0209595178722018
56,2.825,0.8266620492902393,0.0343694037974912,0.0372335207806154,0.0127868964665935,0.0031967241166483,0.0,0.0914754901071689,0.0762295750893074,0.0914754901071689,0.0152459150178614,0.3603579913312715,4.32429589597526,1.021014308771936,0.4204176565531501,4.264236230753381,0.0,0.1201193304437571,0.1801789956656357,0.0606725189486324
57,2.875,0.8454527095074865,0.0387150999963036,0.0248882785690523,0.0061730067275212,0.0092595100912818,0.0147202468117813,0.0441607404353441,0.0294404936235627,0.0441607404353441,0.0736012340589069,0.115977702153429,5.27698544798102,0.9278216172274324,0.6378773618438597,3.8272641710631583,0.115977702153429,0.1739665532301435,0.231955404306858,0.0
58,2.9250000000000003,0.8633610909422302,0.0374028515499499,0.0454177483106534,0.0119275452868964,0.0119275452868964,0.014221303995915,0.014221303995915,0.042663911987745,0.05688521598366,0.05688521598366,0.0560233187717864,3.80958567648148,1.120466375435729,0.5602331877178642,4.201748907883985,0.1120466375435728,0.5042098689460778,0.3361399126307186,0.0377299901932439
59,2.975,0.8851718607446282,0.049069138367408,0.0516517245972716,0.0086474984083819,0.0172949968167638,0.0,0.1237257464583876,0.1237257464583876,0.0412419154861292,0.0687365258102153,0.1624681519150545,4.603264304259876,0.9748089114903268,0.6498726076602178,4.00754774723801,0.0,0.3790923544684604,0.4332484051068119,0.0182362211333224
60,3.0250000000000004,0.9150606937099436,0.0374687847382494,0.0574521365986491,0.0111519995866101,0.0696999974163134,0.0265932297834549,0.0531864595669099,0.0797796893503649,0.0398898446751824,0.0664830744586374,0.1047612082378529,4.557112558346606,0.942850874140676,0.4190448329514116,4.8190155789412366,0.0,0.1571418123567793,0.2619030205946322,0.0705534667724315
61,3.075,0.957837070705049,0.0531816571465924,0.0531816571465924,0.0107922893681648,0.080942170261236,0.0128677296312734,0.0,0.0772063777876405,0.0900741074189139,0.1029418370501873,0.0,5.119796668443031,0.7603658418479747,0.7603658418479747,3.852520265363072,0.0506910561231983,0.1520731683695949,0.3041463367391899,0.0512083117979248
62,3.125,1.0041403252684389,0.0795808553469543,0.0655371749916094,0.0130621328036272,0.2142189779794867,0.0124592651357675,0.1121333862219076,0.0996741210861401,0.0622963256788375,0.0373777954073025,0.0490819535651447,3.4848187031252804,1.423376653389198,0.8343932106074606,3.2884908888647013,0.0490819535651447,0.2944917213908684,0.4417375820863027,0.0330551932173423
