,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DTFEG),O (DTFEG),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
76,3.825,0.9231553212705852,1.2477182210946014,1.2137456952727186,0.0037363299219235,0.0224179795315411,3.8222655101277754,1.7508442014133676,1.9810021246038556,1.775503978898063,1.619325388161658,0.0647630519800078,3.9829276967704814,3.7886385408304566,3.432441754940416,3.432441754940415,0.0647630519800078,0.4533413638600549,0.9714457797001173,0.8068947598733625
77,3.875,0.9224645975680006,1.4519514467049357,1.4685021885844731,0.0145621276295491,0.0218431914443236,4.140740991462295,2.058356740436769,1.7780357835679477,2.0263200596517605,1.6258615498391584,0.0946538295920692,3.1866789295996707,3.596845524498638,4.290973608173814,3.0920251000076004,0.0631025530613795,0.8203331897979338,0.8203331897979338,1.2430559049489092
78,3.925,0.9373622488744888,1.7788929967787346,1.7436964329512905,0.0070967430561163,0.0283869722244653,4.285723131588663,1.8267016626443475,2.2092161133690182,1.8969594188998984,1.8423144973678036,0.0922576597295124,2.767729791885373,3.5980487294509844,4.12084213458489,2.367946599724151,0.0307525532431708,0.5842985116202454,1.045586810267807,1.5015404823323706
79,3.975,0.9580406616579588,2.153372682677174,2.060431630635993,0.0207580015102193,0.0207580015102193,5.175661709881352,2.1996562266995747,2.055042149511713,2.0778759511729548,1.9789294773075743,0.2098864597144397,2.21879971698122,3.897891394696738,3.9278751746559433,2.128848377103603,0.1199351198368227,0.8095620588985533,0.8095620588985533,2.1303781617954023
80,4.025,0.9624799940037648,2.2759201446685444,2.3205460298581237,0.0404909692541812,0.0303682269406359,5.5675082724499125,2.2715433751595646,2.204733275890163,2.36062350751876,2.137923176620765,0.0584869555893728,1.930069534449303,3.7139216799251735,3.918626024487979,1.9593130122439892,0.0877304333840592,0.994278245019338,1.2282260673768297,2.776936779156652
81,4.075,0.9608910642917812,2.0421810276099754,2.0761947022870224,0.0131678113994502,0.0329195284986256,5.938682941152072,2.513076805585084,2.6217112496305486,2.737587989945711,2.4261692503487127,0.0855907740964267,1.1982708373499755,3.68040328614635,3.965705866467775,1.3409221275106868,0.0855907740964267,1.0841498052214065,1.0556195471892642,3.3913160797594397
82,4.125,0.9578251434970608,1.787170785366024,1.7300769192659196,0.0481894885444033,0.0385515908355226,6.346876904554877,2.5019982452254204,2.74937095308669,2.869523411190736,2.51613382853178,0.111371262413732,0.835284468102991,3.675251659653157,4.148579524911517,0.8909700993098569,0.139214078017165,1.0858698085338885,0.8631272837064239,3.947145277331574
83,4.175,0.9604859055814176,1.4037330523470326,1.3155946889494348,0.0282253047737678,0.034497594723494,6.809825198417729,3.3048695745107297,2.746008539990127,2.7805061347136206,2.8012046915477167,0.2174393849238413,0.8697575396953657,3.941088851744623,4.348787698476825,0.462058692963163,0.163079538692881,1.1143768477346874,1.195916617081128,4.319943698435912
84,4.2250000000000005,0.9626796458071414,0.9517734045240348,0.9707582463695936,0.0581847786912383,0.0336859245054537,7.195313474364929,2.890252322567933,2.917201062172296,2.742034254743936,2.7285598849417547,0.0796212761037998,0.5308085073586655,4.5649531632845255,4.697655290124194,0.3981063805189991,0.0265404253679332,1.1943191415569985,1.4066425445004649,4.40598143174395
85,4.275,0.9730828366052502,0.7108285710482614,0.7170096890573764,0.0717874181086623,0.0538405635814967,7.501785192355214,2.8427817571030265,2.724332517223733,2.658527383957461,2.632205330650952,0.1555394059021017,0.3370020461212204,4.8476448172821645,3.7588689759674536,0.2592323431701696,0.2333091088531526,1.6072405276550494,0.8813899667785763,3.4829716964506305
