,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DMF),N (DMF),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
54,2.725,0.775807040333255,0.0537878734527457,0.091755784125272,0.0488101272021544,0.0,0.0,0.2021061091183711,0.1178952303190498,0.1347374060789141,0.1347374060789141,0.331739825573084,6.502100581232445,1.1942633720631028,1.6586991278654206,5.971316860315511,0.1990438953438504,0.0663479651146168,0.0,0.0
55,2.7750000000000004,0.7784577948689614,0.0671221110996592,0.0640711060496747,0.0403432260112601,0.0,0.0162407345737637,0.162407345737637,0.1948888148851645,0.0649629382950548,0.0649629382950548,0.5118292108095229,5.886035924309519,0.8957011189166652,1.5994662837797595,6.461843786470233,0.2559146054047614,0.0639786513511903,0.1279573027023807,0.0
56,2.825,0.7933835543427741,0.0677111586445502,0.0500473781285806,0.035683836859756,0.0,0.0,0.0783547186990448,0.2507350998369434,0.0940256624388537,0.2193932123573254,0.4321381455523077,5.679529912973183,0.9260103118978024,0.8642762911046156,7.408082495182413,0.3086701039659341,0.2469360831727473,0.0617340207931868,0.0
57,2.875,0.8010590705983882,0.0511642381292795,0.0682189841723726,0.0156606744450908,0.0,0.0,0.1210449667879023,0.1664368293333657,0.2269593127273169,0.1210449667879023,0.3576328564188024,6.020153083049842,0.9536876171168064,0.8940821410470063,5.126070942002835,0.4172383324886028,0.1788164282094012,0.298027380349002,0.0
58,2.9250000000000003,0.8152413076610822,0.0466839135421658,0.0576683637873813,0.0030259711662775,0.0,0.0438533052097449,0.1169421472259864,0.1461776840324831,0.1315599156292348,0.190030989242228,0.0575851482552206,6.1040257150533845,0.92136237208353,1.266873261614854,6.910217790626474,0.1151702965104412,0.4030960377865444,0.4030960377865444,0.0
59,2.975,0.8394290700390913,0.0345095932275482,0.0530916818885357,0.0204758047028715,0.002925114957553,0.0423916660002307,0.1836972193343334,0.2402194406679744,0.0847833320004615,0.0847833320004615,0.0,7.737549541658288,0.8906531846513137,1.001984832732728,6.011908996396365,0.0556658240407071,0.2226632961628284,0.3896607682849498,0.0187446142177891
60,3.0250000000000004,0.8772306740960135,0.1001347025780319,0.0693240248617143,0.0113168731314711,0.0084876548486033,0.0410019018840225,0.1503403069080825,0.16400760753609,0.1503403069080825,0.1913422087921051,0.0538408812618477,7.106996326563898,1.0229767439751078,0.4307270500947822,5.007201957351837,0.1076817625236955,0.1615226437855433,0.215363525047391,0.0
61,3.075,0.9203705486316016,0.074542181193902,0.0670879630745118,0.021903689760586,0.010951844880293,0.0661322940848464,0.1322645881696928,0.0925852117187849,0.1322645881696928,0.1983968822545392,0.0521042317032123,5.731465487353353,1.4068142559867327,1.042084634064247,4.845693548398741,0.0,0.4168338536256986,0.4689380853289109,0.0
62,3.125,0.9577630755834462,0.0962346195644914,0.0793935611407054,0.0318125907987076,0.0371146892651589,0.0640330353256039,0.1664858918465701,0.2177123201070533,0.2561321413024157,0.0896462494558454,0.0,6.154932971297446,0.7063037835915098,1.2108064861568737,5.650430268732082,0.0504502702565364,0.5045027025653642,0.252251351282682,0.0
63,3.1750000000000003,0.9559172506966244,0.0839047826741049,0.1095423551578592,0.0333867403103435,0.0462277942758603,0.0372193010323593,0.1116579030970781,0.2481286735490624,0.19850293883925,0.2357222398716093,0.0977476592769034,6.988957638298587,1.4173410595150993,1.3684672298766478,7.233326786490844,0.0,0.5864859556614205,0.2932429778307102,0.082287570309638
64,3.225,0.912409878768602,0.1400568011656298,0.1332798591737445,0.0149351715235179,0.0821434433793487,0.0721483670520713,0.2284698289982259,0.2404945568402378,0.2645440125242616,0.2765687403662735,0.0473701399836832,6.489709177764599,1.278993779559447,0.9000326596899813,5.637046658058297,0.0,0.3315909798857824,0.2842208399020992,0.0159511695863423
65,3.2750000000000004,0.8777240566048891,0.1577183056497004,0.1423845814893129,0.0241377095518384,0.1834465925939722,0.0583018523021328,0.2798488910502376,0.2215470387481047,0.2098866682876782,0.3031696319710907,0.0,6.47680577392785,1.3321089889638842,1.3321089889638842,5.512175126747107,0.0918695854457851,0.5052827199518181,0.5512175126747106,0.0309356767317439
