,r ($\AA$),g_full(r),O (DOL),O (DOL),O (EiPS),O (EiPS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
58,2.9250000000000003,0.9785894042423792,0.0326034832759454,0.0108678277586484,0.0680151907789317,0.0534405070405892,0.0144625707865091,0.1880134202246185,0.1012379955055638,0.1735508494381094,0.1157005662920729,0.3988163459310089,6.836851644531577,0.8546064555664477,0.6267114007487283,5.298560024511972,0.2278950548177193,0.0569737637044298,0.1139475274088596,0.0
59,2.975,1.0108519507731777,0.0420224037653869,0.0236376021180301,0.0751408356735085,0.0892297423622913,0.027961060966969,0.1537858353183296,0.1537858353183296,0.1398053048348451,0.2236884877357523,0.3304489023369067,6.829277314962744,0.7710474387861157,0.7159726217299646,4.956733535053604,0.1652244511684533,0.3304489023369067,0.1652244511684533,0.0
60,3.0250000000000004,1.0533446543700824,0.0533462284755241,0.035564152317016,0.1453548521424886,0.1271854956246776,0.0405665825330359,0.2298773010205367,0.1757885243098222,0.256921689375894,0.1757885243098222,0.2130769991634209,5.273655729294672,1.0653849958171044,0.479423248117697,4.847501730967831,0.0532692497908552,0.1598077493725656,0.0532692497908552,0.0
61,3.075,1.0746475882440345,0.0590006103453126,0.0516255340521485,0.1758329989619138,0.1318747492214353,0.065430164036789,0.2355485905324406,0.1962904921103671,0.2355485905324406,0.1701184264956515,0.0515510383320156,5.206654871533582,0.9794697283082966,0.7732655749802343,4.433389296553346,0.0515510383320156,0.1031020766640312,0.0515510383320156,0.0347180462236023
62,3.125,1.05297016590933,0.0690293463679338,0.0476064457709888,0.2128143441442139,0.259633499855941,0.0506825545746528,0.2154008569422744,0.1773889410112848,0.190059579654948,0.253412772873264,0.0499146370810974,5.939841812650595,0.8984634674597546,0.2994878224865848,5.09129298227194,0.0,0.3494024595676822,0.0998292741621949,0.0
63,3.1750000000000003,0.9878248964727528,0.0899317912772527,0.0784020744468357,0.2845069349967712,0.2968768017357613,0.0490988556716835,0.2454942783584179,0.2577689922763388,0.1595712809329716,0.1472965670150507,0.096709867232104,5.319042697765715,1.2088733404013006,0.7253240042407803,6.141076569238599,0.096709867232104,0.096709867232104,0.145064800848156,0.0162827837686705
64,3.225,0.8992436738019227,0.0983398656821153,0.0759898962089073,0.3676714357990484,0.4276178655488931,0.0594853033671536,0.2022500314483225,0.2498382741420454,0.2022500314483225,0.3212206381826299,0.046867208713515,4.967924123632592,1.3591490526919356,0.8904769655567856,4.827322497492047,0.09373441742703,0.2343360435675751,0.2343360435675751,0.0631272607161631
65,3.2750000000000004,0.8168391275497706,0.0996946513384744,0.0823564511056962,0.5464221166384468,0.5192947775145522,0.0922925735467883,0.2538045772536678,0.3114874357204104,0.2768777206403648,0.2422680055603192,0.0,4.7719455640669,0.99983621342354,0.7271536097625746,4.908286865897384,0.0,0.2726826036609655,0.1363413018304827,0.0306072310231695
66,3.325,0.7687224657550628,0.1051292564238749,0.1261551077086499,0.7556919139281442,0.7218549625582271,0.1231144461382362,0.302190004157489,0.2238444475240659,0.3357666712860988,0.3133822265336923,0.0440905729971644,4.9381441756824165,1.0581737519319478,0.6613585949574674,4.982234748679583,0.0440905729971644,0.3527245839773159,0.2204528649858224,0.059387302404344
67,3.375,0.7598906306927213,0.1550969174308897,0.126526432640989,0.8757818593404784,0.8684836771793081,0.206398205504184,0.3367549668752476,0.2281243323993613,0.2824396496373044,0.2063982055041841,0.1283816589260475,4.151006971942206,1.326610475569157,1.1554349303344271,3.6374803362380153,0.0,0.1283816589260475,0.427938863086825,0.0720509310299246
68,3.4250000000000003,0.7820465266822004,0.130785664230143,0.1486200729887989,1.080714990698222,1.0629983515064476,0.2109642882220488,0.3691875043885854,0.3797357187996878,0.3058982179219709,0.2109642882220488,0.0415535719225247,4.5293393395552055,1.4959285892108922,1.080392869985644,4.612446483400254,0.1662142876900991,0.3739821473027229,0.2908750034576734,0.083955175925101
69,3.475,0.8176753817695191,0.1905737832483321,0.1597739798950664,1.4904279518021888,1.373396657665297,0.215184010735413,0.4406148791248935,0.2766651566598168,0.3483931602382878,0.3586400178923552,0.0807328178805301,3.9962744850862384,1.049526632446892,0.8880609966858318,4.077007302966771,0.0807328178805301,0.2825648625818555,0.0807328178805301,0.203891555361543
70,3.5250000000000004,0.8481369444980364,0.2113965964485771,0.2244919608303475,1.8097223161063491,1.679261742486853,0.229039362088193,0.4779951904449246,0.2887887608938086,0.3385799265651549,0.4381622579078476,0.0784588065124245,3.6483345028277383,1.0199644846615197,1.4907173237360662,4.1190873419022855,0.1176882097686368,0.156917613024849,0.2746058227934859,0.1717287142542354
