,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.2481288381642957,0.0261288593623663,0.0087096197874554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.5379236877308287,0.4508592755730771,0.5492285720617485,0.1393277404067613,0.0,0.0436356110065131,0.0,0.0436356110065131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.967404057674492,4.003698315636856,4.05780234692925,1.219849286983308,0.0,0.5348569950619122,0.2879999204179527,0.534856995061912,0.4937141492879188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,1.0664151597158738,12.453567678285513,12.94995841809994,3.190424693048768,0.0,3.341765351565184,3.7692004546723568,3.691484981380144,3.38062308821129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.7502157515413572,21.58620321309766,21.86241822542137,5.818057335019086,0.0,12.35063556642493,14.18852776380959,13.931222856175726,12.828487537744936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.3568767150479691,23.623236553538234,24.755006125336116,5.654876737684804,0.0,25.28199105000783,24.689988504759725,25.316814729140084,24.86410690042093,0.4115525715628624,0.0,0.0,0.0,0.0,0.2743683810419083,0.0,0.0,0.0
38,1.925,0.306772600961841,19.83011207895124,20.531458765937607,4.822425411155545,0.0330382510139262,32.311409491619834,32.84002150784265,31.81583572641092,31.68368272235521,2.472863030436294,0.0,0.0,0.0,0.0,1.822109601374112,0.0,0.0,0.0
39,1.975,0.6093817612385855,14.799822819307924,14.711377663017236,2.8919807548390866,0.0,30.256770471610437,31.07282444698581,31.292531286509945,28.907142743104988,17.062946757848948,0.0,0.0,0.0,0.0,16.568368590954776,0.0,0.0,0.0
40,2.025,1.1069365232563353,9.933141723941574,9.776096004985977,1.9065901318819989,0.0,26.00452754877624,23.645907943318925,24.24302683077647,24.24302683077647,54.33781875863696,0.0,0.0,0.0,0.0,58.57193450606316,0.0,0.0,0.0
41,2.075,1.5989413256482083,6.201763404022497,5.827841407225276,1.0894906180365374,0.0,17.572525874979423,17.51565685920279,20.13163158492788,17.970608985415847,92.74819482116229,0.5600736402244102,0.0,0.0,0.3360441841346461,101.26131415257336,0.0,0.0,0.0
42,2.125,1.906502393064697,3.662108228738686,3.728321590315324,0.6554497298744358,0.0,13.095200662680035,12.525844112128729,12.742741845672075,12.22760972850661,122.29252893154668,0.9612513191125944,0.0,0.4272228084944865,1.2816684254834592,116.63182671899476,0.1068057021236216,0.0,0.0
43,2.1750000000000003,1.8807269854450823,2.401759352225557,2.5524770443692666,0.306928434301032,0.0,9.627382427395094,7.945178508629822,9.239181523064648,8.255739232094179,106.94738853241026,1.5292762897866097,0.1019517526524406,0.8156140212195252,2.7526973216158983,109.29227884341634,0.0,0.0,0.0
44,2.225,1.5363659949884798,1.514535590759386,1.5005981466726426,0.2594483743679517,0.049460057989877,6.034127074765006,6.231967306724516,6.405077509689082,6.850218031597978,85.73076718245359,4.773644990841168,0.8767919370932755,0.7793706107495781,4.189117032778984,80.66485821258134,0.0974213263436972,0.0,0.0
45,2.275,1.0607145267929234,1.0043112919106243,0.990979726088802,0.1078999245462119,0.0,4.849271608932638,4.754651675099805,4.683686724725181,3.950382237520732,52.83663123347005,5.963923102190625,0.4659314923586424,1.3046081786041988,7.454903877738284,54.42079830748941,0.0,0.0,0.0
46,2.325,0.7668859103712886,0.6594915510250011,0.7658611560290335,0.1343018900514073,0.0,3.034904840865822,3.827603866465103,3.963495127996408,3.533172799813942,38.36526019999992,8.297602787441846,1.873652242325576,1.6059876362790653,10.438919635813932,35.77783567488365,0.0892215353488369,0.0,0.0
47,2.375,0.6957279579227638,0.5219235475882902,0.5219235475882902,0.0990052343561119,0.021704993685763,2.8433541728349545,2.452664286491219,2.7565341980919023,2.300729330690878,20.86310302158796,9.405497263830648,1.5390813704450137,2.479631096828077,9.148983702089804,18.12695836301904,0.0855045205802785,0.0,0.0
48,2.4250000000000003,0.7453379174312114,0.3246230925088632,0.4028455244387096,0.0284894331028704,0.0416384022272721,2.22765451915906,1.9778241057954264,2.1443777147045155,2.0402817091363348,11.97419506475191,10.990014648470934,2.132390901942121,2.296420971322284,12.056210099441984,13.36845065448329,0.1640300693801631,0.0,0.0
49,2.475,0.8657298579228501,0.3003758411802077,0.2740929550769397,0.0273500108021978,0.0399730927109046,1.858748811057063,1.9786680891897763,2.0186411819006818,1.6588833475025395,8.739571633611416,11.18035290065604,1.1810231937312727,1.495962712059612,11.967701696476894,8.818306513193502,0.5511441570745937,0.0787348795820848,0.0
50,2.5250000000000004,0.9926783345207992,0.227270874618497,0.2489157198202586,0.0,0.0192028626661782,1.5554318759604382,1.6706490519575077,1.5554318759604373,1.3057946613001208,5.068391934012505,12.406213092209711,1.8911910201539184,2.420724505797016,11.649736684148143,5.673573060461763,0.1512952816123135,0.1512952816123135,0.0
51,2.575,1.059496600029393,0.1664996462372031,0.1699683888671448,0.0168447010520679,0.0184643838455359,1.3663644045696628,1.2186493338053743,1.5140794753339502,1.5140794753339502,2.473108381735425,11.419941645072422,1.236554190867713,1.6002465999464517,12.220064945045644,2.254892936288181,0.2182154454472435,0.0727384818157478,0.0
52,2.625,1.0293279501632635,0.1435280879885348,0.1301766379430897,0.0162091288271017,0.0355353978132615,1.2259712245575245,0.9772234398646932,1.510254407063616,1.1371327300243697,1.8198431001336968,13.998793077951538,2.589776719421031,1.679855169354182,13.858805147172022,1.9598310309132123,0.2099818961692727,0.2799758615590303,0.0
53,2.6750000000000003,0.9372765112941364,0.1992836469779518,0.1285700948244851,0.0,0.0171097126189507,1.3174478716592064,1.026582757137044,1.0265827571370438,1.146350745469699,1.2132341675255964,11.862734082472494,1.954655047680128,3.1004873170098555,13.008566351802232,1.14583226932973,0.3370094909793323,0.3370094909793323,0.0
54,2.725,0.8632819523561162,0.092921507484389,0.1300901104781446,0.0150413293986426,0.0659504442863561,0.7584301092930955,1.0222318864385196,1.1211575528680535,1.0057442753669312,0.7144631464355247,11.301507952707391,1.8835846587845648,1.8835846587845653,12.925287830969957,0.4546583659135157,0.7144631464355247,0.1948535853915067,0.0
55,2.7750000000000004,0.8398462212811579,0.1194709884490698,0.1254445378715233,0.0,0.0317976630795216,0.9539298923856508,0.8585369031470854,1.12881703932302,0.906233397766368,0.8768446485565067,10.960558106956334,2.6931657062806997,1.6284257758906555,12.776879164680528,0.6889493667229695,0.5010540848894323,0.3131588030558951,0.0
56,2.825,0.8361587053017909,0.1354533674431428,0.0979875424056778,0.0069976655670515,0.092046216305062,0.8590980188472455,0.6903466222879652,0.9818263072539948,1.0431904514573695,0.362606306656305,11.119926737460014,2.236072224380546,2.296506608823264,12.268180041871652,0.0604343844427175,0.48347507554174,0.4230406910990225,0.0
57,2.875,0.8398813095457649,0.0834785314238724,0.1113047085651632,0.0,0.1184967051186046,0.8591011121098829,0.992409905368313,1.0368461697877898,0.8442890239700573,0.2917532512389885,14.47096126145384,2.6841299113986947,1.633818206938336,10.444766394355788,0.2917532512389885,1.1086623547081564,0.4668052019823817,0.0
58,2.9250000000000003,0.864887001586391,0.112908636843357,0.1290384421066937,0.00652738318259,0.1717203883419848,0.744121682815267,0.7441216828152671,0.9301521035190836,0.8729119740717555,0.3382371285523944,11.78192664457507,1.803931352279436,2.14216848083183,11.27457095174648,0.3382371285523944,0.3382371285523944,0.4509828380698592,0.0189826959901853
59,2.975,0.923969084691712,0.1273362649671285,0.1247375656820851,0.0063098242289475,0.2351622953019307,0.7193199621000234,0.6778207335173296,0.9683153335961852,0.5809892001577112,0.1634818095681872,11.770690288909496,1.8527938417727885,2.0707695878637047,11.87967816195495,0.1089878730454581,0.4904454287045616,0.5994333017500199,0.0
60,3.0250000000000004,0.9814481479127832,0.148296723547977,0.158350738703772,0.0,0.2006936102252934,0.7358765708260763,0.8696723109762718,0.6422195527209394,0.8295335889312133,0.0,10.699604795647456,1.7920520347389846,2.529955813749155,10.48877514450169,0.1054148255728814,0.7379037790101701,0.368951889505085,0.0177484145097198
61,3.075,1.004403727448909,0.1191890781894661,0.1581079608635775,0.0,0.2201162191241568,0.9063609022759388,0.712140708931095,0.7768807733793764,1.0746850698414707,0.0510073235047065,11.170603847530746,2.040292940188263,2.652380822244743,9.89542075991308,0.1530219705141197,0.5610805585517723,0.4590659115423592,0.0
62,3.125,0.9710470101806508,0.1577995223254464,0.1483786553209422,0.0057186315501025,0.3635729981661374,0.7522199962058017,0.8650529956366723,0.8901269955101991,1.015496994877833,0.0987763631381355,10.865399945194904,2.913902712574998,2.271856352177117,10.322129947935158,0.0987763631381355,0.4444936341216101,0.6914345419669491,0.0
63,3.1750000000000003,0.9012748792272608,0.1574319395176324,0.1711216733887309,0.0055399390870176,0.4979552940907767,0.7651508177492421,0.8380223242015509,0.9230390817292444,0.9230390817292442,0.0956898569575771,10.23881469446076,2.200866710024275,2.440091352418217,10.095279909024391,0.1435347854363657,0.4784492847878859,0.5262942132666745,0.0
64,3.225,0.8191728062927657,0.2321995381922013,0.2122967206328697,0.0053694930803342,0.7769243449314459,0.9064117357533537,0.9534980596885928,0.7886959259152558,0.9770412216562124,0.0463728947847051,10.294782642204549,2.782373687082313,2.5968821079434923,10.804884484836307,0.1391186843541155,0.741966316555283,0.8810850009093988,0.0
65,3.2750000000000004,0.7540665806338214,0.2401746509146137,0.2144416526023337,0.0104135876211098,0.9930957887131452,0.9588511063437262,0.7762128003734932,1.0159255769594242,0.9474362122205862,0.0899355294550393,9.802972710599285,2.7880014131062194,2.8329691778337405,8.903617416048888,0.0449677647275196,0.8543875298228737,0.9443230592779128,0.0
66,3.325,0.7284646770849755,0.2766943860071884,0.2808552038418829,0.0050513788449274,1.0741951397539902,0.86378578248259,0.86378578248259,1.1849369067389373,0.9413050193720532,0.0436255445698278,9.29224099337332,3.490043565586225,3.1410392090276025,8.506981191116422,0.1745021782793112,0.959761980536212,0.916136435966384,0.1028316407717369
67,3.375,0.7315336921885178,0.3028837344331669,0.3250952082915989,0.0098056394960351,1.644518885479278,1.0211064975198123,1.1285913919955826,1.13933988144316,1.0533519658625432,0.0,8.637876974234596,2.625237119620321,3.0063199273071417,9.273014987045965,0.1270276025622735,0.8891932179359148,0.7621656153736412,0.0712910014380106
68,3.4250000000000003,0.7533935162123696,0.4078257655850563,0.3568475448869245,0.0,1.8786530089228808,1.2211244557998724,1.210687494639189,1.4194267178528432,1.304620145085334,0.0822306030841664,8.839789831547906,3.001417012572077,3.864838344955827,8.469752117669152,0.0822306030841664,0.6578448246733316,1.1101131416362466,0.0415348454353697
69,3.475,0.7839626851090095,0.4780758444357215,0.4456962055695571,0.0046247079660238,2.9402470260913462,1.3788744674083546,1.2470702903766733,1.1051273304964015,1.2977642046196276,0.0798813194131399,7.06949676806289,3.714481352711009,3.754422012417579,7.908250621900864,0.0798813194131399,0.878694513544539,0.6390505553051193,0.1748422756542706
70,3.5250000000000004,0.8016289494450736,0.555310544694113,0.5460553689492111,0.0044944432389277,3.133318390338652,1.3794483479478363,1.202090703211686,1.5272463852279607,1.5173931827426197,0.0776312923087526,6.443397261626471,3.803933323128883,3.648670738511379,6.559844200089597,0.1552625846175053,1.048022446168161,0.8539442153962794,0.261411494509065
71,3.575,0.8202793055072036,0.638865404758979,0.7252472059658264,0.0087392114671255,3.678535780623921,1.4369280393062205,1.4560870798303025,1.379450917733971,1.743472687691546,0.0377375040625875,6.453113194702469,4.000175430634279,4.075650438759454,6.868225739390932,0.0,0.8679625934395143,1.1698626259402152,0.3812258063465479
72,3.625,0.8511406997191148,0.7841430482394551,0.8506551817954808,0.004249898099794,4.434932124754303,1.6584410046350115,1.788880184774844,1.565270161677988,1.7329776790006308,0.1101109962219365,5.4321424802822005,4.404439848877463,4.367736183470152,5.9826974613918855,0.1101109962219365,1.321331954663238,1.1378136276266768,0.3955007211236903
73,3.675,0.8936365581302534,0.9213318160416784,0.9230348323375042,0.0124051292285405,4.840863121260475,1.7858614885548951,1.767730915067028,1.649882187395893,1.9037102162260295,0.142846942631679,5.749589440925078,4.571102164213727,4.928219520792924,6.1424185331621945,0.0714234713158395,1.107063805395512,1.107063805395512,0.5050659757334361
74,3.725,0.9252280210083867,1.1636388892394058,1.1454052314308114,0.0040247818831092,5.100017843112212,1.8529476592622225,2.1617722691392585,2.135301588292656,2.08236022659945,0.2085568793974796,5.0748840653386695,3.5802264296567325,4.44921342714623,5.179162505037408,0.1390379195983197,1.1123033567865588,1.3208602361840378,0.6086455868130524
75,3.775,0.937588272083586,1.473569779672857,1.5123054584375322,0.0156754910556463,5.885091810266478,2.1993919758076146,2.2509402252406057,2.147843726374624,2.2251661005241106,0.0338448102337819,4.365980520157873,3.587549884780888,4.332135709924091,4.433670140625434,0.0,1.3537924093512783,1.2861027888837144,0.9573246323269754
76,3.825,0.9329930827993776,1.8125935654002765,1.6695354435863776,0.0114512689757337,5.916342159655034,2.410051685969802,2.1590046353479475,2.3933152159283444,2.3431058058039747,0.1318630972963275,3.9558929188898255,4.054790241862074,4.450379533751056,4.1207217905102365,0.0988973229722456,1.2526994243151108,1.483459844583684,1.187777032023807
77,3.875,0.9385670753352212,2.1000430867938262,2.0954478065163795,0.0037192209964843,6.5718635007879165,2.804864819194841,2.837479526394784,2.609176575995201,2.910862617594647,0.0642410899392758,4.079309211144017,4.593237930658224,4.143550301083293,3.2762955869030685,0.0963616349089137,1.3169423437551546,1.4454245236337064,1.7954729116701658
78,3.925,0.948567299814773,2.5470297718178974,2.490296400581626,0.0108752057882272,7.470429822220703,2.8292266135218846,2.8451211450585245,3.004066460424922,2.876910208131804,0.0939222318074169,3.506429987476895,4.101270788923868,4.915263464588148,2.755052133017561,0.0939222318074169,1.5340631195211425,1.3149112453038363,1.981950769160595
79,3.975,0.954589121591948,2.953535835714345,2.882208454763134,0.0106033399824353,7.593622710497926,3.479118976544461,3.3009013006858354,3.161426597839954,3.0839406518144656,0.1831485996966106,2.6251299289847534,4.426091159334759,4.395566392718658,2.289357496207633,0.2136733663127123,1.7093869305016998,1.7399116971178012,2.744425700555845
80,4.025,0.95393287778402,3.1773343484505387,3.024004540750514,0.0206830851712315,8.464154854688628,3.3629900985146697,3.476349315318538,3.529250283160342,3.5519221265211147,0.148855537217197,2.143519735927636,4.435895009072469,5.418341554705972,2.054206413597317,0.1786266446606364,1.4587842647285307,1.3992420498416516,3.288188438446818
81,4.075,0.9539249475031554,2.997345258711797,3.0375130094061764,0.0201786449949271,9.1498513526036,3.5316509249775376,3.5685157571798087,3.819196616155249,3.9887748442856927,0.2323601544870398,1.65556610072016,4.531023012497281,5.402373591823683,1.7136561393419196,0.0580900386217599,1.94601629382896,1.8879262552072005,4.186039313743557
82,4.125,0.9562011820658634,2.6588346297262357,2.4858143792915848,0.0131282909321028,9.411469795517911,3.8207113619419046,3.633633216159438,3.604851962962136,3.856687928438532,0.3117969096374436,1.3605683329633895,4.563572950148042,4.70529881816506,1.4456038537736011,0.2551065624306357,1.955816978634872,1.3889135065667937,4.256982296886723
83,4.175,0.9622986863380388,2.055840856520696,1.9449996293398624,0.0192235912804854,10.058374453066284,4.12309064521642,4.284642748862037,3.7789144244061896,4.495362884051971,0.221362566260135,1.079142510518159,4.39958100442018,4.288899721290115,0.8301096234755067,0.4150548117377532,2.185955341818835,1.9645927755587,4.733318955082784
84,4.2250000000000005,0.9728477652929484,1.4559958531480506,1.4328029988501172,0.0281569389020526,10.507592020012163,4.135821141036117,4.170114848673231,3.9506351197956913,4.513051925044388,0.3512507024650002,1.1077906770050017,5.187702682560009,4.971548404120009,0.5944242657100004,0.1891349936350001,2.0804849299850035,2.1075042147900045,5.095065134657147
85,4.275,0.982920282547887,1.0508711670184991,1.055905280393438,0.0397253367727636,10.028767045808126,4.441598230708611,4.535387635278622,4.374605798872883,4.2741171511192935,0.3958643699383786,0.6861649078931898,4.671199565272872,4.803154355252332,0.7125558658890818,0.3430824539465947,1.768194185724759,1.7681941857247594,4.932146894844488
86,4.325,0.9929253094985064,0.8176826344628159,0.7992386652644068,0.0388121513237171,10.315305259503422,4.058051561479776,4.260954139553762,3.9206014279457846,4.404949517541756,0.773528890018139,0.5414702230126973,4.383330376769454,4.950584896116089,0.8250974826860149,0.2836272596733176,1.9338222250453476,1.9596065213792853,3.993934881114066
87,4.375,1.0038180556731189,0.6500946816399271,0.6092384539583053,0.0175061978672956,9.741862455498726,3.3773495577828774,3.90186217849916,3.709967317261497,4.074567553613055,0.4535696720162958,0.4535696720162958,4.384506829490861,4.460101774826913,0.5795612475763778,0.3275780964562136,2.0914601542973643,2.444236565865594,3.1564746562766697
88,4.425,1.011600437331833,0.5426889696207272,0.5368157123737497,0.0427820422621944,8.309918070482095,3.1826548516744824,3.8016780939451578,3.464029052706608,3.539062172981841,0.7389625481651774,0.4926416987767847,4.877152817890171,4.97568115764553,0.5172737837156239,0.3448491891437493,2.315415984250889,2.093727219801336,2.5795825278296625
89,4.4750000000000005,1.0202424199625764,0.4858362989483091,0.5042130856697582,0.0418313697738247,6.749652402890375,2.916290032770569,3.264777520963277,2.8612656925296167,3.1302735781520576,0.6021182012899019,0.3131014646707492,4.816945610319211,4.166657952926118,0.4335251049287295,0.3612709207739413,2.33621862100482,2.1917102526952426,2.149193334808242
90,4.525,1.0302019533275786,0.4729123979412284,0.4392131771853218,0.0572768509970573,5.29181455777758,2.4934312662070623,2.7864243886150875,2.29012991596476,2.7445682282710835,0.8008841070151315,0.6124407877174535,4.781749227178574,4.7346383973541535,0.4711082982441949,0.4475528833319852,2.473318565782024,2.3084306613965557,1.3325634721764366
91,4.575,1.038121059829802,0.5175765332299337,0.464829880161915,0.0400226797402071,3.5330790207585965,2.4450778653594245,2.269593808036979,2.0882602821371177,2.22279805941766,0.6913008318763058,0.5299973044385009,4.931279267384316,4.216935074445468,0.5530406655010445,0.4839105823134139,2.742159966442681,2.442596272629613,1.039772883862932
92,4.625,1.0474761315587966,0.5085968037457292,0.4827906234288213,0.0600484160707468,2.747365658353903,1.9632217100320608,2.066247922220332,1.9689453884869643,2.197892526683124,0.473504308542055,0.473504308542055,4.5095648432576665,3.9007735894178817,0.5862434296234967,0.5185999569746317,2.457712839575428,2.4802606637917166,0.820004545988282
93,4.675,1.055097007174938,0.5219807607731496,0.4956712466212771,0.08687863143372,2.0278887794155893,2.0054811685933163,1.8710355036596853,1.7982107684873034,2.055898292943428,0.7282473517238298,0.6179068438868859,4.060530688399539,4.148803094669093,0.3310215235108317,0.507566336049942,2.604035984951879,2.648172188086655,0.7059540654465697
94,4.7250000000000005,1.0629245381476875,0.515113006353745,0.5295361705316497,0.065037987440818,1.5684160817458823,1.9084223652012824,1.9193903098288776,1.9906819499082349,1.908422365201284,0.8425375645742349,0.5832952370129318,3.413357312890488,3.7158066950453423,0.6265022916064823,0.6481058189032576,2.614026802909806,2.7220444393936813,0.5237753148687552
95,4.775,1.06840482035585,0.5941618518218234,0.5992056705979001,0.0857272215835616,1.3209528582908794,1.7720099318536189,2.024387103966104,1.546481395072249,1.793488840118511,0.7192179888698798,0.5499902267828496,3.913391998262584,3.1518670688709443,0.5499902267828494,0.9519061617395468,2.728797663653368,2.9826393067839145,0.5271099426231238
96,4.825,1.0717027559624506,0.593767113468671,0.6075986269271756,0.0839597132744328,1.130688226569422,1.7828060874745766,2.0036847177811605,1.714438892379682,1.7722880574599773,1.1187359197346494,0.9322799331122074,4.1434663693875935,4.143466369387594,0.5593679598673242,0.6836719509489522,2.858991794877439,3.045447781499881,0.5650757961925015
97,4.875,1.0755194986785273,0.6368146358582594,0.6910116261440692,0.1174947283138473,0.9118494722756952,1.931884475160373,1.9318844751603723,1.9318844751603728,1.8803675558227628,1.2785562708334106,0.6088363194444812,3.774785180555788,3.2877161250002005,0.5682472314815158,0.9538435671296872,3.003592509259443,2.922414333333512,0.5672117955640931
98,4.925000000000001,1.079302839498534,0.7500677163293739,0.6429151854251774,0.1036090610885474,0.7874288642729595,1.8322863957120783,1.9080007095844784,1.7818101864638116,1.9786674025320516,1.1135357676587316,0.7357289893459477,3.559337543052016,4.096220859601761,0.6959598547867074,0.9942283639810102,3.4996838412131552,3.2212998992984723,0.7164531333095808
99,4.9750000000000005,1.078741502727531,0.8001170323103705,0.7796726946671327,0.1556899894400864,0.9200809743833862,1.904468683535504,1.8896286678196423,1.7709085420927542,1.968775418304235,1.1107526914599035,0.8184493516020346,3.039954734521842,2.8061120626355462,0.5456329010680232,0.8379362409258925,3.195849849112707,3.1763629597888494,0.8071151404646895
100,5.025,1.078305128074195,0.8626099302268817,0.7933825229436257,0.1725123977618186,0.7806441194576975,1.9734295442191496,1.8861525619195312,2.0558578052799,1.8182704645753835,1.1460613837323637,0.6112327379905939,3.0561636899529705,2.4258299289001704,0.7831419455504482,1.0123542222969213,2.9988606207663526,3.1898708513884126,0.6753576011279995
101,5.075,1.0765674445925242,0.8814176367833355,0.8269429905383675,0.1908132331166854,0.8128743807641308,2.058331034332565,2.0060408694880896,1.8349094209061656,2.1058675478275446,1.423214404031476,1.1048638136560134,2.490625207055083,3.1835059037546154,0.6554276860671271,1.1048638136560134,3.333317946284243,3.5954890207110948,0.844985780696453
102,5.125,1.0741077519273046,0.9833967344947256,0.8537950277224913,0.2190016892341818,0.7085252559839252,2.078962264268624,1.9764125561656865,1.985735256902318,1.859878796957804,1.377217154274974,0.8814189787359832,2.6442569362079498,2.313724819181956,0.6059755478809888,1.101773723419979,3.342046961040605,3.746030659627929,1.0017146811910214
103,5.175000000000001,1.0702739661305327,0.9593327617357122,0.92841424837628,0.2001928537518317,0.7314738887086164,1.9886946349265515,1.924690669664547,1.8561149925981144,1.9064038224468325,1.3687428069017284,0.972527783851228,2.6654465187033654,2.5213683285031845,0.756410498550955,1.2606841642515922,3.1517104106289766,3.85409158785486,1.103741849926393
104,5.2250000000000005,1.06838152084047,1.054796341786602,0.9393753363355124,0.2127447540095792,0.7668724546343826,2.0584471150712376,1.9911776015068168,1.820761500476955,1.9149388194671413,1.3250055702082626,1.219005124591602,2.6323443994804148,2.473343731055424,0.5300022280833053,1.2720053473999324,3.2860138141164934,3.957349969688683,1.2076479339898163
