,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEPE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
47,2.375,0.8308345692474376,0.3956796239338368,0.5180547653566729,0.0,0.0,2.6273629081069028,2.605649165064697,2.8010728524445496,2.8010728524445496,17.278875523888605,8.89605472517038,1.1120068406462966,1.0264678529042737,9.152671688396442,17.87764843808277,0.0855389877420228,0.0855389877420228,0.0
48,2.4250000000000003,0.7759494618088584,0.3247539491765515,0.3443174400908017,0.0,0.0208275934040939,2.0411041536012067,2.436828428278992,2.395173241470804,2.1868973074298643,12.88155095083506,11.56878142718309,1.148673333195484,1.4768657141084796,10.420108093987604,12.635406665150322,0.1640961904564977,0.1640961904564977,0.0
49,2.475,0.800319807836009,0.3230341929761994,0.338059039161139,0.0,0.0599838089998738,2.1794117269954167,1.8195088729961728,2.0594441089956685,1.519589827996804,5.198596779989073,14.020457982394753,0.7876661787862226,1.0239660324220894,10.633493413614,6.537629283925647,0.1575332357572445,0.2362998536358668,0.0
50,2.5250000000000004,0.8814641160778227,0.1840553476532481,0.2562339153604041,0.0,0.0,1.5944800826262389,1.5368482724108323,1.7673755132724576,1.6136906860313742,3.481194192809383,11.276042059317357,0.908137615515492,0.4540688077577459,11.427398328569948,4.01094113519342,0.0,0.1513562692525819,0.0
51,2.575,0.9514931633986242,0.2151487352940931,0.1977980308348921,0.0,0.0,1.6255207673038574,1.5701052866003171,1.0528941333672714,1.2376124023790729,2.401337497153427,13.09820452992778,1.4553560588808656,1.1642848471046925,11.35177725927074,1.8919628765451248,0.0727678029440432,0.5093746206083029,0.0
52,2.625,0.9604496145504592,0.1769780247971637,0.230405353037817,0.0066210084424305,0.0177748611262173,1.084266528699256,1.3686643067187323,1.2620151399614283,1.262015139961429,1.120354883107031,13.304214236895993,1.470465784077978,1.1903770633012205,12.744036795342476,1.3304214236895993,0.2100665405825682,0.1400443603883788,0.0
53,2.6750000000000003,0.9158938016558772,0.1832862386576494,0.1639929503778968,0.0,0.0342332192040738,0.9242969185099934,0.992763356918141,1.1296962337344365,0.975646747316104,0.6068616131631267,13.081239217071856,1.348581362584726,0.8765778856800719,12.541806672037964,1.348581362584726,0.2697162725169452,0.1348581362584726,0.0
54,2.725,0.86330041566616,0.1332411823907552,0.1115507573503997,0.0,0.0494827718503055,1.1051152379901583,1.0721267234232876,1.154598009840464,1.0391382088564172,0.3898642630630135,14.879819373571689,1.624434429429223,1.2995475435433783,11.565973137536076,0.3898642630630135,0.3898642630630135,0.5847963945945203,0.0
55,2.7750000000000004,0.8519832191294069,0.1045792541578876,0.1673268066526202,0.0,0.0318104808251684,1.0656511076431434,0.9861249055802228,1.0497458672305593,0.93840918434247,0.1879710230578137,14.912367829253238,1.3784541690906338,1.1278261383468826,13.283285629418843,0.3759420461156274,0.2506280307437516,0.3759420461156274,0.0
56,2.825,0.8452472327342198,0.1066764863554124,0.1009101897956604,0.0,0.0767361003720846,0.7673610037208468,0.8440971040929314,1.012916524911517,1.0743054052091845,0.1813762372431092,13.603217793233178,1.7533036266833892,0.8464224404678428,11.789455420802094,0.3627524744862184,0.1813762372431092,0.060458745747703,0.0
57,2.875,0.8339890517020095,0.1280520122505432,0.1586731456148035,0.0,0.133362530484345,0.9483557723331196,0.963173831275824,1.1113544207028745,0.8742654776195942,0.1167483431849485,13.250936951491669,1.5177284614043307,1.9263476625516505,13.250936951491672,0.1167483431849485,0.1167483431849485,0.5837417159247426,0.0
58,2.9250000000000003,0.8334866806990103,0.1075753816163341,0.1371586115608261,0.0,0.157473808627603,0.9448428517656176,0.9448428517656178,0.973474453334273,0.9448428517656178,0.1691867365420528,12.68900524065397,1.4662850500311244,2.0302408385046333,13.027378713738075,0.0563955788473509,0.2819778942367548,0.3383734730841057,0.0
59,2.975,0.8605568835441101,0.1273875946466676,0.1507853161123821,0.0,0.2352570900193715,0.8718350983070826,1.0794148836182929,0.941028360077486,0.8856737506611634,0.1090318064260902,13.083816771130833,2.289667934947896,2.453215644587031,11.502855577952523,0.2180636128521804,0.2725795160652256,0.3270954192782708,0.0
60,3.0250000000000004,0.89992548761206,0.11315326458763,0.1106387475967938,0.0,0.2810843146987077,0.8432529440961243,0.7763281072630984,0.8030980419963084,0.6558634009636519,0.2636432966149496,14.553109973145224,2.3200610102115555,1.7927744169816568,12.0221343256417,0.0527286593229899,0.2109146372919597,0.2109146372919597,0.0
61,3.075,0.9299621289466314,0.1362709985262064,0.1387044092141743,0.0,0.2849711101048031,0.8290068657594274,0.8419600980369181,0.8290068657594272,0.9973988853668104,0.0,12.961082721295604,2.500366351746001,2.449338467016491,11.175106755762734,0.0,0.4592509625655918,0.5102788472951021,0.0
62,3.125,0.93163453904189,0.1743562948759765,0.1107398089077148,0.0,0.4515139311798683,0.9030278623597364,1.1413268815935564,0.8654017014280811,0.8779437550719663,0.0,10.919187914812811,2.4209964155014827,2.569220685838309,10.02984229279186,0.0494080901122751,0.3458566307859259,0.7411213516841271,0.0
63,3.1750000000000003,0.8968119597696611,0.1917335314884101,0.1826033633222953,0.0,0.4131049934852849,0.91126101504107,1.0449126305804266,1.0449126305804266,1.0327624837132126,0.0,11.58314001341092,2.536803391366857,2.728260251092657,12.73188117176572,0.0,0.3829137194516011,0.8136916538346523,0.0
64,3.225,0.8261964855183205,0.2123822981597442,0.1924714577072682,0.0,0.7065795688776103,1.0598693533164154,0.953882417984774,1.0480930271684552,0.7419085473214909,0.0927831757112013,10.71645679464376,3.1546279741808463,3.2010195620364468,10.577282031076956,0.2319579392780034,0.3711327028448055,0.7422654056896109,0.0
65,3.2750000000000004,0.7599568078375267,0.1909300043351068,0.1995111281254487,0.0,0.9820766134823564,0.9592376224711388,0.7765256943813984,0.913559640448704,0.9592376224711392,0.0,10.436726801489751,3.373941853929877,2.744139374529633,9.62698075654658,0.134957674157195,0.3149012397001217,0.3598871310858533,0.0302966207291662
66,3.325,0.7282637909342236,0.2518309520043024,0.2622371896904307,0.0,1.2851223254475108,0.997077666295483,1.096785432925031,1.0413922292419484,1.0635495107151811,0.0436431301745498,9.252343597004565,3.884238585534935,3.185948502742137,10.47435124189196,0.0436431301745498,0.3927881715709483,0.7855763431418968,0.0440884682375554
67,3.375,0.7230423021852752,0.3151260610076904,0.3312863718285976,0.0040053492435772,1.7742156630107555,1.0000124646060629,1.107540686606714,1.2043160864073008,0.946248353605736,0.0,9.022595355145594,3.304049003292755,3.6429258241432954,8.048324495200298,0.0,0.465955628669491,0.7201132443073952,0.0855836868984779
