,r ($\AA$),g_full(r),O (DOL),O (DOL),P (TTFP),O (TTFP),O (TTFP),O (TTFP),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,1.0692549057521816,0.6466603628817329,0.6424338245622444,2.9648297844433498,5.582427251789729,5.71597814298087,5.822818855933786,0.0,3.419724666131332,4.319652209850104,3.5322156090961765,3.307233723166486,37.04701721642282,7.090338223238814,0.3545169111619404,0.7090338223238809,7.00170899544833,39.97178173350882,0.0,0.0,0.0
46,2.325,0.8625423816198291,0.3884844816132124,0.4410917551650016,7.2885187846040385,4.194095019912499,4.219668770033917,4.258029395216044,0.0,3.0372762692279096,2.800325638295236,2.843407571192084,2.563375007362561,24.354347217900983,8.485835267561317,0.9334418794317456,0.6788668214049058,8.400976914885709,27.15467285619624,0.0848583526756132,0.0,0.0
47,2.375,0.7492233965041536,0.4188375219756269,0.3063718910747645,13.19773819246082,3.369896010145521,3.614979356337925,3.7252668621245055,0.0,1.9404945248910663,2.270791465298056,1.961138083666503,2.1469301126454345,16.3459451758232,8.945542136022647,0.4879386619648719,0.8945542136022651,9.921419459952386,18.622992264992604,0.0,0.0,0.0
48,2.4250000000000003,0.6953278513088362,0.241790692596327,0.2455105494055011,18.54791944773915,2.7739600694971087,3.0560577036832544,2.962025158954539,0.0,1.46528021141689,2.039511645620805,1.4256780435407586,1.7820975544259472,9.516520947203874,8.658473976554346,1.092059780826674,1.6380896712400113,10.842593538207698,10.218559377735309,0.0,0.0780042700590481,0.0
49,2.475,0.7377522083862724,0.1999806355776349,0.2392625461375275,21.63136919882663,2.3922014972098333,2.7194366076772165,2.6178808837390632,0.0,1.08352145463245,1.3686586795357258,1.19757634459376,1.1215397512862195,6.1405309443816725,9.135911892860548,1.9469976165112608,1.6474595216633747,10.40894879596406,6.664722610365475,0.0748845237119715,0.1497690474239431,0.0
50,2.5250000000000004,0.7983170186630069,0.1543976379042509,0.1235181103234008,21.693878642812088,2.1140961196143717,2.059888526803745,2.558598380661495,0.0,0.821870503305705,1.3332565942514765,1.0958273377409395,1.314992805289127,3.4535164583350872,9.497170260421496,1.5109134505216004,1.1511721527783625,11.29587674913768,4.532740351564801,0.0719482595486476,0.0,0.0
51,2.575,0.8265313584782423,0.1253662336419536,0.1022724537605411,21.318285493399934,1.7930293911319264,2.1057670756316798,2.043219538731729,0.0526842714657279,0.8078254958078275,0.9307554625611926,0.965878310205011,0.6673341052325534,3.113161495702105,9.616209953390948,1.8678968974212624,0.8301763988538938,9.89293541967558,2.5597105631328403,0.0,0.1383627331423157,0.0
52,2.625,0.8516751422425195,0.1111121093943641,0.1238106361822914,20.955294454687543,2.0263137768534607,1.6451260366533065,2.0965325711008584,0.033797617450945,0.6759523490189013,0.5914583053915387,0.7942440100972089,0.7435475839207913,1.9305608756070125,11.8496495123465,2.463129393015844,2.263416198987532,12.315646965079226,1.6642766169025969,0.0665710646761038,0.0,0.0
53,2.6750000000000003,0.8537679141080717,0.0580842623203112,0.1069973253268891,20.642931856843436,1.7484186551654963,1.5842025383819966,1.6904600257124969,0.0488189994238729,0.4881899942387293,0.4881899942387293,0.6997389917421787,0.6021009928944328,1.2821151363845416,9.487652009245611,1.7308554341191305,2.5001245159498557,8.782488684234112,1.4744324068422228,0.064105756819227,0.064105756819227,0.0
54,2.725,0.814140367312189,0.0648100829369925,0.0765937343800821,17.53730174497292,1.6662298367039032,1.396281986064723,1.6010700106875502,0.0,0.6272528306629215,0.4547583022306179,0.4861209437637641,0.5958901891297754,0.4324242999267109,8.339611498586573,2.2238963996230834,2.347446199602144,11.30480669808402,1.111948199811542,0.0617748999895301,0.0617748999895301,0.0
