,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFETFE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
32,1.625,0.1475356769455063,0.0258913062062665,0.0258913062062665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.675,0.2718857913485568,0.5279893781702628,0.3655311079640283,0.0,0.0,0.0864777869097803,0.0432388934548901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.725,0.5424058632912967,4.0745225673102325,4.166429091384898,0.0,0.0,0.6115318717275912,0.4484567059335668,0.7338382460731092,1.4269077006977116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.775,0.6886472208516989,13.114328925642742,12.253542857164248,0.0,0.0,5.737164185434976,5.506137439712765,6.314731049740518,6.0837043040183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.825,0.5978404007485434,20.842542521381773,20.603051717623284,0.0,0.0,20.17870559456812,19.340961499486767,19.59592709364197,19.705198062565614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.875,0.4163274101574583,23.427911149144265,22.68890122357636,0.0,0.0,31.98805958792235,32.298623273241994,34.99017521267884,33.64439924296042,0.1359369666382237,0.0,0.0,0.0,0.0,0.1359369666382237,0.0,0.0,0.0
38,1.925,0.5015364450657591,19.477619582293343,18.887202316773877,0.0,0.0,36.24083363362153,40.26759292624617,38.10689281800855,40.95508841523086,4.771794086603696,0.0,0.0,0.0,0.0,2.7083155626669626,0.0,0.0,0.0
39,1.975,0.8676149582385126,13.724588155282396,13.058516188614796,0.0,0.0,34.36697638542828,33.90045634399712,35.455523148767625,35.02010444343188,27.81213418713805,0.0,0.0,0.0,0.0,26.4644096230036,0.0,0.0,0.0
40,2.025,1.292759690900996,8.95914608011015,8.903568250829066,0.0,0.0,25.590597731591537,25.738520261831955,27.513590624716908,27.63192864890924,70.27664936694563,0.1165450238257805,0.0,0.0,0.233090047651561,73.53991003406747,0.0,0.0,0.0
41,2.075,1.610631724057037,5.790736533657104,5.113209772863584,0.0,0.0,19.779546872915773,19.244203011683005,19.920426836398068,20.28671474145208,111.44032020430664,0.7769743440539307,0.0,0.0,0.5549816743242363,112.43928721809024,0.0,0.0,0.0
42,2.125,1.742872634455818,3.669190034464413,3.4067445299360104,0.0,0.0,13.889578917470384,14.66868489156447,15.6089852051263,14.077638980182757,129.01245947198484,0.7408426712911351,0.21166933465461,0.4233386693092201,1.1641813406003556,135.25670484429585,0.0,0.0,0.0
43,2.1750000000000003,1.732447911250675,2.2835703364611755,2.0185990948886765,0.0,0.0,9.82194657082643,11.155474564776757,10.693868720717026,10.257907645771732,108.2986370844505,3.131770288822731,0.2020496960530794,0.4040993921061588,2.4245963526369523,109.20786071668934,0.0,0.0,0.0
