,r ($\AA$),g_full(r),O (DOL),O (DOL),O (TFEiBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
49,2.475,0.8142415314756963,0.2972585865566562,0.2712484602329489,0.0,0.0593373870857324,2.2152624512006787,1.9185755157720157,1.7801216125719734,1.6416677093719303,5.921751357646841,12.07725605835869,2.337533430650068,2.025862306563392,12.15517383938036,5.376326890495159,0.0779177810216689,0.0779177810216689,0.0
50,2.5250000000000004,0.9229191033813484,0.246332510480134,0.2391924377125938,0.0,0.0380071565779827,1.3302504802293988,1.6533113111422513,1.729325624298217,1.710322046009226,3.14422840781494,12.127738144429054,1.6469767850459207,1.5721142039074698,13.69985234833653,4.641480030583963,0.0748625811384509,0.0,0.0
51,2.575,0.9895018256896134,0.1819354610692359,0.2128301620055214,0.0,0.0,1.3521844833720509,1.5166393529713544,1.5349121162601655,1.553184879548977,2.5194264534573447,13.173001170934103,1.5836394850303308,2.015541162765876,12.525148654330785,2.015541162765876,0.0719836129559241,0.2159508388677723,0.0
52,2.625,0.9906367247989514,0.1981933610271476,0.128825684667646,0.0,0.0,1.301164824548484,1.265998207668795,1.389081366747706,0.8615821135523746,1.1775488379410928,11.429150485898836,1.8009570462628486,1.9394922036676836,13.230107532161686,1.5931543101555967,0.0692675787024172,0.2078027361072517,0.0
53,2.6750000000000003,0.951096193707728,0.1399593954090938,0.1654065582107471,0.0,0.0338643012668156,0.9989968873710632,1.3545720506726286,1.151386243071734,1.2360469962387732,0.6670241158615211,11.93973167392124,1.6008578780676506,1.4674530548953464,13.407184728816585,1.1339409969645855,0.3335120579307605,0.4669168811030647,0.0
54,2.725,0.9213708568977952,0.1747186463042093,0.1256748157626769,0.0,0.0652660206437316,1.1421553612653033,0.9137242890122428,1.093205845782505,1.0768893406215712,0.8998799816029663,12.08410261009699,2.056868529378209,1.0927114062321734,11.312776911580151,0.7070485569737593,0.128554283086138,0.5142171323445522,0.0
55,2.7750000000000004,0.9226252414324984,0.0945849094157765,0.1359658072851787,0.0,0.0629353435728051,0.8024256305532661,1.1013685125240906,1.0226993330580842,1.1485700202036946,0.30990888880548,13.69797288520222,1.6735079995495916,1.7974715550717837,12.954191552069071,0.371890666566576,0.6198177776109599,0.371890666566576,0.0
56,2.825,0.918936189757482,0.1140831089995812,0.0941185649246545,0.0,0.0759091456035674,0.7439096269149617,0.971637063725664,0.8198187725185291,1.0020007219670912,0.2990360281352658,13.2771996492058,2.0932521969468603,1.913830580065701,12.559513181681162,0.2990360281352658,0.2990360281352658,0.4784576450164252,0.0
57,2.875,0.8971810002767153,0.0908734243657038,0.1073958651594681,0.0,0.1172669644029222,0.6449683042160722,0.938135715223378,0.8208687508204556,1.0700610501766656,0.1154901922149991,13.8010779696924,2.078823459869986,2.2520587481924843,13.165881912509906,0.1154901922149991,0.519705864967496,0.7506862493974944,0.0
58,2.9250000000000003,0.8803969139645536,0.079812063033675,0.1303597029550025,0.0,0.1840998253976772,1.0196298022025194,0.7222377765601181,0.7647223516518898,0.8072069267436612,0.1115756517561679,13.556441688374408,2.175725209245274,2.2873008610014414,12.552260822568895,0.1115756517561679,0.3905147811465878,0.3347269552685038,0.0
59,2.975,0.8903593849338243,0.1182995975070462,0.1363017101711619,0.0,0.0958266304889852,0.8761291930421508,0.8213711184770166,1.067782454020121,0.889818711683434,0.0,11.810321082343764,2.3189214910537994,2.6424919316659574,11.702464268806372,0.1617852203060789,0.1078568135373859,0.4853556609182368,0.0
60,3.0250000000000004,0.903435053849945,0.1193961134565875,0.1542199798814255,0.0,0.1721293968999136,1.0857392727533006,0.9268505986918424,0.9798134900456617,0.9400913215302972,0.0,12.466341169417989,2.1907377787261737,2.764502435059219,11.11017016353988,0.1564812699090123,0.5216042330300411,0.5737646563330454,0.0
