,r ($\AA$),g_full(r),O (DOL),O (DOL),O (PEGDME),O (PEGDME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
45,2.275,1.0285675650308754,0.369687697482306,0.400866177992862,0.6581814353017059,0.8588465070400308,0.0,0.7112805004386171,0.4504776502777909,0.5690244003508939,0.4741870002924115,28.58054374489719,2.335011743864148,0.4670023487728295,0.3736018790182635,2.4284122136187136,26.338932470787604,0.0,0.0,0.0
46,2.325,0.7512408201477707,0.383810672346796,0.4093980505032491,0.5149015628670963,0.5072164649138562,0.0681017910933289,0.3632095524977545,0.4540119406221932,0.3859101495288641,0.2724071643733158,16.186213580060926,2.7722244253143007,0.2682797830949323,0.9836925380147516,3.934770152059008,18.60073162791532,0.0894265943649774,0.0,0.0
47,2.375,0.6861819089795547,0.2002580583775212,0.1920842600763978,0.2577726495484463,0.228312918171481,0.0,0.391587813995354,0.2610585426635692,0.3263231783294615,0.2393036641082718,11.055433738555694,2.9138352489216586,0.9427114040628892,1.1141134775288692,2.6567321387226883,13.026557583414451,0.0,0.0857010367329899,0.0
48,2.4250000000000003,0.7410913323061403,0.2038457500648854,0.1764049760176892,0.1412873187549085,0.1130298550039268,0.0,0.4173410030914224,0.2086705015457111,0.4382080532459935,0.18780345139114,7.31611425116327,5.014415385628757,0.5754247163836277,0.9042388400314146,4.192380076509289,7.069503658427429,0.0,0.0,0.0
49,2.475,0.86942441308445,0.1166631520683863,0.1204264795544633,0.1220729353296219,0.1152911055890874,0.0200324816951174,0.3806171522072313,0.180292335256057,0.2804547437316442,0.3405521888169966,4.7349502188459445,4.024707686019053,0.9469900437691888,0.9469900437691888,4.577118544884414,3.866876012057522,0.0,0.0,0.0265737002078088
50,2.5250000000000004,1.010642422088448,0.0759310714093829,0.1012414285458439,0.0390954623625692,0.0912227455126614,0.0192469968554186,0.2117169654096056,0.1539759748433495,0.2309639622650243,0.1732229716987682,3.0328601105508244,3.715253635424759,0.9098580331652468,2.2746450829131177,5.231683690700172,3.5636106298972186,0.0758215027637705,0.0,0.0255317305224941
51,2.575,1.0995520635102691,0.0730110126119378,0.1043014465884826,0.0187959898539661,0.0626532995132204,0.0,0.1850682077928972,0.1295477454550281,0.1665613870136075,0.1850682077928972,1.6768301251538278,4.884679060230717,1.093584864230757,1.6768301251538276,5.103396033076868,2.47879235892305,0.0,0.0729056576153837,0.0
52,2.625,1.1037199043310846,0.0836383491055504,0.0836383491055504,0.0482314479842007,0.0422025169861756,0.0,0.2137024156838433,0.1068512078419216,0.0890426732016013,0.1068512078419216,1.6135611689259888,4.13913517246232,1.3329418351997293,1.6135611689259888,5.051148007072657,1.7538708357891184,0.0,0.1403096668631294,0.0
53,2.6750000000000003,1.0460693032775197,0.0773193534882549,0.0515462356588365,0.0580566326105385,0.0290283163052692,0.0,0.0857451804709493,0.0685961443767594,0.0685961443767594,0.0342980721883797,1.148465750550291,4.323635766777564,0.9457953239825926,1.3511361771179895,4.526306193345263,1.148465750550291,0.0675568088558994,0.2026704265676983,0.045497442698871
54,2.725,0.9964075919843356,0.0341495257380395,0.0714035538159009,0.0391620034742101,0.0503511473239844,0.0165255047627436,0.1817805523901798,0.1652550476274362,0.1322040381019489,0.0991530285764617,0.4557033131544452,4.947635971391121,0.3906028398466672,1.3020094661555572,4.752334551467788,1.3020094661555572,0.2604018932311115,0.1302009466155557,0.0657647638517347
55,2.7750000000000004,0.9782026932902662,0.0449045888163919,0.0718473421062271,0.0323687244384825,0.021579149625655,0.0318707440625058,0.1274829762500234,0.1434183482812764,0.1434183482812764,0.0796768601562646,0.5022056640152439,3.766542480114329,1.0044113280304878,0.9416356200285824,4.45707526813529,0.8788599120266768,0.0627757080019054,0.0,0.0211387588169681
56,2.825,0.961709831258544,0.0519949844735024,0.0288861024852791,0.02602758192684,0.0312330983122081,0.0153762945537024,0.1076340618759171,0.138386650983322,0.1076340618759171,0.1076340618759171,0.6057328157519147,4.603569399714552,1.3326121946542122,1.2114656315038297,4.664142681289744,0.4240129710263403,0.1211465631503829,0.1211465631503829,0.0407942508567615
57,2.875,0.9308993439960698,0.0669363129754657,0.0585692738535325,0.025130169584973,0.0753905087549191,0.0296922619096296,0.0296922619096296,0.178153571457778,0.0742306547740741,0.1633074405029632,0.0584847583068463,5.49756728084355,1.1112104078300804,1.1696951661369268,4.7372654228545485,0.1754542749205389,0.2339390332273853,0.2339390332273853,0.0
58,2.9250000000000003,0.9168383775092884,0.0781399035895981,0.0646675064189777,0.0534124412826886,0.0534124412826886,0.0430287638864736,0.0860575277729473,0.1004004490684385,0.1577721342504034,0.1004004490684385,0.2260096688986495,4.972212715770287,0.9605410928192604,1.4125604306165591,5.198222384668938,0.2825120861233119,0.2260096688986495,0.0565024172246623,0.0380526483349767
59,2.975,0.9326778613056328,0.0573027820076584,0.0755354853737316,0.0516321942048172,0.0610198658784204,0.0,0.0693243446666078,0.1247838203998941,0.1386486893332156,0.1525135582665372,0.0546191806464183,4.588011174299137,0.7646685290498562,0.9831452516355292,5.2434413420561565,0.1092383612928366,0.1092383612928366,0.2184767225856732,0.0183921730748143
60,3.0250000000000004,0.9587308873912304,0.0730591376153723,0.0680205764005191,0.0998789790819351,0.0862591182980348,0.0268206489282958,0.0938722712490354,0.160923893569775,0.2682064892829585,0.174334218033923,0.4226284073549649,4.226284073549651,0.9509139165486714,1.003742467468042,4.807398133662727,0.1056571018387412,0.3697998564355942,0.1056571018387412,0.1245244414528021
61,3.075,0.9686518828817972,0.0950828054689277,0.0950828054689276,0.048328680237011,0.0966573604740221,0.0129777714762323,0.155733257714788,0.2076443436197174,0.2984887439533438,0.0648888573811617,0.1022491086006184,4.396711669826592,1.175864748907112,1.3292384118080398,4.601209887027832,0.1022491086006184,0.511245543003092,0.3067473258018552,0.0516462334258225
62,3.125,0.9601171956341656,0.0849826719519981,0.066097633740443,0.10209723783122,0.1446377535942284,0.0879606972084357,0.2010530221907102,0.2010530221907102,0.2387504638514684,0.1507897666430327,0.1485050732090473,4.356148814132054,0.8415287481846014,0.9405321303239664,3.811630212365548,0.1980067642787298,0.3960135285574595,0.2970101464180946,0.1000136207326237
63,3.1750000000000003,0.9236332727002878,0.1097695773172925,0.1029089787349618,0.1030280863492384,0.1071492098032079,0.0608658233201654,0.2799827872727612,0.2921559519367943,0.2312901286166288,0.2069437992885626,0.0479548911007364,3.692526614756705,1.1509173864176745,1.1988722775184109,4.507759763469224,0.1438646733022093,0.6713684754103102,0.0479548911007364,0.1291846045979022
64,3.225,0.8621323066444274,0.1241243762205354,0.1263408829387592,0.1477902031599048,0.2276767994625561,0.0943890860929786,0.2949658940405583,0.3421604370870476,0.3067645298021806,0.1651809006627126,0.0464794742124516,3.9972347822708425,1.0225484326739351,0.9760689584614836,4.136673204908198,0.0929589484249032,0.6971921131867741,0.1394384226373548,0.078256257602597
65,3.2750000000000004,0.8070913400136495,0.1289607039864122,0.1504541546508143,0.1433120601071224,0.2788775223706166,0.1029701621060737,0.263145969826633,0.3775572610556039,0.2059403242121475,0.2974693571953243,0.0450711147265642,3.876115866484529,0.9915645239844132,1.0817067534375415,3.5606180633985773,0.0450711147265642,0.4056400325390783,0.3154978030859498,0.1365930721815264
66,3.325,0.784904346848167,0.1709856085560001,0.1751559892524879,0.1766112783496997,0.3043726286452274,0.1220959148525583,0.299689972819916,0.2552914583280766,0.2774907155739963,0.3329888586887956,0.3498064778144923,3.891597065686225,0.9619678139898544,1.4866775307115927,3.847871255959413,0.3498064778144923,0.7433387653557962,0.5247097167217385,0.0441719914587177
67,3.375,0.7900350595804001,0.190243376466038,0.170004719395183,0.2224776542382647,0.3391872433468625,0.2046906639750793,0.2585566281790476,0.2262370496566666,0.3016493995422223,0.3770617494277778,0.381958655264502,3.607387299720299,0.9761165634537278,1.4429549198881195,3.946906104399856,0.2970789540946127,0.5517180576042808,0.5092782070193362,0.1857826112340944
68,3.4250000000000003,0.8207803835500816,0.2613725443326136,0.247616094630897,0.3293564274567212,0.4674736389708296,0.2615237141095551,0.251062765545173,0.3242894054958484,0.355672251188995,0.4079769940109061,0.206048986874195,2.925895613613568,1.4835527054942044,1.2775037186200096,2.555007437240017,0.247258784249034,0.5357273658729071,0.288468581623873,0.0971373795264061
69,3.475,0.8587594662757005,0.2672687080961463,0.3035408899091946,0.3233871823705007,0.5160433761231397,0.1524312741779121,0.4064833978077659,0.3251867182462125,0.3556729730817951,0.3963213128625716,0.3202596467576336,3.8831482169363074,1.7614280571669858,1.6012982337881692,4.083310496159827,0.2802271909129294,0.6805517493599713,0.4403570142917461,0.1213228508762974
70,3.5250000000000004,0.8739174735894304,0.3061227521812796,0.2949910157383241,0.3711158592258277,0.5750624124940756,0.3160271433241141,0.4147856256128997,0.4641648667572924,0.3555305362396282,0.5234199561305638,0.2723339966145303,2.9956739627598314,1.5950991230279623,1.3616699830726506,3.501437099329673,0.4668582799106233,0.6613825632067164,0.4279534232514047,0.1310061499749198
71,3.575,0.8743721317517882,0.3842002304611294,0.3842002304611294,0.4453212862949544,0.6468535472459556,0.2112338139595607,0.5856937568878736,0.6625060528731684,0.556889145893388,0.489678386906255,0.1891211832971274,2.912466222775764,1.7777391229929989,1.8533875963118496,3.252884352710593,0.3025938932754038,0.4917150765725314,0.2647696566159784,0.1528407930319642
72,3.625,0.8886648280829514,0.4280594689223828,0.4491115739513527,0.5469344196284999,0.6544244211739857,0.31750892764205,0.6070023616686251,0.6723718467714,0.5322943786940252,0.6723718467714002,0.4782442849510376,2.6487375781903606,1.361156811014491,1.545096920611044,3.2005579069800176,0.5518203287896588,0.7725484603055223,0.5886083507089693,0.1362658362929565
73,3.675,0.919830517621496,0.5086652473835541,0.587184043959539,0.4860128590597757,0.7013350118077772,0.3361864995872098,0.7359758504476751,0.69054524239535,0.69054524239535,0.5815117830697684,0.5727009984778021,2.791917367579285,1.7538968078382695,1.7181029954334066,3.078267866818185,0.5727009984778021,0.6442886232875273,0.6442886232875273,0.1446362215543429
74,3.725,0.9487536593552712,0.6529360757678027,0.6296762664529192,0.5838315976470215,0.781436138389091,0.4333481396972921,0.875540118980243,0.7959455627093118,0.7340386856096988,0.7428825251953577,0.3832330487118909,3.170382493889278,2.0555227158183227,1.6374502990417152,2.125201451947758,0.6271086251649126,0.5574298890354779,0.8013054654884993,0.0938529915212793
75,3.775,0.95704877471255,0.6956093065063629,0.7554640607871426,0.5742989528838015,0.825008140437136,0.4994449933083961,1.093612312933904,0.740556369388312,0.6888896459426157,0.8266675751311391,0.7123745202361138,2.0014331759014623,1.8996653872963036,1.2890586556653487,2.374581734120379,0.4070711544206364,0.8819875012447123,0.9837552898498714,0.15992081066525
76,3.825,0.9498004464418928,0.8634728456959174,0.8477160419423424,0.7865435340365362,0.7751855046641676,0.6458350240042284,0.8639091879537086,0.7884219773558118,0.7800345095116007,0.855521720109498,0.79299695981629,2.577240119402941,2.048575479525415,2.1807416394947965,1.817284699578997,0.6608307998469085,0.8921215797933263,0.958204659778017,0.1780197256730447
77,3.875,0.9447305474403792,1.0040734840445813,1.01328516738444,0.7193429108104814,0.9766463366003846,0.5475519056015404,1.029724479190956,1.013379646187925,0.8826209821636766,0.997034813184894,0.8370535689431058,2.3823832346842244,1.802884610031305,2.1892170264665847,2.2536057625391317,0.7726648328705592,0.8048592009068325,0.6116929926891927,0.2385011346360653
78,3.925,0.9465830805915184,1.234542207436322,1.1761820303575143,0.8575392045442147,0.9384391295012164,0.6850356722512855,0.9877258530134808,1.0992432880311311,0.9160360733592764,1.067381163740374,1.098277769113232,2.008279349235625,2.259314267890077,2.5731079162081443,1.8200031602447848,0.8472428504587786,0.9413809449541988,1.3179333229358785,0.2852960618891803
79,3.975,0.9436296571586172,1.3510399263878814,1.3335318495880386,0.954418155341439,1.0332956888407303,0.7455747166456196,1.025165235387726,1.0872964617748615,1.001866025492551,0.8776035727182817,0.9178476625372212,1.927480091328164,2.325214078427626,2.2640242342584798,2.0498597796664604,0.7648730521143512,0.9178476625372212,1.162607039213814,0.2987687799483404
80,4.025,0.9374680693369184,1.44575113809754,1.4300983206575075,1.089842237006046,1.0718918942788878,0.7498903616655535,1.2498172694425898,1.310414470385261,1.1361975176750811,1.204369368735586,1.1935812306889748,2.3274833998434987,2.05892762293848,2.5363601152140687,1.790371846033461,1.4919765383612178,0.9847045153184042,1.16374169992175,0.2612481367171274
81,4.075,0.9312699179060666,1.545153673393839,1.5118349958004411,1.2483947398460422,1.1933552923979194,0.7611609179958477,1.315404304886028,1.3006244812356234,1.049367479178742,1.1454363329063733,1.4847004666997563,2.328941908548638,2.7365067425446497,2.241606586978065,1.7467064314114784,1.0189120849900288,1.3391415974154666,1.0189120849900286,0.2548765507059604
82,4.125,0.933486187984312,1.6271476879637778,1.51740666987463,1.491763739078851,1.3623636111391146,1.0457183053243162,1.1466842106659745,1.233226415244539,1.2909212182969143,1.1899553129552567,1.4205159842441089,1.6762088614080477,2.414877173214985,2.386466853530103,1.676208861408048,1.676208861408048,0.9091302299162294,1.1080024677104046,0.3635361314779816
83,4.175,0.9440901627305636,1.4296993927673265,1.445570246341061,1.770853860689556,1.4276466521575295,0.9926608492926324,1.4925113478726098,1.4080295734647263,1.3305879469241668,1.450270460668668,1.8859062771860884,1.7195027821402578,2.301915014800668,2.2741810989596947,1.7472366979812295,1.525365371253454,1.0261548861159595,1.248026212843735,0.4949654980189771
