,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DEGDBE),O (DEGDBE),O (DEGDBE),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
67,3.375,0.7453489398224256,0.1516169333038243,0.1900265564074597,1.2847214430152645,1.1205625919633142,0.0071373413500847,0.4089147567340891,0.3658710981305008,0.4411975006867804,0.4627193299885745,0.4196756713849862,0.0423914819580794,6.782637113292707,1.822833724197416,1.5684848324489389,6.316330811753837,0.0423914819580794,0.2543488917484764,0.1271744458742382,0.0142746827001695
68,3.4250000000000003,0.7498255848258015,0.1472225517745242,0.2198523439832894,1.2197638793008754,1.1227372070837605,0.0,0.522451311938312,0.4388591020281819,0.4806552069832469,0.4284100757894157,0.4388591020281819,0.0,5.803959119896516,2.5932583301665284,1.605350394864994,6.503727240735103,0.0411628306375639,0.2881398144629475,0.5351167982883313,0.0
69,3.475,0.7649020106926732,0.2250126005906536,0.2555227837215897,0.8078971961712156,1.077196261561621,0.0067324766347601,0.7308362328441151,0.6090301940367626,0.7105352263762234,0.5481271746330862,0.680083716674385,0.0,5.798090483632822,1.6794468987074374,1.9993415460802832,6.157971961927271,0.0,0.439855140137662,0.3198946473728452,0.053859813078081
70,3.5250000000000004,0.7875558875471328,0.2853889402855311,0.3002143397808833,1.118826003242362,1.007597687130548,0.0065428421242243,1.2232094999011422,0.690521491879677,0.7398444555853684,0.6313339354328474,0.6411985281739857,0.0,5.634774944559259,2.5647941126959397,2.370491528400793,5.518193393982174,0.0,0.2720236180132058,0.3497446517312647,0.0654284212422433
71,3.575,0.8175892385685909,0.2990824011482263,0.3639436447707333,0.8205829784146758,0.8205829784146758,0.0127222167196073,1.0645559498145314,0.8727440669650663,0.6617509958306547,0.5370732719785023,0.6713415899731278,0.1133433853201384,5.704950394446962,2.5691167339231358,1.85127529356226,4.94932782564604,0.0755622568800922,0.4533735412805537,0.6422791834807844,0.0636110835980368
72,3.625,0.8655372471555995,0.4153052116052209,0.4398380089152337,0.7486079389074387,0.8042895211402236,0.0061868424703094,1.3432110914000983,0.8021955129195029,0.8674904965292299,0.7089169649056076,0.8674904965292299,0.0367460946721407,4.152308697951903,2.4619883430334326,2.057781301639884,5.43842201147683,0.0367460946721407,0.4776992307378297,0.440953136065689,0.0742421096437129
73,3.675,0.9136318238015724,0.50979050742491,0.5387752519942195,0.5899248012341762,0.5778855195763359,0.0120392816578403,1.6608652096285268,0.8803493187648476,0.7260612938266784,0.7623643585180123,0.8621977864191807,0.0,5.791988957571907,2.574217314476405,2.28819316842347,4.576386336846938,0.0,0.3217771643095506,0.4647892373360175,0.1565106615519242
74,3.725,0.9438808857442952,0.6571704899298707,0.6405752755377024,0.667940445392544,0.6386448118226952,0.017577380141909,1.846255897777336,0.9893811509620176,0.8303734659859792,0.7332021029450667,1.0953862742793767,0.0347996616950926,4.14115974171602,2.749173273912317,1.84438206983991,4.071560418325834,0.0347996616950926,0.3131969552558338,0.8351918806822234,0.2812380822705445
75,3.775,0.9455383235923696,0.7804566976764546,0.919420002024643,0.5533799739598841,0.5362651294044237,0.0057049481851534,1.771869137875043,1.2729933611917783,0.9117384884211388,0.8773332624429824,1.0407580858392245,0.0338839346754568,4.235491834432104,2.744598708712004,2.100803949878324,4.133840030405734,0.0338839346754568,0.7115626281845936,0.4743750854563957,0.2510177201467516
76,3.825,0.9420580546000914,0.9222963609875384,1.0340421658170864,0.594575048347159,0.622358929111045,0.0166703284583315,2.1363667085831093,1.273442116488755,1.1226397605887708,1.0975060346054395,1.2399304818443142,0.1320155304174944,3.4654076734592287,2.937345551789249,2.376279547514898,4.191493090755444,0.0330038826043736,0.330038826043736,0.7260854172962193,0.4445420922221749
77,3.875,0.9521117047684488,1.2467605403638915,1.303501179962247,0.5143587489238782,0.4385585122403593,0.016242907860754,2.3999521091489533,1.3142594883434744,1.240791566634833,1.1918129521624052,1.4203798197004014,0.0964730285062968,3.151452264539027,3.0549792360327293,2.7334024743450747,3.3443983215516213,0.0643153523375312,0.4502074663627185,0.7717842280503746,0.4656300253416163
78,3.925,0.9670689698181324,1.4692992767439228,1.7084527704153647,0.469674278323877,0.5013377128176219,0.0158317172468722,2.641542319714027,1.4958131208019192,1.440117951410358,1.145729198912108,1.2332501793845612,0.0313436018220905,2.852267765810236,3.604514209540412,3.103016580386962,2.9776421730986,0.0313436018220905,0.4074668236871767,0.5955284346197199,0.7177045151915423
79,3.975,0.98281499250301,1.683231826616827,1.871229147511692,0.5042408761986332,0.4836596159456279,0.0257265753162568,2.8935668741860066,1.535995284420454,1.3730866936485873,1.5515103883034882,1.396359349473139,0.1222402124117899,2.1392037172063265,3.0560053102947533,2.719844726162331,2.567044460647592,0.0305600531029474,0.4889608496471598,1.069601858603162,0.9776098620177583
80,4.025,0.9851906131801664,1.702791234931888,2.1021938534760127,0.4466266335771568,0.4315718032318595,0.0150548303452974,3.139897180221777,1.5661655814600202,1.4905054084426277,1.4526753219339317,1.5661655814600206,0.0298055227038211,1.6691092714139872,3.3978295882356147,3.338218542827972,2.1459976346751266,0.0298055227038211,0.6557214994840657,0.5364994086687811,1.2646057490049831
81,4.075,0.9789135134067436,1.811024995163647,1.916413892278836,0.4014626462073238,0.3427120150550325,0.0293753155761456,3.9933858492720233,1.6313091916619549,1.5722572752217032,1.5205868483364835,1.8748983469779923,0.2035501665175345,1.2213009991052082,3.576667211665249,2.820623736028694,2.064580260392136,0.1163143808671626,0.8142006660701389,0.8142006660701387,1.7527271627100234
82,4.125,0.976135862090693,1.397941637856157,1.6496523296676238,0.4634580995488503,0.3726776470599002,0.0286675113123,4.098866066144809,2.038627586500845,1.728871451449481,1.944980382880665,1.8657404413558984,0.1135117619638547,0.9932279171837284,3.4621087398975687,2.497258763204805,1.39051908405722,0.0,0.7662043932560191,0.7945823337469827,1.7487181900503013
83,4.175,0.9771548930553102,1.1598940155520832,1.1744257173414605,0.4151105982393987,0.4011181061639132,0.0606341323271032,4.795908719780205,1.8846092916438335,1.701774061857491,1.7088061860800428,1.919769912756592,0.1939161528036961,0.8864738413883253,3.629002288183459,3.933727671160697,1.135794609278792,0.0554046150867703,0.6648553810412441,1.0526876866486363,2.5093202455370403
84,4.2250000000000005,0.9768631678602192,0.8152682422921712,0.927496623746948,0.3597995048891472,0.3689083531141889,0.0364353929001667,4.573202353477086,1.9570010071185728,1.7716009117073397,1.654867518300267,1.9364009965173248,0.1352525948566797,0.6221619363407267,3.678870580101688,3.327213833474321,0.9197176450254226,0.0541010379426719,0.9738186829680944,0.7574145311974069,2.5413686547866354
85,4.275,0.9865558673775756,0.6173917663287515,0.6211717159185194,0.4092631134064312,0.3202928713615546,0.0756247057381448,5.110724457648605,1.7572307190340362,1.582849044626078,1.6767468693072856,1.9785613057825968,0.2113717265551001,0.4491649189295875,3.434790556520374,3.3555261590622103,0.6341151796653002,0.1321073290969375,0.8719083720397881,1.030437166956113,2.188667954303959
86,4.325,0.9962801677247272,0.4764044907766144,0.4800975488446504,0.3955089330958311,0.3390076569392837,0.0738862842047157,5.189826094871691,1.7233892208980504,1.664413924365417,1.592333006381088,1.7496004638014415,0.2581410285940159,0.3355833371722207,3.6656026060350255,3.355833371722208,0.4130256457504254,0.1032564114376063,1.1358205258136704,1.29070514297008,1.8341183490817667
87,4.375,1.01316780812926,0.3837706727991427,0.3657250298775529,0.3610356179074523,0.3397982286187787,0.0764546014392252,4.354644991376038,1.434471291276812,1.5945685336068132,1.3960479531176124,1.5753568645272145,0.2522744424593964,0.3279567751972153,3.910253858120648,3.3300226404640347,0.3531842194431548,0.1261372212296982,1.0090977698375865,1.2109173238051032,1.74996087738671
88,4.425,1.0301788464453272,0.324578578103346,0.3351626621719334,0.3695309351565522,0.2491219787572262,0.1411691212957615,3.906232626913307,1.4084973414350874,1.3208575068569044,1.3208575068569046,1.2144377077262536,0.1726239165933911,0.246605595133416,4.044331760188026,3.427817772354486,0.1479633570800496,0.1233027975667079,1.0604040590736887,1.282349094693763,1.3120424214547248
89,4.4750000000000005,1.0434710203543394,0.292068729434377,0.3392136818233906,0.3166620147025139,0.2720045510906209,0.0974344660623119,3.2379471728220364,1.2976272223785856,1.2364183911343123,1.1752095598900396,1.2486601573831668,0.2170131289569675,0.2170131289569676,3.6651106223843377,3.1346340849339738,0.144675419304645,0.09645027953643,0.9886153652484072,1.0127279351325147,0.974344660623119
90,4.525,1.0543678746175509,0.3272603158992435,0.3115158333473898,0.3573492614174358,0.3017615985302792,0.1230869678215613,2.3526409323472026,1.1314227384570528,1.0895181925882726,0.993736373459633,1.0057091008507129,0.3065743831958341,0.188661158889744,3.443066149737826,3.914719046962188,0.165078514028526,0.212243803750962,1.29704546736699,1.2262975327833363,0.6749930493440455
91,4.575,1.061122578609464,0.2838410002378914,0.2992432250570018,0.3534653430426457,0.2990860594976232,0.1476009124793464,1.7685816217565749,0.9604218078413188,0.9487093467700832,0.9194281940919944,0.9838467299837904,0.2768399889564777,0.2076299917173583,3.1144498757603767,3.48356986103568,0.1384199944782388,0.1153499953985323,1.1765699530650302,1.3841999447823887,0.4194973302044587
92,4.625,1.0686486458698086,0.318644149728556,0.3154146482110369,0.357266351550316,0.2964550576694111,0.1254232936293662,1.2434740150685792,0.9512289700524612,0.8710048400480366,1.1059469350609936,1.0085319200556209,0.3160344515325812,0.3837561197181342,3.182918404720996,3.4989528562535748,0.1580172257662906,0.1580172257662906,1.1738422485495874,1.3544333637110624,0.3116578811396373
93,4.675,1.0736537215459954,0.3392582704074695,0.324507910824536,0.3273461724352462,0.3013072723551698,0.2008715149034465,0.8692986642117821,0.93659920595721,0.9646410983511384,0.902948935084496,0.9478159629147817,0.3755914072156473,0.3755914072156473,3.247760991805893,3.534977950264919,0.1546552853240901,0.243029734080713,1.50236562886259,1.811676199510771,0.1636730862176231
94,4.7250000000000005,1.0825999773740052,0.3847185220290801,0.3506817627074722,0.386002530884131,0.3605117977125375,0.2184919986136591,0.5764827348037314,0.7576630228849046,0.9772754932863263,0.9223723756859707,0.9498239344861488,0.3460560139658765,0.2162850087286728,3.2659036318029613,3.092875624820023,0.1946565078558055,0.2811705113472747,1.3842240558635055,1.4491095584821074,0.2476242650954803
95,4.775,1.0863837249045083,0.3666045469404297,0.3898329342121374,0.4029208010422478,0.3565670805683607,0.2103745775353327,0.4354506900848683,0.9407885279611352,0.8225179701603069,0.908532921288182,0.908532921288182,0.4870922421824753,0.3176688535972666,3.0707989181069077,3.1343326888263614,0.2329571593046622,0.2753130064509644,1.8001235037178431,1.7577676565715403,0.1568895154500786
