,r ($\AA$),g_full(r),O (DOL),O (DOL),O (DME),O (DME),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
66,3.325,0.839724543052083,0.0951948104271889,0.0765697388218693,0.1632241639657587,0.1693835663795609,0.0991426888529318,0.2533646492908258,0.2643805036078183,0.3084439208757879,0.2864122122418032,0.0,6.46597267030737,1.822623168811476,1.2584779022745902,5.771640034569669,0.1301873692008196,0.0433957897336065,0.2603747384016392,0.0146128679715205
67,3.375,0.811892593137375,0.1044467115318871,0.1024381209255046,0.137499905768529,0.1494564193136185,0.2031457637901259,0.3207564691423041,0.2779889399233302,0.2352214107043563,0.2459132930090997,0.0421195363520197,6.275810916450943,1.7269009904328096,1.68478145408079,5.644017871170647,0.0421195363520197,0.2105976817600987,0.2105976817600987,0.0
68,3.4250000000000003,0.8033679481868671,0.1482284790720155,0.1404269801734884,0.1625396157611417,0.1480271500681826,0.2803138565770788,0.3218418353292387,0.3426058247053186,0.2699318618890388,0.2491678725129589,0.0408987669528847,5.889422441215395,2.4130272502201984,2.2085334154557748,4.5806618987230845,0.0817975339057694,0.2453926017173081,0.2044938347644234,0.0550881350793957
69,3.475,0.8185409476894606,0.155361593395115,0.136415057615223,0.1297002423538764,0.135339383325784,0.373159309314121,0.2823908286701455,0.2117931215026091,0.2319638949790481,0.3126469888848039,0.0794606227859717,5.641704217803993,2.383818683579153,2.264627749400195,4.966288924123238,0.1191909341789575,0.1589212455719434,0.1589212455719434,0.0535142969783074
70,3.5250000000000004,0.8548297028583751,0.1675570836883099,0.1730809435901223,0.1287871107143705,0.1315272620061656,0.3920524155953016,0.2940393116964762,0.2842380013065936,0.3430458636458889,0.3332445532560063,0.0386112227480221,5.135292625486946,2.586951924117483,1.81472746915704,4.517513061518592,0.0,0.2316673364881327,0.1544448909920885,0.1040139061783452
71,3.575,0.8978311710325446,0.2166073172612399,0.2201876034969628,0.1465222517544261,0.0959054738756244,0.5622151016619141,0.3811627807877384,0.3716337112680448,0.3239883636695776,0.3716337112680449,0.1126162761418317,4.016647182392004,2.8529456622597387,2.928023179687627,3.453565801682842,0.0,0.1501550348557757,0.2252325522836635,0.1011248193926652
72,3.625,0.9469646258094576,0.235048663505398,0.2350486635053979,0.1114155002989505,0.0984602095665144,0.6394930817695582,0.4263287211797055,0.4541327682131644,0.3707206271127871,0.4541327682131643,0.0365103647914108,3.906609032680965,2.7747877241472256,2.7747877241472256,4.089160856638019,0.0730207295828217,0.2920829183312869,0.2190621887484652,0.0614715325569672
73,3.675,0.984524290804187,0.3150928024771611,0.2795178086490946,0.1210096257033341,0.0983203208839589,0.6763158167313744,0.4508772111542496,0.3967719458157397,0.4148070342619097,0.3516842247003147,0.0355236590606378,4.049697132912717,2.770845406729753,2.6997980886084774,3.9431261557308046,0.0710473181212757,0.248665613424465,0.3197129315457408,0.1555066299695269
74,3.725,0.9958707343867074,0.3907834799518385,0.3281262131241176,0.1006062237937804,0.110421465139515,0.8513778094218503,0.3774149052076245,0.4388545409390983,0.3949690868451885,0.5266254491269179,0.0345764183770198,3.008148398800732,2.247467194506294,2.800689888538612,3.6996767663411294,0.0345764183770198,0.1728820918850993,0.1728820918850993,0.2794339117816298
75,3.775,0.9843006432885268,0.4591691450565175,0.4447197663659278,0.1170727676560372,0.1003480865623176,0.8802512098721981,0.4871293103176245,0.5725905928294885,0.4785831820664381,0.3845757713033877,0.033666565838007,3.6023225446667486,2.390326174498496,2.794324964554579,3.6023225446667486,0.033666565838007,0.2693325267040561,0.235665960866049,0.2040606133446546
