,r ($\AA$),g_full(r),O (DOL),O (DOL),O (IPMS),O (IPMS),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
74,3.725,0.981827808419178,0.3142122697230032,0.3614255123238685,3.3039877265711906,3.225450313398597,0.5026394443046007,0.3553140899394593,0.3033169060458799,0.5113056416201974,0.4419760630954248,0.1706978259132657,2.8677234753428658,1.741117824315311,1.6728386939500048,2.9360026057081714,0.2048373910959189,0.5120934777397972,0.3072560866438783,0.2184235445869747
75,3.775,0.9900371822130472,0.3519148708090012,0.3550852750505237,3.665322634417904,3.4649165047662773,0.658175920540079,0.556918086610836,0.5231654753010883,0.5231654753010883,0.5991088507480206,0.0,2.393366983782101,1.927990070268916,1.529095572971899,2.958467521619541,0.1994472486485085,0.4653769135131866,0.4653769135131866,0.2686432328735013
76,3.825,0.9775463035000008,0.4801934496941424,0.4462247812270324,4.0041904135746345,4.009327283893525,0.6082054457565584,0.5095775356338732,0.4849205581032019,0.5835484682258871,0.5013585431236494,0.2914006435442967,3.1730292297045657,1.2951139713079862,1.521758916286884,2.978762134008369,0.0971335478480989,0.2914006435442967,0.6151791363712932,0.3052768646654538
77,3.875,0.960909648053102,0.4708903645715265,0.4799170169275302,4.069197523139627,3.994120078063253,0.824850863239127,0.5445617349539872,0.4404543444480779,0.5205369525295466,0.6006195606110153,0.2839292468342981,2.0190524219327872,1.640480092820389,1.8613139514692885,2.555363221508684,0.2839292468342981,0.5363107995758963,0.5047631054831965,0.2868264840468928
78,3.925,0.9610162225716604,0.5865427915213595,0.5924082194365728,4.305238189353119,4.066193802635495,0.7337199135169502,0.5698037626248654,0.4917484526762537,0.5463871696402819,0.5854148246145878,0.338239676443984,2.0601871201588127,1.6297002592301055,2.183183366138444,2.4291758580977048,0.1229962459796305,0.3997377994337993,0.5534831069083377,0.4348795839994083
79,3.975,0.96587814968457,0.6104818947559787,0.6690995942524542,4.4687335183444805,4.247556180821312,0.9056379583744436,0.5555594198431459,0.5175074047853963,0.6012218379124457,0.5251178077969461,0.2998037550004522,1.7988225300027147,1.6489206525024878,1.918744032002896,2.6682534195040266,0.1798822530002713,0.8394505140012666,0.6295878855009497,0.6763939819448984
80,4.025,0.9665063902171236,0.7418211028505559,0.660945869833014,4.446542299928805,4.221547723458753,1.0243052058677946,0.5863776178518535,0.5344201074092841,0.7051376417205834,0.6086451223272403,0.1169606295676883,2.251492119178,1.4620078695961038,1.9006102304749348,2.222251961786078,0.2339212591353767,0.9649251939334286,0.6432834626222861,0.7483093340708229
81,4.075,0.9625205640569096,0.715566458158018,0.6720338979658951,4.525921221897376,4.256628909194482,1.021047827660048,0.8400109787841529,0.6517326559532217,0.5938008643129357,0.6082838122230071,0.1141080744429884,2.025418321363045,2.424796581913504,1.654567079423332,1.9113102469200565,0.1711621116644826,0.4279052791612066,0.4564322977719538,0.8165131347259759
82,4.125,0.9616460046025876,0.6306164453151841,0.6226507639006768,4.357240499250743,4.041434421504744,1.1448522426819996,0.6642969803216543,0.5512251538839261,0.6289620345598643,0.6784309586263705,0.5289534304946761,1.9487757965593344,2.255011993161516,1.3919827118280956,1.5033413287743436,0.1948775796559333,0.5567930847312379,0.5846327389677999,0.9749560544885753
83,4.175,0.9710968384868426,0.5598742608310855,0.5352501613963853,4.115526926622409,4.059474700277632,1.1244938946706389,0.7726583816141819,0.6829748194625354,0.7381647038635484,0.7312659683134219,0.5707135773286566,1.4947260358607668,1.9023785910955204,1.76649440601727,2.065439613189424,0.1902378591095521,0.5707135773286566,0.7609514364382087,1.1622257544141874
84,4.2250000000000005,0.9876120723348644,0.4467258829139566,0.4150880725092856,4.174475230621571,3.970277501236653,1.023935830647671,0.7679518729857526,0.7410061932318671,0.7746882929242243,0.8083703926165822,0.2919115306670992,1.565707300850806,2.0964555384273504,1.698394360244942,1.6187821246084604,0.2919115306670992,0.9553468276377796,0.5042108256977169,1.3314740225325843
85,4.275,0.9975212557036454,0.3522837224994051,0.3807136369467254,3.9026237995131488,3.709343168768027,1.1711983752385091,0.7895719383630397,0.5855991876192549,0.651396849149508,0.5461205907011029,0.2592029090585734,1.244173963481154,2.0217826906568748,1.9440218179393032,1.3996957089162978,0.3369637817761455,0.5443261090230043,0.7516884362698633,1.431434840637756
86,4.325,1.0045415099470147,0.3743773268059393,0.3900770211558655,3.238363876871372,3.087695582351923,1.1892750714068565,0.6878509872461276,0.7328505845426032,0.7392790984420997,0.6749939594471346,0.4051911791197808,0.9876534991044662,1.6714136138690965,2.228551485158794,1.0383023964944385,0.4811645252047397,1.0129779477994525,0.6584356660696437,1.645830752432322
87,4.375,1.0034035430688786,0.2867941824421893,0.3599680067690028,2.695549832277252,2.591497289589201,1.155964851598578,0.6031120964862139,0.6973483615621852,0.678501108546991,0.6785011085469909,0.2722380991083605,0.6434718706197613,2.078909120463844,2.400645055773726,0.6929697068212815,0.3959826896121607,0.6434718706197613,0.8167142973250819,1.7251006076152222
88,4.425,1.0018331504443625,0.3138070085143489,0.335727351020866,1.8558077015474392,1.9613603629591343,1.105424235875207,0.6325483127508126,0.6509720500153995,0.6448308042605374,0.6141245754862258,0.6773980165969274,0.7257835892109936,2.00800126348375,2.467664203317381,0.5322412987547287,0.4112773672195631,0.7983619481320928,0.5806268713687949,2.4358185968520014
89,4.4750000000000005,0.9982849886073114,0.3350354465373938,0.3090899405765857,1.2666331348550952,1.281645083120045,0.9367455717328356,0.6845448408816872,0.4923919030903361,0.4683727858664173,0.5164110203142549,0.3784830592859938,0.6386901625451146,1.868760105224594,1.750484149197721,0.5677245889289906,0.2838622944644953,0.8042765009827367,0.851586883393486,2.700312489944141
90,4.525,0.9983752378475264,0.3376017943487997,0.3376017943487998,0.7542892277395276,0.7873237924580472,0.7810839302334384,0.5990267735624861,0.587281150551457,0.5931539620569715,0.6518820771121173,0.3701650888324332,0.601518269352704,2.3829377593587893,1.688878217797978,0.4858416790925686,0.4395710429885145,0.8097361318209482,0.7171948596128397,3.0928143040776224
91,4.575,0.9994224171551704,0.3648002156265792,0.3345800794208271,0.5816961107846218,0.5475843018188568,0.6779273192354109,0.626220998276778,0.5285535031326931,0.540043796679056,0.6204758515035966,0.4752803239631928,0.5658099094799915,2.217974845161564,2.1953424487823647,0.2942211529295954,0.3394859456879947,0.9958254406847844,1.041090233443184,3.6505131588368256
92,4.625,0.9990931484275968,0.359067517192998,0.3590675171929983,0.446214503407656,0.4145930031661686,0.517187203949661,0.6071328046365586,0.6408624048941453,0.5790248044219031,0.5509168042072476,0.5314967313316676,0.4429139427763897,2.1038412281878536,1.948821348216116,0.3100397599434728,0.4207682456375702,0.8415364912751405,0.952264976969238,3.288636025114693
93,4.675,1.0018970798598108,0.3855372695025217,0.3317894464083361,0.3834203526535828,0.4126497068917483,0.4236536990755282,0.5281916248214378,0.6052195701078975,0.5612036013727777,0.6547375349349074,0.4768396612971312,0.4118160711202497,2.0157312954833264,2.232476596072932,0.5852123115919338,0.5635377815329733,0.8236321422404993,0.7802830821225782,3.5179089297737343
94,4.7250000000000005,1.005828327679631,0.4361084458339244,0.4108121322704714,0.3736654687376788,0.3282196684857987,0.3501009797181851,0.5924785810615443,0.5332307229553901,0.5709339053865787,0.5332307229553899,0.4668013062909134,0.3607101003157059,2.334006531454566,2.482534219819857,0.3819283415107474,0.5728925122661208,0.9972573361669514,0.9123843713867854,3.829676023039737
95,4.775,1.0132988896613242,0.435940142741161,0.4230600930692633,0.3642329431254989,0.3180857829105035,0.3691772817199624,0.4852044274033794,0.5063002720730916,0.5168481944079476,0.6065055342542244,0.6856149517656444,0.4986290558295594,2.160725908594758,1.7659779060630232,0.4155242131912995,0.5194052664891243,1.4127823248504197,0.7063911624252094,3.547007964746756
96,4.825,1.0197535376348843,0.4502402992716554,0.4793506634487024,0.3551091219802553,0.3680221809613552,0.3099134155464048,0.6094963839079298,0.63015727827769,0.5268528064288883,0.5371832536137687,0.5697398144388448,0.4273048608291337,1.9940893505359585,2.4010463608494192,0.5493919639231718,0.5697398144388448,1.0377403762993245,1.0580882268149971,3.5149873610186617
97,4.875,1.0284044139124118,0.4315466119457501,0.4648156238798941,0.4458961583019608,0.4458961583019606,0.3035888737375048,0.541400158165217,0.5818786746635509,0.6527160785356355,0.6931945950339694,0.737506304382525,0.4983150705287331,2.112855899041826,1.6743386369765416,0.3587868507806878,0.8172367156671221,1.016562743878615,1.1361583608055108,3.094231497123924
98,4.925000000000001,1.033002594128914,0.4740525511654745,0.4731212102005129,0.4028049673459088,0.4043542172203164,0.3172863742786239,0.5651663541837983,0.6593607465477646,0.6395303481553505,0.5750815533800052,0.7421376368070081,0.3905987562142148,2.480302101960262,2.2459428482317336,0.585898134321322,0.7421376368070077,1.0155567661569584,1.093676517399801,2.9133485801508208
