,r ($\AA$),g_full(r),O (DOL),O (DOL),S (DES),O (DES-i),O (DES-i),O (DES),N (TFSI),O (TFSI),O (TFSI),O (TFSI),O (TFSI),S out (PS),S in (PS),S in (PS),S in (PS),S in (PS),S out (PS),S in (PS),S in (PS),Li
80,4.025,1.002458787659116,2.2486772223525624,2.1793591822060594,0.1282569085063638,4.791678101797758,4.817329483499029,0.2744697842036186,2.095836275986455,1.1733731263445295,1.1807528315416649,1.3062078198929663,1.1069557795703109,0.34885879113731,1.860580219398987,3.430444779516882,3.1978722520920093,1.831508653470878,0.2035009614967642,1.4535782964054589,1.2500773349086949,1.576094181388202
81,4.075,0.991922549489318,2.070752246003294,2.1397322359093485,0.1226262712453844,5.260416778730575,5.327986356763748,0.2877963508820248,2.131117540337371,1.2311523628300354,1.389546234071326,1.2527515270902116,1.2383520842500937,0.3403504671300468,2.013740263852775,3.573679904865489,3.1766043598804377,1.5315771020852096,0.311987928202543,1.0210514013901402,0.9359637846076284,1.7955223623085126
82,4.125,0.9918515120292264,1.8598220618539856,1.866421856253751,0.1099024586142807,5.314394443214999,5.29974078206643,0.2833041155390348,2.318660075585391,1.166356280445984,1.426327258617679,1.2928286482051872,1.41930101596439,0.1937539640755469,1.6053899880545326,3.2107799761090625,3.404533940184609,1.4946734371542196,0.1937539640755469,0.9134115449275786,1.051807233552969,2.0505157131027247
83,4.175,1.000524774756429,1.4805241757832397,1.53206548738579,0.1335112905897063,5.552639210418322,5.500188346258084,0.3218575755287567,2.18800797185378,1.2894843219702532,1.3237791177673337,1.3306380769267507,1.378650791042664,0.4053021321473229,1.2159063964419687,3.8368601843279935,3.080296204319656,1.2159063964419687,0.2972215635747035,1.0808056857261945,1.3239869650145883,1.783329381448223
84,4.2250000000000005,1.0124736018183105,1.2015960764261222,1.166366034394781,0.1024335675869265,5.543052827828916,5.533740685321013,0.3375651659114623,2.504894702760308,1.4064916780204924,1.379701360343912,1.299330407314169,1.500257789888526,0.3166128452686824,0.7123789018545353,3.4827412979555072,3.060590837597265,0.976222939578437,0.2374596339515117,0.765147709399316,1.1872981697575584,2.0789833258203783
85,4.275,1.0236856032785029,0.8688720961845184,0.8922222656717961,0.113694886611291,5.3845898299107375,5.359576954856252,0.4115754895328732,2.5774805709989823,1.3083657720807016,1.5700389264968435,1.3083657720807018,1.4326605204283684,0.2319375686870335,0.8246669108872301,3.169813438722793,2.6286257784530465,1.365854571156975,0.3350209325479373,1.2112295253656191,1.2627712072960713,1.813688674869015
86,4.325,1.0360342148295512,0.7408354037574715,0.722824818576982,0.1155245805944274,4.923124434562518,5.19638450019934,0.3687900072822104,2.492664988979759,1.2335495971104962,1.3741614682837135,1.4764246473187814,1.4444674038703225,0.3524980792496629,0.5035686846423756,3.3990886213360345,3.625694529425103,0.4280333819460192,0.2517843423211878,1.0826726719811082,1.5358844881592468,1.950044038997772
87,4.375,1.03920233014416,0.6219115937121583,0.6125242489014087,0.1346105086097591,4.429119960708201,4.524649999076418,0.4168583492431246,2.461000757655044,1.3179471062568875,1.3804090544207217,1.536563924830307,1.3304394958896544,0.2214559980354101,0.762792882121968,3.395658636542953,3.174202638507542,0.5659431060904921,0.2952746640472135,1.3533422102163954,1.3041297662085265,1.3671518246063563
88,4.425,1.0449764273209392,0.5287901779146652,0.5379665801344427,0.1443197803655881,3.728968442681441,3.790516584307944,0.3905123468715914,2.3446413548624734,1.294437414663657,1.483718357373909,1.2883315778020363,1.1112623088150264,0.3367461541863721,0.6253857149175482,3.5117813222293046,3.247195058225727,0.4329593410967641,0.3848527476415681,1.1786115396523016,1.2988780232902917,1.1096423929129644
89,4.4750000000000005,1.0441398285564054,0.5147966513970026,0.5013379154127673,0.1597895027147942,2.853383977049898,2.9924215962952374,0.4212632344299118,1.8507487457295968,1.295524122010718,1.2835838075221395,1.2477628640564056,1.2417927068121168,0.3057444164499528,0.5174136278383817,3.621895394868668,3.057444164499525,0.3292632177153338,0.2116692113884288,1.5522408835151438,1.6463160885766677,0.9503515613358036
